views,noise_level,baseline_rel_l2,coord_regularized_rel_l2,improvement_baseline_minus_coord,winner
3,0.0,0.3876428310924933,0.37879957120751234,0.00884325988498097,coord_regularized
3,0.03,0.3889268922351672,0.37941440572445156,0.009512486510715623,coord_regularized
3,0.06,0.3897137276843061,0.37914280829063296,0.010570919393673162,coord_regularized
3,0.1,0.39513599008090655,0.38083521243209434,0.014300777648812213,coord_regularized
5,0.0,0.2542950392619552,0.24419614890918281,0.010098890352772366,coord_regularized
5,0.03,0.25528323270812664,0.24419362713492004,0.011089605573206596,coord_regularized
5,0.06,0.2580697024268181,0.24509311177841261,0.012976590648405478,coord_regularized
5,0.1,0.262937601832315,0.24603545683823577,0.016902144994079243,coord_regularized
7,0.0,0.20309330859261257,0.22037846309928352,-0.017285154506670952,baseline
7,0.03,0.20356018406249302,0.22025607978787626,-0.016695895725383242,baseline
7,0.06,0.2059017500083369,0.22033305280958704,-0.014431302801250129,baseline
7,0.1,0.21235553956995043,0.22216362511083693,-0.009808085540886496,baseline
9,0.0,0.1944871537371207,0.21930980072491207,-0.02482264698779138,baseline
9,0.03,0.19517549046737517,0.21937853060214904,-0.024203040134773868,baseline
9,0.06,0.19692418880517676,0.219503865101025,-0.022579676295848228,baseline
9,0.1,0.2010662143306566,0.21995535876780611,-0.018889144437149508,baseline
