rank,noise_level,view_count,dynamics,seed_count,rel_l2_global_improvement_pct_mean,rel_l2_global_improvement_pct_std,rel_l2_global_improvement_pct_ci95,rel_l2_global_improvement_pct_win_rate,paper_l2_squared_improvement_pct_mean,paper_l2_squared_improvement_pct_std,paper_l2_squared_improvement_pct_ci95,paper_l2_squared_improvement_pct_win_rate,temporal_gradient_rel_l2_improvement_pct_mean,temporal_gradient_rel_l2_improvement_pct_std,temporal_gradient_rel_l2_improvement_pct_ci95,temporal_gradient_rel_l2_improvement_pct_win_rate,temporal_curvature_rel_l2_improvement_pct_mean,temporal_curvature_rel_l2_improvement_pct_std,temporal_curvature_rel_l2_improvement_pct_ci95,temporal_curvature_rel_l2_improvement_pct_win_rate,centroid_rmse_improvement_pct_mean,centroid_rmse_improvement_pct_std,centroid_rmse_improvement_pct_ci95,centroid_rmse_improvement_pct_win_rate,mass_trace_rmse_improvement_pct_mean,mass_trace_rmse_improvement_pct_std,mass_trace_rmse_improvement_pct_ci95,mass_trace_rmse_improvement_pct_win_rate,heldout_reprojection_rel_l2_improvement_pct_mean,heldout_reprojection_rel_l2_improvement_pct_std,heldout_reprojection_rel_l2_improvement_pct_ci95,heldout_reprojection_rel_l2_improvement_pct_win_rate,dynamics_energy_closeness_gain_mean,dynamics_energy_closeness_gain_std,dynamics_energy_closeness_gain_ci95,dynamics_energy_closeness_gain_win_rate,lowrank_rel_l2_global_mean,lowrank_rel_l2_global_std,lowrank_rel_l2_global_ci95,lowrank_temporal_gradient_rel_l2_mean,lowrank_temporal_gradient_rel_l2_std,lowrank_temporal_gradient_rel_l2_ci95,lowrank_mass_trace_rmse_mean,lowrank_mass_trace_rmse_std,lowrank_mass_trace_rmse_ci95,lowrank_heldout_reprojection_rel_l2_mean,lowrank_heldout_reprojection_rel_l2_std,lowrank_heldout_reprojection_rel_l2_ci95
1,0.0,3,chirp,8,-2.710576587179499,0.0,0.0,0.0,-5.494625428697811,0.0,0.0,0.0,-3.0131264811355885,0.0,0.0,0.0,3.6954336326750146,0.0,0.0,1.0,-2.7727544102682775,0.0,0.0,0.0,0.36258639487478234,0.0,0.0,1.0,-2.228957976081666,0.0,0.0,0.0,-0.2977240311165935,0.0,0.0,0.0,0.5136381349939153,0.0,0.0,0.9358462503613807,0.0,0.0,0.19075968081048109,0.0,0.0,0.4847632030181877,0.0,0.0
2,0.0,3,chirp,8,0.5502164243628044,0.0,0.0,1.0,1.0974054675870113,0.0,0.0,1.0,3.0123339350546603,0.0,0.0,1.0,7.0675051217010765,0.0,0.0,1.0,1.691549501391586,0.0,0.0,1.0,-2.163121699821612,0.0,0.0,0.0,1.2742260745165064,0.0,0.0,1.0,-0.15344943479995898,0.0,0.0,0.0,0.49733146340560586,0.0,0.0,0.8811065804783272,0.0,0.0,0.19559524661387198,0.0,0.0,0.46815132753051003,0.0,0.0
3,0.0,3,chirp,8,0.23860452095522908,0.0,0.0,1.0,0.47663972073528577,0.0,0.0,1.0,1.9928730485819837,0.0,0.0,1.0,4.586936345298212,0.0,0.0,1.0,0.6905868942838503,0.0,0.0,1.0,-2.1457607602508033,0.0,0.0,0.0,-0.009234606406111665,0.0,0.0,0.0,-0.041476648736984534,0.0,0.0,0.0,0.4988897815674422,0.0,0.0,0.8903681054954451,0.0,0.0,0.19556200842380575,0.0,0.0,0.47423741627631144,0.0,0.0
5,0.0,3,chirp,8,0.07800582466649982,0.0,0.0,1.0,0.15595080024585906,0.0,0.0,1.0,0.7366074051955447,0.0,0.0,1.0,1.7081945752847176,0.0,0.0,1.0,0.023778351231835203,0.0,0.0,1.0,-0.16401586785774977,0.0,0.0,0.0,0.025935528470583384,0.0,0.0,1.0,0.01203320051122958,0.0,0.0,1.0,0.49969290834936947,0.0,0.0,0.9017809373546701,0.0,0.0,0.19176788120347377,0.0,0.0,0.4740706417383431,0.0,0.0
8,0.0,3,chirp,8,0.006091729859465196,0.0,0.0,1.0,0.012183088627197731,0.0,0.0,1.0,0.021266998351728687,0.0,0.0,1.0,0.05615123016563643,0.0,0.0,1.0,0.0023461897654874354,0.0,0.0,1.0,-0.016355769932955493,0.0,0.0,0.0,0.0019919176123784853,0.0,0.0,1.0,0.0004093821270798603,0.0,0.0,1.0,0.5000525385137,0.0,0.0,0.9082796104883322,0.0,0.0,0.19148518023674296,0.0,0.0,0.4741841808149537,0.0,0.0
1,0.0,3,fast,8,-2.7921286127401213,0.0,0.0,0.0,-5.662217047370556,0.0,0.0,0.0,-2.749834195245341,0.0,0.0,0.0,4.600766327433036,0.0,0.0,1.0,-5.9409000683229545,0.0,0.0,0.0,-0.7415254085590423,0.0,0.0,0.0,-1.4944410728796127,0.0,0.0,0.0,-0.3443456768262707,0.0,0.0,0.0,0.5239978464148611,0.0,0.0,0.9339195458915063,0.0,0.0,0.19462801086763767,0.0,0.0,0.49181602344886827,0.0,0.0
2,0.0,3,fast,8,0.3913676277718631,0.0,0.0,1.0,0.7812035693415731,0.0,0.0,1.0,3.220709175220989,0.0,0.0,1.0,7.149206964975049,0.0,0.0,1.0,1.614137601272712,0.0,0.0,1.0,-3.0215759914018734,0.0,0.0,0.0,0.9234632512842739,0.0,0.0,1.0,-0.20173573997742245,0.0,0.0,0.0,0.5077695106792928,0.0,0.0,0.8796517488001563,0.0,0.0,0.19903296411624985,0.0,0.0,0.4800994793975677,0.0,0.0
3,0.0,3,fast,8,0.17256052225207227,0.0,0.0,1.0,0.34482327316508443,0.0,0.0,1.0,1.7797135879500428,0.0,0.0,1.0,5.425735847967943,0.0,0.0,1.0,0.6893513907301019,0.0,0.0,1.0,-3.008123961038934,0.0,0.0,0.0,-0.09096838534401062,0.0,0.0,0.0,-0.07658190477373972,0.0,0.0,0.0,0.5088849117671018,0.0,0.0,0.8927493265727875,0.0,0.0,0.19900697540999326,0.0,0.0,0.4850151548603254,0.0,0.0
5,0.0,3,fast,8,0.12412482937705291,0.0,0.0,1.0,0.2480955890209503,0.0,0.0,1.0,1.395616450686691,0.0,0.0,1.0,3.691905448853014,0.0,0.0,1.0,0.2469743121004044,0.0,0.0,1.0,-0.14328092750490212,0.0,0.0,0.0,0.07162312796190827,0.0,0.0,1.0,-0.015632840376399115,0.0,0.0,0.0,0.5091318197657851,0.0,0.0,0.8962404837782577,0.0,0.0,0.1934722299432522,0.0,0.0,0.4842272780990416,0.0,0.0
8,0.0,3,fast,8,-2.1779133009169563e-14,0.0,0.0,0.0,-6.40858580812557e-14,0.0,0.0,0.0,2.442934880240929e-14,0.0,0.0,1.0,-1.0949344421171537e-13,0.0,0.0,0.0,-1.5621770689439326e-13,0.0,0.0,0.0,2.8733161415273256e-14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,0.0,1.0,0.5097645641612764,0.0,0.0,0.9089255989618861,0.0,0.0,0.1931954177567918,0.0,0.0,0.48457434540252053,0.0,0.0
