axis,condition,condition_value,seed,method,rank,view_count,frame_count,noise_level,bias,dynamics,reconstruction_seconds,postprocess_seconds,rel_l2_global,paper_l2_squared,mean_frame_rel_l2_global,global_cc,temporal_smoothness,temporal_gradient_rel_l2,temporal_curvature_rel_l2,dynamics_energy_ratio,centroid_rmse,mass_trace_rmse,heldout_reprojection_rel_l2
rank,rank_1,1,20260710,framewise,1,5,18,0.14,none,smooth,0.07830216700676829,0.0,0.3705346013384006,0.13729589078900747,0.3711698469081383,0.9130141718163317,0.24829202969544822,1.3104518738365138,3.3888714686576464,1.4774888708631215,0.07291522950749488,0.15716946457579847,0.2996843625634069
rank,rank_1,1,20260710,lowrank,1,5,18,0.14,none,smooth,0.07830216700676829,0.0034578749909996986,0.3964447089809235,0.1571684072789691,0.3959028283677343,0.8997271951790804,0.09033803157023662,0.8497938316699553,0.9411468602178118,0.6051604748104596,0.07152279899990016,0.14784856196450916,0.3483022943087255
rank,rank_2,2,20260710,framewise,2,5,18,0.14,none,smooth,0.07830216700676829,0.0,0.3705346013384006,0.13729589078900747,0.3711698469081383,0.9130141718163317,0.24829202969544822,1.3104518738365138,3.3888714686576464,1.4774888708631215,0.07291522950749488,0.15716946457579847,0.2996843625634069
rank,rank_2,2,20260710,lowrank,2,5,18,0.14,none,smooth,0.07830216700676829,0.004674333962611854,0.3604728055399603,0.12994064353385001,0.3601065180149996,0.9178832015410626,0.13058934834145236,0.7614043407310862,0.9269659040312921,0.7851045224966176,0.0710689195361775,0.1571853838427395,0.26785328772706035
rank,rank_3,3,20260710,framewise,3,5,18,0.14,none,smooth,0.07830216700676829,0.0,0.3705346013384006,0.13729589078900747,0.3711698469081383,0.9130141718163317,0.24829202969544822,1.3104518738365138,3.3888714686576464,1.4774888708631215,0.07291522950749488,0.15716946457579847,0.2996843625634069
rank,rank_3,3,20260710,lowrank,3,5,18,0.14,none,smooth,0.07830216700676829,0.01276395795866847,0.3556149231106212,0.126461973538973,0.35563617468039393,0.9201770390034252,0.15268154573622264,0.7152837922876674,0.8851718702039194,0.9172740508582569,0.07107573026631338,0.15840959536177035,0.2668753618947385
rank,rank_5,5,20260710,framewise,5,5,18,0.14,none,smooth,0.07830216700676829,0.0,0.3705346013384006,0.13729589078900747,0.3711698469081383,0.9130141718163317,0.24829202969544822,1.3104518738365138,3.3888714686576464,1.4774888708631215,0.07291522950749488,0.15716946457579847,0.2996843625634069
rank,rank_5,5,20260710,lowrank,5,5,18,0.14,none,smooth,0.07830216700676829,0.00884708296507597,0.3567272193084297,0.1272543089955245,0.35728220634881225,0.9196550756094656,0.16846459294395755,0.7517478471345539,1.0253253034509366,1.0086695899050666,0.07133617042841657,0.15228462707338994,0.2681024095377072
rank,rank_8,8,20260710,framewise,8,5,18,0.14,none,smooth,0.07830216700676829,0.0,0.3705346013384006,0.13729589078900747,0.3711698469081383,0.9130141718163317,0.24829202969544822,1.3104518738365138,3.3888714686576464,1.4774888708631215,0.07291522950749488,0.15716946457579847,0.2996843625634069
rank,rank_8,8,20260710,lowrank,8,5,18,0.14,none,smooth,0.07830216700676829,0.002781374962069094,0.36149028002677763,0.1306752225538381,0.36198204233632114,0.9173980861710077,0.19839259438303367,0.9755731415787419,2.184789488508155,1.1908292534597218,0.07186528746244741,0.15388894721453458,0.28331032333646927
rank,rank_12,12,20260710,framewise,12,5,18,0.14,none,smooth,0.07830216700676829,0.0,0.3705346013384006,0.13729589078900747,0.3711698469081383,0.9130141718163317,0.24829202969544822,1.3104518738365138,3.3888714686576464,1.4774888708631215,0.07291522950749488,0.15716946457579847,0.2996843625634069
rank,rank_12,12,20260710,lowrank,12,5,18,0.14,none,smooth,0.07830216700676829,0.006807708065025508,0.36630694525824214,0.13418077814442483,0.3668508896748521,0.915079478100323,0.22591730123213363,1.1680686424444557,2.872848553303388,1.3523299094852066,0.07236510133580193,0.15560952791544738,0.2936347025157884
rank,rank_1,1,20260711,framewise,1,5,18,0.14,none,smooth,0.11421816691290587,0.0,0.3689782920757351,0.1361449800231265,0.36964106301836297,0.9137777644278763,0.24458065132160942,1.2853887265529051,3.3009048702979236,1.4577313206008777,0.0692076574493836,0.15679498021238342,0.2888236052735923
