challenger,baseline,split,seed_count,field_rel_l2_delta_mean,field_rel_l2_delta_seed_std,field_rel_l2_delta_ci95_t,field_rel_l2_better_seed_fraction,gradient_rel_l2_delta_mean,gradient_rel_l2_delta_seed_std,gradient_rel_l2_delta_ci95_t,gradient_rel_l2_better_seed_fraction,observed_reprojection_rel_l2_delta_mean,observed_reprojection_rel_l2_delta_seed_std,observed_reprojection_rel_l2_delta_ci95_t,observed_reprojection_rel_l2_better_seed_fraction,heldout_reprojection_rel_l2_delta_mean,heldout_reprojection_rel_l2_delta_seed_std,heldout_reprojection_rel_l2_delta_ci95_t,heldout_reprojection_rel_l2_better_seed_fraction,mass_relative_error_delta_mean,mass_relative_error_delta_seed_std,mass_relative_error_delta_ci95_t,mass_relative_error_better_seed_fraction,centroid_error_delta_mean,centroid_error_delta_seed_std,centroid_error_delta_ci95_t,centroid_error_better_seed_fraction
absolute_fno,residual_fno,test_iid,3,0.018001355230808258,0.008298909233477484,0.020615633393274442,0.0,0.023610524584849673,0.006195798117570267,0.015391215758248006,0.0,0.01779561477402845,0.0048102314345154626,0.011949277308726748,0.0,0.01693836438159148,0.007423149487399719,0.018440125581609776,0.0,0.028994340600911522,0.01845412599097885,0.04584259031158249,0.0,0.0037889527851377794,0.006776507952199533,0.016833778958034864,0.3333333333333333
absolute_fno,residual_fno,test_view_ood,3,-0.03018335998058319,0.010545396877428294,0.026196218068593798,1.0,-0.045382183666030564,0.015210869829858396,0.03778589537287657,1.0,-0.042633327965935074,0.02553618415695884,0.06343539807850276,1.0,-0.013751522327462832,0.004710618134731093,0.011701824154140505,1.0,0.012336665657736981,0.12106062231126,0.30073125729136435,0.3333333333333333,-0.002262251510403481,0.012184596454296415,0.030268215554577083,0.3333333333333333
absolute_fno,residual_fno,test_noise_ood,3,0.024497222000112135,0.005175532268667273,0.012856734886977115,0.0,0.018059172046681244,0.00978683012322029,0.02431183378758565,0.0,0.025868842688699562,0.006410018023724766,0.015923367505734014,0.0,0.02902155478174488,0.008196473125276446,0.020361167993847306,0.0,0.009277572185965255,0.028972960662375622,0.0719728242024661,0.3333333333333333,-0.005929594690740431,0.010820457014736646,0.0268795053286807,0.6666666666666666
absolute_fno,residual_fno,test_joint_ood,3,-0.037689315155148506,0.005668374505387209,0.01408102287315649,1.0,-0.05475372448563576,0.017090077672629187,0.042454106443320476,1.0,-0.05753173865377903,0.058038534707778124,0.14417571280232205,1.0,-0.018856247266133625,0.009192636556237853,0.022835775139765136,1.0,-0.06791310786502436,0.13702804356200188,0.3403965305797359,0.6666666666666666,0.0016638462386496106,0.012706543267015454,0.031564803315580335,0.3333333333333333
absolute_fno,residual_fno,test_family_ood,3,0.0031170686086019104,0.011997051201515367,0.029802327319483932,0.3333333333333333,0.0013876746098200703,0.010721708966863667,0.026634201578997707,0.3333333333333333,0.005065961678822857,0.008216466020592391,0.02041083309906872,0.3333333333333333,0.0011131028334299502,0.03098383908860619,0.07696812313481062,0.3333333333333333,-0.04039510729489849,0.019396045658246326,0.04818244847848096,1.0,0.0010931747329480425,0.006986009775058505,0.017354210336879273,0.3333333333333333
fno_no_reprojection,residual_fno,test_iid,3,0.018830760568380362,0.015540151948654367,0.03860387750198269,0.0,0.030258159587780626,0.01861245743918848,0.04623590743303608,0.0,0.03293540477752684,0.011501377968792364,0.028571006749371523,0.0,0.019055801630020148,0.01952085441405151,0.04849249061553324,0.0,0.006284158661340665,0.016269751930040315,0.04041630433023586,0.3333333333333333,0.0024516203126672387,0.002801064421835041,0.00695822976332256,0.3333333333333333
fno_no_reprojection,residual_fno,test_view_ood,3,0.017636962855855625,0.023403086834017647,0.058136490575750877,0.3333333333333333,0.017401542514562607,0.015834268337585524,0.03933450311537041,0.0,0.028137950226664543,0.03836520837861347,0.09530446095247345,0.3333333333333333,0.0006271582096815109,0.00389817010041864,0.009683591353267514,0.3333333333333333,-0.013242847441385189,0.018487488166795008,0.045925466550673456,0.6666666666666666,0.0039030411348112783,0.0042352612110046865,0.010520972093370114,0.3333333333333333
fno_no_reprojection,residual_fno,test_noise_ood,3,0.0141926109790802,0.01439558268928167,0.035760609841064835,0.0,0.026038247471054394,0.01819330954766132,0.04519468634889283,0.0,0.025574255113800366,0.006657017465877111,0.016536948134765948,0.0,0.01104701388006409,0.02535300902524607,0.06298036582596023,0.3333333333333333,-0.0028753708320437,0.02399422630718103,0.059604962433940256,0.6666666666666666,-0.0024345463648395896,0.0007812596673816346,0.001940756602412238,1.0
fno_no_reprojection,residual_fno,test_joint_ood,3,0.022289635613560677,0.018883699639216017,0.04690971041114261,0.0,0.024180106197794277,0.00863135599282401,0.02144147692531634,0.0,0.03740079142153263,0.02668174917705955,0.06628113934619696,0.0,0.0060654499878485995,0.009692434797314412,0.0240773427986899,0.3333333333333333,-0.01966498396359384,0.032099848348155935,0.07974044382312069,0.6666666666666666,0.003014836070125891,0.0035476619365962274,0.008812880805239898,0.3333333333333333
fno_no_reprojection,residual_fno,test_family_ood,3,0.010910417636235533,0.015230548578170728,0.03783478009367928,0.3333333333333333,0.008942982554435744,0.011652238544144034,0.028945765193818956,0.3333333333333333,0.025372664133707645,0.017907711111793963,0.044485220503937814,0.0,0.020063232382138585,0.03959090692403447,0.09834926493239128,0.3333333333333333,0.034843707457184785,0.01633525185913715,0.04057901517422228,0.0,0.0026528340841188644,0.0021623874074566743,0.005371668106277152,0.0
matched_unet,residual_fno,test_iid,3,0.08130653649568557,0.033104733158347485,0.08223671607608259,0.0,0.13624575957655907,0.04065414711340929,0.10099049998346583,0.0,0.035601013774673146,0.02829439070384363,0.07028716297841592,0.0,0.09808174632489682,0.04604545649220398,0.11438325492704296,0.0,0.08943825273308903,0.031159528010217402,0.07740455861052177,0.0,0.016126442131229744,0.0034636731907969624,0.008604241194437331,0.0
matched_unet,residual_fno,test_view_ood,3,0.12411612831056118,0.03271239298511622,0.08126208905592415,0.0,0.14685500537355742,0.03148979385941059,0.07822498446140583,0.0,0.13529199485977492,0.06518216132521079,0.16192146508135,0.0,0.042536438132325806,0.0018186703533322691,0.004517827609954988,0.0,0.08909270601967971,0.0572497473043338,0.14221625626687237,0.0,0.012176780630698963,0.01606381418737375,0.03990472661740512,0.3333333333333333
matched_unet,residual_fno,test_noise_ood,3,0.0789874483210345,0.0273888599271685,0.06803769982692667,0.0,0.14451234011600414,0.03169836717425597,0.07874310929847801,0.0,0.04591624500850836,0.023408334827467864,0.05814952731419158,0.0,0.11565381738667686,0.04465492650886778,0.11092898695611796,0.0,0.08319594974940021,0.026437795527297123,0.06567512488490299,0.0,0.0033261724964944867,0.014551077895825461,0.03614688134763667,0.3333333333333333
matched_unet,residual_fno,test_joint_ood,3,0.12237931229174137,0.034295464571164266,0.08519465688322653,0.0,0.15858827903866768,0.031554836095626156,0.07838655833324548,0.0,0.1525946706533432,0.05807529941842599,0.144267041406504,0.0,0.049605194479227066,0.015263411997501343,0.03791641735297552,0.0,0.11106084025232121,0.08783895175618528,0.21820405261815773,0.0,0.010066561671148088,0.004755565640120042,0.011813479947326294,0.0
matched_unet,residual_fno,test_family_ood,3,0.07417005797227227,0.024667353336520086,0.06127710267231987,0.0,0.06368471682071686,0.021810878178052728,0.05418122500849311,0.0,0.09529640078544617,0.041689192997415324,0.1035616964973172,0.0,0.15646035571893055,0.05551140128846936,0.13789796537279259,0.0,0.23774634233365455,0.015052406508253211,0.037392250659747904,0.0,0.010743051423438536,0.0039011070385026924,0.009690887111919186,0.0
