rig_id,method,method_label,duplicate_of,counts_as_independent_evidence,field_rank_lower_is_better,residual_rank_lower_is_better,final_field_relative_l2,final_normalized_residual_l2,total_violation_count,schur_safe,calibrated_vs_factor_field_gain_percent,calibrated_vs_scalar_field_gain_percent,calibrated_beats_factor_and_scalar_on_field
ood-00,factor,Factor,,True,5,5,1.045963086543684,0.20642796418173043,0,True,,,
ood-00,exact_oracle,Exact oracle,,True,1,1,0.7055050256947787,0.10371994941835659,0,True,,,
ood-00,scalar_factor_train_selected,Scalar x factor,,True,4,4,0.950396046694454,0.14080559754358057,7,False,,,
ood-00,exact_factor_interpolation_oracle,Exact duplicate (alpha=1),exact_oracle,False,2,2,0.7055050256947787,0.10371994941835659,0,True,,,
ood-00,learned_oracle_free,Raw learned,,True,6,6,474.87083427479985,875.4861870991377,12,False,,,
ood-00,calibrated_envelope,Calibrated,,True,3,3,0.7959778994675615,0.10816863380756078,11,False,23.90000089794584,16.247768260818212,True
ood-01,factor,Factor,,True,4,4,1.147930949779204,0.20333208018252857,0,True,,,
ood-01,exact_oracle,Exact oracle,,True,1,1,0.749968019943475,0.06338548625863416,0,True,,,
ood-01,scalar_factor_train_selected,Scalar x factor,,True,3,3,1.0638826839536368,0.09689104718465108,3,False,,,
ood-01,exact_factor_interpolation_oracle,Exact duplicate (alpha=1),exact_oracle,False,2,2,0.749968019943475,0.06338548625863416,0,True,,,
ood-01,learned_oracle_free,Raw learned,,True,6,6,9.726416121915589e+24,9.561715491886124e+24,26,False,,,
ood-01,calibrated_envelope,Calibrated,,True,5,5,606945.2927165206,597555.1269205187,18,False,-52872879.23566413,-57049920.82193592,False
ood-02,factor,Factor,,True,6,6,1.2299352011606117,0.28425333345311266,0,True,,,
ood-02,exact_oracle,Exact oracle,,True,1,1,0.8856374077409488,0.19938663811446466,0,True,,,
ood-02,scalar_factor_train_selected,Scalar x factor,,True,5,4,1.1949565342007504,0.26307315315056834,4,False,,,
ood-02,exact_factor_interpolation_oracle,Exact duplicate (alpha=1),exact_oracle,False,2,2,0.8856374077409488,0.19938663811446466,0,True,,,
ood-02,learned_oracle_free,Raw learned,,True,3,3,1.1102368412063663,0.24557858209444125,12,False,,,
ood-02,calibrated_envelope,Calibrated,,True,4,5,1.1149378519114117,0.26771289363552037,1,False,9.349870557463866,6.696367608287896,True
ood-03,factor,Factor,,True,4,4,0.5320231607573119,0.0306590882760285,0,True,,,
ood-03,exact_oracle,Exact oracle,,True,2,2,0.4711142697094156,0.01329211547605729,0,True,,,
ood-03,scalar_factor_train_selected,Scalar x factor,,True,1,1,0.2410047891526315,0.009412255662307072,14,False,,,
ood-03,exact_factor_interpolation_oracle,Exact duplicate (alpha=1),exact_oracle,False,3,3,0.4711142697094156,0.01329211547605729,0,True,,,
ood-03,learned_oracle_free,Raw learned,,True,6,6,8.624629275411609e+26,9.063016635689835e+26,18,False,,,
ood-03,calibrated_envelope,Calibrated,,True,5,5,2.005557709734509,2.101409921279438,9,False,-276.9681205005595,-732.165085509717,False
