source_split,method,field_count,mean_relative_l2,median_relative_l2,p90_relative_l2,mean_gain_vs_prewhitened_pg4_pct,harm_rate_gt_1pct_vs_prewhitened_pg4
validation,unweighted_pg4,24,0.8820446133613586,0.8768882751464844,0.9208284020423889,-11.067357063293457,1.0
validation,prewhitened_pg4,24,0.797842800617218,0.8117659091949463,0.8638684749603271,0.0,0.0
validation,cg_unrolled4,24,0.25902438163757324,0.2001122236251831,0.3830627501010895,68.46984100341797,0.0
iid,unweighted_pg4,32,0.8789083957672119,0.8752360343933105,0.905234694480896,-11.794548034667969,1.0
iid,prewhitened_pg4,32,0.7874600887298584,0.7897326350212097,0.8357259035110474,0.0,0.0
iid,cg_unrolled4,32,0.22111207246780396,0.20951800048351288,0.3231257498264313,72.07906341552734,0.0
noise_ood,unweighted_pg4,32,0.8881710767745972,0.8885984420776367,0.9301959276199341,-30.848127365112305,1.0
noise_ood,prewhitened_pg4,32,0.6902203559875488,0.7131377458572388,0.7920197248458862,0.0,0.0
noise_ood,cg_unrolled4,32,1.0800492763519287,0.7002519369125366,2.960923671722412,-72.51608276367188,0.46875
family_ood,unweighted_pg4,32,0.9224843978881836,0.9259198307991028,0.9387249946594238,-6.152102470397949,1.0
family_ood,prewhitened_pg4,32,0.8698501586914062,0.8733295202255249,0.9070423245429993,0.0,0.0
family_ood,cg_unrolled4,32,0.48158204555511475,0.4850287437438965,0.565690279006958,44.76800537109375,0.03125
layout_ood,unweighted_pg4,32,0.8631304502487183,0.8624370098114014,0.9098054766654968,-12.890332221984863,1.0
layout_ood,prewhitened_pg4,32,0.7671167254447937,0.7586487531661987,0.8359334468841553,0.0,0.0
layout_ood,cg_unrolled4,32,0.34697139263153076,0.3260895609855652,0.572562038898468,54.861236572265625,0.0
joint_ood,unweighted_pg4,32,0.9081572890281677,0.907963752746582,0.9295111298561096,-18.066696166992188,1.0
joint_ood,prewhitened_pg4,32,0.7757681608200073,0.7914483547210693,0.8578556180000305,0.0,0.0
joint_ood,cg_unrolled4,32,3.164539337158203,2.584031105041504,4.294662952423096,-326.5126953125,0.96875
