rig_id,method,partition_name,definition,primitive_component_accumulation_entries,signed_group_addition_entries,group_absolute_value_entries,materialized_signed_group_count,materialized_group_component_entries,largest_fused_group_component_entries,full_signed_operator_materialized,cost_proxy_units,construction_wall_time_seconds
fresh-00,singleton_factor,singleton_factor,ANALYTIC_PROXY_NOT_WALL_TIME,1152,0,1152,0,0,192,0,2496,7.829198148101568e-05
fresh-00,fixed_paired_local,paired_local,ANALYTIC_PROXY_NOT_WALL_TIME,1152,576,576,3,1152,384,0,3840,7.695797830820084e-05
fresh-00,fixed_paired_cross,paired_cross,ANALYTIC_PROXY_NOT_WALL_TIME,1152,576,576,3,1152,384,0,3840,6.316701183095574e-05
fresh-00,fixed_triad_bridge,triad_bridge,ANALYTIC_PROXY_NOT_WALL_TIME,1152,768,384,2,1152,576,0,4032,5.7375000324100256e-05
fresh-00,train_selected_fixed,paired_cross,ANALYTIC_PROXY_NOT_WALL_TIME,1152,576,576,3,1152,384,0,3840,8.191599044948816e-05
fresh-00,geometry_conditioned_selector,triad_bridge,ANALYTIC_PROXY_NOT_WALL_TIME,1152,768,384,2,1152,576,0,4032,0.00010058400221168995
fresh-00,all_in_one_exact_oracle,all_in_one_exact,ANALYTIC_PROXY_NOT_WALL_TIME,1152,960,192,1,1152,1152,1,4608,5.745800444856286e-05
fresh-01,singleton_factor,singleton_factor,ANALYTIC_PROXY_NOT_WALL_TIME,1152,0,1152,0,0,192,0,2496,8.575001265853643e-05
fresh-01,fixed_paired_local,paired_local,ANALYTIC_PROXY_NOT_WALL_TIME,1152,576,576,3,1152,384,0,3840,0.00016537500778213143
fresh-01,fixed_paired_cross,paired_cross,ANALYTIC_PROXY_NOT_WALL_TIME,1152,576,576,3,1152,384,0,3840,6.450002547353506e-05
fresh-01,fixed_triad_bridge,triad_bridge,ANALYTIC_PROXY_NOT_WALL_TIME,1152,768,384,2,1152,576,0,4032,5.929201142862439e-05
fresh-01,train_selected_fixed,paired_cross,ANALYTIC_PROXY_NOT_WALL_TIME,1152,576,576,3,1152,384,0,3840,6.108300294727087e-05
fresh-01,geometry_conditioned_selector,paired_local,ANALYTIC_PROXY_NOT_WALL_TIME,1152,576,576,3,1152,384,0,3840,6.012496305629611e-05
fresh-01,all_in_one_exact_oracle,all_in_one_exact,ANALYTIC_PROXY_NOT_WALL_TIME,1152,960,192,1,1152,1152,1,4608,5.387497367337346e-05
fresh-02,singleton_factor,singleton_factor,ANALYTIC_PROXY_NOT_WALL_TIME,1152,0,1152,0,0,192,0,2496,7.999996887519956e-05
fresh-02,fixed_paired_local,paired_local,ANALYTIC_PROXY_NOT_WALL_TIME,1152,576,576,3,1152,384,0,3840,9.737501386553049e-05
fresh-02,fixed_paired_cross,paired_cross,ANALYTIC_PROXY_NOT_WALL_TIME,1152,576,576,3,1152,384,0,3840,7.325003389269114e-05
fresh-02,fixed_triad_bridge,triad_bridge,ANALYTIC_PROXY_NOT_WALL_TIME,1152,768,384,2,1152,576,0,4032,7.000000914558768e-05
fresh-02,train_selected_fixed,paired_cross,ANALYTIC_PROXY_NOT_WALL_TIME,1152,576,576,3,1152,384,0,3840,0.0001806669752113521
fresh-02,geometry_conditioned_selector,paired_local,ANALYTIC_PROXY_NOT_WALL_TIME,1152,576,576,3,1152,384,0,3840,0.00010033301077783108
fresh-02,all_in_one_exact_oracle,all_in_one_exact,ANALYTIC_PROXY_NOT_WALL_TIME,1152,960,192,1,1152,1152,1,4608,6.804201984778047e-05
fresh-03,singleton_factor,singleton_factor,ANALYTIC_PROXY_NOT_WALL_TIME,1152,0,1152,0,0,192,0,2496,8.287496166303754e-05
fresh-03,fixed_paired_local,paired_local,ANALYTIC_PROXY_NOT_WALL_TIME,1152,576,576,3,1152,384,0,3840,0.0002815419575199485
fresh-03,fixed_paired_cross,paired_cross,ANALYTIC_PROXY_NOT_WALL_TIME,1152,576,576,3,1152,384,0,3840,7.591699250042439e-05
fresh-03,fixed_triad_bridge,triad_bridge,ANALYTIC_PROXY_NOT_WALL_TIME,1152,768,384,2,1152,576,0,4032,8.07500327937305e-05
fresh-03,train_selected_fixed,paired_cross,ANALYTIC_PROXY_NOT_WALL_TIME,1152,576,576,3,1152,384,0,3840,6.683298852294683e-05
fresh-03,geometry_conditioned_selector,triad_bridge,ANALYTIC_PROXY_NOT_WALL_TIME,1152,768,384,2,1152,576,0,4032,5.954195512458682e-05
fresh-03,all_in_one_exact_oracle,all_in_one_exact,ANALYTIC_PROXY_NOT_WALL_TIME,1152,960,192,1,1152,1152,1,4608,5.4458039812743664e-05
fresh-04,singleton_factor,singleton_factor,ANALYTIC_PROXY_NOT_WALL_TIME,1152,0,1152,0,0,192,0,2496,9.550002869218588e-05
fresh-04,fixed_paired_local,paired_local,ANALYTIC_PROXY_NOT_WALL_TIME,1152,576,576,3,1152,384,0,3840,8.487497689202428e-05
fresh-04,fixed_paired_cross,paired_cross,ANALYTIC_PROXY_NOT_WALL_TIME,1152,576,576,3,1152,384,0,3840,6.637495243921876e-05
fresh-04,fixed_triad_bridge,triad_bridge,ANALYTIC_PROXY_NOT_WALL_TIME,1152,768,384,2,1152,576,0,4032,6.458297139033675e-05
fresh-04,train_selected_fixed,paired_cross,ANALYTIC_PROXY_NOT_WALL_TIME,1152,576,576,3,1152,384,0,3840,8.316599996760488e-05
fresh-04,geometry_conditioned_selector,paired_local,ANALYTIC_PROXY_NOT_WALL_TIME,1152,576,576,3,1152,384,0,3840,6.433296948671341e-05
fresh-04,all_in_one_exact_oracle,all_in_one_exact,ANALYTIC_PROXY_NOT_WALL_TIME,1152,960,192,1,1152,1152,1,4608,5.337502807378769e-05
fresh-05,singleton_factor,singleton_factor,ANALYTIC_PROXY_NOT_WALL_TIME,1152,0,1152,0,0,192,0,2496,8.441600948572159e-05
fresh-05,fixed_paired_local,paired_local,ANALYTIC_PROXY_NOT_WALL_TIME,1152,576,576,3,1152,384,0,3840,6.729201413691044e-05
fresh-05,fixed_paired_cross,paired_cross,ANALYTIC_PROXY_NOT_WALL_TIME,1152,576,576,3,1152,384,0,3840,0.000234208011534065
fresh-05,fixed_triad_bridge,triad_bridge,ANALYTIC_PROXY_NOT_WALL_TIME,1152,768,384,2,1152,576,0,4032,6.683403626084328e-05
fresh-05,train_selected_fixed,paired_cross,ANALYTIC_PROXY_NOT_WALL_TIME,1152,576,576,3,1152,384,0,3840,6.341701373457909e-05
fresh-05,geometry_conditioned_selector,paired_local,ANALYTIC_PROXY_NOT_WALL_TIME,1152,576,576,3,1152,384,0,3840,6.48329732939601e-05
fresh-05,all_in_one_exact_oracle,all_in_one_exact,ANALYTIC_PROXY_NOT_WALL_TIME,1152,960,192,1,1152,1152,1,4608,5.224999040365219e-05
fresh-06,singleton_factor,singleton_factor,ANALYTIC_PROXY_NOT_WALL_TIME,1152,0,1152,0,0,192,0,2496,8.112494833767414e-05
fresh-06,fixed_paired_local,paired_local,ANALYTIC_PROXY_NOT_WALL_TIME,1152,576,576,3,1152,384,0,3840,6.312498589977622e-05
fresh-06,fixed_paired_cross,paired_cross,ANALYTIC_PROXY_NOT_WALL_TIME,1152,576,576,3,1152,384,0,3840,6.262498209252954e-05
fresh-06,fixed_triad_bridge,triad_bridge,ANALYTIC_PROXY_NOT_WALL_TIME,1152,768,384,2,1152,576,0,4032,7.062498480081558e-05
fresh-06,train_selected_fixed,paired_cross,ANALYTIC_PROXY_NOT_WALL_TIME,1152,576,576,3,1152,384,0,3840,6.487499922513962e-05
fresh-06,geometry_conditioned_selector,triad_bridge,ANALYTIC_PROXY_NOT_WALL_TIME,1152,768,384,2,1152,576,0,4032,7.683300646021962e-05
fresh-06,all_in_one_exact_oracle,all_in_one_exact,ANALYTIC_PROXY_NOT_WALL_TIME,1152,960,192,1,1152,1152,1,4608,5.6124990805983543e-05
fresh-07,singleton_factor,singleton_factor,ANALYTIC_PROXY_NOT_WALL_TIME,1152,0,1152,0,0,192,0,2496,9.529199451208115e-05
fresh-07,fixed_paired_local,paired_local,ANALYTIC_PROXY_NOT_WALL_TIME,1152,576,576,3,1152,384,0,3840,6.287498399615288e-05
fresh-07,fixed_paired_cross,paired_cross,ANALYTIC_PROXY_NOT_WALL_TIME,1152,576,576,3,1152,384,0,3840,0.0002697909949347377
fresh-07,fixed_triad_bridge,triad_bridge,ANALYTIC_PROXY_NOT_WALL_TIME,1152,768,384,2,1152,576,0,4032,7.712503429502249e-05
fresh-07,train_selected_fixed,paired_cross,ANALYTIC_PROXY_NOT_WALL_TIME,1152,576,576,3,1152,384,0,3840,8.095800876617432e-05
fresh-07,geometry_conditioned_selector,triad_bridge,ANALYTIC_PROXY_NOT_WALL_TIME,1152,768,384,2,1152,576,0,4032,8.162495214492083e-05
fresh-07,all_in_one_exact_oracle,all_in_one_exact,ANALYTIC_PROXY_NOT_WALL_TIME,1152,960,192,1,1152,1152,1,4608,5.7792000006884336e-05
