model_seed,total_budget,method,parameters,epochs_ran,best_epoch,best_val_rel_l2,train_seconds,device
20260721,4,unet,88361,24,24,0.38578689098358154,6.318799749948084,mps
20260721,4,fno,43555,24,24,0.3844111959139506,3.9955068749841303,mps
20260721,4,ridge_unet,88361,24,24,0.282350758711497,5.910415041958913,mps
20260721,4,ridge_fno,43555,24,23,0.2634628663460414,3.776784999994561,mps
20260721,6,unet,88361,24,24,0.3252531389395396,5.957027834025212,mps
20260721,6,fno,43555,24,24,0.3193548321723938,3.8448032920714468,mps
20260721,6,ridge_unet,88361,24,21,0.2353083441654841,5.852117667091079,mps
20260721,6,ridge_fno,43555,24,19,0.2146440396706263,3.6763184999581426,mps
20260721,8,unet,88361,24,24,0.29034098982810974,5.991770916967653,mps
20260721,8,fno,43555,24,24,0.28073850274086,3.789790999959223,mps
20260721,8,ridge_unet,88361,24,19,0.22740399837493896,5.860998834017664,mps
20260721,8,ridge_fno,43555,24,19,0.2143290936946869,3.743555915891193,mps
20260722,4,unet,88361,24,24,0.3812945981820424,6.002423999947496,mps
20260722,4,fno,43555,24,24,0.4153508146603902,3.7693857910344377,mps
20260722,4,ridge_unet,88361,24,21,0.29033055901527405,5.906696291989647,mps
20260722,4,ridge_fno,43555,24,24,0.27734893560409546,3.7927859999472275,mps
20260722,6,unet,88361,24,24,0.3876083493232727,5.987567874952219,mps
20260722,6,fno,43555,24,24,0.34248505036036175,3.892829208052717,mps
20260722,6,ridge_unet,88361,24,21,0.21672338247299194,5.866941750049591,mps
20260722,6,ridge_fno,43555,24,20,0.21355386078357697,3.7999618330504745,mps
20260722,8,unet,88361,24,24,0.33235512177149457,5.945132625056431,mps
20260722,8,fno,43555,24,22,0.28315016627311707,3.7491115829907358,mps
20260722,8,ridge_unet,88361,24,19,0.22838094830513,5.818561334046535,mps
20260722,8,ridge_fno,43555,24,18,0.2120186040798823,3.7431108750170097,mps
20260723,4,unet,88361,24,24,0.3628944158554077,5.975087041966617,mps
20260723,4,fno,43555,24,24,0.3968358635902405,3.7848707500379533,mps
20260723,4,ridge_unet,88361,24,24,0.28589049975077313,5.919727708096616,mps
20260723,4,ridge_fno,43555,24,24,0.2718566705783208,3.7601916670100763,mps
20260723,6,unet,88361,24,24,0.32193026940027875,5.971823500003666,mps
20260723,6,fno,43555,24,22,0.3158060510953267,3.9289992079138756,mps
20260723,6,ridge_unet,88361,24,20,0.22790730992952982,5.883495917078108,mps
20260723,6,ridge_fno,43555,24,21,0.209051713347435,3.714265707996674,mps
20260723,8,unet,88361,24,24,0.29044634103775024,5.926891042036004,mps
20260723,8,fno,43555,24,24,0.3581932783126831,3.761370249907486,mps
20260723,8,ridge_unet,88361,24,20,0.20918087661266327,5.832094999961555,mps
20260723,8,ridge_fno,43555,24,20,0.2134500096241633,3.6741504160454497,mps
