experiment,split,seed_count,parameters_mean,train_seconds_mean,field_rel_l2_mean,field_rel_l2_seed_std,field_rel_l2_seed_ci95_t,gradient_rel_l2_mean,gradient_rel_l2_seed_std,gradient_rel_l2_seed_ci95_t,observed_reprojection_rel_l2_mean,observed_reprojection_rel_l2_seed_std,observed_reprojection_rel_l2_seed_ci95_t,heldout_reprojection_rel_l2_mean,heldout_reprojection_rel_l2_seed_std,heldout_reprojection_rel_l2_seed_ci95_t,mass_relative_error_mean,mass_relative_error_seed_std,mass_relative_error_seed_ci95_t,centroid_error_mean,centroid_error_seed_std,centroid_error_seed_ci95_t,router_weight_mean,router_weight_seed_std,router_weight_seed_ci95_t
residual_head,test_iid,3,43485.0,13.080399986278886,0.26292107651631036,0.010363956742963285,0.02574549578814422,0.43274535139401754,0.016034236268374726,0.03983125099338455,0.2463265053927898,0.012660293867911784,0.03144991343912111,0.30497355063756304,0.0091917411536991,0.02283355083655142,0.12905100130592473,0.03784762371063395,0.09401870935972176,0.03799828007231857,0.0061771440193958485,0.015344876409494241,1.0,0.0,0.0
residual_head,test_view_ood,3,43485.0,13.080399986278886,0.34511787351220846,0.002335800496978572,0.0058024501016696334,0.5499848493685325,0.005635412745027299,0.01399914132120076,0.28205875245233375,0.009673227802087259,0.024029629977516717,0.41893121507018805,0.008257273909669311,0.020512205515261624,0.08672361375647597,0.024167976199240576,0.060036581093217925,0.038502843053677495,0.006116086229774596,0.015193200451699968,1.0,0.0,0.0
residual_head,test_noise_ood,3,43485.0,13.080399986278886,0.2986040037746231,0.007890762530533176,0.019601740776563927,0.48539857131739456,0.010534280403279308,0.026168603215938602,0.28272184698532027,0.010002556977174542,0.024847729000930664,0.3422049665823579,0.005875530739173626,0.014595627485729496,0.08657943344830225,0.01889809773293772,0.046945477258734006,0.03161328617289109,0.0014940090008774558,0.00371132410077412,1.0,0.0,0.0
residual_head,test_joint_ood,3,43485.0,13.080399986278886,0.3807803640762965,0.0012460357244145023,0.003095324333206207,0.5658780634403229,0.003633691696507693,0.009026590576168794,0.28776191764821607,0.008959589583539257,0.022256854366275305,0.43255349062383175,0.0065644435403848555,0.01630698175532587,0.09803214381099679,0.02134086826391749,0.053013655655893235,0.05246318711692042,0.004948056802871392,0.012291654503895593,1.0,0.0,0.0
residual_head,test_family_ood,3,43485.0,13.080399986278886,0.6954641769329707,0.0066820668795108335,0.016599174327830712,0.8898956060409545,0.0015930581163792498,0.003957375743907641,0.5833546449740729,0.020717704343048454,0.05146563065946026,0.7084091434876125,0.010150675993758154,0.025215677035853385,0.14022096467524534,0.05773269575590592,0.14341596672825413,0.04337525345346177,0.004100438619892724,0.010186054210392991,1.0,0.0,0.0
absolute_head,test_iid,3,43485.0,13.080399986278886,0.2612177501122157,0.007163316879078853,0.017794665600537458,0.43434673349062597,0.013414596965513354,0.033323706209963264,0.24845073173443477,0.006511839060585602,0.016176304983249536,0.3040288304289182,0.008453607494869985,0.020999925178341768,0.09176127729006112,0.017420860544601836,0.043275816649988814,0.03177153285700588,0.002608301392691597,0.0064793798531961036,0.0,0.0,0.0
absolute_head,test_view_ood,3,43485.0,13.080399986278886,0.3395457062870264,0.0023107585391125046,0.005740242429758472,0.5436899165312449,0.005808122660998083,0.014428176536657017,0.2850313757856687,0.013949233671748985,0.034651817414009176,0.41773035128911334,0.008243629454655793,0.020478310810006263,0.07119564812940855,0.005314486117699139,0.013201915383550034,0.03661220623713283,0.004028437447195754,0.0100071933820062,0.0,0.0,0.0
absolute_head,test_noise_ood,3,43485.0,13.080399986278886,0.297071850237747,0.003893374238570364,0.009671677771989868,0.48450719596197206,0.004588093682882729,0.011397456542692449,0.2814491189395388,0.006353282780240277,0.015782429347808855,0.34318247297778726,0.001508222452516731,0.003746632272005383,0.1105944223284799,0.012422967295173662,0.030860361549781886,0.03733648563072949,0.007102191664582893,0.017642822150069216,0.0,0.0,0.0
absolute_head,test_joint_ood,3,43485.0,13.080399986278886,0.3837933527926604,0.015711136092346218,0.039028625661438957,0.56084002678593,0.0035469208085423024,0.008811039741091906,0.298920014873147,0.018069371664833456,0.04488680758024564,0.43767658590028685,0.011434501505159508,0.028404876404032643,0.12395689352251793,0.04323130493400933,0.1073925149147507,0.061868374114023704,0.009754590880774565,0.024231747069627965,0.0,0.0,0.0
absolute_head,test_family_ood,3,43485.0,13.080399986278886,0.689249274134636,0.0024683620185434268,0.0061317511765158934,0.8864726483821869,0.0014572333221775332,0.0036199682504404287,0.5750753099719683,0.004674309575634687,0.01161162869322981,0.6939216663440068,0.006508094995772207,0.016167004210651346,0.09174217458833785,0.014569769040610213,0.03619331272527226,0.042238864321308335,0.003712651170700393,0.009222736783710859,0.0,0.0,0.0
