split,method,case_count,geometry_cluster_count,mean_field_relative_l2,median_field_relative_l2,worst_field_relative_l2,mean_h1_seminorm_relative_error,mean_measured_reprojection_relative_l2,worst_camera_relative_l2,worst_camera_p95_error_over_signal_rms,maximum_ray_envelope_violation
development,cgls_k1,9,3,0.8418067905896126,0.8446530983167649,0.8684683602216448,1.0430947276600377,0.46794356609768023,0.7316577760456201,1.8629221401737612,0.9290764503088708
development,cgls_k12,9,3,0.7475779500920914,0.7343053953664991,0.7954030238793206,1.1048924498090082,0.010512447940501627,0.05901385286236838,0.1377829830607847,0.015121911866838056
development,cgls_k2,9,3,0.7959243403339435,0.7996840327751062,0.8239005738432263,1.0825078985002634,0.2738417675426452,0.47211632406201204,1.0041630388778584,0.4286425299531954
development,cgls_k3,9,3,0.7771135074360898,0.7796696680190994,0.805572337154773,1.09659415579159,0.18040330694632759,0.3341541735102856,0.7347698279123686,0.29669505784151157
development,cgls_k4,9,3,0.7660084528457762,0.7712466959500626,0.7971939273510852,1.1007041098454016,0.11828855300050765,0.26794852914502737,0.5964318504072681,-2.427016140144067e-11
development,cgls_k6,9,3,0.7551573668557757,0.7469735979582943,0.7957070744173899,1.1051187588551534,0.06228006707497345,0.17845884814364277,0.4250034644676558,0.09454910750163843
development,cgls_k8,9,3,0.7496648098574783,0.7350292359093066,0.7947894858594315,1.1062522878072574,0.03749524830663707,0.196787047632511,0.4700151496672055,0.04544125809892849
development,development_selected_fixed_k4,9,3,0.7660084528457762,0.7712466959500626,0.7971939273510852,1.1007041098454016,0.11828855300050765,0.26794852914502737,0.5964318504072681,-2.427016140144067e-11
development,gct_kmix_tail_safe_truth_oracle,9,3,0.7474603917829165,0.7364117552652838,0.7948301833401569,1.0961627043286402,0.038142716451640496,0.11849495246320313,0.2935989796683918,1.4982354983386625e-11
development,gct_kmix_unconstrained_truth_oracle,9,3,0.746198063703014,0.7334837716958222,0.7937559012612732,1.0916197944793131,0.02932629864339546,0.06713760334800557,0.18440340644225156,0.04442462828427951
development,gct_kselect_tail_safe_truth_oracle,9,3,0.7642510663598672,0.7599702300674741,0.7971939273510852,1.1019121178528581,0.09876648609090073,0.26794852914502737,0.5964318504072681,-2.427016140144067e-11
development,truth_best_discrete_unconstrained,9,3,0.746547887946766,0.7343053953664991,0.7940157204003132,1.1026598576013702,0.014030927464560559,0.06397564053218896,0.17321235655999803,0.025230678587504708
ood,cgls_k1,9,3,0.8400558843722679,0.8443233932591664,0.8689467034887203,1.0533002762781547,0.4298601105123439,0.6826623688724631,1.6665050678197608,0.7621120518683963
ood,cgls_k12,9,3,0.7587581490048055,0.7521825671731998,0.7981278222085996,1.1666644390104368,0.00966968394722579,0.04913652572172627,0.12703551643828295,0.01331684397543012
ood,cgls_k2,9,3,0.7950467591521769,0.7997315719045835,0.8116636537264712,1.1271251579890291,0.23855950239439558,0.489006526007185,1.3296348679738634,0.3958252354779889
ood,cgls_k3,9,3,0.7792426292087493,0.7838977474346012,0.7928652877872215,1.1520462218906857,0.16878164879163526,0.36882824186644575,0.9765209345889544,0.20023209418401544
ood,cgls_k4,9,3,0.7683789276567158,0.7707768643967698,0.780890065894138,1.162914952692309,0.12039553226078459,0.19689405411868313,0.5355240619828461,-3.1499327451944836e-11
ood,cgls_k6,9,3,0.7575338222036514,0.7543568944580343,0.7794628211092562,1.1632950862720373,0.06686963751192537,0.2749993537569462,0.5772548113042348,0.07625438941891202
ood,cgls_k8,9,3,0.7563747128320675,0.7529221184630883,0.7859761768133054,1.163317430779595,0.03474529003696301,0.18023893340543828,0.38441533452050075,0.04618509533411598
ood,development_selected_fixed_k4,9,3,0.7683789276567158,0.7707768643967698,0.780890065894138,1.162914952692309,0.12039553226078459,0.19689405411868313,0.5355240619828461,-3.1499327451944836e-11
ood,gct_kmix_tail_safe_truth_oracle,9,3,0.7586463615666611,0.762615998904458,0.7791469512638212,1.1498739005335596,0.06764604840046978,0.153298208863587,0.37437218066074535,5.831690078755836e-11
ood,gct_kmix_unconstrained_truth_oracle,9,3,0.7515390017394415,0.7517313323751534,0.7782056550788115,1.1370477066558684,0.04583156439613174,0.09615284252730935,0.2741484422702291,0.04252029860223579
ood,gct_kselect_tail_safe_truth_oracle,9,3,0.7667470527510695,0.7707768643967698,0.780890065894138,1.1612231505827806,0.09278327226004682,0.19689405411868313,0.5355240619828461,-3.1499327451944836e-11
ood,truth_best_discrete_unconstrained,9,3,0.7523864330711412,0.7521825671731998,0.7794628211092562,1.1571304145769883,0.03120019109654323,0.07812124174035995,0.24057099953998232,0.056324952930886685
