active_interface_count,base_seed,camera_bias_rmse,case_id,clean_reprojection_relative_l2,evaluation_forward_calls,false_positive_count,family,field_mean_bias,field_nrmse_dynamic_range,field_relative_l2,field_rmse,gate_probability_max,gradient_closure_rms,h1_seminorm_relative_error,initialization_adjoint_calls,interface_detection_f1,jump_rms,measured_reprojection_relative_l2,method,missed_truth_count,optimization_forward_calls,optimization_vjp_or_adjoint_calls,split,surface_assd,surface_f1_at_1dx,surface_f1_at_2dx,surface_hd95,wall_seconds
,101,,a9159da5d4680ef97180,0.022190597097987163,1,1,smooth_no_interface,0.010033410508961636,0.05209587315896777,0.4745839573184916,0.032680298978788005,,,0.9858455420933914,0,0.0,,0.0016821820682128106,cgls,0,24,24,development,3.4641016151377544,0.0,0.0,3.4641016151377544,0.02037437498802319
,101,,a9159da5d4680ef97180,0.09214052999982054,1,1,smooth_no_interface,0.010940740178619533,0.04670660207957728,0.4254886750853929,0.029299551532348502,,,0.7998094986666108,0,0.0,,0.09087460802841996,huber_pdhg,0,24,24,development,3.4641016151377544,0.0,0.0,3.4641016151377544,0.024720125016756356
0,101,,a9159da5d4680ef97180,1.032022185451636,1,0,smooth_no_interface,-0.07976420412640065,0.3147341509676757,2.8671710408562943,0.19743610249266128,0.2497937658770973,,5.69275752072439,1,1.0,,1.0314293908468113,phase_only,0,24,24,development,0.0,1.0,1.0,0.0,0.6661922089988366
1,101,,a9159da5d4680ef97180,1.8872635908949582,3,1,smooth_no_interface,-0.05891132105414729,0.2785316015077198,2.537372380311784,0.17472585562655113,0.5300544226929645,0.0,4.319317317546494,1,0.0,0.05249225184330896,1.8864352066573875,jacru_no_bias,0,24,24,development,3.4641016151377544,0.0,0.0,3.4641016151377544,0.08963141700951383
1,101,0.042506184483754504,a9159da5d4680ef97180,2.561614661628016,3,1,smooth_no_interface,-0.03466777932415269,0.2822502041824769,2.5712481763406974,0.17705857489633967,0.519836330985689,0.0,3.943098622308276,1,0.0,0.034922064939137444,2.5602088832928476,jacru_bias,0,24,24,development,3.4641016151377544,0.0,0.0,3.4641016151377544,0.08533162501407787
,101,,c21cdab553cf29a88312,0.021046202657949434,1,0,single_interface,0.002461892695733823,0.06585641164961661,0.563724439536388,0.06598248547431725,,,1.0609056913639625,0,1.0,,0.005885724508715548,cgls,0,24,24,development,0.21928004773722376,0.5246474242639438,0.6741424802110818,0.8131156281817418,0.013707458041608334
,101,,c21cdab553cf29a88312,0.13426467270684472,1,0,single_interface,0.0031589911747450924,0.06390080132588766,0.5469846065257308,0.06402313138036211,,,0.9276454461980317,0,1.0,,0.13636515529329177,huber_pdhg,0,24,24,development,0.21632838358635198,0.5211867277436435,0.7011494252873562,0.7713892158398701,0.022606541984714568
0,101,,c21cdab553cf29a88312,0.47382310575969755,1,0,single_interface,-0.007200363248785994,0.1684285648218085,1.4417320337957544,0.16875100014471828,0.2530521230246083,,2.808771999096256,1,0.0,,0.4723536819627755,phase_only,1,24,24,development,3.4641016151377544,0.0,0.0,3.4641016151377544,0.049897291988600045
1,101,,c21cdab553cf29a88312,1.2040012067333157,3,0,single_interface,0.006950503171186904,0.17725289150070803,1.5172674066887535,0.17759221988819496,0.5299413836355285,0.0,2.5547162560887267,1,1.0,0.057378237663710994,1.2032825285521114,jacru_no_bias,0,24,24,development,0.07635448751642238,0.9310309594359865,1.0,0.25712973861329,0.07955791603308171
1,101,0.038326397442826066,c21cdab553cf29a88312,1.6395610333200865,3,0,single_interface,0.007756881301573731,0.2006579095778599,1.717612071200371,0.2010420439314215,0.5196758417191183,0.0,2.677204791827545,1,1.0,0.041255812147837155,1.6393385365627504,jacru_bias,0,24,24,development,0.057317212352764164,0.9479166666666666,1.0,0.25712973861329,0.08021595800528303
,211,,0c33a4d301afe4c89d89,0.024500001976501044,1,1,smooth_no_interface,0.012548144104762628,0.058496222071321886,0.4714834821910292,0.03574788969209379,,,1.0474240243590445,0,0.0,,0.004120837032001903,cgls,0,24,24,development,3.4641016151377544,0.0,0.0,3.4641016151377544,0.014312666025944054
,211,,0c33a4d301afe4c89d89,0.10149871102486033,1,1,smooth_no_interface,0.01392781169434921,0.05301550382473506,0.4273085246927822,0.03239854328347359,,,0.8333880182735323,0,0.0,,0.10157657657720201,huber_pdhg,0,24,24,development,3.4641016151377544,0.0,0.0,3.4641016151377544,0.021077374985907227
0,211,,0c33a4d301afe4c89d89,0.8403722429756536,1,0,smooth_no_interface,-0.0486702744692595,0.2629651128802011,2.119516487139056,0.16070179432526197,0.24656919012785822,,4.599064807660462,1,1.0,,0.8411391685685856,phase_only,0,24,24,development,0.0,1.0,1.0,0.0,0.056059957947582006
1,211,,0c33a4d301afe4c89d89,1.4588421499280582,3,1,smooth_no_interface,-0.041267863359912456,0.2420374120725835,1.9508378118051677,0.1479125728424164,0.5299965014289405,0.0,3.5713185251444117,1,0.0,0.05282766472418647,1.4602406064841535,jacru_no_bias,0,24,24,development,3.4641016151377544,0.0,0.0,3.4641016151377544,0.09072216600179672
1,211,0.02889691591353544,0c33a4d301afe4c89d89,2.071444098204415,3,1,smooth_no_interface,-0.023642475251791802,0.25585331176580856,2.062194892079882,0.15635566952015165,0.5198766625265642,0.0,3.3709792871558286,1,0.0,0.03616935154994164,2.0730285256841676,jacru_bias,0,24,24,development,3.4641016151377544,0.0,0.0,3.4641016151377544,0.08667041698936373
