method,split,matched_step,total_calls,case_count,field_relative_l2_mean,h1_seminorm_relative_error_mean,measured_reprojection_relative_l2_mean
base_landweber_matched,development,0,13,12,0.6627515259921747,1.1806799526098526,0.012236632143669905
base_landweber_matched,development,1,14,12,0.6628171321165863,1.1806886352774695,0.011746355236647391
base_landweber_matched,development,3,16,12,0.6629402736505348,1.180762345878651,0.01102924117462731
base_landweber_matched,development,5,18,12,0.663059586534675,1.180866640841646,0.010468988712671904
base_landweber_matched,development,11,24,12,0.6634187777802826,1.1812592638633428,0.00920348391925591
base_landweber_matched,ood,0,13,18,0.659027936007961,1.207591270213812,0.010079522782940045
base_landweber_matched,ood,1,14,18,0.6590464363145572,1.2076440709288856,0.009637563533477932
base_landweber_matched,ood,3,16,18,0.6590843456274631,1.2077519133767192,0.009024870277164707
base_landweber_matched,ood,5,18,18,0.6591255692162042,1.207862841251625,0.008560294875660393
base_landweber_matched,ood,11,24,18,0.6592671008746964,1.208212741433879,0.0075337614559702415
cgls_matched,development,0,13,12,0.6646777411624524,1.1837151361846143,0.010819918375414302
cgls_matched,development,1,14,12,0.666796627113468,1.1868198771947325,0.008132540496924088
cgls_matched,development,3,16,12,0.6687107066069816,1.1901260414249257,0.0049455440032781595
cgls_matched,development,5,18,12,0.6694855776281661,1.1912986975489266,0.00303461745618786
cgls_matched,development,11,24,12,0.6699071999543419,1.1920559352443854,0.0008125083337872691
cgls_matched,ood,0,13,18,0.6599258226795112,1.2092685197567994,0.008940726936348144
cgls_matched,ood,1,14,18,0.6606321351790512,1.2108151598363912,0.007232245684911671
cgls_matched,ood,3,16,18,0.6614140312505764,1.2128123640192556,0.005011844839295599
cgls_matched,ood,5,18,18,0.6618032935035859,1.2141583497628674,0.003521236118197532
cgls_matched,ood,11,24,18,0.6623455645456245,1.2157246389203784,0.0009036744797941762
huber_pdhg_matched,development,0,13,12,0.6669513376140602,0.9507214586381361,0.2879092808322204
huber_pdhg_matched,development,1,14,12,0.6591353000465089,0.9642236651717438,0.26193443039356307
huber_pdhg_matched,development,3,16,12,0.6468003118478595,0.9860287456265565,0.2205379288157047
huber_pdhg_matched,development,5,18,12,0.6372001628137282,1.0009427969580613,0.1897569260385711
huber_pdhg_matched,development,11,24,12,0.6158056112405005,1.016369210784447,0.13357666981588354
huber_pdhg_matched,ood,0,13,18,0.6688782693050235,0.9550038968743301,0.28056327192719466
huber_pdhg_matched,ood,1,14,18,0.661186803713028,0.968100676637678,0.25517993204675415
huber_pdhg_matched,ood,3,16,18,0.6489087293963607,0.9894499697735599,0.21492996743874856
huber_pdhg_matched,ood,5,18,18,0.6392085505902709,1.0044337678397721,0.18527161553732943
huber_pdhg_matched,ood,11,24,18,0.6171161647815198,1.0212988222429213,0.13254677295818598
