method,model_seed,case_id,field_absolute_delta,reprojection_absolute_delta
jacru_m2,17,6c144f9849f9520d81e5,0.0,0.0
jacru_m2,17,cee85dad2f56f6debc94,0.0,0.0
jacru_m2,17,b06a75091983ab395677,0.0,0.0
jacru_m2,17,423593699e2b6baeef3f,0.0,0.0
jacru_m2,17,5639798ee009ab4df707,0.0,0.0
jacru_m2,17,9f862d87f3c25fedf3e1,0.0,0.0
jacru_m2,17,17ba335821b1e0d5a1aa,0.0,0.0
jacru_m2,17,6be92a896230a00c27bc,0.0,0.0
jacru_m2,17,2f2ee4ffd95bd30b9d41,0.0,0.0
jacru_m2,17,317ac465ce89a727ceb8,0.0,0.0
jacru_m2,17,80f83d2b9da59c138e54,0.0,0.0
jacru_m2,17,817ed62303fd3253a425,0.0,0.0
jacru_m2,17,c12970cf110f1be99b82,0.0,0.0
jacru_m2,17,c574fbda17385d89b138,0.0,0.0
jacru_m2,17,49ed9e07a52fd9932a2e,0.0,0.0
jacru_m2,17,b65d04062647ff4a96cf,0.0,0.0
jacru_m2,17,92c050cb6b32ffd7819e,0.0,0.0
jacru_m2,17,d2bd02757c7386060fa0,0.0,0.0
jacru_m2,17,efe6f0ab78d4c4993662,0.0,0.0
jacru_m2,17,59d5c6804bd39f12f83e,0.0,0.0
jacru_m2,17,73a367367e8a2588b8c2,0.0,0.0
jacru_m2,17,9a6e1a09d5cfb3f6b9d9,0.0,0.0
jacru_m2,17,35d22c1380baf6593b39,0.0,0.0
jacru_m2,17,f0363cd7bec7fc07695b,0.0,0.0
jacru_m2,17,e8ad7f781d1e2915a075,0.0,0.0
jacru_m2,17,3362d0532ed7c2a38730,0.0,0.0
jacru_m2,17,b68a57ff53cf5cbd1d8c,0.0,0.0
jacru_m2,17,0b247ca300bd186b2aa8,0.0,0.0
jacru_m2,17,2aa10b47cf2ae3da6dfc,0.0,0.0
jacru_m2,17,00c3a80c137b7dc58c98,0.0,0.0
jacru_m2,29,6c144f9849f9520d81e5,0.0,0.0
jacru_m2,29,cee85dad2f56f6debc94,0.0,0.0
jacru_m2,29,b06a75091983ab395677,0.0,0.0
jacru_m2,29,423593699e2b6baeef3f,0.0,0.0
jacru_m2,29,5639798ee009ab4df707,0.0,0.0
jacru_m2,29,9f862d87f3c25fedf3e1,0.0,0.0
jacru_m2,29,17ba335821b1e0d5a1aa,0.0,0.0
jacru_m2,29,6be92a896230a00c27bc,0.0,0.0
jacru_m2,29,2f2ee4ffd95bd30b9d41,0.0,0.0
jacru_m2,29,317ac465ce89a727ceb8,0.0,0.0
jacru_m2,29,80f83d2b9da59c138e54,0.0,0.0
