method,model_seed,split,projection_variant,projection_iterations,case_count,paired_call_budget,damping_fraction,field_relative_l2_mean,h1_seminorm_relative_error_mean,field_gain_to_best_matched_classical_mean,h1_gain_to_best_matched_classical_mean,reprojection_ratio_to_matched_cgls_mean,visible_correction_fraction_mean,visible_correction_fraction_maximum,system_residual_fraction_mean,exact_projection_approximation_error_mean,exact_oracle_error_reduction_retention_mean,oracle_reduction_defined_rate,field_harm_rate,worst_field_gain_to_best_matched_classical,breakdown_rate
jacru_m2,17,development,cg_damped_1e-4,0,12,14,0.0001,0.35240252109802367,0.582230064754912,0.463590732337081,0.39834287691439263,36.628849024463015,1.0,1.0,1.0,0.38541630916271186,1.03116508906499,1.0,0.0,0.005083872538864228,0.0
jacru_m2,17,development,cg_damped_1e-4,1,12,15,0.0001,0.3388298929302056,0.5985816091620286,0.4822639423072688,0.38853508554134636,19.25402201644965,0.42793167622441736,0.5226623550843547,0.427931626035119,0.23191654846381102,1.091339307384512,1.0,0.0,0.10095823828428216,0.0
jacru_m2,17,development,cg_damped_1e-4,2,12,16,0.0001,0.33593853990190287,0.6069154451326609,0.485778870800905,0.38610165085956155,15.59901331650928,0.28962062324259347,0.5216394250300954,0.28962049324289646,0.18290306651632238,1.1028183882000964,1.0,0.0,0.11849185421683675,0.0
jacru_m2,17,development,cg_damped_1e-4,4,12,18,0.0001,0.34411512678432193,0.6241280673127085,0.46838762120690647,0.3783102183780879,15.270126313270575,0.18568723448859945,0.39781224649543395,0.18568672288013657,0.11658557135031912,1.0650024638389752,1.0,0.0,0.05973556777177057,0.0
jacru_m2,17,development,cg_damped_1e-4,8,12,22,0.0001,0.35642442630621746,0.646869652117038,0.4386351162865903,0.3649976690624151,19.694850048132512,0.0742554037933091,0.1350936691789931,0.07425281516663453,0.04909153501371125,1.0123405621967256,1.0,0.0,-0.0052592175421655495,0.0
jacru_m2,17,development,cg_damped_1e-4,12,12,26,0.0001,0.3588576690290571,0.6511099844404531,0.4243835609915092,0.36190529162950374,32.60095700034983,0.03401559664736692,0.07452967619236726,0.03400889000090596,0.021330261634002156,1.0021516320557107,1.0,0.08333333333333333,-0.023692551693349457,0.0
jacru_m2,17,development,cg_damped_1e-6,0,12,14,1e-06,0.35240252109802367,0.582230064754912,0.463590732337081,0.39834287691439263,36.628849024463015,1.0,1.0,1.0,0.38541630916271186,1.03116508906499,1.0,0.0,0.005083872538864228,0.0
jacru_m2,17,development,cg_damped_1e-6,1,12,15,1e-06,0.3388346829179025,0.5985973353365798,0.4822559990306065,0.38851885203722974,19.257641705671126,0.42801995416390143,0.5228103320154136,0.42801995415888144,0.23191653991093164,1.0913265940120296,1.0,0.0,0.10097125449393235,0.0
jacru_m2,17,development,cg_damped_1e-6,2,12,16,1e-06,0.3359477919255434,0.6069459850288491,0.4857639496996748,0.38607034186604045,15.606251603440546,0.28977393112058075,0.5220180458144156,0.2897739311075786,0.18290303626287796,1.1027916479184123,1.0,0.0,0.11850992230887546,0.0
jacru_m2,17,development,cg_damped_1e-6,4,12,18,1e-06,0.34416390851476364,0.6242421150272833,0.4683141026384165,0.378195980051299,15.292955006589013,0.18605575206423708,0.3988520334968271,0.1860557520130609,0.11658522357839622,1.0648098775351003,1.0,0.0,0.05955423900012557,0.0
