method,model_seed,split,projection_variant,projection_iterations,case_count,paired_call_budget,damping_fraction,field_relative_l2_mean,h1_seminorm_relative_error_mean,field_gain_to_best_matched_classical_mean,h1_gain_to_best_matched_classical_mean,reprojection_ratio_to_matched_cgls_mean,visible_correction_fraction_mean,visible_correction_fraction_maximum,system_residual_fraction_mean,exact_projection_approximation_error_mean,exact_oracle_error_reduction_retention_mean,oracle_reduction_defined_rate,field_harm_rate,worst_field_gain_to_best_matched_classical,breakdown_rate
jacru_m2,17,development,affine_cg_damped_1e-4,0,12,14,0.0001,0.35240252109802367,0.582230064754912,0.463590732337081,0.39834287691439263,36.628849024463015,1.0,1.0,1.0,1.0,1.0920120925204737,1.0,0.0,0.005083872538864228,0.0
jacru_m2,17,development,affine_cg_damped_1e-4,1,12,15,0.0001,0.3391343247450142,0.5990482316627174,0.48180852350608133,0.3880484077335183,19.297247093165698,0.4369907442948883,0.542515528492661,0.43699069437441973,0.6276445286390167,1.161520160676119,1.0,0.0,0.10071236163700494,0.0
jacru_m2,17,development,affine_cg_damped_1e-4,2,12,16,0.0001,0.3368630020544263,0.6086190539674772,0.4844053225747431,0.38433963281958944,16.02473947335776,0.31149475727868353,0.5974804589924889,0.31149462759547925,0.5108072389133297,1.1719145512727214,1.0,0.0,0.11795119288314564,0.0
jacru_m2,17,development,affine_cg_damped_1e-4,4,12,18,0.0001,0.34906197876745915,0.6329698614421203,0.4611486303515561,0.3694868759837892,16.51364857216112,0.22163858209905887,0.5126595025129581,0.2216380345691635,0.34768786578185296,1.1046928738573891,1.0,0.0,0.030016086218802838,0.0
jacru_m2,17,development,affine_cg_damped_1e-4,8,12,22,0.0001,0.3663364018450373,0.6645197921070866,0.42368811236025355,0.34768628722358513,19.929246314897483,0.09841440856344223,0.18331430909727373,0.09841136895848822,0.15370713479757,1.0206279430964178,1.0,0.08333333333333333,-0.054927920896178546,0.0
jacru_m2,17,development,affine_cg_damped_1e-4,12,12,26,0.0001,0.3704654940426422,0.6715170713128362,0.40651352892671033,0.34196489130334023,19.411400119767816,0.04359418679433996,0.09513578669467913,0.04358578187801113,0.0633263705929469,1.0019280676912614,1.0,0.08333333333333333,-0.07748719980401769,0.0
jacru_m2,17,development,affine_cg_damped_1e-4,20,12,34,0.0001,0.370735810883761,0.6723803005896696,0.38756264532604146,0.3340485197999891,27.07345491426446,0.006536241506790567,0.01500436510588496,0.006476501583574379,0.010338567727199254,1.0017094226240209,1.0,0.08333333333333333,-0.08722004773865513,0.0
jacru_m2,17,development,affine_cg_damped_1e-4,32,12,46,0.0001,0.3707325009622446,0.6723811835788602,0.3642551597571526,0.3175847360288138,106.84450084372052,0.0009186123624883538,0.0020220761501918935,0.0002961354874336706,0.0030231096823169893,1.0016796920941589,1.0,0.08333333333333333,-0.10222823983138823,0.0
jacru_m2,17,development,affine_cg_damped_1e-6,0,12,14,1e-06,0.35240252109802367,0.582230064754912,0.463590732337081,0.39834287691439263,36.628849024463015,1.0,1.0,1.0,1.0,1.0920120925204737,1.0,0.0,0.005083872538864228,0.0
jacru_m2,17,development,affine_cg_damped_1e-6,1,12,15,1e-06,0.3391393195078862,0.5990643554432791,0.4818002757583639,0.3880317611297435,19.30099699906509,0.43708204785693877,0.5426713851915945,0.4370820478519457,0.6276445090191404,1.1615073160632823,1.0,0.0,0.10072523465810307,0.0
jacru_m2,17,development,affine_cg_damped_1e-6,2,12,16,1e-06,0.3368737753650346,0.6086527294770813,0.4843881535229732,0.38430509237849936,16.032918756120072,0.3116689766993128,0.5979568871049475,0.31166897668634214,0.5108071686248116,1.171881796654216,1.0,0.0,0.11796814624351468,0.0
jacru_m2,17,development,affine_cg_damped_1e-6,4,12,18,1e-06,0.34913576116267026,0.6331328964752567,0.46103872538426943,0.3693240404612568,16.54549857586059,0.2221403456320602,0.5143293247559326,0.22214034557727358,0.34768687392862646,1.104338072858863,1.0,0.0,0.029655999436847453,0.0
jacru_m2,17,development,affine_cg_damped_1e-6,8,12,22,1e-06,0.3665881434175318,0.665031335268443,0.42330947407880415,0.34718572203689213,20.047058780618695,0.09904089448254598,0.18462247745120847,0.0990408941781889,0.1536918460464608,1.0194030602164792,1.0,0.08333333333333333,-0.05619781887076135,0.0
jacru_m2,17,development,affine_cg_damped_1e-6,12,12,26,1e-06,0.37079608664707164,0.6721774996379608,0.40600657682091007,0.34132093653246104,19.60367973035777,0.04404913508767455,0.09619436135004077,0.044049134247609166,0.06326529553495541,1.0003442281639623,1.0,0.08333333333333333,-0.07909501312441368,0.0
jacru_m2,17,development,affine_cg_damped_1e-6,20,12,34,1e-06,0.371084714615233,0.673080871981589,0.38701180117644834,0.33335848348028946,27.30162018613308,0.006595799238762267,0.015187624030119235,0.006595793275925399,0.009891775216668479,1.0000566655191228,1.0,0.08333333333333333,-0.08885198588276726,0.0
jacru_m2,17,development,affine_cg_damped_1e-6,32,12,46,1e-06,0.37108181632659604,0.6730832752587999,0.3636853751458866,0.3168773845778667,34.298241449050586,0.0003056057447483993,0.0008793875290271558,0.0003054753620085989,0.00048320138169951314,1.000024151366488,1.0,0.08333333333333333,-0.10388848782684502,0.0
jacru_m2,17,development,affine_cg_undamped,0,12,14,0.0,0.35240252109802367,0.582230064754912,0.463590732337081,0.39834287691439263,36.628849024463015,1.0,1.0,1.0,1.0,1.0920120925204737,1.0,0.0,0.005083872538864228,0.0
jacru_m2,17,development,affine_cg_undamped,1,12,15,0.0,0.33913936998650746,0.5990645183692712,0.48180019240613947,0.38803159292098494,19.301034906177794,0.4370829708163939,0.5426729607354046,0.4370829708163939,0.6276445090171774,1.1615071862297544,1.0,0.0,0.10072536468262921,0.0
jacru_m2,17,development,affine_cg_undamped,2,12,16,0.0,0.3368738842881878,0.6086530698572951,0.48438797994261784,0.3843047432561628,16.033001485824517,0.31167073866394673,0.5979617043380986,0.31167073866394673,0.5108071686177768,1.1718814654220462,1.0,0.0,0.11796831743282138,0.0
jacru_m2,17,development,affine_cg_undamped,4,12,18,0.0,0.3491365085984161,0.6331345476400616,0.46103761207158905,0.3693223913343322,16.545821328830666,0.22214542975253307,0.5143462472867,0.22214542975253307,0.34768687382907143,1.1043344778438986,1.0,0.0,0.02965234875906215,0.0
jacru_m2,17,development,affine_cg_undamped,8,12,22,0.0,0.36659070131883786,0.6650365322833921,0.4233056269661674,0.34718063662849225,20.048259813812546,0.09904728415705351,0.18463583138703313,0.09904728415705354,0.15369184450360504,1.0193906120479919,1.0,0.08333333333333333,-0.05621073131423502,0.0
jacru_m2,17,development,affine_cg_undamped,12,12,26,0.0,0.370799450663209,0.6721842195809938,0.4060014183439557,0.3413143843027822,19.605675047025542,0.04405384918356348,0.09620529837670061,0.04405384918356351,0.0632652893513362,1.0003281097753383,1.0,0.08333333333333333,-0.07911138132205885,0.0
jacru_m2,17,development,affine_cg_undamped,20,12,34,0.0,0.3710882676485559,0.6730880058769526,0.38700619180306955,0.3333514569514045,27.30644266169483,0.0065970120009673375,0.015190634212674766,0.006597012000967323,0.009891728796891217,1.0000398337693357,1.0,0.08333333333333333,-0.08886860943709382,0.0
jacru_m2,17,development,affine_cg_undamped,32,12,46,0.0,0.3710853737275211,0.6730904251091769,0.3636795726292352,0.3168701812649729,34.293122541211574,0.0003055714065825942,0.0008794900962947909,0.00030557140658260957,0.0004822389880522084,1.0000072904107196,1.0,0.08333333333333333,-0.10390540076285523,0.0
jacru_m2,17,ood,affine_cg_damped_1e-4,0,18,14,0.0001,0.4448493420192548,0.6889651511223669,0.31912924316997426,0.28820960825409014,46.07362071243202,1.0,1.0,1.0,1.0,0.8337478584600094,1.0,0.0,0.11733940786752928,0.0
jacru_m2,17,ood,affine_cg_damped_1e-4,1,18,15,0.0001,0.3993353885912199,0.6725594178031575,0.38562047561020507,0.3132425695604441,23.30271509894064,0.4283321545066051,0.5400937010819207,0.4283321057180695,0.6145191191920555,1.0420868413614914,1.0,0.0,0.2510982388282698,0.0
jacru_m2,17,ood,affine_cg_damped_1e-4,2,18,16,0.0001,0.3841506414636774,0.6693417243920211,0.40636766756897535,0.32313450548099865,20.49768808882666,0.3204167680278631,0.5083020510160703,0.32041664406244075,0.4852277376012577,1.1078957668071416,1.0,0.0,0.2666465692003106,0.0
jacru_m2,17,ood,affine_cg_damped_1e-4,4,18,18,0.0001,0.393034510185834,0.6886735687652281,0.3859839238091599,0.3140602561702618,16.01585922893225,0.1898867109948468,0.45171324465734614,0.1898862133116438,0.31599314608606366,1.0630524855839885,1.0,0.0,0.17953536241323406,0.0
jacru_m2,17,ood,affine_cg_damped_1e-4,8,18,22,0.0001,0.4046226406735467,0.7130840448881699,0.3539341524903705,0.2995976872531198,16.277345236642425,0.08067317592156292,0.13423088770075034,0.08067074844499812,0.13414715786009235,1.0098622604366776,1.0,0.0,0.1269721702710965,0.0
jacru_m2,17,ood,affine_cg_damped_1e-4,12,18,26,0.0001,0.406393763413786,0.7170689874937423,0.33850963679478635,0.2968532908597058,16.256218045868362,0.03505978341442655,0.09277065517337076,0.03505296835621595,0.06058020129156996,1.0018369233738555,1.0,0.0,0.10746027162484464,0.0
jacru_m2,17,ood,affine_cg_damped_1e-4,20,18,34,0.0001,0.40669590982837406,0.7182970885804473,0.31444377266350604,0.2865861102896043,23.9078699491822,0.00659218419100282,0.014865876521063467,0.006553491479450436,0.010644713453236511,1.0009986678917684,1.0,0.0,0.09435119721358465,0.0
jacru_m2,17,ood,affine_cg_damped_1e-4,32,18,46,0.0001,0.4067193642718118,0.7183609679995185,0.2838883676448731,0.26480531068268337,55.50548153210174,0.000775901027908784,0.0015984739417767956,0.00032531785757457975,0.0024237654429251927,1.0008875258395795,1.0,0.0,0.07562681990451486,0.0
jacru_m2,17,ood,affine_cg_damped_1e-6,0,18,14,1e-06,0.4448493420192548,0.6889651511223669,0.31912924316997426,0.28820960825409014,46.07362071243202,1.0,1.0,1.0,1.0,0.8337478584600094,1.0,0.0,0.11733940786752928,0.0
jacru_m2,17,ood,affine_cg_damped_1e-6,1,18,15,1e-06,0.3993347497320971,0.6725717866735447,0.3856210742742971,0.3132296523668848,23.307387173677384,0.42842078095494085,0.5402306694414372,0.428420780950061,0.6145190989527701,1.0420938427024522,1.0,0.0,0.25111423800918925,0.0
jacru_m2,17,ood,affine_cg_damped_1e-6,2,18,16,1e-06,0.3841477363004114,0.6693666014983988,0.40637166022638654,0.32310873307215016,20.508462265623663,0.32058986840018877,0.5086413412082375,0.32058986838779,0.4852276570106112,1.1079140246919759,1.0,0.0,0.26667016214994477,0.0
jacru_m2,17,ood,affine_cg_damped_1e-6,4,18,18,1e-06,0.393066421229632,0.6887832688239324,0.38593550465717275,0.31395070480717524,16.041578239855674,0.19022217277403758,0.4528831167006718,0.19022217272425712,0.31599240147908203,1.0629073458881746,1.0,0.0,0.17930959867274873,0.0
jacru_m2,17,ood,affine_cg_damped_1e-6,8,18,22,1e-06,0.404760222833638,0.7134295061284734,0.3537186927477484,0.2992573680390314,16.360628199213732,0.08110624579394554,0.13506547104609015,0.08110624555117767,0.1341371495983885,1.009231087986629,1.0,0.0,0.1263067006170903,0.0
jacru_m2,17,ood,affine_cg_damped_1e-6,12,18,26,1e-06,0.4065703068814919,0.717505443896363,0.33822787585898206,0.2964254857141516,16.398658343997596,0.03538483370261873,0.09377954870567916,0.03538483302238072,0.06054362730004717,1.001031108921038,1.0,0.0,0.10660428243060073,0.0
jacru_m2,17,ood,affine_cg_damped_1e-6,20,18,34,1e-06,0.4068880250176716,0.7187768966007445,0.31412535275705405,0.2861098583681096,24.16990786476049,0.006670670585159193,0.015077812512280684,0.006670666736203426,0.010377092339688223,1.000130752607128,1.0,0.0,0.09348537122842863,0.0
jacru_m2,17,ood,affine_cg_damped_1e-6,32,18,46,1e-06,0.4069124053509785,0.7188431835834318,0.28355443067481695,0.2643121723976849,22.755460947819287,0.0003349261824762892,0.0008027302480853407,0.00033484838891507707,0.0005750942397052472,1.0000154191360624,1.0,0.0,0.07474154313854416,0.0
