method,model_seed,split,projection_variant,projection_iterations,case_count,paired_call_budget,damping_fraction,field_relative_l2_mean,h1_seminorm_relative_error_mean,field_gain_to_best_matched_classical_mean,h1_gain_to_best_matched_classical_mean,reprojection_ratio_to_matched_cgls_mean,visible_correction_fraction_mean,visible_correction_fraction_maximum,system_residual_fraction_mean,exact_projection_approximation_error_mean,exact_oracle_error_reduction_retention_mean,oracle_reduction_defined_rate,field_harm_rate,worst_field_gain_to_best_matched_classical,breakdown_rate
jacru_m2,17,development,affine_cg_identity_control,0,12,14,0.0,0.35240252109802367,0.582230064754912,0.463590732337081,0.39834287691439263,36.628849024463015,1.0,1.0,1.0,1.0,1.0920120925204737,1.0,0.0,0.005083872538864228,0.0
jacru_m2,17,development,affine_cg_identity_control,1,12,15,0.0,0.33913936998650746,0.5990645183692712,0.48180019240613947,0.38803159292098494,19.301034906177794,0.4370829708163939,0.5426729607354046,0.4370829708163939,0.6276445090171774,1.1615071862297544,1.0,0.0,0.10072536468262921,0.0
jacru_m2,17,development,affine_cg_identity_control,2,12,16,0.0,0.3368738842881878,0.6086530698572951,0.48438797994261784,0.3843047432561628,16.033001485824517,0.31167073866394673,0.5979617043380986,0.31167073866394673,0.5108071686177768,1.1718814654220462,1.0,0.0,0.11796831743282138,0.0
jacru_m2,17,development,affine_cg_identity_control,4,12,18,0.0,0.3491365085984161,0.6331345476400616,0.46103761207158905,0.3693223913343322,16.545821328830666,0.22214542975253307,0.5143462472867,0.22214542975253307,0.34768687382907143,1.1043344778438986,1.0,0.0,0.02965234875906215,0.0
jacru_m2,17,development,affine_cg_identity_control,8,12,22,0.0,0.36659070131883786,0.6650365322833921,0.4233056269661674,0.34718063662849225,20.048259813812546,0.09904728415705351,0.18463583138703313,0.09904728415705354,0.15369184450360504,1.0193906120479919,1.0,0.08333333333333333,-0.05621073131423502,0.0
jacru_m2,17,development,affine_cg_identity_control,12,12,26,0.0,0.370799450663209,0.6721842195809938,0.4060014183439557,0.3413143843027822,19.605675047025542,0.04405384918356348,0.09620529837670061,0.04405384918356351,0.0632652893513362,1.0003281097753383,1.0,0.08333333333333333,-0.07911138132205885,0.0
jacru_m2,17,development,affine_cg_identity_control,20,12,34,0.0,0.3710882676485559,0.6730880058769526,0.38700619180306955,0.3333514569514045,27.30644266169483,0.0065970120009673375,0.015190634212674766,0.006597012000967323,0.009891728796891217,1.0000398337693357,1.0,0.08333333333333333,-0.08886860943709382,0.0
jacru_m2,17,development,affine_cg_identity_control,32,12,46,0.0,0.3710853737275211,0.6730904251091769,0.3636795726292352,0.3168701812649729,34.293122541211574,0.0003055714065825942,0.0008794900962947909,0.00030557140658260957,0.0004822389880522084,1.0000072904107196,1.0,0.08333333333333333,-0.10390540076285523,0.0
jacru_m2,17,development,affine_pcg_dense_exact_jacobi_oracle,0,12,14,0.0,0.35240252109802367,0.582230064754912,0.463590732337081,0.39834287691439263,36.628849024463015,1.0,1.0,1.0,1.0,1.0920120925204737,1.0,0.0,0.005083872538864228,0.0
jacru_m2,17,development,affine_pcg_dense_exact_jacobi_oracle,1,12,15,0.0,0.3381746450943793,0.5942532289197008,0.48304104675183474,0.3929509950239041,18.981972353657973,0.4229525661638849,0.5255779998460277,0.4229525661638849,0.6117996039780541,1.1668458685642646,1.0,0.0,0.10712890829682437,0.0
jacru_m2,17,development,affine_pcg_dense_exact_jacobi_oracle,2,12,16,0.0,0.33624615288679244,0.6096205781788542,0.485321569306118,0.38330022788921697,15.391391950957628,0.29825250564625577,0.5677334319283037,0.29825250564625577,0.49418051824437864,1.1740223892221386,1.0,0.0,0.1176603752360737,0.0
jacru_m2,17,development,affine_pcg_dense_exact_jacobi_oracle,4,12,18,0.0,0.352104788425377,0.63856422419908,0.45670645574379565,0.3639713692320971,15.42678892895736,0.20285592041307773,0.41824394869959114,0.20285592041307773,0.33513866313785984,1.089223839430044,1.0,0.0,0.011555742182957312,0.0
jacru_m2,17,development,affine_pcg_dense_exact_jacobi_oracle,8,12,22,0.0,0.366215277419276,0.6649854101384571,0.42378194906845534,0.3472220875607814,17.43465946208903,0.08903635374224285,0.1740766929588592,0.08903635374224285,0.15001095992297533,1.0215523404251905,1.0,0.08333333333333333,-0.053631238198409543,0.0
jacru_m2,17,development,affine_pcg_dense_exact_jacobi_oracle,12,12,26,0.0,0.37080927955690957,0.6728275914707886,0.4059355209281777,0.34066859523136633,15.400571676807045,0.03524368916886843,0.07953650139844268,0.03524368916886844,0.05373567737284407,1.0005446183269187,1.0,0.08333333333333333,-0.07858431259794825,0.0
jacru_m2,17,development,affine_pcg_dense_exact_jacobi_oracle,20,12,34,0.0,0.3710794782488099,0.6730753118238378,0.3870261059258618,0.33336919878458154,16.193037628566515,0.004143930816861932,0.00910054725046663,0.004143930816861934,0.006990367659582615,1.0000037824856949,1.0,0.08333333333333333,-0.08918787259562413,0.0
jacru_m2,17,development,affine_pcg_dense_exact_jacobi_oracle,32,12,46,0.0,0.37108627312828896,0.673082994596371,0.3636776959811913,0.31687761158381195,18.755265399981145,0.00017465518061750846,0.00043654062573840084,0.00017465518061752125,0.00023219385408859654,1.0000051684842166,1.0,0.08333333333333333,-0.10390545189346635,0.0
jacru_m2,17,ood,affine_cg_identity_control,0,18,14,0.0,0.4448493420192548,0.6889651511223669,0.31912924316997426,0.28820960825409014,46.07362071243202,1.0,1.0,1.0,1.0,0.8337478584600094,1.0,0.0,0.11733940786752928,0.0
jacru_m2,17,ood,affine_cg_identity_control,1,18,15,0.0,0.3993347432964234,0.6725719116691354,0.38562108029385045,0.31322952183027697,23.30743440301143,0.4284216768505779,0.540232053922652,0.4284216768505779,0.6145190989507452,1.0420939133566203,1.0,0.0,0.25111439963515736,0.0
jacru_m2,17,ood,affine_cg_identity_control,2,18,16,0.0,0.3841477070115091,0.6693668529884039,0.4063717004686993,0.32310847253205577,20.508571226161187,0.32059161891641663,0.5086447717822697,0.32059161891641663,0.4852276570025455,1.1079142088871532,1.0,0.0,0.2666704004587017,0.0
jacru_m2,17,ood,affine_cg_identity_control,4,18,18,0.0,0.3930667444888978,0.6887843790805372,0.38593501417404374,0.3139495960757409,16.04183884092423,0.19022557113997052,0.4528949666482443,0.19022557113997052,0.3159924014044375,1.0629058755456273,1.0,0.0,0.17930731168585365,0.0
jacru_m2,17,ood,affine_cg_identity_control,8,18,22,0.0,0.4047616198432024,0.713433012021442,0.3537165049651478,0.29925391439725035,16.361477478951638,0.08111066198837298,0.13507400501118577,0.08111066198837298,0.13413714859069195,1.0092246787654788,1.0,0.0,0.12629994398565303,0.0
jacru_m2,17,ood,affine_cg_identity_control,12,18,26,0.0,0.4065721020883138,0.7175098798484689,0.33822501070586775,0.29642113784574725,16.400143279220927,0.03538820699606,0.09378992786049807,0.03538820699605999,0.06054362360676898,1.001022914891841,1.0,0.0,0.10659558024135385,0.0
jacru_m2,17,ood,affine_cg_identity_control,20,18,34,0.0,0.40688998082750344,0.7187817788555849,0.31412211106278876,0.286105012568625,24.174126273834474,0.006671863573215675,0.015080759441081996,0.006671863573215674,0.010377064844248551,1.0001219172406879,1.0,0.0,0.09347655948803359,0.0
jacru_m2,17,ood,affine_cg_identity_control,32,18,46,0.0,0.4069143707765292,0.7188480908099891,0.28355103067347387,0.2643071543159468,22.756113582398452,0.00033494627921597947,0.0008029039886523051,0.0003349462792159803,0.0005745791222618364,1.0000065402610252,1.0,0.0,0.07473253303062043,0.0
jacru_m2,17,ood,affine_pcg_dense_exact_jacobi_oracle,0,18,14,0.0,0.4448493420192548,0.6889651511223669,0.31912924316997426,0.28820960825409014,46.07362071243202,1.0,1.0,1.0,1.0,0.8337478584600094,1.0,0.0,0.11733940786752928,0.0
jacru_m2,17,ood,affine_pcg_dense_exact_jacobi_oracle,1,18,15,0.0,0.39338564393233877,0.6676408198912971,0.394722997012313,0.3182003686484737,21.783133560770544,0.39900454985609696,0.5100133351524172,0.399004549856097,0.5978893206150988,1.0680114100231264,1.0,0.0,0.25934051786660467,0.0
jacru_m2,17,ood,affine_pcg_dense_exact_jacobi_oracle,2,18,16,0.0,0.3845455918585157,0.6701693972058896,0.40585602747239874,0.32230625834483734,18.69726269595606,0.2962785489472137,0.4871477971245321,0.2962785489472137,0.4596867638419352,1.1052202788430117,1.0,0.0,0.2572526302458289,0.0
jacru_m2,17,ood,affine_pcg_dense_exact_jacobi_oracle,4,18,18,0.0,0.39541602068521503,0.6928162784970638,0.3823388587733688,0.30997673336156134,15.80642132064885,0.18381658399332146,0.3823562915674322,0.18381658399332146,0.2996151426454112,1.0526908188959678,1.0,0.0,0.17150299685000078,0.0
jacru_m2,17,ood,affine_pcg_dense_exact_jacobi_oracle,8,18,22,0.0,0.40473930235095507,0.7132124495075752,0.3537034312500366,0.29945405914941226,15.345825161692874,0.07644139140722579,0.14051474844591694,0.07644139140722582,0.12708620417004338,1.0095977127273283,1.0,0.0,0.12888658293811348,0.0
jacru_m2,17,ood,affine_pcg_dense_exact_jacobi_oracle,12,18,26,0.0,0.4063618826279572,0.7173102249287601,0.33851424880945,0.2965862434384599,15.023253081786724,0.032784802890549726,0.08438659632769102,0.03278480289054973,0.055239063315108125,1.0022161255008568,1.0,0.0,0.1100332205027683,0.0
jacru_m2,17,ood,affine_pcg_dense_exact_jacobi_oracle,20,18,34,0.0,0.4069792378064456,0.7188463917939085,0.3139717537712566,0.2860419212882693,18.988293783566892,0.005060720827563113,0.009399493765451957,0.005060720827563137,0.008263170473108046,0.9997032996217864,1.0,0.0,0.09299919357668268,0.0
jacru_m2,17,ood,affine_pcg_dense_exact_jacobi_oracle,32,18,46,0.0,0.406914991877159,0.7188457709858037,0.28354983889522567,0.26430959931381964,14.501499973518158,0.00020640078953022134,0.0004185156509904313,0.0002064007895302322,0.000371822333727953,1.0000035390284192,1.0,0.0,0.07472493230014456,0.0
jacru_m2,29,development,affine_cg_identity_control,0,12,14,0.0,0.38973451840310397,0.6211035057667305,0.40602974392562946,0.35756485058989723,36.443129942560894,1.0,1.0,1.0,1.0,1.002696783480878,1.0,0.08333333333333333,-0.09518925959104128,0.0
jacru_m2,29,development,affine_cg_identity_control,1,12,15,0.0,0.36442499554761243,0.6264191263960123,0.4419815817782762,0.3596471567878026,20.482659361306034,0.46064823817477807,0.5479545353317729,0.4606482381747781,0.6173174740250962,1.1411470300027065,1.0,0.0,0.06767314637293874,0.0
jacru_m2,29,development,affine_cg_identity_control,2,12,16,0.0,0.35748751870628964,0.6372194481515666,0.4515028713960261,0.3549850479988011,16.773547848173425,0.31159553992941613,0.5275314321173525,0.31159553992941613,0.48221124285192857,1.1724949796111312,1.0,0.0,0.09404259755082114,0.0
jacru_m2,29,development,affine_cg_identity_control,4,12,18,0.0,0.3657149318425544,0.6539170325242136,0.43384183503016543,0.34823822404024146,14.60824891191312,0.18648698614682432,0.3816257730836157,0.18648698614682432,0.3245009059126837,1.1202860610693124,1.0,0.0,0.028310927792984844,0.0
jacru_m2,29,development,affine_cg_identity_control,8,12,22,0.0,0.38379726975605016,0.6870159462871542,0.39437191972719093,0.3251382620512498,20.808760456477696,0.09688736065809982,0.18112380568748435,0.09688736065809982,0.1498080171537426,1.022469474908289,1.0,0.08333333333333333,-0.07696711748665107,0.0
