method,model_seed,split,projection_variant,projection_iterations,case_count,paired_call_budget,damping_fraction,field_relative_l2_mean,h1_seminorm_relative_error_mean,field_gain_to_best_matched_classical_mean,h1_gain_to_best_matched_classical_mean,reprojection_ratio_to_matched_cgls_mean,visible_correction_fraction_mean,visible_correction_fraction_maximum,system_residual_fraction_mean,projection_closure_relative_error_mean,projection_closure_relative_error_maximum,exact_projection_approximation_error_mean,exact_oracle_error_reduction_retention_mean,oracle_reduction_defined_rate,field_harm_rate,worst_field_gain_to_best_matched_classical,breakdown_rate
jacru_m2,17,development,affine_pcg_dense_exact_camera_block_oracle,0,12,14,0.0,0.35267114503414976,0.5839474193229143,0.46308627591104035,0.39655539498506126,36.63824731216542,1.0,1.0,1.0,0.0,0.0,1.0,1.0930673209732311,1.0,0.0,0.0063278765347315235,0.0
jacru_m2,17,development,affine_pcg_dense_exact_camera_block_oracle,1,12,15,0.0,0.3561298998047722,0.6342957216308076,0.4571643873619819,0.3519437711511227,15.355976433760508,0.3440212767253205,0.4622553476771714,0.3440212767253205,6.105859324353874e-16,8.669675109267054e-16,0.4055522008212038,1.0786804554148197,1.0,0.0,0.01388256122960985,0.0
jacru_m2,17,development,affine_pcg_dense_exact_camera_block_oracle,2,12,16,0.0,0.3587799412912421,0.6521720374339023,0.45282635031893187,0.3403410623035475,6.964269337156433,0.15548692541840434,0.36699638289204056,0.15548692541840434,6.277708357499967e-16,9.83894606300194e-16,0.22985297727438722,1.0584313037032251,1.0,0.08333333333333333,-0.021934557524404253,0.0
jacru_m2,17,development,affine_pcg_dense_exact_camera_block_oracle,3,12,17,0.0,0.36724398568511085,0.667723954033845,0.4372229081207219,0.33034795537541395,6.096678479658731,0.09749625453369816,0.18223737229572823,0.09749625453369819,5.836636164806547e-16,8.652166000538966e-16,0.14505702539639106,1.0200892755285773,1.0,0.08333333333333333,-0.05710511432259302,0.0
jacru_m2,17,development,affine_pcg_dense_exact_camera_block_oracle,4,12,18,0.0,0.3725868171734168,0.6746375989160974,0.4260580373740757,0.3280750735664261,5.4113920550309595,0.06470956030053428,0.11663337303764058,0.06470956030053426,6.133876122761294e-16,8.118499561701568e-16,0.0747688529375969,0.9962575973965216,1.0,0.08333333333333333,-0.07488283948821643,0.0
jacru_m2,17,development,affine_pcg_dense_exact_camera_block_oracle,5,12,19,0.0,0.37229067242506936,0.6753773627409805,0.42353600452837187,0.3309425221197258,3.23587627216251,0.03325852248534631,0.06338801060780692,0.03325852248534631,6.422731894753229e-16,9.83444843187095e-16,0.04014576746734238,0.9975863532002832,1.0,0.08333333333333333,-0.07213291002841567,0.0
jacru_m2,17,development,affine_pcg_dense_exact_camera_block_oracle,6,12,20,0.0,0.3718223606621425,0.6748899438049091,0.4210578129436182,0.33414390878865513,2.2372778210288744,0.01896293131406513,0.04040429647033858,0.018962931314065134,6.215333646250457e-16,7.858997746625865e-16,0.024674306284747715,1.0000615487184492,1.0,0.08333333333333333,-0.06806405813553032,0.0
jacru_m2,17,development,affine_pcg_dense_exact_camera_block_oracle,7,12,21,0.0,0.3716984942489813,0.6750132188093124,0.4181674574642342,0.33598946941414076,1.8493722335325415,0.011774302010506929,0.024480952274194948,0.011774302010506894,6.082546291667889e-16,8.825628872741406e-16,0.014863018254732333,1.000855295210848,1.0,0.08333333333333333,-0.06659431984839544,0.0
jacru_m2,17,development,affine_pcg_dense_exact_camera_block_oracle,8,12,22,0.0,0.3718214598213527,0.6751672878833985,0.41502579173167903,0.3371931791998422,1.253687611481839,0.006387471200546681,0.013471619623569873,0.006387471200546675,6.42273219338972e-16,9.077167344761367e-16,0.007911936342536981,1.000284882189032,1.0,0.08333333333333333,-0.06759653664206036,0.0
jacru_m2,17,development,affine_pcg_dense_exact_camera_block_oracle,9,12,23,0.0,0.37187310119848854,0.6752153451797177,0.4120967388961055,0.33798733128368236,0.8581068690277882,0.0034298226712746343,0.006405896891792976,0.003429822671274631,6.429643351764491e-16,1.0823798662576424e-15,0.004450831479085275,0.9999955259523751,1.0,0.08333333333333333,-0.0689737784833366,0.0
