method,split,matched_step,total_calls,case_count,field_relative_l2_mean,h1_seminorm_relative_error_mean,measured_reprojection_relative_l2_mean
base_landweber_matched,development,1,14,12,0.6628171321165863,1.1806886352774695,0.011746355236647391
base_landweber_matched,development,2,15,12,0.6628795943068126,1.1807197858777387,0.011359893436679966
base_landweber_matched,development,3,16,12,0.6629402736505348,1.180762345878651,0.01102924117462731
base_landweber_matched,development,4,17,12,0.6630000928051426,1.180811988687435,0.010735557099999475
base_landweber_matched,development,5,18,12,0.663059586534675,1.180866640841646,0.010468988712671904
base_landweber_matched,development,6,19,12,0.6631190452959456,1.1809251879652802,0.01022350843483745
base_landweber_matched,development,7,20,12,0.6631786166526933,1.1809869693270292,0.009995062967019748
base_landweber_matched,development,8,21,12,0.6632383667611296,1.1810515510974307,0.00978075721461732
base_landweber_matched,development,9,22,12,0.6632983160034628,1.181118618899929,0.009578435953331781
base_landweber_matched,development,10,23,12,0.6633584593227743,1.1811879253724713,0.00938644499604667
base_landweber_matched,development,11,24,12,0.6634187777802826,1.1812592638633428,0.00920348391925591
base_landweber_matched,ood,1,14,18,0.6590464363145572,1.2076440709288856,0.009637563533477932
base_landweber_matched,ood,2,15,18,0.659065071642523,1.2076976371261865,0.009304017764127618
base_landweber_matched,ood,3,16,18,0.6590843456274631,1.2077519133767192,0.009024870277164707
base_landweber_matched,ood,4,17,18,0.6591044964555374,1.2078069761244214,0.008780273296741607
base_landweber_matched,ood,5,18,18,0.6591255692162042,1.207862841251625,0.008560294875660393
base_landweber_matched,ood,6,19,18,0.659147512908008,1.2079194905590793,0.008359084674235942
base_landweber_matched,ood,7,20,18,0.659170238414603,1.2079768842212675,0.00817283511120336
base_landweber_matched,ood,8,21,18,0.6591936480280466,1.2080349682303941,0.007998895664954249
base_landweber_matched,ood,9,22,18,0.6592176487594257,1.2080936810572396,0.007835329243201608
base_landweber_matched,ood,10,23,18,0.6592421572790993,1.2081529592497067,0.007680666824551556
base_landweber_matched,ood,11,24,18,0.6592671008746964,1.208212741433879,0.0075337614559702415
cgls_matched,development,1,14,12,0.666796627113468,1.1868198771947325,0.008132540496924088
cgls_matched,development,2,15,12,0.6680156852910399,1.1890000884067535,0.006240904606479844
cgls_matched,development,3,16,12,0.6687107066069816,1.1901260414249257,0.0049455440032781595
cgls_matched,development,4,17,12,0.6692138295295357,1.190838716201321,0.003833717476072609
cgls_matched,development,5,18,12,0.6694855776281661,1.1912986975489266,0.00303461745618786
cgls_matched,development,6,19,12,0.669608449717107,1.1915368966899984,0.002575626289717013
cgls_matched,development,7,20,12,0.6697267708133876,1.191739405514812,0.0020768004949353372
cgls_matched,development,8,21,12,0.6698204266441942,1.1918731564986256,0.001613566085591816
cgls_matched,development,9,22,12,0.6698692283624604,1.191960172501213,0.0012597496517039776
cgls_matched,development,10,23,12,0.6698924951645094,1.192011603496858,0.0010029096232206842
cgls_matched,development,11,24,12,0.6699071999543419,1.1920559352443854,0.0008125083337872691
cgls_matched,ood,1,14,18,0.6606321351790512,1.2108151598363912,0.007232245684911671
cgls_matched,ood,2,15,18,0.6610940128359722,1.2119185288407825,0.005966520438382993
cgls_matched,ood,3,16,18,0.6614140312505764,1.2128123640192556,0.005011844839295599
cgls_matched,ood,4,17,18,0.6616236281803789,1.2135423217608172,0.004252979327759068
cgls_matched,ood,5,18,18,0.6618032935035859,1.2141583497628674,0.003521236118197532
cgls_matched,ood,6,19,18,0.6619483800233299,1.2145903518981516,0.0029462819220781302
cgls_matched,ood,7,20,18,0.6621051345164947,1.2149989103632077,0.0023520425952562826
