method,split,warm_checkpoint,case_model_count,paired_call_budget,field_gain_mean,h1_gain_mean,measured_reprojection_ratio_mean,clean_reprojection_ratio_mean,measured_reprojection_ratio_to_componentwise_cgls_mean,clean_reprojection_ratio_to_componentwise_cgls_mean,field_harm_rate,worst_field_gain,breakdown_rate,null_component_relative_drift_maximum,recurrence_residual_closure_relative_error_maximum,model_seed_count,per_model_seed_field_gain_means,gate_checks,passed_all_gates
jacru_m2,development,0,18,13,0.4123129375777109,0.45649816335859916,33.1445035889229,12.004382668621787,33.1445035889229,12.004382668621787,0.05555555555555555,-0.09770989149391518,0.0,0.0,0.0,3,"[0.4353144622464282,0.3775258429625931,0.42409850752411155]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":false,""worst_field"":false,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
jacru_m2,development,1,18,15,0.4508936129523458,0.4643469776094278,20.303772555004016,5.203495877597536,16.134014065638656,5.02155506039588,0.0,0.04624329787274606,0.0,2.5933695347176476e-15,1.7700557208601165e-15,3,"[0.4686399720052726,0.4244114065297468,0.4596294603220182]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":true,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
jacru_m2,development,2,18,16,0.4573404421455655,0.4088765403472536,14.596539395189913,3.227581150502574,11.561557567028379,3.1548657002395575,0.0,0.07853474457152776,0.0,2.22360256489271e-15,3.4299191853287196e-15,3,"[0.47317064948386706,0.43326304705290847,0.4655876298999208]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":true,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
jacru_m2,development,3,18,17,0.4548365108165183,0.39444558943056596,12.624051264003949,2.33086873818678,9.623190529091342,2.3155004868534417,0.0,0.08323600671739129,0.0,2.1912823887234684e-15,6.333771927990305e-15,3,"[0.46941093337610457,0.4317151053505532,0.4633834937228971]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":true,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
jacru_m2,development,4,18,18,0.4472532883732273,0.39012295018443394,11.518772247022005,1.8927018292978883,9.031059726945413,1.8747436656714287,0.0,0.07382061380768545,0.0,2.0375860561063794e-15,1.0521526788994947e-14,3,"[0.46183465681441055,0.4246465762175106,0.4552786320877607]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":true,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
jacru_m2,development,5,18,19,0.43751172242127956,0.3741094124703188,10.643196113024166,1.6362321583933652,8.786779393785013,1.6196245279886525,0.0,0.05416875203096949,0.0,2.151314127740021e-15,1.6296578941700107e-14,3,"[0.45177759875547613,0.4158773311446251,0.4448802373637375]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":true,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
jacru_m2,development,6,18,20,0.42591286748519547,0.36676862731693316,11.207100031330471,1.4787459683403577,8.798846755385885,1.467298378856785,0.0,0.02974475591146497,0.0,2.0334656237888578e-15,2.1615219680612787e-14,3,"[0.4393612026661016,0.4053324123988693,0.4330449873906155]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":true,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
jacru_m2,development,7,18,21,0.41287480503970453,0.3569047669176773,12.334149382596143,1.3468869097710854,9.047152361430951,1.3399552969997464,0.0,-0.0014147146178402625,0.0,2.7308421625295657e-15,2.906905303701849e-14,3,"[0.4266458830888828,0.3929775979090155,0.4190009341212155]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":true,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
jacru_m2,development,8,18,22,0.40182076479721696,0.34754605726865573,12.896409307535436,1.2268983700342921,10.064905649789553,1.2224879645542055,0.16666666666666666,-0.03585616554524873,0.0,2.722281563084633e-15,3.6653031468237084e-14,3,"[0.41585088372600837,0.381373662063306,0.4082377486023365]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":false,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
jacru_m2,development,9,18,23,0.3947040640993382,0.3424971136479602,13.122375055030012,1.1470097309645062,10.609524323392565,1.1462166309203303,0.16666666666666666,-0.04905816979992883,0.0,2.751859310964852e-15,3.727123324247895e-14,3,"[0.40893022744974505,0.3743867007147139,0.4007952641335557]","{""field_gain"":true,""h1_gain"":true,""measured_reprojection"":false,""clean_reprojection"":false,""harm_rate"":false,""worst_field"":true,""all_seed_means_positive"":true,""breakdown"":true,""recurrence_closure"":true,""null_drift"":true,""all_three_model_seeds_present"":true}",False
