method,model_seed,split,case_count,field_relative_l2_mean,field_relative_l2_maximum,h1_seminorm_relative_error_mean,measured_reprojection_relative_l2_mean,gate_mean,correction_rms_mean,neural_inference_seconds_mean
cgls_13,-1,development,12,0.6646777411624524,0.9105736021588854,1.1837151361846143,0.010819918375414302,,,0.0
cgls_13,-1,ood,18,0.6599258226795112,0.8030353354452696,1.2092685197567994,0.008940726936348144,,,0.0
grid_deeponet,17,development,12,0.6250046664011409,0.932009054293651,1.159668472356656,0.07253273076446327,1.0,0.019932668733720977,0.004712264160237585
grid_deeponet,17,ood,18,0.6365514420100569,0.8093136064516306,1.2271912946475922,0.10266298379987504,1.0,0.019690397143777873,0.002983370388392359
grid_deeponet,29,development,12,0.6238016854524387,0.9329513508910786,1.15773588279977,0.07434382330132587,1.0,0.02001741815668841,0.0031167569153088457
grid_deeponet,29,ood,18,0.6370781051150602,0.8107588968020009,1.2320251411803436,0.10791313460232467,1.0,0.020410456953363285,0.003060840338649642
grid_deeponet,43,development,12,0.6245597237266134,0.9318850070949345,1.1586794467532864,0.07370201783218812,1.0,0.019935611092175048,0.0030639930094669885
grid_deeponet,43,ood,18,0.6356871884621937,0.8099343674979118,1.2279779225259402,0.10333449304303904,1.0,0.01970312221803599,0.00306769439096873
huber_pdhg_13,-1,development,12,0.6669513376140602,0.7193732079857718,0.9507214586381361,0.2879092808322204,,,0.0
huber_pdhg_13,-1,ood,18,0.6688782693050235,0.7196557572307333,0.9550038968743301,0.28056327192719466,,,0.0
jacru_m2,17,development,12,0.35240252109802367,0.7053691596243571,0.582230064754912,0.23217638869562507,0.7063468992710114,0.053987681244810425,0.006968930586784457
jacru_m2,17,ood,18,0.4448493420192548,0.5948760635498722,0.6889651511223669,0.27788662095439076,0.7063704397943285,0.05224769521090719,0.004212650554513352
jacru_m2,29,development,12,0.38973451840310397,0.7764601521122002,0.6211035057667305,0.23580560085535154,0.8585451692342758,0.05390242487192154,0.004135437576527086
jacru_m2,29,ood,18,0.44432266484942173,0.6375335019885063,0.7086580006178907,0.23851392840995325,0.8576773636870914,0.049469035843180284,0.0041640510510963695
jacru_m2,43,development,12,0.3585775881888921,0.675299529838856,0.5702738193509455,0.2458072768741009,0.8887270092964172,0.05697753342489401,0.004245708502518634
jacru_m2,43,ood,18,0.4598575600525716,0.6469938898566652,0.6834896267254659,0.2881537554364128,0.8871923122141097,0.05435758580764135,0.006120550889237266
pooled_cnn,17,development,12,0.3587295319978985,0.6863185696224877,0.5813686666689307,0.22293928121309095,1.0,0.05526186184336742,0.005498992744833231
pooled_cnn,17,ood,18,0.4426277919650522,0.6255178715318358,0.6993716126091744,0.2578353641715506,1.0,0.05097766468922297,0.006091743112645215
pooled_cnn,29,development,12,0.36700865028651924,0.717968754688158,0.578798410091223,0.23787934068374172,1.0,0.05517106813689073,0.005362691086096068
pooled_cnn,29,ood,18,0.4559575078140624,0.6283164549632919,0.6716590248612516,0.27213034441778067,1.0,0.0517843473288748,0.0037605441660465053
pooled_cnn,43,development,12,0.35354878002828327,0.6615472797426983,0.6103956723179466,0.22897298640287087,1.0,0.05446920761217674,0.0029645486841521538
pooled_cnn,43,ood,18,0.4428718533873297,0.6042028526566602,0.7400482699317968,0.2677790075396845,1.0,0.053320670086476535,0.004348534783477792
pooled_fno,17,development,12,0.43207388055660556,0.6435845591074837,0.7628207030229572,0.3434698019025498,1.0,0.05298280157148838,0.011109430575743318
pooled_fno,17,ood,18,0.6100796694989388,0.9419750709161879,0.9411862497608929,0.5012507384136747,1.0,0.054874307165543236,0.006924976837278034
pooled_fno,29,development,12,0.40439727468563524,0.7165981138288733,0.7130905961223316,0.33455628450984176,1.0,0.05821459088474512,0.005751906166551635
pooled_fno,29,ood,18,0.49119376991768804,0.6581795732746913,0.8810679910574074,0.35603270500531475,1.0,0.05334104928705427,0.004319634162432824
pooled_fno,43,development,12,0.38828897772322235,0.6308270826503009,0.6582514361004824,0.3358701034879936,1.0,0.05426523617158333,0.004957402833194162
pooled_fno,43,ood,18,0.4941717982747407,0.6907497783832655,0.8689570542607634,0.3823726977399724,1.0,0.04998258646163675,0.0047227823330710334
