geometry_digest,matrix_rows,matrix_columns,rank,rank_tolerance,setup_forward_calls_batched,setup_forward_equivalents_unbatched,assembly_batch_size,zero_forward_maximum_absolute,factorization_seconds,dense_setup_in_budget,status
d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,150,1000,150,2.9813924247196567e-12,17,1001,64,0.0,0.006338000006508082,False,DENSE_TOY_ORACLE_SETUP_NOT_RECONSTRUCTION_BUDGET
ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,150,1000,150,3.030609267005043e-12,17,1001,64,0.0,0.00631304201669991,False,DENSE_TOY_ORACLE_SETUP_NOT_RECONSTRUCTION_BUDGET
36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,150,1000,150,2.992398265182234e-12,17,1001,64,0.0,0.006533625011797994,False,DENSE_TOY_ORACLE_SETUP_NOT_RECONSTRUCTION_BUDGET
3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,150,1000,150,2.970642763039026e-12,17,1001,64,0.0,0.006406041968148202,False,DENSE_TOY_ORACLE_SETUP_NOT_RECONSTRUCTION_BUDGET
60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,150,1000,150,3.0118471597614194e-12,17,1001,64,0.0,0.006325124995782971,False,DENSE_TOY_ORACLE_SETUP_NOT_RECONSTRUCTION_BUDGET
7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,150,1000,150,2.983485087083247e-12,17,1001,64,0.0,0.006347290996927768,False,DENSE_TOY_ORACLE_SETUP_NOT_RECONSTRUCTION_BUDGET
efb5c7642b3f28db33edc707678c5b671ac1d177550bbaf94383ce396121960b,150,1000,150,2.9012987426861876e-12,17,1001,64,0.0,0.006605749949812889,False,DENSE_TOY_ORACLE_SETUP_NOT_RECONSTRUCTION_BUDGET
01171c51a93fbb387eb28c87aab80f21630e7f67bdbeb573a7d5212f69c5a11a,150,1000,150,2.8919519096266612e-12,17,1001,64,0.0,0.006537333014421165,False,DENSE_TOY_ORACLE_SETUP_NOT_RECONSTRUCTION_BUDGET
ef951b7f7b41354cd630859e120b9682ccfcb4e5ec498334b485ae29dd327806,150,1000,150,2.8976640966123843e-12,17,1001,64,0.0,0.006696040974929929,False,DENSE_TOY_ORACLE_SETUP_NOT_RECONSTRUCTION_BUDGET
ad4a4bc22656ab4c5a3b78d52576aee368820b0318a81d0a599f0a654de9042b,150,1000,150,2.8914199760640986e-12,17,1001,64,0.0,0.006447624997235835,False,DENSE_TOY_ORACLE_SETUP_NOT_RECONSTRUCTION_BUDGET
d79fb08f047241d87adb7b498ee26f0f8da8f4faea5ef647a601ab59f03e7c58,150,1000,150,2.900044035883261e-12,17,1001,64,0.0,0.0067812500055879354,False,DENSE_TOY_ORACLE_SETUP_NOT_RECONSTRUCTION_BUDGET
ae4c09eeec449e9b0ccef60f543acaa42e40957320f8fceea2e1101a9b983760,150,1000,150,2.8966621543647356e-12,17,1001,64,0.0,0.006386541004758328,False,DENSE_TOY_ORACLE_SETUP_NOT_RECONSTRUCTION_BUDGET
