candidate_id,method,split,row_count,field_gain_to_raw_mean,h1_gain_to_raw_mean,field_gain_to_registered_classical_mean,h1_gain_to_registered_classical_mean,field_harm_rate_vs_raw,field_harm_rate_vs_registered_classical,worst_field_gain_to_raw,worst_field_gain_to_registered_classical,minimum_session_mean_field_gain_to_raw,minimum_session_mean_field_gain_to_registered_classical,minimum_family_mean_field_gain_to_raw,minimum_family_mean_field_gain_to_registered_classical,session_mean_field_gains_to_raw,session_mean_field_gains_to_registered_classical,family_mean_field_gains_to_raw,family_mean_field_gains_to_registered_classical,per_model_seed_field_gain_means_to_raw,per_model_seed_field_gain_means_to_registered_classical,all_model_seed_means_to_raw_nonnegative,all_model_seed_means_to_registered_classical_positive,clean_reprojection_ratio_to_base_mean,clean_reprojection_ratio_to_base_maximum,selector_valid_rate,residual_closure_relative_error_maximum
isotropic_joint_two_sided_95,jacru_m2,development,2,0.0018508262913719408,0.003767188187441862,-0.0156405326676518,-0.10733615467388213,0.0,0.5,9.41282717976748e-05,-0.031128391061355242,0.0018508262913719408,-0.0156405326676518,9.41282717976748e-05,-0.031128391061355242,{'development:2101:d7d9a77030834a1d': 0.0018508262913719408},{'development:2101:d7d9a77030834a1d': -0.0156405326676518},"{'single_interface': 9.41282717976748e-05, 'smooth_no_interface': 0.0036075243109462067}","{'single_interface': -0.0001526742739483623, 'smooth_no_interface': -0.031128391061355242}",{'17': 0.0018508262913719408},{'17': -0.0156405326676518},True,False,1.035463692904386,1.169660887927813,1.0,0.0
isotropic_joint_two_sided_95,jacru_m2,ood,3,0.008110393988845997,0.009324091802746563,-0.08363913397326754,-0.18546009787874698,0.0,1.0,0.0,-0.20391587353805538,0.008110393988845997,-0.08363913397326754,0.0,-0.20391587353805538,{'ood:3109:efb5c7642b3f28db': 0.008110393988845997},{'ood:3109:efb5c7642b3f28db': -0.08363913397326754},"{'single_interface': 0.0, 'smooth_no_interface': 0.006491349534571905, 'two_interface': 0.017839832431966084}","{'single_interface': -0.02594545145009613, 'smooth_no_interface': -0.021056076931651124, 'two_interface': -0.20391587353805538}",{'17': 0.008110393988845997},{'17': -0.08363913397326754},True,False,0.8068418903826826,1.0517722485356353,0.6666666666666666,0.0
isotropic_joint_two_sided_95,pooled_cnn,development,2,0.002606660618463901,0.006836769833486183,-0.012013913989671152,-0.10693611497717942,0.0,0.5,0.0009591060047249196,-0.03290966391256764,0.002606660618463901,-0.012013913989671152,0.0009591060047249196,-0.03290966391256764,{'development:2101:d7d9a77030834a1d': 0.002606660618463901},{'development:2101:d7d9a77030834a1d': -0.012013913989671152},"{'single_interface': 0.0009591060047249196, 'smooth_no_interface': 0.004254215232202882}","{'single_interface': 0.008881835933225335, 'smooth_no_interface': -0.03290966391256764}",{'17': 0.002606660618463901},{'17': -0.012013913989671152},True,False,0.9127754543093002,0.9528548693986061,1.0,0.0
isotropic_joint_two_sided_95,pooled_cnn,ood,3,0.01573121428181863,0.01858597929851747,-0.06927484712512928,-0.1679932302186015,0.0,0.6666666666666666,0.006060494056848467,-0.18281791275261133,0.01573121428181863,-0.06927484712512928,0.006060494056848467,-0.18281791275261133,{'ood:3109:efb5c7642b3f28db': 0.01573121428181863},{'ood:3109:efb5c7642b3f28db': -0.06927484712512928},"{'single_interface': 0.010117415013786858, 'smooth_no_interface': 0.006060494056848467, 'two_interface': 0.03101573377482057}","{'single_interface': -0.004707872371240965, 'smooth_no_interface': -0.020298756251535523, 'two_interface': -0.18281791275261133}",{'17': 0.01573121428181863},{'17': -0.06927484712512928},True,False,0.6697427623399127,0.6954506945963274,1.0,0.0
structured_exact_target_mismatch_oracle_fraction_100,jacru_m2,development,2,0.0,0.0,-0.01755425275423795,-0.11171381645698347,0.0,0.5,0.0,-0.034861679729445844,0.0,-0.01755425275423795,0.0,-0.034861679729445844,{'development:2101:d7d9a77030834a1d': 0.0},{'development:2101:d7d9a77030834a1d': -0.01755425275423795},"{'single_interface': 0.0, 'smooth_no_interface': 0.0}","{'single_interface': -0.0002468257790300523, 'smooth_no_interface': -0.034861679729445844}",{'17': 0.0},{'17': -0.01755425275423795},True,False,1.1777266702366807,1.2311254618494432,0.0,0.0
structured_exact_target_mismatch_oracle_fraction_100,jacru_m2,ood,3,0.0,0.0,-0.09315217156043464,-0.19676943904080255,0.0,1.0,0.0,-0.22578364842377963,0.0,-0.09315217156043464,0.0,-0.22578364842377963,{'ood:3109:efb5c7642b3f28db': 0.0},{'ood:3109:efb5c7642b3f28db': -0.09315217156043464},"{'single_interface': 0.0, 'smooth_no_interface': 0.0, 'two_interface': 0.0}","{'single_interface': -0.02594545145009613, 'smooth_no_interface': -0.027727414807428113, 'two_interface': -0.22578364842377963}",{'17': 0.0},{'17': -0.09315217156043464},True,False,1.0645746943254233,1.0998609850716448,0.0,0.0
structured_exact_target_mismatch_oracle_fraction_100,pooled_cnn,development,2,0.0,0.0,-0.014696160901297866,-0.1146915633316033,0.0,0.5,0.0,-0.03732265776393615,0.0,-0.014696160901297866,0.0,-0.03732265776393615,{'development:2101:d7d9a77030834a1d': 0.0},{'development:2101:d7d9a77030834a1d': -0.014696160901297866},"{'single_interface': 0.0, 'smooth_no_interface': 0.0}","{'single_interface': 0.007930335961340422, 'smooth_no_interface': -0.03732265776393615}",{'17': 0.0},{'17': -0.014696160901297866},True,False,1.533512192450216,1.8395019163272088,0.0,0.0
structured_exact_target_mismatch_oracle_fraction_100,pooled_cnn,ood,3,0.0,0.0,-0.08739164316088754,-0.19017607618725543,0.0,1.0,0.0,-0.22067814099856572,0.0,-0.08739164316088754,0.0,-0.22067814099856572,{'ood:3109:efb5c7642b3f28db': 0.0},{'ood:3109:efb5c7642b3f28db': -0.08739164316088754},"{'single_interface': 0.0, 'smooth_no_interface': 0.0, 'two_interface': 0.0}","{'single_interface': -0.014976814028134767, 'smooth_no_interface': -0.02651997445596212, 'two_interface': -0.22067814099856572}",{'17': 0.0},{'17': -0.08739164316088754},True,False,1.272166419789195,1.2805373496467711,0.0,0.0
structured_global_upper_95_ablation,jacru_m2,development,2,0.0002103125147185032,0.0007133779387514651,-0.017340212658678383,-0.11091218672447659,0.0,0.5,0.00020824971241030155,-0.034641900652134516,0.0002103125147185032,-0.017340212658678383,0.00020824971241030155,-0.034641900652134516,{'development:2101:d7d9a77030834a1d': 0.0002103125147185032},{'development:2101:d7d9a77030834a1d': -0.017340212658678383},"{'single_interface': 0.00020824971241030155, 'smooth_no_interface': 0.0002123753170267049}","{'single_interface': -3.852466522225232e-05, 'smooth_no_interface': -0.034641900652134516}",{'17': 0.0002103125147185032},{'17': -0.017340212658678383},True,False,1.0780725764257775,1.081970604280269,1.0,0.0
structured_global_upper_95_ablation,jacru_m2,ood,3,0.00016065639034071989,0.0006486261526942636,-0.09298068659953042,-0.1960479504236902,0.0,1.0,9.744063405153304e-05,-0.22566420728786724,0.00016065639034071989,-0.09298068659953042,9.744063405153304e-05,-0.22566420728786724,{'ood:3109:efb5c7642b3f28db': 0.00016065639034071989},{'ood:3109:efb5c7642b3f28db': -0.09298068659953042},"{'single_interface': 9.920092890269169e-05, 'smooth_no_interface': 0.0002853276080679349, 'two_interface': 9.744063405153304e-05}","{'single_interface': -0.025843676708308786, 'smooth_no_interface': -0.027434175802415264, 'two_interface': -0.22566420728786724}",{'17': 0.00016065639034071989},{'17': -0.09298068659953042},True,False,1.041941669329794,1.0647368374559145,1.0,0.0
