candidate_id,method,model_seed,case_id,session_id,split,family,base_seed,candidate_field_relative_l2,candidate_h1_relative_error,raw_field_relative_l2,raw_h1_relative_error,registered_classical_field_relative_l2,registered_classical_h1_relative_error,clean_reprojection_ratio_to_base,selector_valid,residual_closure_relative_error,field_gain_to_raw,h1_gain_to_raw,field_gain_to_registered_classical,h1_gain_to_registered_classical,field_harm_vs_raw,field_harm_vs_registered_classical,gate_policy,selector_family,model_mismatch_policy,model_mismatch_norm_fraction,selector_digest,uses_truth,uses_exact_nuisance,dense_evaluator_ceiling_only,field_gain_to_best_classical_envelope_diagnostic,h1_gain_to_best_classical_envelope_diagnostic,measured_reprojection_relative_l2,clean_reprojection_relative_l2,alpha,raw_no_correction,fallback_reason,correction_norm,evaluated_alpha_count,raw_global_score,selected_global_score,raw_camera_scores_json,selected_camera_scores_json,gate_checks_json,model_mismatch_global_whitened_score,model_mismatch_camera_scores_json,model_mismatch_available_to_selector,dense_matrix_rows,dense_matrix_columns,dense_setup_in_budget,candidate_budget_matched,dense_linear_solve_count,candidate_cost_contract,learned_feature_forward_calls,learned_feature_adjoint_calls
structured_joint_two_sided_95,jacru_m2,17,170f9e9fcd7f86632b9a,development:2101:d7d9a77030834a1d,development,smooth_no_interface,2101,0.5792949040536532,1.1633238110929514,0.5795705248702099,1.1655455663244114,0.560046367763596,1.000428666048643,1.0437306825899548,True,0.0,0.000475560444724747,0.0019061933704286208,-0.03436954044880511,-0.1628253473460426,False,True,joint_two_sided,session_joint_conformal_band,sensor_only,0.0,6afcfa8ba0164183ef84bca1477dd3b88098ee0100faf44f24a745354897dab1,False,False,True,-0.03436954044880511,-0.1628253473460426,0.015379989138017745,0.03908310717680228,2.371373705661655,False,NONE,0.03105646885284974,63,343.65434417156337,157.6020281031942,"[170.6527424985334,86.35176541486729,86.64983625816262]","[71.58465530241988,42.43132492858932,43.586047872184984]","{""camera_lower"":true,""camera_lower_informative"":true,""camera_upper"":true,""global_lower"":true,""global_lower_informative"":true,""global_upper"":true}",20515.34356071398,"[4734.2152027456395,11874.76708991783,3906.361268050512]",False,150,1000,False,False,63,13F/13AT learned preparation plus unmatched evaluator-only dense assembly and alpha-grid solves,13,13
isotropic_joint_two_sided_95,jacru_m2,17,170f9e9fcd7f86632b9a,development:2101:d7d9a77030834a1d,development,smooth_no_interface,2101,0.5774797101118327,1.1570105628234784,0.5795705248702099,1.1655455663244114,0.560046367763596,1.000428666048643,0.9012664978809586,True,0.0,0.0036075243109462067,0.007322754036848589,-0.031128391061355242,-0.15651480419216818,False,True,joint_two_sided,session_joint_conformal_band,sensor_only,0.0,0bd5e37a30ed1391568f5908773ec8e9ea6a36e4001aa4c70af6ca635cc7e76d,False,False,True,-0.031128391061355242,-0.15651480419216818,0.012781108226821698,0.03374845227711021,0.4216965034285822,False,NONE,0.08184733380891737,67,433.1550968292065,172.44135286607184,"[223.70187142021797,124.789567853014,84.66365755597451]","[93.22923742308362,47.06505910413516,32.14705633885303]","{""camera_lower"":true,""camera_lower_informative"":true,""camera_upper"":true,""global_lower"":true,""global_lower_informative"":true,""global_upper"":true}",12340.01337459189,"[2621.184294157247,6891.510862932017,2827.318217502627]",False,150,1000,False,False,67,13F/13AT learned preparation plus unmatched evaluator-only dense assembly and alpha-grid solves,13,13
structured_joint_upper_95_ablation,jacru_m2,17,170f9e9fcd7f86632b9a,development:2101:d7d9a77030834a1d,development,smooth_no_interface,2101,0.5792949040536532,1.1633238110929514,0.5795705248702099,1.1655455663244114,0.560046367763596,1.000428666048643,1.0437306825899548,True,0.0,0.000475560444724747,0.0019061933704286208,-0.03436954044880511,-0.1628253473460426,False,True,joint_upper_only,session_joint_conformal_upper_ablation,sensor_only,0.0,37e10e3c022972891673dbb124f1d325610253e386a60b40b23c354c21724f4e,False,False,True,-0.03436954044880511,-0.1628253473460426,0.015379989138017745,0.03908310717680228,2.371373705661655,False,NONE,0.03105646885284974,63,343.65434417156337,157.6020281031942,"[170.6527424985334,86.35176541486729,86.64983625816262]","[71.58465530241988,42.43132492858932,43.586047872184984]","{""camera_lower"":true,""camera_lower_informative"":true,""camera_upper"":true,""global_lower"":true,""global_lower_informative"":true,""global_upper"":true}",20515.34356071398,"[4734.2152027456395,11874.76708991783,3906.361268050512]",False,150,1000,False,False,63,13F/13AT learned preparation plus unmatched evaluator-only dense assembly and alpha-grid solves,13,13
structured_global_upper_95_ablation,jacru_m2,17,170f9e9fcd7f86632b9a,development:2101:d7d9a77030834a1d,development,smooth_no_interface,2101,0.5794474383962512,1.164527070240159,0.5795705248702099,1.1655455663244114,0.560046367763596,1.000428666048643,1.0741745485712857,True,0.0,0.0002123753170267049,0.0008738363507008929,-0.034641900652134516,-0.16402809091791565,False,True,global_upper_only,session_global_conformal_upper_ablation,sensor_only,0.0,eaf09a6ae59cca02326aad75884dc74ad36175ddbffcd00bb41ee438162b8ba4,False,False,True,-0.034641900652134516,-0.16402809091791565,0.018035508393217783,0.040223095582692624,5.623413251903491,False,NONE,0.01755181354160597,61,343.65434417156337,224.13744195982224,"[170.6527424985334,86.35176541486729,86.64983625816262]","[104.47842961429869,58.64687669397493,61.01213565154864]","{""camera_lower"":true,""camera_lower_informative"":true,""camera_upper"":false,""global_lower"":true,""global_lower_informative"":true,""global_upper"":true}",20515.34356071398,"[4734.2152027456395,11874.76708991783,3906.361268050512]",False,150,1000,False,False,61,13F/13AT learned preparation plus unmatched evaluator-only dense assembly and alpha-grid solves,13,13
structured_target_mismatch_oracle_fraction_025,jacru_m2,17,170f9e9fcd7f86632b9a,development:2101:d7d9a77030834a1d,development,smooth_no_interface,2101,0.5795705248702099,1.1655455663244114,0.5795705248702099,1.1655455663244114,0.560046367763596,1.000428666048643,1.124327878623918,False,0.0,0.0,0.0,-0.034861679729445844,-0.16504615059454933,False,True,joint_two_sided,evaluator_only_fractional_model_mismatch_oracle,exact_target_oracle_triangle_bound,0.25,c5eb1cd3c0204350d33ef156cc8859e6b98ccabe27e31ab085f7d691fafc537f,True,False,True,-0.034861679729445844,-0.16504615059454933,0.021991355747980203,0.04210111642314217,inf,True,NO_ALPHA_SATISFIED_FROZEN_GATE_RETURN_RAW,0.0,129,343.65434417156337,343.65434417156337,"[170.6527424985334,86.35176541486729,86.64983625816262]","[170.6527424985334,86.35176541486729,86.64983625816262]","{""camera_lower"":true,""camera_lower_informative"":false,""camera_upper"":true,""global_lower"":true,""global_lower_informative"":false,""global_upper"":true}",20515.34356071398,"[4734.2152027456395,11874.76708991783,3906.361268050512]",False,150,1000,False,False,129,13F/13AT learned preparation plus unmatched evaluator-only dense assembly and alpha-grid solves,13,13
structured_target_mismatch_oracle_fraction_050,jacru_m2,17,170f9e9fcd7f86632b9a,development:2101:d7d9a77030834a1d,development,smooth_no_interface,2101,0.5795705248702099,1.1655455663244114,0.5795705248702099,1.1655455663244114,0.560046367763596,1.000428666048643,1.124327878623918,False,0.0,0.0,0.0,-0.034861679729445844,-0.16504615059454933,False,True,joint_two_sided,evaluator_only_fractional_model_mismatch_oracle,exact_target_oracle_triangle_bound,0.5,600e8ccb6434976a4c7ffbcb9cf2434dce0b87409a3bb6717821d13f57362139,True,False,True,-0.034861679729445844,-0.16504615059454933,0.021991355747980203,0.04210111642314217,inf,True,NO_ALPHA_SATISFIED_FROZEN_GATE_RETURN_RAW,0.0,129,343.65434417156337,343.65434417156337,"[170.6527424985334,86.35176541486729,86.64983625816262]","[170.6527424985334,86.35176541486729,86.64983625816262]","{""camera_lower"":true,""camera_lower_informative"":false,""camera_upper"":true,""global_lower"":true,""global_lower_informative"":false,""global_upper"":true}",20515.34356071398,"[4734.2152027456395,11874.76708991783,3906.361268050512]",False,150,1000,False,False,129,13F/13AT learned preparation plus unmatched evaluator-only dense assembly and alpha-grid solves,13,13
structured_target_mismatch_oracle_fraction_075,jacru_m2,17,170f9e9fcd7f86632b9a,development:2101:d7d9a77030834a1d,development,smooth_no_interface,2101,0.5795705248702099,1.1655455663244114,0.5795705248702099,1.1655455663244114,0.560046367763596,1.000428666048643,1.124327878623918,False,0.0,0.0,0.0,-0.034861679729445844,-0.16504615059454933,False,True,joint_two_sided,evaluator_only_fractional_model_mismatch_oracle,exact_target_oracle_triangle_bound,0.75,e4705453329291111d7538cfe4d13dea0fc71c3562842c9698774bda91584a7e,True,False,True,-0.034861679729445844,-0.16504615059454933,0.021991355747980203,0.04210111642314217,inf,True,NO_ALPHA_SATISFIED_FROZEN_GATE_RETURN_RAW,0.0,129,343.65434417156337,343.65434417156337,"[170.6527424985334,86.35176541486729,86.64983625816262]","[170.6527424985334,86.35176541486729,86.64983625816262]","{""camera_lower"":true,""camera_lower_informative"":false,""camera_upper"":true,""global_lower"":true,""global_lower_informative"":false,""global_upper"":true}",20515.34356071398,"[4734.2152027456395,11874.76708991783,3906.361268050512]",False,150,1000,False,False,129,13F/13AT learned preparation plus unmatched evaluator-only dense assembly and alpha-grid solves,13,13
structured_exact_target_mismatch_oracle_fraction_100,jacru_m2,17,170f9e9fcd7f86632b9a,development:2101:d7d9a77030834a1d,development,smooth_no_interface,2101,0.5795705248702099,1.1655455663244114,0.5795705248702099,1.1655455663244114,0.560046367763596,1.000428666048643,1.124327878623918,False,0.0,0.0,0.0,-0.034861679729445844,-0.16504615059454933,False,True,joint_two_sided,evaluator_only_exact_model_mismatch_oracle,exact_target_oracle_triangle_bound,1.0,b1445888b77029e83994402878c5862dab0b0dd6ce45e81860ca8c2504673003,True,False,True,-0.034861679729445844,-0.16504615059454933,0.021991355747980203,0.04210111642314217,inf,True,NO_ALPHA_SATISFIED_FROZEN_GATE_RETURN_RAW,0.0,129,343.65434417156337,343.65434417156337,"[170.6527424985334,86.35176541486729,86.64983625816262]","[170.6527424985334,86.35176541486729,86.64983625816262]","{""camera_lower"":true,""camera_lower_informative"":false,""camera_upper"":true,""global_lower"":true,""global_lower_informative"":false,""global_upper"":true}",20515.34356071398,"[4734.2152027456395,11874.76708991783,3906.361268050512]",False,150,1000,False,False,129,13F/13AT learned preparation plus unmatched evaluator-only dense assembly and alpha-grid solves,13,13
structured_joint_two_sided_95,jacru_m2,17,8b2a49fe20fc05cac560,development:2101:d7d9a77030834a1d,development,single_interface,2101,0.666178486677906,1.1239261003706877,0.66640936644513,1.1250051828647474,0.6662449200237204,1.0629486642182415,1.0061223289978405,True,0.0,0.0003464533646272416,0.0009591800202305087,9.971309921881097e-05,-0.05736630394779489,False,False,joint_two_sided,session_joint_conformal_band,sensor_only,0.0,6afcfa8ba0164183ef84bca1477dd3b88098ee0100faf44f24a745354897dab1,False,False,True,9.971309921881097e-05,-0.05736630394779489,0.017406622226109652,0.02283985994946239,1.539926526059492,False,NONE,0.04159295615570784,64,404.38424397430526,162.9251198719312,"[181.30681509028548,78.29552252524267,144.78190635877712]","[74.53245025388063,36.21811816313378,52.17455145491677]","{""camera_lower"":true,""camera_lower_informative"":true,""camera_upper"":true,""global_lower"":true,""global_lower_informative"":true,""global_upper"":true}",58885.589065906395,"[963.3691074817789,53640.658713965364,4281.56124445926]",False,150,1000,False,False,64,13F/13AT learned preparation plus unmatched evaluator-only dense assembly and alpha-grid solves,13,13
isotropic_joint_two_sided_95,jacru_m2,17,8b2a49fe20fc05cac560,development:2101:d7d9a77030834a1d,development,single_interface,2101,0.6663466384831568,1.124767106637648,0.66640936644513,1.1250051828647474,0.6662449200237204,1.0629486642182415,1.169660887927813,True,0.0,9.41282717976748e-05,0.00021162233803513449,-0.0001526742739483623,-0.058157505155596104,False,False,joint_two_sided,session_joint_conformal_band,sensor_only,0.0,0bd5e37a30ed1391568f5908773ec8e9ea6a36e4001aa4c70af6ca635cc7e76d,False,False,True,-0.0001526742739483623,-0.058157505155596104,0.02200596694488098,0.0265523287762083,8.659643233600654,False,NONE,0.009131474940352435,60,376.22185524149234,331.37282608706846,"[117.05525880571054,132.23926714232732,126.92732929345445]","[102.29976463793807,120.49274313756064,108.58031831156975]","{""camera_lower"":true,""camera_lower_informative"":true,""camera_upper"":true,""global_lower"":true,""global_lower_informative"":true,""global_upper"":true}",33226.154246418635,"[547.7925697780421,29769.6843895467,2908.677287093885]",False,150,1000,False,False,60,13F/13AT learned preparation plus unmatched evaluator-only dense assembly and alpha-grid solves,13,13
