candidate_id,solver_kind,mean_policy,whitening_policy,stress,row_count,field_gain_to_huber_mean,h1_gain_to_huber_mean,field_harm_rate_vs_huber,worst_field_gain_to_huber,clean_reprojection_ratio_to_cgls_mean,clean_reprojection_ratio_to_cgls_maximum,minimum_family_mean_field_gain_to_huber,family_mean_field_gains_to_huber_json,exact_call_budget_all_rows
quadratic_data__mean_estimated__diagonal_flowoff__l0,quadratic_measurement_pdhg_control,estimated,diagonal_flowoff,nominal,12,-0.16904554047439194,-0.271762713730458,1.0,-0.7415116412666864,2.118292601476067,4.55404276939876,-0.2524050480363789,"{""single_interface"":-0.2524050480363789,""smooth_no_interface"":-0.08568603291240502}",True
quadratic_data__mean_estimated__diagonal_flowoff__l0,quadratic_measurement_pdhg_control,estimated,diagonal_flowoff,sparse_flowon_outlier,12,-0.1691930298070464,-0.27250364411597544,1.0,-0.7342799460453707,1.8098550145563952,3.555938224519118,-0.25039941075973043,"{""single_interface"":-0.25039941075973043,""smooth_no_interface"":-0.08798664885436235}",True
quadratic_data__mean_estimated__diagonal_flowoff__l0p001,quadratic_measurement_pdhg_control,estimated,diagonal_flowoff,nominal,12,-0.16719784758280376,-0.2686587727673826,1.0,-0.748311826899137,2.2524123278988757,4.813951852635644,-0.25282104773663755,"{""single_interface"":-0.25282104773663755,""smooth_no_interface"":-0.08157464742896996}",True
quadratic_data__mean_estimated__diagonal_flowoff__l0p001,quadratic_measurement_pdhg_control,estimated,diagonal_flowoff,sparse_flowon_outlier,12,-0.16748776639512278,-0.26958585978690425,1.0,-0.7411103873608805,1.9169770667367532,3.631859725370503,-0.25100976055720176,"{""single_interface"":-0.25100976055720176,""smooth_no_interface"":-0.0839657722330438}",True
quadratic_data__mean_estimated__diagonal_flowoff__l0p01,quadratic_measurement_pdhg_control,estimated,diagonal_flowoff,nominal,12,-0.12621499988843207,-0.2228899570013577,1.0,-0.7261537525241075,2.1836716535258374,4.682660734543695,-0.22365942138136372,"{""single_interface"":-0.22365942138136372,""smooth_no_interface"":-0.02877057839550043}",True
quadratic_data__mean_estimated__diagonal_flowoff__l0p01,quadratic_measurement_pdhg_control,estimated,diagonal_flowoff,sparse_flowon_outlier,12,-0.12669734391887436,-0.22400223651392126,1.0,-0.7189566180462948,1.8641774655103642,3.555151805600731,-0.22199694285373514,"{""single_interface"":-0.22199694285373514,""smooth_no_interface"":-0.031397744984013605}",True
quadratic_data__mean_estimated__diagonal_flowoff__l0p1,quadratic_measurement_pdhg_control,estimated,diagonal_flowoff,nominal,12,0.16256106455769925,0.08489804896285676,0.08333333333333333,-0.5442382540951847,1.753739653114968,3.6616596325861877,-0.007422333840410931,"{""single_interface"":-0.007422333840410931,""smooth_no_interface"":0.3325444629558094}",True
quadratic_data__mean_estimated__diagonal_flowoff__l0p1,quadratic_measurement_pdhg_control,estimated,diagonal_flowoff,sparse_flowon_outlier,12,0.16077679889372878,0.0822031282571913,0.08333333333333333,-0.5373945010228258,1.5325238360292393,2.942347347236156,-0.007011934908370917,"{""single_interface"":-0.007011934908370917,""smooth_no_interface"":0.32856553269582844}",True
quadratic_data__mean_estimated__isotropic_flowoff__l0,quadratic_measurement_pdhg_control,estimated,isotropic_flowoff,nominal,12,-0.1726429127338777,-0.28495807042663907,1.0,-0.6985212518288756,2.3781723738904783,4.468502476654816,-0.24686973893477884,"{""single_interface"":-0.24686973893477884,""smooth_no_interface"":-0.09841608653297661}",True
quadratic_data__mean_estimated__isotropic_flowoff__l0,quadratic_measurement_pdhg_control,estimated,isotropic_flowoff,sparse_flowon_outlier,12,-0.17300364731986148,-0.2859421153433088,1.0,-0.6920253520645195,2.01548966343386,3.372104275192304,-0.2452343137394137,"{""single_interface"":-0.2452343137394137,""smooth_no_interface"":-0.10077298090030923}",True
quadratic_data__mean_estimated__isotropic_flowoff__l0p001,quadratic_measurement_pdhg_control,estimated,isotropic_flowoff,nominal,12,-0.1692032374211756,-0.28172121022193264,1.0,-0.7020636138688616,2.473737757388438,4.548419450201622,-0.24413236937673702,"{""single_interface"":-0.24413236937673702,""smooth_no_interface"":-0.09427410546561414}",True
quadratic_data__mean_estimated__isotropic_flowoff__l0p001,quadratic_measurement_pdhg_control,estimated,isotropic_flowoff,sparse_flowon_outlier,12,-0.16970135037097575,-0.2828452946035523,1.0,-0.69560651714604,2.0933183249321954,3.3621857674202476,-0.2427695831477605,"{""single_interface"":-0.2427695831477605,""smooth_no_interface"":-0.09663311759419098}",True
quadratic_data__mean_estimated__isotropic_flowoff__l0p01,quadratic_measurement_pdhg_control,estimated,isotropic_flowoff,nominal,12,-0.12916388184449176,-0.23642805446009826,1.0,-0.6801262376106819,2.4039363669046936,4.416328617116242,-0.21513776375778562,"{""single_interface"":-0.21513776375778562,""smooth_no_interface"":-0.043189999931197924}",True
quadratic_data__mean_estimated__isotropic_flowoff__l0p01,quadratic_measurement_pdhg_control,estimated,isotropic_flowoff,sparse_flowon_outlier,12,-0.12983124884700842,-0.23770685901514266,1.0,-0.673703330860439,2.0391896223679633,3.2871738857401684,-0.21392365542173894,"{""single_interface"":-0.21392365542173894,""smooth_no_interface"":-0.04573884227227789}",True
quadratic_data__mean_estimated__isotropic_flowoff__l0p1,quadratic_measurement_pdhg_control,estimated,isotropic_flowoff,nominal,12,0.15335547207098557,0.07200520199969125,0.08333333333333333,-0.5017990737908857,2.0105562143793336,3.4450076389128323,-0.00024810882282438537,"{""single_interface"":-0.00024810882282438537,""smooth_no_interface"":0.30695905296479553}",True
quadratic_data__mean_estimated__isotropic_flowoff__l0p1,quadratic_measurement_pdhg_control,estimated,isotropic_flowoff,sparse_flowon_outlier,12,0.15153692336960067,0.06926758056977722,0.08333333333333333,-0.495882184405009,1.7347515514070875,2.7130383662328534,-0.00015215250606006336,"{""single_interface"":-0.00015215250606006336,""smooth_no_interface"":0.3032259992452614}",True
quadratic_data__mean_estimated__structured_flowoff__l0,quadratic_measurement_pdhg_control,estimated,structured_flowoff,nominal,12,-0.12692769108342855,-0.23588445343795603,1.0,-0.4228150320554412,1.9762151724968433,4.098333650310288,-0.17716447818209283,"{""single_interface"":-0.17716447818209283,""smooth_no_interface"":-0.07669090398476425}",True
quadratic_data__mean_estimated__structured_flowoff__l0,quadratic_measurement_pdhg_control,estimated,structured_flowoff,sparse_flowon_outlier,12,-0.12759259408245507,-0.23697919514073854,1.0,-0.418912885761035,1.7028736852529285,3.0651045207733554,-0.17707547472721386,"{""single_interface"":-0.17707547472721386,""smooth_no_interface"":-0.07810971343769627}",True
quadratic_data__mean_estimated__structured_flowoff__l0p001,quadratic_measurement_pdhg_control,estimated,structured_flowoff,nominal,12,-0.12435276549280527,-0.2321522773673711,1.0,-0.4181253625358457,2.0735041917496164,4.168928028059449,-0.174888332882967,"{""single_interface"":-0.174888332882967,""smooth_no_interface"":-0.07381719810264353}",True
quadratic_data__mean_estimated__structured_flowoff__l0p001,quadratic_measurement_pdhg_control,estimated,structured_flowoff,sparse_flowon_outlier,12,-0.1251241545492314,-0.23332968194108974,1.0,-0.41431784653780174,1.7796559465328359,3.1512379319350807,-0.17497914289158714,"{""single_interface"":-0.17497914289158714,""smooth_no_interface"":-0.07526916620687563}",True
quadratic_data__mean_estimated__structured_flowoff__l0p01,quadratic_measurement_pdhg_control,estimated,structured_flowoff,nominal,12,-0.09175339734797335,-0.19522236922854896,1.0,-0.40110349644324833,2.01358404309399,4.047080985318623,-0.15231354491073976,"{""single_interface"":-0.15231354491073976,""smooth_no_interface"":-0.031193249785206947}",True
quadratic_data__mean_estimated__structured_flowoff__l0p01,quadratic_measurement_pdhg_control,estimated,structured_flowoff,sparse_flowon_outlier,12,-0.09266083215721437,-0.19652915229543863,1.0,-0.39733440391813213,1.734133157762254,3.0892899163489873,-0.1525057198215968,"{""single_interface"":-0.1525057198215968,""smooth_no_interface"":-0.032815944492831935}",True
