mean_policy,whitening_policy,data_huber_delta_sigma_multiplier,standardized_edge_regularization_weight,stress,paired_case_count,field_gain_huber_data_to_quadratic_data_mean,field_gain_huber_data_to_quadratic_data_worst,h1_gain_huber_data_to_quadratic_data_mean,clean_reprojection_ratio_huber_data_to_quadratic_data_mean
estimated,diagonal_flowoff,0.75,0.0,nominal,12,-0.0012174289336813787,-0.003994553949780465,-0.0018370366240546459,1.0038734855650888
estimated,diagonal_flowoff,0.75,0.0,sparse_flowon_outlier,12,-0.0012111096346344725,-0.004333951167972565,-0.0018412702249730889,1.0033069142911282
estimated,diagonal_flowoff,0.75,0.001,nominal,12,-0.000282863457092112,-0.0028823067098994563,-0.0010784794407899454,1.0014487761769033
estimated,diagonal_flowoff,0.75,0.001,sparse_flowon_outlier,12,-0.0002934077205276364,-0.0034816639633265738,-0.0011122950883210466,1.0012272430886544
estimated,diagonal_flowoff,0.75,0.01,nominal,12,-0.00017773257658134064,-0.002674910149814986,-0.0010389197347775003,1.0010089971832457
estimated,diagonal_flowoff,0.75,0.01,sparse_flowon_outlier,12,-0.00019437437388223448,-0.003306048737760982,-0.0010820308199554656,1.0008111606831198
estimated,diagonal_flowoff,0.75,0.1,nominal,12,0.0006487254838046589,-0.0007286975236446988,-0.0005306422604566551,0.9951819216138773
estimated,diagonal_flowoff,0.75,0.1,sparse_flowon_outlier,12,0.0006349363435007578,-0.0007385223849848044,-0.0005782407164399639,0.9954105178877181
estimated,diagonal_flowoff,1.345,0.0,nominal,12,0.0006019017941192459,-0.0019183739041930736,0.00031699238807665213,0.9853396477448747
estimated,diagonal_flowoff,1.345,0.0,sparse_flowon_outlier,12,0.0006061691069691467,-0.002414249728075049,0.00031395818649831666,0.9871005292333866
estimated,diagonal_flowoff,1.345,0.001,nominal,12,0.0016470970331725562,-0.0005929005593995185,0.00119723228267201,0.9828166540076855
estimated,diagonal_flowoff,1.345,0.001,sparse_flowon_outlier,12,0.001636837514538624,-0.001348697008180785,0.0011677411746673684,0.984704939787986
estimated,diagonal_flowoff,1.345,0.01,nominal,12,0.001841988199816352,-0.00030449581348589394,0.0013388494990271575,0.9822383512315248
estimated,diagonal_flowoff,1.345,0.01,sparse_flowon_outlier,12,0.0018281974831279412,-0.0010943417332082244,0.0013032089009219516,0.9842560505951683
estimated,diagonal_flowoff,1.345,0.1,nominal,12,0.003297701976953011,0.00022607862496431787,0.002498718452195548,0.9754564233024018
estimated,diagonal_flowoff,1.345,0.1,sparse_flowon_outlier,12,0.003312101703418469,0.00024261389747897626,0.002484998550313631,0.9786400428408749
estimated,diagonal_flowoff,2.0,0.0,nominal,12,0.0025367301694051558,0.0002659207222968898,0.002606704418208606,0.965533295783534
estimated,diagonal_flowoff,2.0,0.0,sparse_flowon_outlier,12,0.0025385229294745486,-0.00039768868678409204,0.002604551846144518,0.9698180004434495
estimated,diagonal_flowoff,2.0,0.001,nominal,12,0.003698891948237085,0.0004493769070908592,0.0036155558297511097,0.962882247520025
estimated,diagonal_flowoff,2.0,0.001,sparse_flowon_outlier,12,0.003688811273790095,0.00047797158075701127,0.0035905121992691586,0.9670605806384763
estimated,diagonal_flowoff,2.0,0.01,nominal,12,0.003989396700682946,0.00047403022039212,0.003866080904748431,0.962159889026713
estimated,diagonal_flowoff,2.0,0.01,sparse_flowon_outlier,12,0.0039785958883836745,0.0005050116764340024,0.0038383768249543003,0.9665816833002546
estimated,diagonal_flowoff,2.0,0.1,nominal,12,0.006111696854533216,0.0006460728012653889,0.005715969390975443,0.9544303577859402
estimated,diagonal_flowoff,2.0,0.1,sparse_flowon_outlier,12,0.006156238639907611,0.0006935508452299597,0.005738935715326334,0.9608086488447496
estimated,isotropic_flowoff,0.75,0.0,nominal,12,0.000710165339282736,-0.0005069672098970933,-0.0007101325462227568,0.9948773897631678
estimated,isotropic_flowoff,0.75,0.0,sparse_flowon_outlier,12,0.0006971511641520981,-0.0005353029969343056,-0.0007567952408852866,0.9951245614252241
estimated,isotropic_flowoff,0.75,0.001,nominal,12,0.001515256741001436,-0.0005695504931245109,-0.00015229924317166388,0.9962000657067388
estimated,isotropic_flowoff,0.75,0.001,sparse_flowon_outlier,12,0.001489998633890266,-0.0006351925191692354,-0.00022121923134551247,0.9963678367003438
estimated,isotropic_flowoff,0.75,0.01,nominal,12,0.0016185496988898127,-0.0006226024462543924,-9.516060840495238e-05,0.9957967478193236
estimated,isotropic_flowoff,0.75,0.01,sparse_flowon_outlier,12,0.0015875392251096649,-0.0006932876753326869,-0.0001734708108376714,0.9960042385659028
estimated,isotropic_flowoff,0.75,0.1,nominal,12,0.0021610028240622516,-0.0012613185746908732,0.0002653209520070643,0.9887862048072539
estimated,isotropic_flowoff,0.75,0.1,sparse_flowon_outlier,12,0.0021257582040650805,-0.0013608495896832028,0.00016968741469424118,0.989964256079702
estimated,isotropic_flowoff,1.345,0.0,nominal,12,0.002734551664016512,0.0002535407451098045,0.001742420082143542,0.9745091887824447
estimated,isotropic_flowoff,1.345,0.0,sparse_flowon_outlier,12,0.0027227033919904973,0.0002611743693077037,0.0016990292294968019,0.9767394129956002
estimated,isotropic_flowoff,1.345,0.001,nominal,12,0.003613059609553712,0.0002888908413355514,0.00242911048422034,0.9749944183224564
estimated,isotropic_flowoff,1.345,0.001,sparse_flowon_outlier,12,0.0035905533351614795,0.00029731506698329807,0.0023647818163966745,0.9770831515857884
estimated,isotropic_flowoff,1.345,0.01,nominal,12,0.003817307213549482,0.0003028792783249208,0.002596947201790885,0.9743684361073514
estimated,isotropic_flowoff,1.345,0.01,sparse_flowon_outlier,12,0.003790604803471917,0.0003118062329690809,0.0025248807790581793,0.9766104380231139
estimated,isotropic_flowoff,1.345,0.1,nominal,12,0.005222815608058908,0.00043343148744722946,0.0036652580782418134,0.9663006847010713
estimated,isotropic_flowoff,1.345,0.1,sparse_flowon_outlier,12,0.005206537836156631,0.0004452537645841732,0.0035936154934544354,0.970174233999462
estimated,isotropic_flowoff,2.0,0.0,nominal,12,0.004885240697501563,0.0007253745392081432,0.004351651009621207,0.9526920265855545
estimated,isotropic_flowoff,2.0,0.0,sparse_flowon_outlier,12,0.0048744908244387625,0.0007473269985131777,0.004311646902363951,0.9570868432906102
