case_id,split,family,base_seed,method,model_seed,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,measured_reprojection_relative_l2,clean_reprojection_relative_l2,gate,correction_rms,optimization_forward_calls,optimization_adjoint_calls,grouped_adjoint_calls,evaluation_forward_calls,neural_inference_seconds,candidate_id,solver_kind,mean_policy,whitening_policy,standardized_edge_regularization_weight,edge_indicator_quantile,minimum_edge_weight,edge_indicator_threshold,edge_weight_minimum,edge_weight_mean,edge_weight_maximum,session_id,stress,selector_digest,reconstruction_uses_truth_or_clean_projection,development_gate_uses_truth_and_clean_projection,warm_start_used,warm_start_forward_calls,warm_start_adjoint_calls,refinement_forward_calls,refinement_adjoint_calls,warm_start_seconds_amortized_screening_only,refinement_seconds,candidate_budget_matched,operator_norm_squared_bound,dense_norm_setup_in_budget,field_gain_to_registered_huber,h1_gain_to_registered_huber,clean_reprojection_ratio_to_cgls,measured_reprojection_ratio_to_cgls
170f9e9fcd7f86632b9a,development,smooth_no_interface,2101,adaptive_edge_warm__l0p05__q0p7__wmin0p05,-1,0.5528996797321788,0.05666857939639771,0.06429289536100234,0.019047348797634506,1.078491523135001,0.03676623914164779,0.019469398186189743,,,24,24,0,1,0.0,adaptive_edge_warm__l0p05__q0p7__wmin0p05,adaptive_edge_warm_huber_measurement_pdhg,estimated,structured_flowoff,0.05,0.7,0.05,0.9188533277379307,0.16119720318184844,0.6573892502276305,0.9972394601663732,development:2101:d7d9a77030834a1d,nominal,6afcfa8ba0164183ef84bca1477dd3b88098ee0100faf44f24a745354897dab1,False,True,True,12,12,12,12,0.004622458014637232,0.007763334026094526,True,146097.51508001765,False,0.012760886317244868,-0.07802940852812626,0.4748296992914135,55.69541966492898
170f9e9fcd7f86632b9a,development,smooth_no_interface,2101,adaptive_edge_warm__l0p05__q0p7__wmin0p2,-1,0.5492307476011989,0.05629253799253011,0.06386626051524158,0.018959439639878665,1.071850133333198,0.03676435488625275,0.019508877769128158,,,24,24,0,1,0.0,adaptive_edge_warm__l0p05__q0p7__wmin0p2,adaptive_edge_warm_huber_measurement_pdhg,estimated,structured_flowoff,0.05,0.7,0.2,0.9188533277379307,0.29363975004787235,0.7114856844022152,0.997675334876946,development:2101:d7d9a77030834a1d,nominal,6afcfa8ba0164183ef84bca1477dd3b88098ee0100faf44f24a745354897dab1,False,True,True,12,12,12,12,0.004622458014637232,0.008280458045192063,True,146097.51508001765,False,0.019312008406708294,-0.07139086444478425,0.4757925476709846,55.6925652964259
170f9e9fcd7f86632b9a,development,smooth_no_interface,2101,adaptive_edge_warm__l0p05__q0p7__wmin0p5,-1,0.542015087009056,0.055552980256918155,0.06302720104673933,0.018784759047433066,1.0587941462782455,0.03676456617635232,0.019595021367812583,,,24,24,0,1,0.0,adaptive_edge_warm__l0p05__q0p7__wmin0p5,adaptive_edge_warm_huber_measurement_pdhg,estimated,structured_flowoff,0.05,0.7,0.5,0.9188533277379307,0.5585248437799202,0.8196785527513843,0.9985470842980912,development:2101:d7d9a77030834a1d,nominal,6afcfa8ba0164183ef84bca1477dd3b88098ee0100faf44f24a745354897dab1,False,True,True,12,12,12,12,0.004622458014637232,0.008294583996757865,True,146097.51508001765,False,0.03219604981377407,-0.05834047165014429,0.47789346207357875,55.692885369706204
170f9e9fcd7f86632b9a,development,smooth_no_interface,2101,adaptive_edge_warm__l0p05__q0p85__wmin0p05,-1,0.5468647984464524,0.056050043770814274,0.06359114058478828,0.01889545373162295,1.0678787802357972,0.03676962554844629,0.019563486251240127,,,24,24,0,1,0.0,adaptive_edge_warm__l0p05__q0p85__wmin0p05,adaptive_edge_warm_huber_measurement_pdhg,estimated,structured_flowoff,0.05,0.85,0.05,1.2449592616696237,0.23594224771176053,0.7537567237775002,0.9984942563298177,development:2101:d7d9a77030834a1d,nominal,6afcfa8ba0164183ef84bca1477dd3b88098ee0100faf44f24a745354897dab1,False,True,True,12,12,12,12,0.004622458014637232,0.008297458000015467,True,146097.51508001765,False,0.023536567819876796,-0.06742121300218182,0.4771243674268916,55.70054957084815
170f9e9fcd7f86632b9a,development,smooth_no_interface,2101,adaptive_edge_warm__l0p05__q0p85__wmin0p2,-1,0.5441983556987336,0.05577675093290154,0.0632810783242201,0.018832051390862997,1.0630005425645879,0.03676895600202731,0.019591018885724794,,,24,24,0,1,0.0,adaptive_edge_warm__l0p05__q0p85__wmin0p2,adaptive_edge_warm_huber_measurement_pdhg,estimated,structured_flowoff,0.05,0.85,0.2,1.2449592616696237,0.35658294544148256,0.7926372410757897,0.9987320053303728,development:2101:d7d9a77030834a1d,nominal,6afcfa8ba0164183ef84bca1477dd3b88098ee0100faf44f24a745354897dab1,False,True,True,12,12,12,12,0.004622458014637232,0.00781620800262317,True,146097.51508001765,False,0.02829767850856233,-0.06254506556982493,0.47779584748128423,55.69953530695658
170f9e9fcd7f86632b9a,development,smooth_no_interface,2101,adaptive_edge_warm__l0p05__q0p85__wmin0p5,-1,0.5389332491393652,0.055237112152074996,0.06266883534869519,0.018705701656987754,1.053373791991247,0.036769870985743816,0.019649724077211068,,,24,24,0,1,0.0,adaptive_edge_warm__l0p05__q0p85__wmin0p5,adaptive_edge_warm_huber_measurement_pdhg,estimated,structured_flowoff,0.05,0.85,0.5,1.2449592616696237,0.5978643409009265,0.8703982756723685,0.999207503331483,development:2101:d7d9a77030834a1d,nominal,6afcfa8ba0164183ef84bca1477dd3b88098ee0100faf44f24a745354897dab1,False,True,True,12,12,12,12,0.004622458014637232,0.008198541996534914,True,146097.51508001765,False,0.03769887609224327,-0.05292243988941198,0.4792275798930259,55.70092137208772
170f9e9fcd7f86632b9a,development,smooth_no_interface,2101,adaptive_edge_warm__l0p05__q0p95__wmin0p05,-1,0.5420974497940214,0.05556142190047523,0.0630367784476848,0.01877746692485024,1.0593657045542135,0.03677128050662179,0.019635067380097328,,,24,24,0,1,0.0,adaptive_edge_warm__l0p05__q0p95__wmin0p05,adaptive_edge_warm_huber_measurement_pdhg,estimated,structured_flowoff,0.05,0.95,0.05,1.6416611901024902,0.3324732587012836,0.8273496417713184,0.9991334635320831,development:2101:d7d9a77030834a1d,nominal,6afcfa8ba0164183ef84bca1477dd3b88098ee0100faf44f24a745354897dab1,False,True,True,12,12,12,12,0.004622458014637232,0.008031708013731986,True,146097.51508001765,False,0.03204898558890583,-0.058911785023466015,0.4788701248234563,55.70305658794493
170f9e9fcd7f86632b9a,development,smooth_no_interface,2101,adaptive_edge_warm__l0p05__q0p95__wmin0p2,-1,0.5402121021136703,0.055368186167791246,0.06281754435228681,0.018732912802962385,1.0558838327998918,0.036771385876518424,0.01965276921002603,,,24,24,0,1,0.0,adaptive_edge_warm__l0p05__q0p95__wmin0p2,adaptive_edge_warm_huber_measurement_pdhg,estimated,structured_flowoff,0.05,0.95,0.2,1.6416611901024902,0.4378722178537125,0.8546102246495312,0.9992702850796489,development:2101:d7d9a77030834a1d,nominal,6afcfa8ba0164183ef84bca1477dd3b88098ee0100faf44f24a745354897dab1,False,True,True,12,12,12,12,0.004622458014637232,0.008120583021081984,True,146097.51508001765,False,0.03541539913762636,-0.055431405189815396,0.47930184615873184,55.70321620776872
170f9e9fcd7f86632b9a,development,smooth_no_interface,2101,adaptive_edge_warm__l0p05__q0p95__wmin0p5,-1,0.5364759585735027,0.054985256036696066,0.06238309395470649,0.018644023974278973,1.048989111500097,0.03677238075478901,0.01969030702971485,,,24,24,0,1,0.0,adaptive_edge_warm__l0p05__q0p95__wmin0p5,adaptive_edge_warm_huber_measurement_pdhg,estimated,structured_flowoff,0.05,0.95,0.5,1.6416611901024902,0.6486701361585703,0.909131390405957,0.9995439281747805,development:2101:d7d9a77030834a1d,nominal,6afcfa8ba0164183ef84bca1477dd3b88098ee0100faf44f24a745354897dab1,False,True,True,12,12,12,12,0.004622458014637232,0.00794525002129376,True,146097.51508001765,False,0.042086531663825845,-0.04853963815656297,0.4802173378172024,55.70472330134395
170f9e9fcd7f86632b9a,development,smooth_no_interface,2101,adaptive_edge_warm__l0p1__q0p7__wmin0p05,-1,0.5205378734887128,0.05335170717934918,0.060529763822362206,0.017930829303427258,1.0183749062966083,0.03708444854764048,0.018796159868044105,,,24,24,0,1,0.0,adaptive_edge_warm__l0p1__q0p7__wmin0p05,adaptive_edge_warm_huber_measurement_pdhg,estimated,structured_flowoff,0.1,0.7,0.05,0.9188533277379307,0.16119720318184844,0.6573892502276305,0.9972394601663732,development:2101:d7d9a77030834a1d,nominal,6afcfa8ba0164183ef84bca1477dd3b88098ee0100faf44f24a745354897dab1,False,True,True,12,12,12,12,0.004622458014637232,0.007951250008773059,True,146097.51508001765,False,0.07054504153406144,-0.017938550600361078,0.45841041683083367,56.17745989590856
