case_id,session_id,stress,warm_start_forward_calls,warm_start_adjoint_calls,warm_start_seconds,warm_start_reused_across_grid_for_development_runtime,per_deployed_candidate_warm_start_cost
170f9e9fcd7f86632b9a,development:2101:d7d9a77030834a1d,nominal,12,12,0.004622458014637232,True,12F/12AT
170f9e9fcd7f86632b9a:stress=sparse-flowon-outlier,development:2101:d7d9a77030834a1d,sparse_flowon_outlier,12,12,0.004497165966313332,True,12F/12AT
8b2a49fe20fc05cac560,development:2101:d7d9a77030834a1d,nominal,12,12,0.004455209011211991,True,12F/12AT
8b2a49fe20fc05cac560:stress=sparse-flowon-outlier,development:2101:d7d9a77030834a1d,sparse_flowon_outlier,12,12,0.004551750025711954,True,12F/12AT
36e24ef303fb2d4db2a3,development:2113:ec64a4d4fb310d8d,nominal,12,12,0.004278542008250952,True,12F/12AT
36e24ef303fb2d4db2a3:stress=sparse-flowon-outlier,development:2113:ec64a4d4fb310d8d,sparse_flowon_outlier,12,12,0.004069374990649521,True,12F/12AT
4c92c2ef87bc928ef64b,development:2113:ec64a4d4fb310d8d,nominal,12,12,0.004123332968447357,True,12F/12AT
4c92c2ef87bc928ef64b:stress=sparse-flowon-outlier,development:2113:ec64a4d4fb310d8d,sparse_flowon_outlier,12,12,0.004242125025484711,True,12F/12AT
b27fa425bb441ae340c6,development:2129:36bb2dcd6e5ff7a5,nominal,12,12,0.004238249966874719,True,12F/12AT
b27fa425bb441ae340c6:stress=sparse-flowon-outlier,development:2129:36bb2dcd6e5ff7a5,sparse_flowon_outlier,12,12,0.004248166980687529,True,12F/12AT
c65caca6cf2b92f5476f,development:2129:36bb2dcd6e5ff7a5,nominal,12,12,0.0042594169499352574,True,12F/12AT
c65caca6cf2b92f5476f:stress=sparse-flowon-outlier,development:2129:36bb2dcd6e5ff7a5,sparse_flowon_outlier,12,12,0.004174250003416091,True,12F/12AT
b2ef23daecf0fc234b7a,development:2141:3af6026bc2086d33,nominal,12,12,0.004699916986282915,True,12F/12AT
b2ef23daecf0fc234b7a:stress=sparse-flowon-outlier,development:2141:3af6026bc2086d33,sparse_flowon_outlier,12,12,0.00422233302379027,True,12F/12AT
f26277e1a7fdedd89643,development:2141:3af6026bc2086d33,nominal,12,12,0.004625709028914571,True,12F/12AT
f26277e1a7fdedd89643:stress=sparse-flowon-outlier,development:2141:3af6026bc2086d33,sparse_flowon_outlier,12,12,0.004128541972022504,True,12F/12AT
8b5315772ec96d8f624e,development:2153:60ee21e822fc2128,nominal,12,12,0.004737291019409895,True,12F/12AT
8b5315772ec96d8f624e:stress=sparse-flowon-outlier,development:2153:60ee21e822fc2128,sparse_flowon_outlier,12,12,0.00444591703126207,True,12F/12AT
d9f37f281d7e747279f0,development:2153:60ee21e822fc2128,nominal,12,12,0.004580250009894371,True,12F/12AT
d9f37f281d7e747279f0:stress=sparse-flowon-outlier,development:2153:60ee21e822fc2128,sparse_flowon_outlier,12,12,0.0041429169941693544,True,12F/12AT
6d9222ba5953629c05f9,development:2161:7ae13d5a74d37c97,nominal,12,12,0.004489083949010819,True,12F/12AT
6d9222ba5953629c05f9:stress=sparse-flowon-outlier,development:2161:7ae13d5a74d37c97,sparse_flowon_outlier,12,12,0.004548249999061227,True,12F/12AT
a994755ef2379015ae21,development:2161:7ae13d5a74d37c97,nominal,12,12,0.004489457991439849,True,12F/12AT
a994755ef2379015ae21:stress=sparse-flowon-outlier,development:2161:7ae13d5a74d37c97,sparse_flowon_outlier,12,12,0.004160124983172864,True,12F/12AT
