feature_set,alpha,geometry_cluster_count,mean_geometry_cluster_gain_vs_zero,worst_geometry_cluster_gain_vs_zero,selected
geometry_only,1e-08,4,0.008575647626439045,0.0031066477181347363,True
geometry_only,1e-06,4,0.008575647356544702,0.0031066478500467176,False
geometry_only,0.0001,4,0.008575620375214102,0.0031066610348901014,False
geometry_only,0.01,4,0.008573000936021175,0.0031079185304034307,False
geometry_only,1.0,4,0.008508679576124778,0.0031283635651813135,False
geometry_only,100.0,4,0.008525123196422374,0.003260402727016276,False
geometry_observation,1e-08,4,0.4487291170980942,0.36560918377991786,False
geometry_observation,1e-06,4,0.4487291169810387,0.3656091819414913,False
geometry_observation,0.0001,4,0.4487291052771296,0.36560899816191145,False
geometry_observation,0.01,4,0.44872795178889846,0.3655912303866603,False
geometry_observation,1.0,4,0.448700007037403,0.36520365880334216,False
geometry_observation,100.0,4,0.4495883826824022,0.3666844486575087,True
geometry_signal,1e-08,4,0.46249646085343465,0.3808899107041515,True
geometry_signal,1e-06,4,0.46249645731892025,0.3808898878385238,False
geometry_signal,0.0001,4,0.4624961038642438,0.38088760166746044,False
geometry_signal,0.01,4,0.4624607422051774,0.3806628272510386,False
geometry_signal,1.0,4,0.4605423865275298,0.37238834776339735,False
geometry_signal,100.0,4,0.45936583821679167,0.36803710921518784,False
curvature_visible,1e-08,4,0.618107624998546,0.4886491886848273,True
curvature_visible,1e-06,4,0.6181076223498213,0.48864915844920753,False
curvature_visible,0.0001,4,0.6181073574117276,0.48864613628615566,False
curvature_visible,0.01,4,0.6180803269733807,0.48835700007904054,False
curvature_visible,1.0,4,0.6164708516903891,0.4808845104730038,False
curvature_visible,100.0,4,0.6139811370811724,0.4769316835825862,False
