partition,base_seed,geometry_digest,family,case_id,candidate_id,kind,beta,field_relative_l2,field_rmse,field_nrmse_dynamic_range,field_mean_bias,h1_seminorm_relative_error,modeled_continuous_reprojection_relative_l2,raw_low_reprojection_relative_l2,modeled_correction_relative_norm,low_forward_calls,low_adjoint_calls,high_order_forward_calls,high_order_adjoint_calls,evaluator_only,runtime_seconds
calibration,1277,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,smooth_no_interface,9b8d0afa66c626630d5d,low_cgls25,low_reference,,0.5508661799640782,0.038958458535256424,0.056551945072334686,0.014094516241649157,1.0845874940227,0.0028730510644891178,0.0028730510644891178,0.0,25,25,0,0,False,0.008401416998822242
calibration,1277,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,smooth_no_interface,9b8d0afa66c626630d5d,direct_high_order_cgls25,direct_high_order_reference,,0.5935105168670515,0.04197435911406183,0.06092981448217999,0.016563528955820587,1.0654591550265127,0.003926562352290248,0.1316256553404834,0.0,0,0,25,25,False,0.007684874988626689
calibration,1277,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,smooth_no_interface,9b8d0afa66c626630d5d,component_damping_correction,damping,0.0,0.5307658204683985,0.037536917241856906,0.05448844132591121,0.015049932812603983,0.9503565879130631,0.005243650966199621,0.1565065888900049,0.1563445352804309,25,24,0,0,False,0.004059458966366947
calibration,1277,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,smooth_no_interface,9b8d0afa66c626630d5d,visible_curvature_correction,curvature,1.0,0.5278909781295613,0.037333602117192166,0.0541933098911803,0.014816127305911272,0.956887211223529,0.003217264628567465,0.18585524966837214,0.18581604141097546,25,24,0,0,False,0.0035674169776029885
calibration,1277,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,smooth_no_interface,9b8d0afa66c626630d5d,damping_curvature_half,damping_curvature,0.5,0.5280548163590504,0.03734518911436534,0.05421012953067136,0.014933879185795494,0.950923656743519,0.004118112977864701,0.16834881492758436,0.16821156258157915,25,24,0,0,False,0.003926749981474131
calibration,1277,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,smooth_no_interface,9b8d0afa66c626630d5d,damping_high_order_b0p25,damping_high_order,0.25,0.528841042501285,0.03740079274311521,0.05429084353931314,0.014944818124302695,0.9576480468525216,0.005424380275182799,0.14913188679028133,0.1489895416100146,25,24,1,0,False,0.0034924590145237744
calibration,1277,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,smooth_no_interface,9b8d0afa66c626630d5d,damping_high_order_b0p5,damping_high_order,0.5,0.5278654368814198,0.037331795784378764,0.05419068782557795,0.014840806651008632,0.9669124140354255,0.005259760129395394,0.1435036729337325,0.14338745217180307,25,24,1,0,False,0.003931624989490956
calibration,1277,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,smooth_no_interface,9b8d0afa66c626630d5d,damping_high_order_b0p75,damping_high_order,0.75,0.5275968980362684,0.037312804131152545,0.054163119616504427,0.014738885168747266,0.9771882044964918,0.0055487065846834315,0.13983498131594646,0.1397492307869006,25,24,1,0,False,0.003443000023253262
calibration,1277,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,smooth_no_interface,9b8d0afa66c626630d5d,damping_high_order_b1p0,damping_high_order,1.0,0.5282635636941377,0.0373599521815024,0.05423155954082124,0.01463710188191344,0.989072947093473,0.005601455811938095,0.13830463972613832,0.13823003184832947,25,24,1,0,False,0.003998750005848706
calibration,1277,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,smooth_no_interface,9b8d0afa66c626630d5d,exact_mismatch_oracle,exact_oracle,1.0,0.5213895342587685,0.03687380581697984,0.05352587139151433,0.014382908835987,0.985056278315602,0.0034760047111296083,0.19452817464128444,0.19445572526741273,25,24,0,0,True,0.003479000006336719
calibration,1277,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,single_interface,0df2064d6e220a501cc4,low_cgls25,low_reference,,0.7051139031566628,0.06199687644165208,0.08274136965966418,0.005103104069579766,1.2156864290910712,0.00031468176542627334,0.00031468176542627334,0.0,25,25,0,0,False,0.007951208972372115
calibration,1277,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,single_interface,0df2064d6e220a501cc4,direct_high_order_cgls25,direct_high_order_reference,,0.7766411809143043,0.06828588560952689,0.09113471561866393,0.006035215738053391,1.2137869392629417,0.00031767379325329604,0.19157684925135196,0.0,0,0,25,25,False,0.007658374961465597
calibration,1277,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,single_interface,0df2064d6e220a501cc4,component_damping_correction,damping,0.0,0.6996273230981306,0.06151447094028094,0.08209754864470754,0.005491861202608472,1.1036247023611336,0.0008641251304949504,0.16120998082270319,0.16122465155824814,25,24,0,0,False,0.0034725420409813523
calibration,1277,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,single_interface,0df2064d6e220a501cc4,visible_curvature_correction,curvature,1.0,0.6992540707929784,0.06148165287083076,0.08205374947010802,0.005500752134501908,1.1353263611406776,0.004113136831746876,0.15971728550451392,0.1598000132144486,25,24,0,0,False,0.0038174170185811818
calibration,1277,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,single_interface,0df2064d6e220a501cc4,damping_curvature_half,damping_curvature,0.5,0.6987039166681923,0.06143328077499556,0.08198919180700576,0.005497047959620428,1.1179182160737413,0.002129578775208438,0.15531737062040218,0.15535902182316152,25,24,0,0,False,0.003433374979067594
calibration,1277,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,single_interface,0df2064d6e220a501cc4,damping_high_order_b0p25,damping_high_order,0.25,0.6994207350291747,0.06149630676151772,0.08207330663259543,0.00548177971917719,1.0960262459377097,0.0008228039924111912,0.1685667023898045,0.16857786835438998,25,24,1,0,False,0.004047291993629187
calibration,1277,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,single_interface,0df2064d6e220a501cc4,damping_high_order_b0p5,damping_high_order,0.5,0.6994740470758768,0.061500994203301844,0.0820795625179832,0.00547180110806481,1.088968338214221,0.0008615649681856018,0.17702761376466963,0.17703581753935166,25,24,1,0,False,0.0034996659960597754
