candidate_id,partition,feature_set,basis_rank,target_l2,ridge_alpha,residual_shrinkage,geometry_cluster_count,case_count,mean_field_gain_over_low_cgls24,mean_h1_gain_over_low_cgls24,mean_field_gain_over_component_damping,mean_field_gain_over_high_order_teacher_b0p75,worst_case_field_gain_over_low_cgls24,worst_geometry_field_gain_over_low_cgls24,worst_case_field_gain_over_component_damping,case_harm_over_one_percent_rate_vs_low,case_harm_over_one_percent_rate_vs_component_damping,takeover_rate,fallback_rate,evaluator_mean_adjoint_residual_gain_over_component_damping,low_forward_calls,low_adjoint_calls,high_order_forward_calls,high_order_adjoint_calls,evaluator_only
adjlr_summary_r1_tl21em08_a1em02_s0p25,calibration,summary,1,1e-08,0.01,0.25,4,8,0.025026192810011214,0.10836992694947,0.002467699263641751,,0.00858077582286021,0.018509454303277884,0.0,0.0,0.0,0.875,0.125,0.09649291719521669,25,24,0,0,False
adjlr_summary_r1_tl21em08_a1em02_s0p5,calibration,summary,1,1e-08,0.01,0.5,4,8,0.02674672459077919,0.10264622615804249,0.004235552598707518,,0.009249009286089849,0.020105330200315796,0.0,0.0,0.0,0.875,0.125,0.18083057198717517,25,24,0,0,False
adjlr_summary_r1_tl21em08_a1em02_s0p75,calibration,summary,1,1e-08,0.01,0.75,4,8,0.027775719425732204,0.09631693813453383,0.005291232898533199,,0.009785656351907313,0.02117488562069547,0.0,0.0,0.0,0.875,0.125,0.24616715587728183,25,24,0,0,False
adjlr_summary_r1_tl21em08_a1em02_s1p0,calibration,summary,1,1e-08,0.01,1.0,4,8,0.028102692338258115,0.08942000222445969,0.005624052007125846,,0.01018993311265426,0.021704629003281184,0.0,0.0,0.0,0.875,0.125,0.2813603179318749,25,24,0,0,False
adjlr_summary_r1_tl21em08_a1e00_s0p25,calibration,summary,1,1e-08,1.0,0.25,4,8,0.024973312200535697,0.10837386411821724,0.0024131893207072624,,0.008585555578664361,0.018596866809272583,0.0,0.0,0.0,0.875,0.125,0.09434463808153759,25,24,0,0,False
adjlr_summary_r1_tl21em08_a1e00_s0p5,calibration,summary,1,1e-08,1.0,0.5,4,8,0.026710893636024344,0.10271900655292185,0.0041985823963750085,,0.009258606513507961,0.02031733928597912,0.0,0.0,0.0,0.875,0.125,0.17817359620801965,25,24,0,0,False
adjlr_summary_r1_tl21em08_a1e00_s0p75,calibration,summary,1,1e-08,1.0,0.75,4,8,0.027825426473141873,0.09651332371832079,0.005342401201619967,,0.009800203858133294,0.021538087001633843,0.0,0.0,0.0,0.875,0.125,0.2456190212238461,25,24,0,0,False
adjlr_summary_r1_tl21em08_a1e00_s1p0,calibration,summary,1,1e-08,1.0,1.0,4,8,0.02831197077525041,0.0897903799785049,0.005839612246863551,,0.01020963134643893,0.022262553794582807,0.0,0.0,0.0,0.875,0.125,0.28633340361689397,25,24,0,0,False
adjlr_summary_r1_tl21em08_a1e02_s0p25,calibration,summary,1,1e-08,100.0,0.25,4,8,0.024503943045559418,0.10933591888807007,0.0019313928543403386,,0.008638845374722814,0.018078592391325532,0.0,0.0,0.0,0.875,0.125,0.07436785186732771,25,24,0,0,False
adjlr_summary_r1_tl21em08_a1e02_s0p5,calibration,summary,1,1e-08,100.0,0.5,4,8,0.025970971430166787,0.10483424702045845,0.0034398254746677015,,0.009310816970379387,0.01942412409508726,0.0,0.0,0.0,0.875,0.125,0.14161445465192996,25,24,0,0,False
adjlr_summary_r1_tl21em08_a1e02_s0p75,calibration,summary,1,1e-08,100.0,0.75,4,8,0.027026299155885627,0.09997255497556994,0.004524465332649705,,0.009797259109467937,0.02041341202777397,-8.497126341033834e-05,0.0,0.0,0.875,0.125,0.19909714353810565,25,24,0,0,False
