partition,source_split,base_seed,family,case_id,geometry_digest,geometry_cluster_is_independent_unit,sensor_noise_enabled,camera_bias_enabled,truth_used_only_for_mismatch_evaluator_target,n1_6_deployment_uses_truth,n1_6_deployment_uses_high_order_output,n1_6_observation_source,synthetic_observation_noise_disabled
fit,train,1101,smooth_no_interface,64e63700fc6b4f7a4657,da6b2e0a6e4b84cedd4444d9dcd71503cd2c20378df2414960e3353b537c407a,True,False,False,True,False,False,case.inference.observations_uv,True
fit,train,1101,single_interface,512dc1a63cfb031818ec,da6b2e0a6e4b84cedd4444d9dcd71503cd2c20378df2414960e3353b537c407a,True,False,False,True,False,False,case.inference.observations_uv,True
fit,train,1117,smooth_no_interface,9056a6d4c3436bb62662,6e9580a3129907266672d77d7e0a5862c0c64f705f419909025d6c60da893585,True,False,False,True,False,False,case.inference.observations_uv,True
fit,train,1117,single_interface,f2350487d1e130bcaba1,6e9580a3129907266672d77d7e0a5862c0c64f705f419909025d6c60da893585,True,False,False,True,False,False,case.inference.observations_uv,True
fit,train,1129,smooth_no_interface,9cd4be420af598b4d576,eba4bb1a5f22d2276c9c091d92683cb17b958383e8a8f0ff49cbbb861995abdd,True,False,False,True,False,False,case.inference.observations_uv,True
fit,train,1129,single_interface,a642a6f69f5adcbfabd3,eba4bb1a5f22d2276c9c091d92683cb17b958383e8a8f0ff49cbbb861995abdd,True,False,False,True,False,False,case.inference.observations_uv,True
fit,train,1151,smooth_no_interface,ab8cb729603f0d714895,836c10eaba5383c8c7ec047f057ad9629f75aed88d72e7905084987515e4203d,True,False,False,True,False,False,case.inference.observations_uv,True
fit,train,1151,single_interface,c6c97d7dc148a6e9aa17,836c10eaba5383c8c7ec047f057ad9629f75aed88d72e7905084987515e4203d,True,False,False,True,False,False,case.inference.observations_uv,True
fit,train,1163,smooth_no_interface,ec0de5a94e2f03a51448,98e90ad43352dadcde3efe6826ae1511651c36520679a8b72030cbeda59dda3c,True,False,False,True,False,False,case.inference.observations_uv,True
fit,train,1163,single_interface,34aab77209d6e08706f8,98e90ad43352dadcde3efe6826ae1511651c36520679a8b72030cbeda59dda3c,True,False,False,True,False,False,case.inference.observations_uv,True
fit,train,1181,smooth_no_interface,6fd6e54af4981c9b6b86,cab5e54627605eb0e89ba28cf4ddb3d9ecfae4af54b4e6f0c4f64ea7713405e7,True,False,False,True,False,False,case.inference.observations_uv,True
fit,train,1181,single_interface,0cf99358254e39b6032a,cab5e54627605eb0e89ba28cf4ddb3d9ecfae4af54b4e6f0c4f64ea7713405e7,True,False,False,True,False,False,case.inference.observations_uv,True
fit,train,1193,smooth_no_interface,b573dd618eece310255d,3084924562523ce943ba2943cb3b13827f3424bcc313af78bb31ff80e74bd1c8,True,False,False,True,False,False,case.inference.observations_uv,True
fit,train,1193,single_interface,24c1af6f545c85823bb0,3084924562523ce943ba2943cb3b13827f3424bcc313af78bb31ff80e74bd1c8,True,False,False,True,False,False,case.inference.observations_uv,True
fit,train,1201,smooth_no_interface,0665c7907e18f3b47795,86f90bc98da3d4a2c72b47d55177a63c0c8b4d75b34583ef2c8294683179c008,True,False,False,True,False,False,case.inference.observations_uv,True
fit,train,1201,single_interface,23fc845f82125ad9dbf3,86f90bc98da3d4a2c72b47d55177a63c0c8b4d75b34583ef2c8294683179c008,True,False,False,True,False,False,case.inference.observations_uv,True
fit,train,1213,smooth_no_interface,97bdbd76ddc852dbe52d,75c35c11b41b23c353252dcc1d8b1f2855a07423640a2a113b5900aa47ddcc61,True,False,False,True,False,False,case.inference.observations_uv,True
fit,train,1213,single_interface,9ecb60912add6e742138,75c35c11b41b23c353252dcc1d8b1f2855a07423640a2a113b5900aa47ddcc61,True,False,False,True,False,False,case.inference.observations_uv,True
fit,train,1229,smooth_no_interface,9bd496dc17dc07e6245b,9f134cc3f709bd86732f24ba0a846a40bbfc8fc07190ab0826ad0f2cf36cd974,True,False,False,True,False,False,case.inference.observations_uv,True
fit,train,1229,single_interface,8907db4daff96081966a,9f134cc3f709bd86732f24ba0a846a40bbfc8fc07190ab0826ad0f2cf36cd974,True,False,False,True,False,False,case.inference.observations_uv,True
