partition,base_seed,family,case_id,geometry_digest,candidate_id,field_relative_l2,h1_seminorm_relative_l2,field_mean_bias,data_residual_relative_l2,fallback,fallback_reason,takeover,evaluator_only,basis_rank,warm_forward_calls,warm_adjoint_calls,warm_projection_forward_calls,setup_forward_calls,setup_adjoint_calls,refine_forward_calls,refine_adjoint_calls,low_forward_calls,low_adjoint_calls,high_order_forward_calls,high_order_adjoint_calls,shared_warm_seconds,deployment_setup_seconds,candidate_refine_seconds,end_to_end_seconds,coefficient_norm,coefficient_radius,coefficient_clipped,projection_target_residual_ratio,coefficient_evaluator_forward_calls,coefficient_evaluator_adjoint_calls,frozen_source_candidate_id,evaluator_search_forward_calls,evaluator_search_adjoint_calls,evaluator_search_unique_evaluations,high_order_teacher_setup_seconds
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,low_cgls24_matched,0.5507899534473952,1.0842750831006467,0.01409478436434498,0.00320838284856234,False,,True,False,,0,0,0,0,0,25,24,25,24,0,0,0.0,0.0,0.008271291968412697,0.008271291968412697,,,,,,,,,,,
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,component_damping,0.5307658204683985,0.9503565879130631,0.015049932812603983,0.005243650966199616,False,,True,False,,12,12,1,0,0,12,12,25,24,0,0,0.004256583983078599,0.0,0.003899207978975028,0.008155791962053627,,,,,,,,,,,
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,krylov_schedule_damping_anchor,0.5305861977983991,0.949952381625161,0.01505387148076037,0.006240022592356296,False,,True,False,4,12,12,1,2,2,10,10,25,24,0,0,0.004256583983078599,0.0006747500156052411,0.002833083039149642,0.007764417037833482,,,,,,,,,,,
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,measurement_projection_oracle,0.5291479665608463,0.9711880653469239,0.014808443919655637,0.0043571890040761865,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.004256583983078599,0.0006747500156052411,0.003251040994655341,0.008182374993339181,0.6113021608627021,0.7568119080194414,False,0.8825121693529198,0,0,,,,,
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,adjoint_projection_oracle,0.5289735755802565,0.9689044385155744,0.014828763311683524,0.005987614082289135,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.004256583983078599,0.0006747500156052411,0.0028181669767946005,0.0077495009754784405,0.5861831423935331,0.7568119080194414,False,0.852288393032337,0,5,,,,,
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,frozen_global_pca_rank4_probe_tax_oracle,0.5240450222833991,0.9890470520216516,0.01433161133369639,0.008261595252145492,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.004256583983078599,0.0006747500156052411,0.0032058749930001795,0.00813720899168402,0.7438027591612476,0.7568119080194414,False,0.49904710689748405,,,adjlr_camera_r4_tl21em02_a1e00_s1p0,,,,
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,truth_conditioned_finite_k_oracle_search,0.5288786688246014,0.9703937307159634,0.014819709303130204,0.007864137334895736,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.004256583983078599,0.0006747500156052411,0.0029703329782932997,0.00790166697697714,0.5926435157888087,0.7568119080194414,,,,,,2880,2880,288,
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,exact_mismatch_refine12_oracle,0.5213895342587685,0.985056278315602,0.014382908835987,0.003476004711129611,False,,True,True,,12,12,1,0,0,12,12,25,24,0,0,0.004256583983078599,0.0,0.003921957977581769,0.008178541960660368,,,,,,,,,,,
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,exact_mismatch_oracle,0.5215569589412228,0.9850491913929114,0.014373669924524157,0.004533569500628638,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.004256583983078599,0.0006747500156052411,0.0029330840334296227,0.007864418032113463,,,,,,,,,,,
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,high_order_teacher_b0p75,0.5268453824881707,0.9746201666038055,0.014727599920694938,0.007765953687369814,False,,True,True,4,12,12,1,2,2,10,10,25,24,1,0,0.004256583983078599,0.0006747500156052411,0.0031984589877538383,0.008129792986437678,,,,,,,,,,,0.00018750003073364496
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,low_cgls24_matched,0.705114037565221,1.215689402087825,0.0051031347209812405,0.00037155239051815285,False,,True,False,,0,0,0,0,0,25,24,25,24,0,0,0.0,0.0,0.008115499978885055,0.008115499978885055,,,,,,,,,,,
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,component_damping,0.6996273230981306,1.1036247023611336,0.005491861202608472,0.0008641251304949372,False,,True,False,,12,12,1,0,0,12,12,25,24,0,0,0.003760625026188791,0.0,0.0034156249603256583,0.007176249986514449,,,,,,,,,,,
