partition,base_seed,family,case_id,geometry_digest,candidate_id,field_relative_l2,requested_evaluations,unique_evaluations,evaluator_forward_calls,evaluator_adjoint_calls,optimizer_runs,successful_optimizer_runs,coefficient_norm,coefficient_radius,runtime_seconds,guaranteed_global_optimum
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,truth_conditioned_finite_k_oracle_search,0.5288786688246014,294,288,2880,2880,3,0,0.5926435157888087,0.7568119080194414,0.9984110420336947,False
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,truth_conditioned_finite_k_oracle_search,0.6983796676128915,291,277,2770,2770,3,1,0.26528694668826736,0.2652869466882673,0.9765800419845618,False
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,truth_conditioned_finite_k_oracle_search,0.5480965313237421,294,288,2880,2880,3,0,0.5798491061173591,0.6031269182160922,0.9810397920082323,False
calibration,1289,single_interface,a40d33fc9a6be98e818c,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,truth_conditioned_finite_k_oracle_search,0.6999407971501883,294,282,2820,2820,3,0,0.4488528178898166,0.4488528178898167,0.970682792016305,False
calibration,1301,smooth_no_interface,e3e22e519a90f76c2d83,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,truth_conditioned_finite_k_oracle_search,0.5213612904115466,294,288,2880,2880,3,0,0.5397925220101544,0.5397925220101544,0.9830762919737026,False
calibration,1301,single_interface,e1d39800258fd30cfa71,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,truth_conditioned_finite_k_oracle_search,0.68677021245879,294,280,2800,2800,3,0,0.5787756696582468,0.5787756696582468,0.9883648749673739,False
calibration,1319,smooth_no_interface,7b87be214410317a6167,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,truth_conditioned_finite_k_oracle_search,0.5076955217847015,294,288,2880,2880,3,0,0.5761627804756242,0.5761627804756242,0.9940659590065479,False
calibration,1319,single_interface,8fde45e2cd31f25d2999,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,truth_conditioned_finite_k_oracle_search,0.7124228106109923,294,288,2880,2880,3,0,0.9865282768022017,0.9865282768022017,1.001205625012517,False
development,2101,smooth_no_interface,4c9d66cf34fdb094dadd,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,truth_conditioned_finite_k_oracle_search,0.5823641092124445,292,278,2780,2780,3,1,0.21686022661496807,0.21686022661496804,0.9616747919935733,False
development,2101,single_interface,6640f706ad4875d3022d,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,truth_conditioned_finite_k_oracle_search,0.6520146322869526,281,275,2750,2750,3,1,0.7435853189209093,0.8332344734835511,0.945403375022579,False
development,2113,smooth_no_interface,317fb817e8498cce9453,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,truth_conditioned_finite_k_oracle_search,0.575278022722695,294,278,2780,2780,3,0,0.2319608592907945,0.2319608592907945,0.9429728749673814,False
development,2113,single_interface,a19120623d9d018341fe,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,truth_conditioned_finite_k_oracle_search,0.706331608862615,294,284,2840,2840,3,0,1.0039055473591953,1.0039055473591953,0.9873110830085352,False
development,2129,smooth_no_interface,2fbb12616f11afd7c91c,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,truth_conditioned_finite_k_oracle_search,0.5914814219593255,294,283,2830,2830,3,0,0.2506300149871237,0.2506300149871237,0.9652415000018664,False
development,2129,single_interface,244e6ac3deb3e11e693a,36bb2dcd6e5ff7a557ec387d9309886e32773f9207abe2c4e7d3cbdf6196b6f2,truth_conditioned_finite_k_oracle_search,0.6701209235390397,294,288,2880,2880,3,0,0.8829657431572431,0.9875529696454627,0.985619958024472,False
development,2141,smooth_no_interface,9f619eafbf24c823c56e,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,truth_conditioned_finite_k_oracle_search,0.6108044793497585,294,283,2830,2830,3,0,0.27206257361729536,0.27206257361729536,0.9587711250060238,False
development,2141,single_interface,5b5cfa89f87acb09b4ba,3af6026bc2086d33e33cf414dca8611f9aad194cc0990f290583fbede29d2dd6,truth_conditioned_finite_k_oracle_search,0.6736903817108846,294,277,2770,2770,3,0,0.6372022897004883,0.6372022897004883,0.9481960830162279,False
development,2153,smooth_no_interface,c67e153f11105dcd0f2c,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,truth_conditioned_finite_k_oracle_search,0.5582036940160218,292,277,2770,2770,3,1,0.3106035485804689,0.31060354858046885,0.9389042910188437,False
development,2153,single_interface,d1f773e0843797aa3ccb,60ee21e822fc2128ce363c269c73f8a60bcb26118efe11b0109dcc4e8646cd41,truth_conditioned_finite_k_oracle_search,0.6490424090109913,294,288,2880,2880,3,0,0.9850725038522177,0.9850725038522177,0.9917296670028009,False
development,2161,smooth_no_interface,a7807f272a639137f150,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,truth_conditioned_finite_k_oracle_search,0.5943958847638636,285,279,2790,2790,3,2,0.19392448779877292,0.19392448779877292,0.9487129999906756,False
development,2161,single_interface,99689ce39ea56bfb0b6d,7ae13d5a74d37c97d5a759d8b6eeb04732a95f5ca214902f3eae04898de4a597,truth_conditioned_finite_k_oracle_search,0.6478508393921711,294,288,2880,2880,3,0,0.8302495084174082,0.8302495084174081,0.9919041669927537,False
