candidate_id,partition,feature_set,basis_rank,target_l2,ridge_alpha,residual_shrinkage,geometry_cluster_count,case_count,mean_field_gain_over_low_cgls24,mean_h1_gain_over_low_cgls24,mean_field_gain_over_component_damping,mean_field_gain_over_high_order_teacher_b0p75,worst_case_field_gain_over_low_cgls24,worst_geometry_field_gain_over_low_cgls24,worst_case_field_gain_over_component_damping,case_harm_over_one_percent_rate_vs_low,case_harm_over_one_percent_rate_vs_component_damping,takeover_rate,fallback_rate,evaluator_mean_adjoint_residual_gain_over_component_damping,low_forward_calls,low_adjoint_calls,high_order_forward_calls,high_order_adjoint_calls,evaluator_only,mean_exact_oracle_field_gain_retention,family_mean_field_gain_over_component_damping
adjoint_projection_oracle,calibration,,4,,,,4,8,0.023749370927960034,0.0895998144722867,0.0011340545945892205,-0.0022314406185297703,0.010623099197720198,0.019225366842331615,-0.01097761001912878,0.0,0.125,1.0,0.0,0.25986648940047385,25,24,0,0,True,0.6204770189468473,"{'single_interface': 0.002217410521569152, 'smooth_no_interface': 5.0698667609289094e-05}"
component_damping,calibration,,,,,,4,8,0.022626092113877214,0.11346760582109977,0.0,-0.0033709824211915485,0.00778131504236701,0.016393248764962454,0.0,0.0,0.0,1.0,0.0,,25,24,0,0,False,0.5911301915246641,"{'single_interface': 0.0, 'smooth_no_interface': 0.0}"
exact_mismatch_oracle,calibration,,4,,,,4,8,0.03827598799431846,0.09196919583961981,0.016028400700628234,0.012711109027241554,0.012578883102592253,0.028831363706224133,0.0048351922141338655,0.0,0.0,1.0,0.0,1.0,25,24,0,0,True,1.0,"{'single_interface': 0.018492537474237375, 'smooth_no_interface': 0.013564263927019093}"
exact_mismatch_refine12_oracle,calibration,,,,,,4,8,0.03862055975477682,0.09184257388587848,0.016381938875630594,0.013065950152175085,0.012585612558395964,0.02900789400111342,0.0048419744446095425,0.0,0.0,1.0,0.0,1.0,25,24,0,0,True,1.009002295656209,"{'single_interface': 0.018865750412624782, 'smooth_no_interface': 0.013898127338636407}"
frozen_global_pca_rank4_probe_tax_oracle,calibration,,4,,,,4,8,0.03079553389295754,0.08668917764087704,0.008404282208767225,0.00507065558821343,0.010633202245799778,0.02466719740791551,0.0003303275110960735,0.0,0.0,1.0,0.0,0.5344600616230337,25,24,0,0,True,0.8045653556357242,"{'single_interface': 0.0059499903546280375, 'smooth_no_interface': 0.010858574062906412}"
high_order_teacher_b0p75,calibration,,4,,,,4,8,0.02588386706550351,0.11150351915977691,0.003354465129474432,0.0,0.007552701218047964,0.019847715012627387,-0.00023040669137253111,0.0,0.0,1.0,0.0,0.07468995900894634,25,24,1,0,True,0.6762429507853752,"{'single_interface': 0.0017482356710318558, 'smooth_no_interface': 0.004960694587917008}"
krylov_schedule_damping_anchor,calibration,,4,,,,4,8,0.022727883141378025,0.11383835991671494,0.00010469812818619806,-0.003265878537013031,0.007817136762586108,0.016498223769116582,-0.00035274494644133014,0.0,0.0,1.0,0.0,,25,24,0,0,False,0.593789587998399,"{'single_interface': 0.0001420485821726769, 'smooth_no_interface': 6.734767419971921e-05}"
low_cgls24_matched,calibration,,,,,,4,8,0.0,0.0,-0.02329031390756056,-0.02676169557615804,0.0,0.0,-0.037726869754584946,0.0,0.75,1.0,0.0,,25,24,0,0,False,0.0,"{'single_interface': -0.017429607869506036, 'smooth_no_interface': -0.029151019945615086}"
measurement_projection_oracle,calibration,,4,,,,4,8,0.02784707617282707,0.09377881845051389,0.005334953131845621,0.001979500906942766,0.010811272442195485,0.020665465290083895,0.0030481501354485685,0.0,0.0,1.0,0.0,0.2563869381191303,25,24,0,0,True,0.7275338307912674,"{'single_interface': 0.0066095019324539095, 'smooth_no_interface': 0.004060404331237333}"
truth_conditioned_finite_k_oracle_search,calibration,,4,,,,4,8,0.028933903731279992,0.09707004081034187,0.006449902783264197,0.0030976989501442648,0.010889676501589785,0.020737892755368303,0.0031327382827460726,0.0,0.0,1.0,0.0,0.21108978565665393,25,24,0,0,True,0.7559283312445084,"{'single_interface': 0.008243206814772197, 'smooth_no_interface': 0.004656598751756197}"
adjoint_projection_oracle,development,,4,,,,6,12,0.047546628545995694,0.08983078106986453,0.011668554818868202,0.0008684608362097002,-0.0022515591412015645,0.022061340366371696,-0.02293509871495103,0.0,0.08333333333333333,1.0,0.0,0.2902789026427461,25,24,0,0,True,0.5585436770595706,"{'single_interface': 0.028487814354161256, 'smooth_no_interface': -0.005150704716424852}"
component_damping,development,,,,,,6,12,0.03720064444663195,0.10774875470046907,0.0,-0.0113351301075173,0.0016665345630942907,0.010943165553555234,0.0,0.0,0.0,1.0,0.0,,25,24,0,0,False,0.43700647918930974,"{'single_interface': 0.0, 'smooth_no_interface': 0.0}"
exact_mismatch_oracle,development,,4,,,,6,12,0.08512607070641796,0.1146025413527871,0.051900854147615805,0.04207349356895073,0.02201611647556967,0.04438189866766257,0.007940172499303011,0.0,0.0,1.0,0.0,1.0,25,24,0,0,True,1.0,"{'single_interface': 0.09411780683450309, 'smooth_no_interface': 0.009683901460728525}"
exact_mismatch_refine12_oracle,development,,,,,,6,12,0.08616424290918634,0.11549593155940278,0.05305920758257187,0.04327615498849972,0.02203087355362543,0.04458297791452137,0.007955141973296387,0.0,0.0,1.0,0.0,1.0,25,24,0,0,True,1.0121957021409906,"{'single_interface': 0.09640256003355059, 'smooth_no_interface': 0.00971585513159314}"
frozen_global_pca_rank4_probe_tax_oracle,development,,4,,,,6,12,0.052655174445339285,0.08940358840601004,0.01727433155806975,0.006563661293579215,0.006790031519105955,0.017950173106349332,-0.0006010686064121806,0.0,0.0,1.0,0.0,0.4705650420374776,25,24,0,0,True,0.6185552088611723,"{'single_interface': 0.02712537919801115, 'smooth_no_interface': 0.007423283918128354}"
high_order_teacher_b0p75,development,,4,,,,6,12,0.0473413107574621,0.10827046335347555,0.011013366276942873,0.0,0.016661674373196322,0.02156629149633349,0.00250866488662127,0.0,0.0,1.0,0.0,0.17684262055148117,25,24,1,0,True,0.5561317509970874,"{'single_interface': 0.018818800484403393, 'smooth_no_interface': 0.003207932069482352}"
krylov_schedule_damping_anchor,development,,4,,,,6,12,0.03728387334893452,0.1078004367584174,7.9661728491572e-05,-0.011256434821076208,0.0019624590738995806,0.011103067142320289,-0.0007366555545833542,0.0,0.0,1.0,0.0,,25,24,0,0,False,0.43798419261613536,"{'single_interface': 0.00013703380438330934, 'smooth_no_interface': 2.2289652599834692e-05}"
low_cgls24_matched,development,,,,,,6,12,0.0,0.0,-0.04041775495623769,-0.05279998887587852,0.0,0.0,-0.18042607957932244,0.0,0.9166666666666666,1.0,0.0,,25,24,0,0,False,0.0,"{'single_interface': -0.062335163462689046, 'smooth_no_interface': -0.018500346449786337}"
measurement_projection_oracle,development,,4,,,,6,12,0.05555668597860586,0.10157661703392262,0.020126194725311464,0.009470552790390987,0.018228023609620392,0.030505320443424355,0.0031304954006673436,0.0,0.0,1.0,0.0,0.28364108843798125,25,24,0,0,True,0.6526400844954922,"{'single_interface': 0.03613344634721599, 'smooth_no_interface': 0.004118943103406936}"
truth_conditioned_finite_k_oracle_search,development,,4,,,,6,12,0.06186062977995565,0.1182532719581794,0.02730863807901916,0.016967966041192606,0.018348764489843683,0.030981358808206794,0.003982981100870475,0.0,0.0,1.0,0.0,0.24239282104411233,25,24,0,0,True,0.7266942931419922,"{'single_interface': 0.050334199044334206, 'smooth_no_interface': 0.0042830771137041075}"
