partition,base_seed,family,case_id,geometry_digest,candidate_id,field_relative_l2,requested_evaluations,unique_evaluations,evaluator_forward_calls,evaluator_adjoint_calls,optimizer_runs,successful_optimizer_runs,coefficient_norm,coefficient_radius,runtime_seconds,guaranteed_global_optimum
calibration,1277,smooth_no_interface,9b8d0afa66c626630d5d,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,truth_conditioned_finite_k_oracle_search,0.52887866334115,546,540,5400,5400,3,3,0.5918007166005617,3.0272476320777657,1.9703582910005935,False
calibration,1277,single_interface,0df2064d6e220a501cc4,c4cf361ae43294f9cb375ade50ea866adb04e2f825bfefa2fb76e06cb0b45817,truth_conditioned_finite_k_oracle_search,0.6974355737994059,333,327,3270,3270,3,3,0.8229836723446741,1.0611477867530692,1.1803759160102345,False
calibration,1289,smooth_no_interface,053736d143b5a7f2878b,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,truth_conditioned_finite_k_oracle_search,0.5480965108183191,504,498,4980,4980,3,3,0.5810227328743978,2.412507672864369,1.7401677910238504,False
calibration,1289,single_interface,a40d33fc9a6be98e818c,704fc49a3f795cf1f66e57049cc9760fdc462df788998b91a2eba1496b8e47f9,truth_conditioned_finite_k_oracle_search,0.6985980269494833,588,582,5820,5820,3,3,1.2010591469196497,1.7954112715592667,2.1215739580220543,False
calibration,1301,smooth_no_interface,e3e22e519a90f76c2d83,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,truth_conditioned_finite_k_oracle_search,0.5213561458097341,406,400,4000,4000,3,3,0.5679637121299378,2.1591700880406175,1.4020985829993151,False
calibration,1301,single_interface,e1d39800258fd30cfa71,ba10c2c2309f44c6b9acba2bf7b8f555f06419dfbb06395dffd5b3df5549c86a,truth_conditioned_finite_k_oracle_search,0.686490714661348,475,469,4690,4690,3,3,0.8902205958517431,2.315102678632987,1.6654426250024699,False
calibration,1319,smooth_no_interface,7b87be214410317a6167,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,truth_conditioned_finite_k_oracle_search,0.5076520108049702,519,513,5130,5130,3,3,0.6815838560444326,2.3046511219024968,1.7987451670342125,False
calibration,1319,single_interface,8fde45e2cd31f25d2999,9994b0e22742af206c9563c06670da48fe937f730a4a7f74e8007eeb8da65384,truth_conditioned_finite_k_oracle_search,0.7124116675759269,945,939,9390,9390,3,3,0.9457739126934694,3.9461131072088067,3.3643609159626067,False
development,2101,smooth_no_interface,4c9d66cf34fdb094dadd,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,truth_conditioned_finite_k_oracle_search,0.5813225459627328,554,548,5480,5480,3,3,0.6547160135076142,0.8674409064598722,1.9197212500148453,False
development,2101,single_interface,6640f706ad4875d3022d,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,truth_conditioned_finite_k_oracle_search,0.6520145529595556,554,548,5480,5480,3,3,0.7470021083403702,3.3329378939342043,1.9417731660068966,False
