partition,base_seed,family,case_id,geometry_digest,candidate_id,field_relative_l2,h1_seminorm_relative_l2,field_mean_bias,data_residual_relative_l2,fallback,fallback_reason,takeover,evaluator_only,basis_rank,warm_forward_calls,warm_adjoint_calls,warm_projection_forward_calls,setup_forward_calls,setup_adjoint_calls,refine_forward_calls,refine_adjoint_calls,low_forward_calls,low_adjoint_calls,high_order_forward_calls,high_order_adjoint_calls,shared_warm_seconds,deployment_setup_seconds,candidate_refine_seconds,end_to_end_seconds,coefficient_norm,coefficient_radius,coefficient_clipped,projection_target_residual_ratio,radius_applies_to_entire_correction,high_order_teacher_setup_seconds
development,2101,smooth_no_interface,4c9d66cf34fdb094dadd,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,low_cgls24_matched,0.5939943876165704,1.1556903277565407,0.020439217033215093,0.0003011258487458176,False,,True,False,,0,0,0,0,0,25,24,25,24,0,0,0.0,0.0,0.007824250031262636,0.007824250031262636,,,,,,
development,2101,smooth_no_interface,4c9d66cf34fdb094dadd,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,component_damping,0.583789920836748,1.026123713553776,0.022149966913796688,0.0009736429662346097,False,,True,False,,12,12,1,0,0,12,12,25,24,0,0,0.004097666998859495,0.0,0.0034643749822862446,0.0075620419811457396,,,,,,
development,2101,smooth_no_interface,4c9d66cf34fdb094dadd,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,krylov4_total_measurement_oracle,0.5814003334171031,1.0668686897757549,0.021357321881054877,0.00040914937611682023,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.004097666998859495,0.0009037500130943954,0.002999583026394248,0.008001000038348138,1.9018406335741,1.914639124467362,False,0.4008376655433316,True,
development,2101,smooth_no_interface,4c9d66cf34fdb094dadd,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,krylov4_total_adjoint_oracle,0.5852208406265348,1.0799185081318545,0.021417119738785677,0.003773146047577387,False,,True,True,4,12,12,1,2,2,10,10,25,24,0,0,0.004097666998859495,0.0009037500130943954,0.002865582995582372,0.007867000007536262,1.9146391244673617,1.914639124467362,True,0.36451174059815566,True,
development,2101,smooth_no_interface,4c9d66cf34fdb094dadd,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,fit_pca2_krylov6_total_measurement_oracle,0.5804435313847183,1.074062621224343,0.021088220351796125,0.0015883473455595106,False,,True,True,6,12,12,1,2,2,10,10,25,24,0,0,0.004097666998859495,0.0007514589815400541,0.002985415980219841,0.00783454196061939,1.914639124467362,1.914639124467362,True,0.32023629608454407,True,
development,2101,smooth_no_interface,4c9d66cf34fdb094dadd,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,fit_pca2_krylov6_total_adjoint_oracle,0.5815062452806268,1.078586916222796,0.02111844292177614,0.0028653289120066975,False,,True,True,6,12,12,1,2,2,10,10,25,24,0,0,0.004097666998859495,0.0007514589815400541,0.00318491697544232,0.008034042955841869,1.914639124467362,1.914639124467362,True,0.313590665268688,True,
development,2101,smooth_no_interface,4c9d66cf34fdb094dadd,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,camera_block6_total_measurement_oracle,0.5837693596182191,1.0386859744283992,0.021894346716370996,0.0016032049063633023,False,,True,True,6,12,12,1,0,0,12,12,25,24,0,0,0.004097666998859495,0.00022325001191347837,0.003483958018478006,0.007804875029250979,1.784250090125068,1.914639124467362,False,0.5111294831431458,True,
development,2101,smooth_no_interface,4c9d66cf34fdb094dadd,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,camera_block6_total_adjoint_oracle,0.5897637967158395,1.048528622513476,0.02200572767353479,0.0036483329860018576,False,,True,True,6,12,12,1,0,0,12,12,25,24,0,0,0.004097666998859495,0.00022325001191347837,0.003890250052791089,0.008211167063564062,1.914639124467362,1.914639124467362,True,0.4892929225810656,True,
development,2101,smooth_no_interface,4c9d66cf34fdb094dadd,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,pose_fourier_krylov6_total_measurement_oracle,0.5831098686758195,1.0353236161676986,0.022045114705283027,0.0025582020365680588,False,,True,True,6,12,12,1,2,2,10,10,25,24,0,0,0.004097666998859495,0.0007864999934099615,0.0038742920150980353,0.008758459007367492,1.7859656551076648,1.914639124467362,False,0.5097372349617851,True,
development,2101,smooth_no_interface,4c9d66cf34fdb094dadd,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,pose_fourier_krylov6_total_adjoint_oracle,0.5901109658122192,1.050921017602306,0.022231464372967188,0.006517042620767927,False,,True,True,6,12,12,1,2,2,10,10,25,24,0,0,0.004097666998859495,0.0007864999934099615,0.002814500010572374,0.00769866700284183,1.914639124467362,1.914639124467362,True,0.4844646281699586,True,
development,2101,smooth_no_interface,4c9d66cf34fdb094dadd,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,detector_moment_krylov6_total_measurement_oracle,0.583094810780069,1.0382210355055035,0.021931893905501414,0.0019800304482145256,False,,True,True,6,12,12,1,2,2,10,10,25,24,0,0,0.004097666998859495,0.0008102499996311963,0.00299987499602139,0.007907791994512081,1.7841735048494247,1.914639124467362,False,0.5111915155270422,True,
