partition,base_seed,family,case_id,geometry_digest,candidate_id,measurement_residual_ratio_to_component_damping,measurement_residual_gain_over_component_damping,adjoint_residual_ratio_to_component_damping,adjoint_residual_gain_over_component_damping,fresh_exact_mismatch_access,evaluator_only,evaluator_forward_calls,evaluator_adjoint_calls
development,2101,smooth_no_interface,4c9d66cf34fdb094dadd,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,residual_contrast_global_k6_total_measurement_oracle,0.7495130524472089,0.2504869475527911,0.7127594381152121,0.28724056188478786,True,True,0,2
development,2101,smooth_no_interface,4c9d66cf34fdb094dadd,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,residual_contrast_global_k6_total_adjoint_oracle,0.7867289471809891,0.21327105281901093,0.6999393988882965,0.3000606011117035,True,True,0,2
development,2101,smooth_no_interface,4c9d66cf34fdb094dadd,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,damping_contrast_global_k6_total_measurement_oracle,0.6630031896084243,0.3369968103915757,0.6163504666616869,0.3836495333383131,True,True,0,2
development,2101,smooth_no_interface,4c9d66cf34fdb094dadd,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,damping_contrast_global_k6_total_adjoint_oracle,0.6964503945458257,0.3035496054541743,0.6011406632414263,0.39885933675857366,True,True,0,2
development,2101,smooth_no_interface,4c9d66cf34fdb094dadd,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,exact_mismatch_oracle,0.0,1.0,0.0,1.0,True,True,0,2
development,2101,smooth_no_interface,4c9d66cf34fdb094dadd,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,high_order_teacher_b0p75,0.843005642648679,0.15699435735132095,0.8866012329783588,0.1133987670216412,True,True,0,2
development,2101,single_interface,6640f706ad4875d3022d,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,residual_contrast_global_k6_total_measurement_oracle,0.8380920475819041,0.16190795241809586,0.8269481359959558,0.17305186400404415,True,True,0,2
development,2101,single_interface,6640f706ad4875d3022d,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,residual_contrast_global_k6_total_adjoint_oracle,0.8807690275665876,0.11923097243341241,0.8049915905685705,0.1950084094314295,True,True,0,2
development,2101,single_interface,6640f706ad4875d3022d,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,damping_contrast_global_k6_total_measurement_oracle,0.7236771349854826,0.2763228650145174,0.6638751910936623,0.33612480890633767,True,True,0,2
development,2101,single_interface,6640f706ad4875d3022d,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,damping_contrast_global_k6_total_adjoint_oracle,0.7573731560066596,0.24262684399334045,0.6459402267683673,0.35405977323163274,True,True,0,2
development,2101,single_interface,6640f706ad4875d3022d,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,exact_mismatch_oracle,0.0,1.0,0.0,1.0,True,True,0,2
development,2101,single_interface,6640f706ad4875d3022d,d7d9a77030834a1d7c68fd7cb90ccb77b27a0a5150e300a36906409316802f1c,high_order_teacher_b0p75,0.8173211617968789,0.18267883820312114,0.7732688270637003,0.22673117293629974,True,True,0,2
development,2113,smooth_no_interface,317fb817e8498cce9453,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,residual_contrast_global_k6_total_measurement_oracle,0.7262375245308107,0.2737624754691893,0.6450900188136617,0.3549099811863383,True,True,0,2
development,2113,smooth_no_interface,317fb817e8498cce9453,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,residual_contrast_global_k6_total_adjoint_oracle,0.7452003897825605,0.25479961021743947,0.636408746485582,0.363591253514418,True,True,0,2
development,2113,smooth_no_interface,317fb817e8498cce9453,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,damping_contrast_global_k6_total_measurement_oracle,0.672858695134973,0.327141304865027,0.5922812733824863,0.40771872661751374,True,True,0,2
development,2113,smooth_no_interface,317fb817e8498cce9453,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,damping_contrast_global_k6_total_adjoint_oracle,0.6899066363904395,0.3100933636095605,0.5830486469745413,0.4169513530254587,True,True,0,2
development,2113,smooth_no_interface,317fb817e8498cce9453,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,exact_mismatch_oracle,0.0,1.0,0.0,1.0,True,True,0,2
development,2113,smooth_no_interface,317fb817e8498cce9453,ec64a4d4fb310d8d58a2748557517a78052d01dfa8f37cb26753c6c3fa6fe83a,high_order_teacher_b0p75,0.8413875466319503,0.15861245336804974,0.8381565415380428,0.16184345846195725,True,True,0,2
