adjoint_calls_per_case,bootstrap_mean_field_gain_95_interval_percent,case_count,evaluator_adjoint_calls_per_case,evaluator_forward_calls_per_case,field_harm_over_one_percent_rate,forward_calls_per_case,heldout_b_valid_case_count,maximum_measurement_direction_orthogonality_defect,maximum_residual_increase,mean_a_clean_residual_ratio,mean_a_measured_residual_ratio,mean_field_gain_percent,mean_front_f1_gain_percent,mean_gradient_gain_percent,mean_heldout_b_clean_residual_ratio,mean_wall_seconds_per_case,median_field_gain_percent,method,p10_field_gain_percent,split,worst_field_gain_percent
[24],"[0.0, 0.0]",24,[0],[1],0.0,[24],24,3.5762786865234375e-07,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0953956477023894,0.0,anchored_delta_zero,0.0,test_exact_operator_control,-0.0
[24],"[49.13883411400689, 55.002356781366124]",24,[0],[1],0.0,[24],24,,,1.5943098436650447,1.9239162107350853,52.155715366748616,67.33945698360381,51.57704223463602,0.39381476934245757,0.031176053710320655,53.916998032007015,inverse_sobolev5_24,43.681215970559464,test_exact_operator_control,32.13704403531637
[24],"[1.0276389048658268, 1.1330935864394214]",24,[0],[1],0.0,[24],24,3.5762786865234375e-07,0.0,0.9929031166611498,0.9917934698169505,1.0811580239689287,0.33560116918806965,0.9897389443588335,0.994936143247991,0.09769978978147265,1.084779414447964,linear_observable,0.9285924748875272,test_exact_operator_control,0.7344913967556495
[24],"[0.0, 1.6608979252661041e-06]",24,[0],[1],0.0,[24],24,3.5762786865234375e-07,0.0,0.9999999849530582,0.9999999776836356,5.53632641755368e-07,0.0,-3.7897995271846114e-07,0.9999999833991188,0.09653756263044973,0.0,one_point_zero_five_g,0.0,test_exact_operator_control,-0.0
[24],"[-0.007044916035566727, -0.0031834383686165525]",24,[0],[1],0.0,[24],24,4.76837158203125e-07,0.0,0.9997532570769728,0.9996827404656382,-0.005158633877292766,0.0011792993363772635,-0.04704876609310954,1.000047324501564,0.09869814245515347,-0.005633991863504233,random_angular_seed_2026072001,-0.011123995137595,test_exact_operator_control,-0.011952221679618935
[24],"[-0.01688140929148608, -0.007763454100189318]",24,[0],[1],0.0,[24],24,3.5762786865234375e-07,0.0,1.0001621447684441,1.0001753384519525,-0.012329439295737793,0.054290714640977566,-0.04781700555238739,1.0002567008532555,0.09661341855826322,-0.011504806339997366,random_angular_seed_2026072002,-0.02596770111545471,test_exact_operator_control,-0.030025633884501662
[24],"[-0.013479900564370833, -0.01033155857278434]",24,[0],[1],0.0,[24],24,4.76837158203125e-07,0.0,1.0003020629528527,1.000331612148228,-0.01188268214134311,0.07305022146567137,-0.052451503406659196,1.0001754040380166,0.09579626917062949,-0.011027926744562124,random_angular_seed_2026072003,-0.01673112689277927,test_exact_operator_control,-0.021037216409864803
[24],"[0.41105679156821234, 0.6425225313395164]",24,[0],[1],0.0,[24],24,3.5762786865234375e-07,0.0,0.9944011624005866,0.9937055256021355,0.5316592689821592,0.1097734156354996,0.4685663994439962,0.9982691051624591,0.09605739592613342,0.5104257943514166,train_fitted_fixed,0.28805669890832863,test_exact_operator_control,-0.2962035883552265
[24],"[1.1455314951085567, 1.2507007343782]",24,[1],[1],0.0,[24],24,4.76837158203125e-07,0.0,0.9923164945182285,0.9911419521234747,1.1979762225027126,0.4032853316076461,1.1875760580077188,0.9880742014903822,0.09818339761598811,1.1890555490150772,truth_angular_oracle,1.0217795839388801,test_exact_operator_control,0.9996991189159437
[24],"[0.0, 0.0]",24,[0],[1],0.0,[24],24,4.76837158203125e-07,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.09031456959686086,0.0,anchored_delta_zero,0.0,test_family_ood,-0.0
[24],"[42.45611682683048, 47.3732259759075]",24,[0],[1],0.0,[24],24,,,4.177972262308034,4.530329690927569,45.06282442244525,30.584432328627628,39.50805552469251,0.5072969444478911,0.02831081432426193,45.307997956430185,inverse_sobolev5_24,40.201878763227334,test_family_ood,28.070454894264174
[24],"[0.994361391259763, 1.1051971819189301]",24,[0],[1],0.0,[24],24,4.76837158203125e-07,0.0,0.9924271356927195,0.9916943499467532,1.0541661332440808,0.2956358587661566,0.843186754353194,0.9948786321402358,0.09080324120683751,1.0492518598728087,linear_observable,0.9219608496301986,test_family_ood,0.5690350240082391
[24],"[-1.0870057657370004e-06, 1.1045382903265885e-06]",24,[0],[1],0.0,[24],24,4.172325134277344e-07,0.0,1.000000027234089,0.9999999991435938,7.227250145364658e-09,0.0,-3.48937030551006e-07,1.000000017168441,0.09070050007236811,0.0,one_point_zero_five_g,0.0,test_family_ood,-6.595038394335021e-06
[24],"[-0.008017309555268899, -0.004326896795547215]",24,[0],[1],0.0,[24],24,4.76837158203125e-07,0.0,0.999471280684303,0.9996793741515618,-0.006158111490740242,0.033959305037717234,-0.04503190187338321,0.999834670471842,0.0906742273606748,-0.00535618598694231,random_angular_seed_2026072001,-0.012154216084030224,test_family_ood,-0.017337890382949202
[24],"[-0.018299381733180235, -0.01134658532871519]",24,[0],[1],0.0,[24],24,4.172325134277344e-07,0.0,1.0001606873977542,1.0003472199663475,-0.014728445695285496,-0.054767111665024126,-0.04408308753755902,1.0001687736603773,0.0902131771532974,-0.01514803392491575,random_angular_seed_2026072002,-0.026157451250544587,test_family_ood,-0.035079305630827
[24],"[-0.015121437657313854, -0.010929705173898862]",24,[0],[1],0.0,[24],24,4.172325134277344e-07,0.0,1.0003244864839231,1.0004752317510384,-0.013079503589458702,0.03291204446848959,-0.04727595512149418,1.000100217237281,0.09045891658267162,-0.014109778041779701,random_angular_seed_2026072003,-0.019528769928490435,test_family_ood,-0.020694505726579854
[24],"[0.4247462014582582, 0.7840973692866723]",24,[0],[1],0.0,[24],24,3.5762786865234375e-07,0.0,0.9942306790528921,0.9938816132156475,0.6149167343310996,0.035151283297994114,0.4892818851116239,0.9973362898740187,0.08933988904270034,0.825739917818251,train_fitted_fixed,-0.1170635230062305,test_family_ood,-0.4489871116767187
[24],"[1.1894496607566443, 1.3114742451778916]",24,[1],[1],0.0,[24],24,4.172325134277344e-07,0.0,0.9915367511310894,0.9905061748535103,1.2465267624167027,0.3454377814542607,1.2353177493404877,0.9875650217887566,0.09016229848687847,1.211943122895676,truth_angular_oracle,1.0953142321394165,test_family_ood,1.0442273851789645
[24],"[0.0, 0.0]",24,[0],[1],0.0,[24],24,3.5762786865234375e-07,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.09686459191531564,0.0,anchored_delta_zero,0.0,test_geometry_ood,-0.0
[24],"[44.35315352283013, 49.93484720129598]",24,[0],[1],0.0,[24],24,,,1.1839700171911025,1.461190660614692,47.13414707610334,49.53048100661405,44.52487964067009,0.4383512355986056,0.032004227434905864,47.705745069764404,inverse_sobolev5_24,37.68788143684288,test_geometry_ood,35.34853421504021
[24],"[0.8340944822583551, 0.9517683850861918]",24,[0],[1],0.0,[24],24,5.364418029785156e-07,0.0,0.9932467589745645,0.9924657884735743,0.8919707282589102,0.2945474524055896,0.832566499131887,0.995219316691346,0.10441439767115905,0.8687633455829569,linear_observable,0.7378564928511133,test_geometry_ood,0.6517556036852259
