bootstrap_mean_field_gain_95_interval_vs_validation_fixed_percent,case_count,field_harm_over_one_percent_rate_vs_validation_fixed,maximum_selected_iteration,mean_a_clean_residual_ratio_vs_k24,mean_a_clean_residual_ratio_vs_validation_fixed,mean_a_measured_residual_ratio_vs_k24,mean_a_measured_residual_ratio_vs_validation_fixed,mean_field_gain_vs_k24_percent,mean_field_gain_vs_validation_fixed_percent,mean_field_relative_l2,mean_front_f1_gain_vs_k24_percent,mean_front_f1_gain_vs_validation_fixed_percent,mean_front_top10_f1,mean_gradient_gain_vs_k24_percent,mean_gradient_gain_vs_validation_fixed_percent,mean_gradient_relative_l2,mean_heldout_b_residual_ratio_vs_k24,mean_heldout_b_residual_ratio_vs_validation_fixed,mean_selected_iteration,median_field_gain_vs_validation_fixed_percent,median_selected_iteration,method,minimum_selected_iteration,p10_field_gain_vs_validation_fixed_percent,selected_iteration_iqr,split,unique_selected_iteration_count,worst_field_gain_vs_validation_fixed_percent
"[0.0, 0.0]",24,0.0,24,1.0,1.0,1.0,1.0,0.0,0.0,0.9147135019302368,0.0,0.0,0.3895585425198078,0.0,0.0,1.3443134526411693,1.0,1.0,24.0,0.0,24.0,active_measured_min_k,24,0.0,0.0,test_exact_operator_control,1,-0.0
"[0.0, 0.0]",24,0.0,24,1.0,1.0,1.0,1.0,0.0,0.0,0.9147135019302368,0.0,0.0,0.3895585425198078,0.0,0.0,1.3443134526411693,1.0,1.0,24.0,0.0,24.0,fixed_k24,24,0.0,0.0,test_exact_operator_control,1,-0.0
"[-0.11443979123488268, 0.0]",24,0.0,24,1.0571668148447686,1.0571668148447686,1.064111199115376,1.064111199115376,-0.042339151461839,-0.042339151461839,0.9151086161533991,0.10065313356234629,0.10065313356234629,0.3899654187262058,0.17286879609042358,0.17286879609042358,1.3420727302630742,0.9998306077054848,0.9998306077054848,23.25,0.0,24.0,heldout_b_clean_oracle_k,13,-0.037909096077605814,0.0,test_exact_operator_control,4,-0.7684315710083495
"[-4.244463792506359, -3.4728584446209636]",24,1.0,4,6.276297368122703,6.276297368122703,6.711555667676976,6.711555667676976,-3.8434771159032093,-3.8434771159032093,0.9497730135917664,-2.089148956745177,-2.089148956745177,0.38156088317433995,12.849519638974511,12.849519638974511,1.169647013147672,1.1786572094062746,1.1786572094062746,4.0,-3.5172316518766698,4.0,historical_fixed_k4,4,-4.785276621473679,0.0,test_exact_operator_control,1,-5.991432238755602
"[-0.041491288879603905, -0.008836296126766124]",24,0.0,24,1.0171927368076255,1.0171927368076255,1.0281969335894139,1.0281969335894139,-0.02412364541280552,-0.02412364541280552,0.9149324024717013,-0.042216104849344654,-0.042216104849344654,0.3893805307646592,0.09568087815072031,0.09568087815072031,1.3430576076110203,1.001113130969875,1.001113130969875,23.375,0.0,24.0,sensor_noise_discrepancy_first_crossing,21,-0.09504496508712024,1.0,test_exact_operator_control,4,-0.12701708619864807
"[0.0, 0.0]",24,0.0,24,1.0,1.0,1.0,1.0,0.0,0.0,0.9147135019302368,0.0,0.0,0.3895585425198078,0.0,0.0,1.3443134526411693,1.0,1.0,24.0,0.0,24.0,truth_field_oracle_k,24,0.0,0.0,test_exact_operator_control,1,-0.0
"[-7.546215259631261, -6.501744322420352]",24,1.0,1,12.727184396983455,12.727184396983455,13.595415578268883,13.595415578268883,-7.020129741631119,-7.020129741631119,0.9787586728731791,-8.730761490973665,-8.730761490973665,0.3560421094298363,21.955500736810666,21.955500736810666,1.0466027557849884,1.3627605678287569,1.3627605678287569,1.0,-6.819123225333495,1.0,truth_gradient_oracle_k,1,-8.848248251597305,0.0,test_exact_operator_control,1,-9.15787431317154
"[0.0, 0.0]",24,0.0,24,1.0,1.0,1.0,1.0,0.0,0.0,0.9147135019302368,0.0,0.0,0.3895585425198078,0.0,0.0,1.3443134526411693,1.0,1.0,24.0,0.0,24.0,validation_global_fixed_k,24,0.0,0.0,test_exact_operator_control,1,-0.0
"[0.0, 0.0]",24,0.0,24,1.0,1.0,1.0,1.0,0.0,0.0,0.9074093699455261,0.0,0.0,0.41952491613725823,0.0,0.0,1.2702278941869736,1.0,1.0,24.0,0.0,24.0,active_measured_min_k,24,0.0,0.0,test_family_ood,1,-0.0
"[0.0, 0.0]",24,0.0,24,1.0,1.0,1.0,1.0,0.0,0.0,0.9074093699455261,0.0,0.0,0.41952491613725823,0.0,0.0,1.2702278941869736,1.0,1.0,24.0,0.0,24.0,fixed_k24,24,0.0,0.0,test_family_ood,1,-0.0
"[-0.07928412616030507, 0.0]",24,0.0,24,1.0359349052761144,1.0359349052761144,1.0400042759059582,1.0400042759059582,-0.026428042053435023,-0.026428042053435023,0.9076573972900709,-0.020859407911531482,-0.020859407911531482,0.4194231970856587,0.05712997985527263,0.05712997985527263,1.2696143786112468,0.9999595017933945,0.9999595017933945,23.541666666666668,0.0,24.0,heldout_b_clean_oracle_k,13,0.0,0.0,test_family_ood,2,-0.6342730092824406
"[-4.594551171139485, -3.7867338145933]",24,1.0,4,5.921405924808934,5.921405924808934,6.3241469737807146,6.3241469737807146,-4.201764046664148,-4.201764046664148,0.9453907534480095,-5.544872284794408,-5.544872284794408,0.3944766968488693,11.43603039042307,11.43603039042307,1.1219851175944011,1.1952631552583366,1.1952631552583366,4.0,-4.297408072848425,4.0,historical_fixed_k4,4,-5.320854522811256,0.0,test_family_ood,1,-5.670745767222704
"[-0.014732151078209308, 0.0]",24,0.0,24,1.0037474730387959,1.0037474730387959,1.0052303539484175,1.0052303539484175,-0.004910717026069769,-0.004910717026069769,0.9074535568555196,0.0266331234913831,0.0266331234913831,0.4196393483628829,0.024544990762322926,0.024544990762322926,1.269882430632909,1.0002802981900736,1.0002802981900736,23.875,0.0,24.0,sensor_noise_discrepancy_first_crossing,21,0.0,0.0,test_family_ood,2,-0.11785720862567446
"[0.0, 0.0]",24,0.0,24,1.0,1.0,1.0,1.0,0.0,0.0,0.9074093699455261,0.0,0.0,0.41952491613725823,0.0,0.0,1.2702278941869736,1.0,1.0,24.0,0.0,24.0,truth_field_oracle_k,24,0.0,0.0,test_family_ood,1,-0.0
"[-8.251690727683066, -6.95710452902564]",24,1.0,1,12.184900165095518,12.184900165095518,12.981188089871049,12.981188089871049,-7.627190879946364,-7.627190879946364,0.9763549839456876,-11.575055387670895,-11.575055387670895,0.37105613201856613,18.886945829896472,18.886945829896472,1.0257750948270161,1.4322955707998741,1.4322955707998741,1.0,-7.847166202683908,1.0,truth_gradient_oracle_k,1,-9.456630689434105,0.0,test_family_ood,1,-9.671445500134714
"[0.0, 0.0]",24,0.0,24,1.0,1.0,1.0,1.0,0.0,0.0,0.9074093699455261,0.0,0.0,0.41952491613725823,0.0,0.0,1.2702278941869736,1.0,1.0,24.0,0.0,24.0,validation_global_fixed_k,24,0.0,0.0,test_family_ood,1,-0.0
"[0.0, 0.0]",24,0.0,24,1.0,1.0,1.0,1.0,0.0,0.0,0.9320018067955971,0.0,0.0,0.378534734249115,0.0,0.0,1.3210840274890263,1.0,1.0,24.0,0.0,24.0,active_measured_min_k,24,0.0,0.0,test_geometry_ood,1,-0.0
"[0.0, 0.0]",24,0.0,24,1.0,1.0,1.0,1.0,0.0,0.0,0.9320018067955971,0.0,0.0,0.378534734249115,0.0,0.0,1.3210840274890263,1.0,1.0,24.0,0.0,24.0,fixed_k24,24,0.0,0.0,test_geometry_ood,1,-0.0
"[-0.06536704435066824, 0.0]",24,0.0,24,1.0548923898350793,1.0548923898350793,1.0566737630069183,1.0566737630069183,-0.02178901478355608,-0.02178901478355608,0.9322067474325498,0.08885582323946306,0.08885582323946306,0.3788907540341218,0.08821076207305988,0.08821076207305988,1.3199621538321178,0.9999744346329589,0.9999744346329589,23.541666666666668,0.0,24.0,heldout_b_clean_oracle_k,13,0.0,0.0,test_geometry_ood,2,-0.522936354805346
"[-3.6616622764018976, -2.829807840689873]",24,1.0,4,6.26789261246505,6.26789261246505,6.65838413532209,6.65838413532209,-3.234616795110338,-3.234616795110338,0.9620048378904661,-1.4648419994582322,-1.4648419994582322,0.37324535101652145,13.224353242510281,13.224353242510281,1.1445663770039876,1.1293776176172838,1.1293776176172838,4.0,-2.9563954888229675,4.0,historical_fixed_k4,4,-4.978535632191803,0.0,test_geometry_ood,1,-5.320281612008613
"[-0.010330541562876749, 0.0]",24,0.0,24,1.0074783414221427,1.0074783414221427,1.0109604237594214,1.0109604237594214,-0.004766199118640195,-0.004766199118640195,0.9320469349622726,-0.05402112790234783,-0.05402112790234783,0.3783567249774933,0.03328496372999781,0.03328496372999781,1.3206513077020645,1.0003490359378842,1.0003490359378842,23.75,0.0,24.0,sensor_noise_discrepancy_first_crossing,22,-0.02192422694016774,0.0,test_geometry_ood,2,-0.04451473955389242
"[0.0, 0.0]",24,0.0,24,1.0,1.0,1.0,1.0,0.0,0.0,0.9320018067955971,0.0,0.0,0.378534734249115,0.0,0.0,1.3210840274890263,1.0,1.0,24.0,0.0,24.0,truth_field_oracle_k,24,0.0,0.0,test_geometry_ood,1,-0.0
"[-6.248779241503321, -5.088052564750294]",24,1.0,1,12.388020956485882,12.388020956485882,13.148503023114182,13.148503023114182,-5.649473312002701,-5.649473312002701,0.9844275563955307,-5.629401178451549,-5.629401178451549,0.35752975195646286,21.203915820341617,21.203915820341617,1.0385666290918987,1.281770957043487,1.281770957043487,1.0,-5.236189512594951,1.0,truth_gradient_oracle_k,1,-8.182890969799235,0.0,test_geometry_ood,1,-8.715660247509296
"[0.0, 0.0]",24,0.0,24,1.0,1.0,1.0,1.0,0.0,0.0,0.9320018067955971,0.0,0.0,0.378534734249115,0.0,0.0,1.3210840274890263,1.0,1.0,24.0,0.0,24.0,validation_global_fixed_k,24,0.0,0.0,test_geometry_ood,1,-0.0
"[0.0, 0.0]",24,0.0,24,1.0,1.0,1.0,1.0,0.0,0.0,0.918191947042942,0.0,0.0,0.3878420256078243,0.0,0.0,1.3712430497010548,1.0,1.0,24.0,0.0,24.0,active_measured_min_k,24,0.0,0.0,test_iid,1,-0.0
"[0.0, 0.0]",24,0.0,24,1.0,1.0,1.0,1.0,0.0,0.0,0.918191947042942,0.0,0.0,0.3878420256078243,0.0,0.0,1.3712430497010548,1.0,1.0,24.0,0.0,24.0,fixed_k24,24,0.0,0.0,test_iid,1,-0.0
"[-0.07256591481929464, 0.0]",24,0.0,24,1.0433276308645123,1.0433276308645123,1.0487898399708928,1.0487898399708928,-0.0321484056783463,-0.0321484056783463,0.918492873509725,-0.06973273178625786,-0.06973273178625786,0.3875750129421552,0.15185762653585602,0.15185762653585602,1.3691636274258296,0.9997346023581525,0.9997346023581525,23.333333333333332,0.0,24.0,heldout_b_clean_oracle_k,17,-0.1064935173861667,0.0,test_iid,4,-0.35059207936840153
"[-4.400808658312761, -3.606173700741548]",24,1.0,4,6.213626593635834,6.213626593635834,6.481332981814226,6.481332981814226,-3.9912172760964766,-3.9912172760964766,0.9547174796462059,-3.943067780378895,-3.943067780378895,0.3723934491475423,14.65756555478269,14.65756555478269,1.169673666357994,1.1645033192125105,1.1645033192125105,4.0,-3.7581933627840423,4.0,historical_fixed_k4,4,-5.3430218342085105,0.0,test_iid,1,-6.616654246628792
"[-0.026124751162383733, 0.0]",24,0.0,24,1.0062433220639064,1.0062433220639064,1.0115021802317887,1.0115021802317887,-0.009722427266445814,-0.009722427266445814,0.9182806586225828,-0.00953435687201133,-0.00953435687201133,0.3878038823604584,0.051355514831455416,0.051355514831455416,1.3705503195524216,1.0006710504622662,1.0006710504622662,23.75,0.0,24.0,sensor_noise_discrepancy_first_crossing,21,0.0,0.0,test_iid,2,-0.16031751910781053
"[0.0, 0.0]",24,0.0,24,1.0,1.0,1.0,1.0,0.0,0.0,0.918191947042942,0.0,0.0,0.3878420256078243,0.0,0.0,1.3712430497010548,1.0,1.0,24.0,0.0,24.0,truth_field_oracle_k,24,0.0,0.0,test_iid,1,-0.0
"[-7.431752916485733, -6.325721094783073]",24,1.0,1,12.094999216222133,12.094999216222133,12.613164654486136,12.613164654486136,-6.861887207782689,-6.861887207782689,0.9809776296218237,-10.748981708461946,-10.748981708461946,0.3462007933606704,23.56710104647968,23.56710104647968,1.0470110873381298,1.3457519847685695,1.3457519847685695,1.0,-6.272123636335693,1.0,truth_gradient_oracle_k,1,-8.629305528185883,0.0,test_iid,1,-9.98815909684874
"[0.0, 0.0]",24,0.0,24,1.0,1.0,1.0,1.0,0.0,0.0,0.918191947042942,0.0,0.0,0.3878420256078243,0.0,0.0,1.3712430497010548,1.0,1.0,24.0,0.0,24.0,validation_global_fixed_k,24,0.0,0.0,test_iid,1,-0.0
"[0.0, 0.0]",24,0.0,24,1.0,1.0,1.0,1.0,0.0,0.0,0.9256021430095037,0.0,0.0,0.39324341466029483,0.0,0.0,1.2842876315116882,1.0,1.0,24.0,0.0,24.0,active_measured_min_k,24,0.0,0.0,test_joint_ood,1,-0.0
"[0.0, 0.0]",24,0.0,24,1.0,1.0,1.0,1.0,0.0,0.0,0.9256021430095037,0.0,0.0,0.39324341466029483,0.0,0.0,1.2842876315116882,1.0,1.0,24.0,0.0,24.0,fixed_k24,24,0.0,0.0,test_joint_ood,1,-0.0
