case_id,case_index,family,active_views,relative_noise,method,edge_tilt_ratio,h1_iterations,correction_iterations,field_relative_l2,gradient_relative_l2,front_top10_f1,weighted_residual_relative_l2,heldout_clean_relative_l2,saved_residual_consistency_relative_l2,forward_calls,adjoint_calls,evaluator_forward_calls,edge_direction_uses,edge_direction_rejections,edge_backtracks,maximum_data_residual_increase,maximum_adjoint_identity_relative_defect,solve_wall_seconds,maximum_resident_set_bytes
dev-4v-plume,0,plume,4,0.04,h1_16_diagnostic,,16,0,0.9179257750511169,1.1761964559555054,0.4482758641242981,0.07943516224622726,0.8926365971565247,2.803568122544675e-06,16,16,1,0,0,0,0.0,0.0,0.177235999959521,364068864
dev-4v-plume,0,plume,4,0.04,h1_20,,20,0,0.9017029404640198,1.1584357023239136,0.4525480568408966,0.060914117842912674,0.876302182674408,4.099271791346837e-06,20,20,1,0,0,0,0.0,0.0,0.14084204100072384,365805568
dev-4v-plume,0,plume,4,0.04,edge_tilt_000,0.0,16,4,0.917626678943634,1.1810340881347656,0.45041197538375854,0.0695936307311058,0.892142653465271,3.243783339712536e-06,20,20,1,0,0,0,0.0,8.591518962930422e-08,0.2130067910766229,371163136
dev-4v-plume,0,plume,4,0.04,edge_tilt_025,0.25,16,4,0.917420506477356,1.1795278787612915,0.45010679960250854,0.06999611854553223,0.8918315172195435,3.009376541740494e-06,20,20,1,2,2,0,0.0,1.208088633575244e-07,0.1578677090583369,371195904
dev-4v-plume,0,plume,4,0.04,edge_tilt_050,0.5,16,4,0.916973888874054,1.1760568618774414,0.45102226734161377,0.07106606662273407,0.8911684155464172,3.03934598377964e-06,20,20,1,4,0,0,0.0,8.309408627837911e-08,0.16291395900771022,371195904
dev-4v-plume,0,plume,4,0.04,edge_tilt_100,1.0,16,4,0.9164496064186096,1.1724258661270142,0.451937735080719,0.07223694771528244,0.8903984427452087,2.9993493626534473e-06,20,20,1,4,0,0,0.0,7.965117276853562e-08,0.15973983297590166,371212288
dev-4v-plume,0,plume,4,0.04,edge_tilt_200,2.0,16,4,0.9154976010322571,1.1674582958221436,0.4516325891017914,0.07344397902488708,0.889044463634491,3.15934971695242e-06,20,20,1,4,0,0,0.0,1.6002347535959416e-07,0.16015537502244115,371228672
dev-5v-thin,1,thin_front,5,0.05,h1_16_diagnostic,,16,0,0.9025780558586121,1.1799980401992798,0.3768690526485443,0.07154179364442825,0.5787861347198486,2.8357508199405856e-06,16,16,1,0,0,0,0.0,0.0,0.0943192079430446,371310592
dev-5v-thin,1,thin_front,5,0.05,h1_20,,20,0,0.8841071128845215,1.1586169004440308,0.3765639364719391,0.057211022824048996,0.5477281212806702,3.897604074154515e-06,20,20,1,0,0,0,0.0,0.0,0.13219475001096725,371326976
dev-5v-thin,1,thin_front,5,0.05,edge_tilt_000,0.0,16,4,0.9022712707519531,1.1851073503494263,0.3762587606906891,0.06368547677993774,0.5768088698387146,3.193444626958808e-06,20,20,1,0,0,0,0.0,7.30830080897249e-08,0.1526314999209717,371343360
dev-5v-thin,1,thin_front,5,0.05,edge_tilt_025,0.25,16,4,0.9020035862922668,1.1840102672576904,0.3765639364719391,0.06388431787490845,0.5765212178230286,3.301266360722366e-06,20,20,1,2,2,0,0.0,9.818668189609525e-08,0.15366025001276284,371343360
dev-5v-thin,1,thin_front,5,0.05,edge_tilt_050,0.5,16,4,0.9013617038726807,1.1800060272216797,0.3765639364719391,0.06485615670681,0.5760618448257446,3.1719116577733075e-06,20,20,1,4,0,0,0.0,7.988835193373234e-08,0.16466395801398903,371703808
dev-5v-thin,1,thin_front,5,0.05,edge_tilt_100,1.0,16,4,0.9005083441734314,1.1762875318527222,0.3774794042110443,0.06560152769088745,0.5751853585243225,3.2823138553794706e-06,20,20,1,4,0,0,0.0,1.5977651912635338e-07,0.16894725000020117,371916800
dev-5v-thin,1,thin_front,5,0.05,edge_tilt_200,2.0,16,4,0.8993038535118103,1.17091965675354,0.37931033968925476,0.06679266691207886,0.5740169882774353,2.8856550216005417e-06,20,20,1,4,0,0,0.0,1.054141876011272e-07,0.15728433395270258,371916800
dev-6v-annular,2,annular_kernel,6,0.03,h1_16_diagnostic,,16,0,0.9514384865760803,0.9892549514770508,0.36374732851982117,0.0603739358484745,0.7883387804031372,2.634259772094083e-06,16,16,1,0,0,0,0.0,0.0,0.0957877499749884,371982336
dev-6v-annular,2,annular_kernel,6,0.03,h1_20,,20,0,0.9441840052604675,0.9836351871490479,0.3646628260612488,0.048402681946754456,0.7812919020652771,3.561675157470745e-06,20,20,1,0,0,0,0.0,0.0,0.12503883300814778,371982336
dev-6v-annular,2,annular_kernel,6,0.03,edge_tilt_000,0.0,16,4,0.9512251615524292,0.9897658228874207,0.364967942237854,0.05451071634888649,0.7875993847846985,2.979008058900945e-06,20,20,1,0,0,0,0.0,1.1387164988718723e-07,0.15114516706671566,371982336
dev-6v-annular,2,annular_kernel,6,0.03,edge_tilt_025,0.25,16,4,0.9511641263961792,0.9896399974822998,0.365273118019104,0.05465763062238693,0.7874747514724731,3.047386599064339e-06,20,20,1,1,3,0,0.0,1.3533720277791872e-07,0.14981658302713186,371982336
dev-6v-annular,2,annular_kernel,6,0.03,edge_tilt_050,0.5,16,4,0.950920820236206,0.9890409708023071,0.365273118019104,0.055447470396757126,0.7869896292686462,2.988346068377723e-06,20,20,1,4,0,0,0.0,8.013383023808274e-08,0.16213233396410942,372015104
dev-6v-annular,2,annular_kernel,6,0.03,edge_tilt_100,1.0,16,4,0.9506735801696777,0.988519012928009,0.365273118019104,0.05617561936378479,0.7864803075790405,2.999830485350685e-06,20,20,1,4,0,0,0.0,9.538907619344172e-08,0.1593329169554636,372015104
dev-6v-annular,2,annular_kernel,6,0.03,edge_tilt_200,2.0,16,4,0.9499978423118591,0.9875821471214294,0.364967942237854,0.056608475744724274,0.7850380539894104,2.9524071578634903e-06,20,20,1,4,0,0,0.0,1.503414068793063e-07,0.16169500001706183,372015104
dev-7v-shock,3,oblique_shock,7,0.04,h1_16_diagnostic,,16,0,0.8696291446685791,1.2050455808639526,0.39914560317993164,0.08469917625188828,0.6143500804901123,2.5996387194027193e-06,16,16,1,0,0,0,0.0,0.0,0.09589795907959342,372064256
dev-7v-shock,3,oblique_shock,7,0.04,h1_20,,20,0,0.8482394814491272,1.1919032335281372,0.4012816548347473,0.06480977684259415,0.5851008296012878,3.6140399970463477e-06,20,20,1,0,0,0,0.0,0.0,0.12447891605552286,372064256
dev-7v-shock,3,oblique_shock,7,0.04,edge_tilt_000,0.0,16,4,0.8689389824867249,1.2088037729263306,0.39945071935653687,0.07768021523952484,0.6120424270629883,2.8000251859339187e-06,20,20,1,0,0,0,0.0,7.08321437059567e-08,0.15059754101093858,372064256
dev-7v-shock,3,oblique_shock,7,0.04,edge_tilt_025,0.25,16,4,0.8683514595031738,1.2053250074386597,0.4003661870956421,0.07809185981750488,0.6115446090698242,2.6446389256307157e-06,20,20,1,4,0,0,0.0,7.497263965206002e-08,0.16115049994550645,372080640
