allocation_id,warm_h1_iterations,correction_iterations,edge_tilt_ratio,method,case_count,mean_field_gain_vs_h1_percent,worst_field_gain_vs_h1_percent,field_harm_rate_vs_h1,mean_gradient_gain_vs_h1_percent,worst_gradient_gain_vs_h1_percent,gradient_harm_rate_vs_h1,mean_field_gain_vs_data_control_percent,mean_gradient_gain_vs_data_control_percent,mean_weighted_residual_ratio_vs_h1,mean_heldout_clean_residual_ratio_vs_h1,mean_front_f1_gain_vs_h1,edge_direction_use_fraction,maximum_adjoint_identity_relative_defect,selection_score_primary,selection_score_secondary,diagnostic_gate_passed,diagnostic_checks_json
h19_c1,19,1,0.0,h19_c1_edge_000,6,-0.5015027947301963,-0.6467245638196409,1.0,-0.5214813213482938,-0.7505054694412071,1.0,0.0,0.0,0.9997499906707802,1.0085001306654717,-0.0004068811734517415,0.0,9.692195135357906e-08,-0.5214813213482938,-0.7505054694412071,False,"{""adjoint_identity"": true, ""data_tolerance_monotone"": true, ""edge_direction_used"": true, ""equal_solve_calls"": true, ""front_f1_vs_h1"": false, ""heldout_clean_vs_h1"": true, ""mean_field_vs_data_control"": true, ""mean_field_vs_h1"": false, ""mean_gradient_vs_data_control"": true, ""mean_gradient_vs_h1"": false, ""weighted_residual_vs_h1"": true, ""worst_field_vs_h1"": true, ""worst_gradient_vs_h1"": true}"
h19_c1,19,1,1.0,h19_c1_edge_100,6,-0.4557896945045676,-0.5811147236225008,1.0,-0.2809028261431953,-0.4463955457984483,1.0,0.045461051483244606,0.23919879803489155,1.0155184483546356,1.0080059694656895,-0.0003051559130350749,1.0,1.2246931646586745e-07,-0.4557896945045676,-0.5811147236225008,False,"{""adjoint_identity"": true, ""data_tolerance_monotone"": true, ""edge_direction_used"": true, ""equal_solve_calls"": true, ""front_f1_vs_h1"": false, ""heldout_clean_vs_h1"": true, ""mean_field_vs_data_control"": true, ""mean_field_vs_h1"": false, ""mean_gradient_vs_data_control"": true, ""mean_gradient_vs_h1"": false, ""weighted_residual_vs_h1"": true, ""worst_field_vs_h1"": true, ""worst_gradient_vs_h1"": true}"
h19_c1,19,1,2.0,h19_c1_edge_200,6,-0.4376097937293246,-0.5531969882574759,1.0,-0.1728518968739643,-0.32894740226621927,1.0,0.06354006519212972,0.34663501399200136,1.0262492492573736,1.0078804609347216,-5.085766315460205e-05,1.0,1.246462346671251e-07,-0.4376097937293246,-0.5531969882574759,False,"{""adjoint_identity"": true, ""data_tolerance_monotone"": true, ""edge_direction_used"": true, ""equal_solve_calls"": true, ""front_f1_vs_h1"": false, ""heldout_clean_vs_h1"": true, ""mean_field_vs_data_control"": true, ""mean_field_vs_h1"": false, ""mean_gradient_vs_data_control"": true, ""mean_gradient_vs_h1"": false, ""weighted_residual_vs_h1"": false, ""worst_field_vs_h1"": true, ""worst_gradient_vs_h1"": true}"
h19_c1,19,1,4.0,h19_c1_edge_400,6,-0.43353915412210303,-0.5474737973590521,1.0,-0.12328356673247926,-0.29282296670409436,0.8333333333333334,0.06758745405708709,0.39592564771340655,1.0377575594721924,1.0079883589033345,0.00010172029336293538,1.0,1.1012450329417334e-07,-0.43353915412210303,-0.5474737973590521,False,"{""adjoint_identity"": true, ""data_tolerance_monotone"": true, ""edge_direction_used"": true, ""equal_solve_calls"": true, ""front_f1_vs_h1"": true, ""heldout_clean_vs_h1"": true, ""mean_field_vs_data_control"": true, ""mean_field_vs_h1"": false, ""mean_gradient_vs_data_control"": true, ""mean_gradient_vs_h1"": false, ""weighted_residual_vs_h1"": false, ""worst_field_vs_h1"": true, ""worst_gradient_vs_h1"": true}"
h18_c2,18,2,0.0,h18_c2_edge_000,6,-0.992328894445048,-1.2434108206837462,1.0,-0.9854955757692007,-1.3942529943103241,1.0,0.0,0.0,1.035043356251023,1.016926863357225,-0.0006611794233322144,0.0,1.0425748797615597e-07,-0.992328894445048,-1.3942529943103241,False,"{""adjoint_identity"": true, ""data_tolerance_monotone"": true, ""edge_direction_used"": true, ""equal_solve_calls"": true, ""front_f1_vs_h1"": false, ""heldout_clean_vs_h1"": true, ""mean_field_vs_data_control"": true, ""mean_field_vs_h1"": false, ""mean_gradient_vs_data_control"": true, ""mean_gradient_vs_h1"": false, ""weighted_residual_vs_h1"": false, ""worst_field_vs_h1"": false, ""worst_gradient_vs_h1"": false}"
h18_c2,18,2,1.0,h18_c2_edge_100,6,-0.8983511676153871,-1.1111933254337314,1.0,-0.578266018297212,-0.9235549942829556,1.0,0.09296398671349211,0.4028777503443717,1.0564602682345507,1.0156089576060483,-0.00015257795651753744,1.0,1.1903222940645719e-07,-0.8983511676153871,-1.1111933254337314,False,"{""adjoint_identity"": true, ""data_tolerance_monotone"": true, ""edge_direction_used"": true, ""equal_solve_calls"": true, ""front_f1_vs_h1"": false, ""heldout_clean_vs_h1"": true, ""mean_field_vs_data_control"": true, ""mean_field_vs_h1"": false, ""mean_gradient_vs_data_control"": true, ""mean_gradient_vs_h1"": false, ""weighted_residual_vs_h1"": false, ""worst_field_vs_h1"": false, ""worst_gradient_vs_h1"": true}"
h18_c2,18,2,2.0,h18_c2_edge_200,6,-0.8253799437214145,-1.0049892850846285,1.0,-0.31182306199571735,-0.6243734684283648,0.8333333333333334,0.1651497751940864,0.6664895754254199,1.0668849768678816,1.0144718045282541,0.0005085964997609457,1.0,1.3408785548563174e-07,-0.8253799437214145,-1.0049892850846285,False,"{""adjoint_identity"": true, ""data_tolerance_monotone"": true, ""edge_direction_used"": true, ""equal_solve_calls"": true, ""front_f1_vs_h1"": true, ""heldout_clean_vs_h1"": true, ""mean_field_vs_data_control"": true, ""mean_field_vs_h1"": false, ""mean_gradient_vs_data_control"": true, ""mean_gradient_vs_h1"": false, ""weighted_residual_vs_h1"": false, ""worst_field_vs_h1"": false, ""worst_gradient_vs_h1"": true}"
h18_c2,18,2,4.0,h18_c2_edge_400,6,-0.8136584993113898,-1.0197631528277493,1.0,-0.15886533583221224,-0.5270504732753771,0.8333333333333334,0.1767326717499014,0.8178368251431015,1.0880284660939603,1.0146874433058888,0.000661174456278483,1.0,1.0608274436663123e-07,-0.8136584993113898,-1.0197631528277493,False,"{""adjoint_identity"": true, ""data_tolerance_monotone"": true, ""edge_direction_used"": true, ""equal_solve_calls"": true, ""front_f1_vs_h1"": true, ""heldout_clean_vs_h1"": true, ""mean_field_vs_data_control"": true, ""mean_field_vs_h1"": false, ""mean_gradient_vs_data_control"": true, ""mean_gradient_vs_h1"": false, ""weighted_residual_vs_h1"": false, ""worst_field_vs_h1"": false, ""worst_gradient_vs_h1"": true}"
h16_c4,16,4,0.0,h16_c4_edge_000,6,-1.890216655152097,-2.440289740137391,1.0,-1.707788715153869,-2.28638559434471,1.0,0.0,0.0,1.1510130982655304,1.0321708741884845,-0.0031533042589823404,0.0,1.1387167830889666e-07,-1.890216655152097,-2.440289740137391,False,"{""adjoint_identity"": true, ""data_tolerance_monotone"": true, ""edge_direction_used"": true, ""equal_solve_calls"": true, ""front_f1_vs_h1"": false, ""heldout_clean_vs_h1"": false, ""mean_field_vs_data_control"": true, ""mean_field_vs_h1"": false, ""mean_gradient_vs_data_control"": true, ""mean_gradient_vs_h1"": false, ""weighted_residual_vs_h1"": false, ""worst_field_vs_h1"": false, ""worst_gradient_vs_h1"": false}"
h16_c4,16,4,1.0,h16_c4_edge_100,6,-1.7094049444394412,-2.203041691023538,1.0,-1.0050119919586462,-1.5251487702207067,1.0,0.1771288589013915,0.6899619167567721,1.181953216242145,1.0294633844228722,-0.0017292300860087078,1.0,1.6623299359252997e-07,-1.7094049444394412,-2.203041691023538,False,"{""adjoint_identity"": true, ""data_tolerance_monotone"": true, ""edge_direction_used"": true, ""equal_solve_calls"": true, ""front_f1_vs_h1"": false, ""heldout_clean_vs_h1"": false, ""mean_field_vs_data_control"": true, ""mean_field_vs_h1"": false, ""mean_gradient_vs_data_control"": true, ""mean_gradient_vs_h1"": false, ""weighted_residual_vs_h1"": false, ""worst_field_vs_h1"": false, ""worst_gradient_vs_h1"": false}"
