case_id,case_index,family,active_views,relative_noise,method,edge_tilt_ratio,warm_h1_iterations,correction_iterations,field_relative_l2,gradient_relative_l2,front_top10_f1,weighted_residual_relative_l2,heldout_clean_relative_l2,saved_residual_consistency_relative_l2,forward_calls,adjoint_calls,evaluator_forward_calls,edge_direction_uses,edge_direction_rejections,edge_backtracks,maximum_data_residual_increase,maximum_adjoint_identity_relative_defect,solve_wall_seconds,maximum_resident_set_bytes
dev-4v-plume,0,plume,4,0.04,h1_20,,20,0,0.9017029404640198,1.1584357023239136,0.4525480568408966,0.06091411039233208,0.876302182674408,4.339651241025422e-06,20,20,1,0,0,0,0.0,0.0,0.15209391701500863,363577344
dev-4v-plume,0,plume,4,0.04,h19_c1_edge_000,0.0,19,1,0.905562162399292,1.164916753768921,0.4525480568408966,0.05971456691622734,0.8804367780685425,4.004259608336724e-06,20,20,1,0,0,0,0.0,9.692195135357906e-08,0.1574847080046311,370688000
dev-4v-plume,0,plume,4,0.04,h19_c1_edge_100,1.0,19,1,0.9052408933639526,1.1618156433105469,0.4528532326221466,0.060990627855062485,0.879981517791748,3.972291324316757e-06,20,20,1,1,0,0,0.0,9.692197266986113e-08,0.13227279193233699,370720768
dev-4v-plume,0,plume,4,0.04,h19_c1_edge_200,2.0,19,1,0.9051132798194885,1.160412073135376,0.4528532326221466,0.061830561608076096,0.8798074722290039,3.91633102481137e-06,20,20,1,1,0,0,0.0,0.0,0.13378649996593595,370720768
dev-4v-plume,0,plume,4,0.04,h19_c1_edge_400,4.0,19,1,0.9050782918930054,1.1596834659576416,0.4531583786010742,0.06273287534713745,0.8797734379768372,3.80426558876934e-06,20,20,1,1,0,0,0.0,0.0,0.13254525000229478,370753536
dev-4v-plume,0,plume,4,0.04,h18_c2_edge_000,0.0,18,2,0.9097234606742859,1.1708974838256836,0.45102226734161377,0.061499930918216705,0.8847439289093018,3.9887140701466706e-06,20,20,1,0,0,0,0.0,0.0,0.14555366593413055,372342784
dev-4v-plume,0,plume,4,0.04,h18_c2_edge_100,1.0,18,2,0.9090520143508911,1.1657490730285645,0.452242910861969,0.06326162815093994,0.8837315440177917,3.6687799820356304e-06,20,20,1,2,0,0,0.0,7.421713377198103e-08,0.1405714579159394,372359168
dev-4v-plume,0,plume,4,0.04,h18_c2_edge_200,2.0,18,2,0.9085271954536438,1.162380576133728,0.4531583786010742,0.06412499397993088,0.8829138875007629,3.5875614230462816e-06,20,20,1,2,0,0,0.0,0.0,0.141342458082363,372473856
dev-4v-plume,0,plume,4,0.04,h18_c2_edge_400,4.0,18,2,0.9085168838500977,1.1605035066604614,0.4528532326221466,0.06594407558441162,0.8829495310783386,3.6444464512896957e-06,20,20,1,2,0,0,0.0,7.421713377198103e-08,0.13842079194728285,372506624
dev-4v-plume,0,plume,4,0.04,h16_c4_edge_000,0.0,16,4,0.917626678943634,1.1810342073440552,0.45041197538375854,0.06959362328052521,0.892142653465271,3.0306305234262254e-06,20,20,1,0,0,0,0.0,8.591518252387687e-08,0.15477179095614702,373899264
dev-4v-plume,0,plume,4,0.04,h16_c4_edge_100,1.0,16,4,0.9164496064186096,1.1724258661270142,0.451937735080719,0.07223696261644363,0.8903984427452087,3.1961878903530305e-06,20,20,1,4,0,0,0.0,6.181274159189343e-08,0.15815870801452547,373915648
dev-4v-plume,0,plume,4,0.04,h16_c4_edge_200,2.0,16,4,0.9154976010322571,1.167458415031433,0.4516325891017914,0.07344396412372589,0.8890444040298462,2.9732864277320914e-06,20,20,1,4,0,0,0.0,8.001180873407066e-08,0.15754066698718816,373948416
dev-4v-plume,0,plume,4,0.04,h16_c4_edge_400,4.0,16,4,0.9148076176643372,1.1624492406845093,0.4531583786010742,0.07518543303012848,0.8880961537361145,2.8801987355109304e-06,20,20,1,4,0,0,0.0,7.244287303365127e-08,0.15574762504547834,373981184
