method,role,balance_ratio,mean_field_gain_vs_h1_percent,worst_field_gain_vs_h1_percent,field_harm_rate_vs_h1,mean_gradient_gain_vs_h1_percent,worst_gradient_gain_vs_h1_percent,gradient_harm_rate_vs_h1,mean_weighted_residual_ratio_vs_h1,mean_heldout_clean_ratio_vs_h1,mean_front_f1_gain_vs_h1,mean_huber_penalty_ratio_vs_h1,accepted_case_fraction,mean_local_accepted_steps,maximum_local_data_residual_ratio,maximum_local_field_relative_shift,all_local_huber_penalty_nonincreasing,all_local_truth_accessed_false,all_reduced_calls_zero,deployable_preselection_eligible,deployable_diagnostic_choice,posthoc_dominated_by_simple_control,posthoc_diagnostic_gate_passed,deployable_preselection_checks_json,posthoc_diagnostic_checks_json
data_beta_025,simple_deployable_control,,0.03420705072291077,-0.02229509947376284,0.16666666666666666,-0.3975741536287108,-0.6079867306888526,1.0,0.9557619532401911,0.9989805294956605,-4.967053731282552e-09,1.012420254609801,1.0,0.0,,,False,True,True,False,False,False,False,{},{}
data_beta_050,simple_deployable_control,,0.06534704345743232,-0.047064435871284664,0.3333333333333333,-0.8042751942593847,-1.2316759596451796,1.0,0.9226462371667347,0.9980550784965342,0.0004577338695526123,1.0249901214468569,1.0,0.0,,,False,True,True,False,False,False,False,{},{}
data_beta_075,simple_deployable_control,,0.09342768477823916,-0.07429452561259949,0.3333333333333333,-1.219974363235469,-1.8707976439051452,1.0,0.902078544373436,0.9972239950756198,-0.00010173022747039795,1.0377019772609906,1.0,0.0,,,False,True,True,False,False,False,False,{},{}
data_exact,simple_deployable_control,,0.11843074464605276,-0.10400559406765629,0.3333333333333333,-1.6445444810733585,-2.525071738913661,1.0,0.8950949908625391,0.9964876352960175,-0.0003560185432434082,1.0505495392038384,1.0,0.0,,,False,True,True,False,False,False,False,{},{}
h1_cached,baseline,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,,False,True,True,False,False,False,False,{},{}
huber_ratio_025,fixed_huber_candidate,0.25,2.3277147188221873e-06,0.0,0.0,0.0,0.0,0.0,1.0000000198667183,1.0000000203741468,0.0,1.0,0.16666666666666666,0.16666666666666666,1.0,1.1981413022088513e-10,True,True,True,False,False,False,False,"{""accepted"": false, ""huber"": true, ""local_field_trust"": true, ""local_huber_nonincrease"": true, ""local_residual_envelope"": true, ""no_truth_access"": true, ""weighted_residual"": true, ""zero_calls"": true}","{""accepted"": false, ""field_harm"": true, ""front"": true, ""gradient_harm"": true, ""heldout"": true, ""huber"": true, ""mean_field"": true, ""mean_gradient"": true, ""not_simple_dominated"": true, ""weighted_residual"": true, ""worst_field"": true, ""worst_gradient"": true, ""zero_calls"": true}"
huber_ratio_050,fixed_huber_candidate,0.5,2.3277147188221873e-06,0.0,0.0,0.0,0.0,0.0,1.0000000198667183,1.0000000203741468,0.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.368542990926757e-10,True,True,True,False,False,False,False,"{""accepted"": false, ""huber"": true, ""local_field_trust"": true, ""local_huber_nonincrease"": true, ""local_residual_envelope"": true, ""no_truth_access"": true, ""weighted_residual"": true, ""zero_calls"": true}","{""accepted"": false, ""field_harm"": true, ""front"": true, ""gradient_harm"": true, ""heldout"": true, ""huber"": true, ""mean_field"": true, ""mean_gradient"": true, ""not_simple_dominated"": true, ""weighted_residual"": true, ""worst_field"": true, ""worst_gradient"": true, ""zero_calls"": true}"
huber_ratio_100,fixed_huber_candidate,1.0,2.3277147188221873e-06,0.0,0.0,0.0,0.0,0.0,1.0000000198667183,1.0000000203741468,0.0,1.0,0.5,0.5,1.0,1.2720380246537972e-10,True,True,True,False,False,False,False,"{""accepted"": false, ""huber"": true, ""local_field_trust"": true, ""local_huber_nonincrease"": true, ""local_residual_envelope"": true, ""no_truth_access"": true, ""weighted_residual"": true, ""zero_calls"": true}","{""accepted"": false, ""field_harm"": true, ""front"": true, ""gradient_harm"": true, ""heldout"": true, ""huber"": true, ""mean_field"": true, ""mean_gradient"": true, ""not_simple_dominated"": true, ""weighted_residual"": true, ""worst_field"": true, ""worst_gradient"": true, ""zero_calls"": true}"
huber_ratio_200,fixed_huber_candidate,2.0,2.3277147188221873e-06,0.0,0.0,0.0,0.0,0.0,1.0000000198667183,1.0000000203741468,0.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0948539994748132e-10,True,True,True,False,True,False,False,"{""accepted"": false, ""huber"": true, ""local_field_trust"": true, ""local_huber_nonincrease"": true, ""local_residual_envelope"": true, ""no_truth_access"": true, ""weighted_residual"": true, ""zero_calls"": true}","{""accepted"": false, ""field_harm"": true, ""front"": true, ""gradient_harm"": true, ""heldout"": true, ""huber"": true, ""mean_field"": true, ""mean_gradient"": true, ""not_simple_dominated"": true, ""weighted_residual"": true, ""worst_field"": true, ""worst_gradient"": true, ""zero_calls"": true}"
same_objective_reopt,equivalence_control,,0.0,0.0,0.0,-1.7148217773723023e-06,-1.0288930664233814e-05,0.16666666666666666,1.0000000678531982,1.0000000136036737,0.0,0.999999959860467,1.0,0.0,,,False,True,True,False,False,False,False,{},{}
truth_joint_oracle,offline_truth_oracle,,-2.383989805823715,-3.9779435134199423,0.8333333333333334,14.520826765226582,1.9616776931718887,0.0,10.227682618548064,1.1511054505643719,0.0033058623472849527,0.5566378677054897,1.0,0.0,,,False,False,True,False,False,False,False,{},{}
truth_joint_oracle_safe,offline_truth_oracle,,0.004039952284861044,-0.003192741437850776,0.3333333333333333,0.1647240563222551,0.03257050681526493,0.0,1.0199999984336614,1.0002548276364749,0.000152587890625,0.9960037238330601,1.0,0.0,,,False,False,True,False,False,False,False,{},{}
