method,split,n,parameters,train_seconds,inference_ms_per_sample,rel_l2_mean,rel_l2_std,rel_l2_ci95,squared_rel_l2_mean,squared_rel_l2_std,squared_rel_l2_ci95,gradient_rel_l2_mean,gradient_rel_l2_std,gradient_rel_l2_ci95,observed_reprojection_rel_l2_mean,observed_reprojection_rel_l2_std,observed_reprojection_rel_l2_ci95,heldout_reprojection_rel_l2_mean,heldout_reprojection_rel_l2_std,heldout_reprojection_rel_l2_ci95,mass_relative_error_mean,mass_relative_error_std,mass_relative_error_ci95,centroid_error_mean,centroid_error_std,centroid_error_ci95
physics_lift,test_iid,20,0,0.0,0.0,0.4572689950466156,0.11343641820907485,0.04971570227895891,0.22131936375824068,0.11612186705141397,0.05089265212662632,0.6229464560747147,0.1689293088900313,0.07403653394175322,0.39799492955207827,0.09971023710776787,0.043699938172215826,0.5202974230051041,0.14304586769861108,0.06269261567860901,0.2507476255297661,0.19956980103321675,0.08746532170781056,0.10363743282562976,0.04546593646506409,0.019926325220927677
physics_lift,test_view_ood,16,0,0.0,0.0,0.7704797424376011,0.05255233142372622,0.02575064239762585,0.596228171823652,0.07946633866744712,0.03893850594704909,0.970845352858305,0.06686476962807653,0.0327637371177575,0.8477445505559444,0.0962576531156373,0.047166250026662276,0.6822309233248234,0.09326177508116293,0.04569826978976983,0.3933512717485428,0.17608847637777356,0.08628335342510904,0.05917603664577834,0.02850764420591721,0.013968745660899432
physics_lift,test_noise_ood,16,0,0.0,0.0,0.47889895364642143,0.11536442799137886,0.05652856971577564,0.2418213495965542,0.11731278750375358,0.05748326587683925,0.6805616468191147,0.16493094404794986,0.08081616258349543,0.4202270545065403,0.10085771407408006,0.04942027989629923,0.5497044268995523,0.16110586906359653,0.0789418758411623,0.2360058695776388,0.19270957648712114,0.09442769247868936,0.09201276811361861,0.03315092570980822,0.016243953597806025
physics_lift,test_joint_ood,16,0,0.0,0.0,0.7788457795977592,0.08356555511982322,0.04094712200871338,0.6131475002745703,0.1297167672392158,0.06356121594721574,0.9832485988736153,0.09836119625469941,0.04819698616480271,0.8577489331364632,0.13677288439152271,0.06701871335184613,0.6899631954729557,0.09543111524576024,0.04676124647042252,0.48258116748183966,0.17978124474151516,0.08809280992334242,0.0889041239441719,0.04223501248747714,0.020695156118863797
physics_lift,test_family_ood,20,0,0.0,0.0,0.7948754549026489,0.04093648673751836,0.017941206352601487,0.6334189949557836,0.06515561977561417,0.02855570940714296,0.9694170862436294,0.027451944313459986,0.012031345065489323,0.7187683194875717,0.09027383272082883,0.039564251604430736,0.8926392406225204,0.024367783003857394,0.010679651774487474,0.5397892266511917,0.14142270078412086,0.061981231412921785,0.05834323432274456,0.01632611244936892,0.007155234260038522
unet,test_iid,20,86633,10.343145333928987,1.2587062432430685,0.27059060856699946,0.11211311115934829,0.04913573739337343,0.08516015965379607,0.07458022638455204,0.03268622537074362,0.46584696173667905,0.15414003389780032,0.06755484839452225,0.19722177013754844,0.05002676257664474,0.021925195395861553,0.3190751440823078,0.13783698588443105,0.06040972256924829,0.1787458353675902,0.13838602875932876,0.0606503512186516,0.04425040775287016,0.027984470423338875,0.012264734923459936
unet,test_view_ood,16,86633,10.343145333928987,1.282127690501511,0.5823533497750759,0.06585083368603063,0.03226690850615501,0.3432007355228256,0.0751241841855719,0.036810850250930234,0.819198977202177,0.08858512501649135,0.04340671125808076,0.6256434824317694,0.08984830733268367,0.044025670593015,0.5466337036341429,0.10250351241463283,0.050226721083170084,0.2535560727119446,0.12817156510891659,0.06280406690336912,0.038771311168195745,0.01474249250469224,0.007223821327299197
unet,test_noise_ood,16,86633,10.343145333928987,1.2758151788148098,0.3054201640188694,0.11626505388375812,0.05696987640304148,0.10595419167174419,0.07979811433610956,0.03910107602469368,0.5423597153276205,0.15711797723756743,0.07698780884640805,0.23360659833997488,0.0523064009681073,0.025630136474372577,0.37612729240208864,0.14234083888102367,0.0697470110517016,0.11176189762772992,0.08701130490416269,0.04263553940303971,0.03930282672025343,0.023357516756886854,0.011445183210874559
unet,test_joint_ood,16,86633,10.343145333928987,1.2905650582979433,0.5846651382744312,0.09633906903203253,0.04720614382569594,0.3505344641215461,0.1137513912226102,0.055738181699079,0.8369472101330757,0.11102036780515945,0.054399980224528126,0.6200292576104403,0.0783218737400832,0.03837771813264077,0.5470228902995586,0.10867300350695064,0.053249771718405815,0.2428438407368958,0.10066896460676344,0.04932779265731409,0.06449573909078236,0.037855152260151445,0.018549024607474207
unet,test_family_ood,20,86633,10.343145333928987,1.2856790912337601,0.7069260597229003,0.04652242556453137,0.02038935198393137,0.5018005731917328,0.06589956119471758,0.02888175610968397,0.9138789862394333,0.030441153592849067,0.013341423794436003,0.5613679453730583,0.06399995396721761,0.02804921653500096,0.7753843277692795,0.03126021233245014,0.013700392114221409,0.344022523611784,0.10806608724769702,0.04736205096106164,0.03970246277637492,0.013847708738360862,0.006069025942032176
