rig_id,method,replicates,maximum_budget,operator_bank_bytes,measured_build_seconds
development_small_aperture,iid_mc,32,64,28311552,8.172170041012578
development_small_aperture,antithetic_mc,32,64,28311552,8.437982250005007
development_small_aperture,scrambled_sobol,32,64,28311552,8.355189500027336
development_medium_aperture,iid_mc,32,64,28311552,8.707404832995962
development_medium_aperture,antithetic_mc,32,64,28311552,8.620453500014264
development_medium_aperture,scrambled_sobol,32,64,28311552,8.8676136250142
audit_large_aperture,iid_mc,32,64,28311552,8.433478916995227
audit_large_aperture,antithetic_mc,32,64,28311552,8.318467249977402
audit_large_aperture,scrambled_sobol,32,64,28311552,8.56822287500836
audit_boundary_crossing,iid_mc,32,64,28311552,8.109064124990255
audit_boundary_crossing,antithetic_mc,32,64,28311552,8.109695417049807
audit_boundary_crossing,scrambled_sobol,32,64,28311552,8.033312666986603
