rig_id,rig_role,radial_order,angular_order,point_count,consecutive_relative_l2,relative_l2_to_4096_point_reference,build_seconds,normalization_scale
development_small_aperture,development,16,64,1024,,0.0010529514543207595,4.139503334008623,1.2013275267616665
development_small_aperture,development,20,80,1600,0.0012764415992679557,0.0008485239187849532,6.46474537497852,1.2013275267616665
development_small_aperture,development,24,96,2304,0.0008705552008117912,0.00048688360866360104,9.275732624984812,1.2013275267616665
development_small_aperture,development,32,128,4096,0.00048688360866360104,0.0,16.48216274997685,1.2013275267616665
development_medium_aperture,development,16,64,1024,,0.0017320466792135453,4.212451208033599,1.262988849110104
development_medium_aperture,development,20,80,1600,0.001847032733180522,0.0007866165972603038,6.5822771660168655,1.262988849110104
development_medium_aperture,development,24,96,2304,0.0008390620025532846,0.0005980359922294656,9.462752708001062,1.262988849110104
development_medium_aperture,development,32,128,4096,0.0005980359922294656,0.0,16.76960841700202,1.262988849110104
audit_large_aperture,audit,16,64,1024,,0.002990701325247887,4.040204917022493,1.1660481583407583
audit_large_aperture,audit,20,80,1600,0.0025361606715449295,0.0015566967698961366,6.326531041995622,1.1660481583407583
audit_large_aperture,audit,24,96,2304,0.0018214876145912298,0.0012338918300273773,9.105737500009127,1.1660481583407583
audit_large_aperture,audit,32,128,4096,0.0012338918300273773,0.0,16.241674624965526,1.1660481583407583
audit_boundary_crossing,audit,16,64,1024,,0.0021310162920124853,3.9774973750463687,1.2551287723444533
audit_boundary_crossing,audit,20,80,1600,0.0020931781049581474,0.0014971514252219752,6.147521916020196,1.2551287723444533
audit_boundary_crossing,audit,24,96,2304,0.0016149806739462781,0.0011943618045532223,8.824840250017587,1.2551287723444533
audit_boundary_crossing,audit,32,128,4096,0.0011943618045532223,0.0,15.821134541998617,1.2551287723444533
