case_id,phantom_family,phantom_seed,dimensionless_stress_multiplier,refractivity_scale,method_id,ray_count,step_count,correction_applied,all_primary_gates_pass,matched_residual_prediction_relative_l2,corrected_residual_variance_ratio,per_ray_risk_spearman,valid_ray_fraction,candidate_to_high_reference_relative_l2,high_execution_to_high_reference_relative_l2,candidate_reference_error_to_high_execution_reference_error_ratio,candidate_q95_reference_error,high_execution_q95_reference_error,candidate_q95_reference_error_to_high_execution_q95_ratio,candidate_q95_reference_error_normalized_by_high256_rms,base_output_relative_l2,matched_residual_gate_met,residual_variance_gate_met,risk_spearman_gate_met,valid_fraction_gate_met,absolute_reference_gate_met,reference_no_harm_gate_met,q95_reference_no_harm_gate_met,base_output_consistency_gate_met
smooth_narrow_aperture,smooth_plume,1729,1.0,0.0003,continuous_affine_n1,64,128,True,False,0.04643139297936046,0.0031734898453171776,0.9956501831501829,1.0,0.0008419968361457892,0.0008422068105373107,0.9997506854742868,1.92230257013143e-07,1.9114754043418672e-07,1.0056642977278019,0.001689045498353444,,,,,,,,,
smooth_narrow_aperture,smooth_plume,1729,1.0,0.0003,operator_consistent_homotopy,64,128,True,True,0.0013603293967688888,7.04327013770534e-07,0.9999084249084248,1.0,0.0008422433896278149,0.0008422068105373107,1.0000434324325647,1.911506211913658e-07,1.9114754043418672e-07,1.000016117168822,0.0016795591976379992,1.1040103605710425e-16,True,True,True,True,True,True,True,True
smooth_narrow_aperture,smooth_plume,1729,1.0,0.0003,picard_1,64,128,True,False,0.0004957938115407063,3.4458001628663387e-07,0.9999999999999998,1.0,0.0008422876164504176,0.0008422068105373107,1.0000959454519909,1.911638578597776e-07,1.9114754043418672e-07,1.0000853656058237,0.0016796755026127809,,,,,,,,,
smooth_narrow_aperture,smooth_plume,1729,1.0,0.0003,picard_2,64,128,True,False,0.0004905907141398724,3.4159886413189076e-07,0.9999999999999998,1.0,0.0008422877305144619,0.0008422068105373107,1.0000960808867119,1.911638441124118e-07,1.9114754043418672e-07,1.0000852936856424,0.0016796753818205253,,,,,,,,,
smooth_narrow_aperture,smooth_plume,1729,3.0,0.0009,continuous_affine_n1,64,128,True,False,0.046666464276277644,0.00317114374617515,0.9958333333333333,1.0,0.0008380464239042927,0.0008382045541169054,0.9998113465122135,5.768758483506803e-07,5.745314099039441e-07,1.0040806097043993,0.0016888731487375392,,,,,,,,,
smooth_narrow_aperture,smooth_plume,1729,3.0,0.0009,operator_consistent_homotopy,64,128,True,True,0.004051564215878326,5.9637810497868756e-06,0.9998168498168497,1.0,0.0008385047320145406,0.0008382045541169054,1.0003581200986809,5.746150110112846e-07,5.745314099039441e-07,1.0001455118134523,0.0016822542766057188,1.2352402248121387e-16,True,True,True,True,True,True,True,True
smooth_narrow_aperture,smooth_plume,1729,3.0,0.0009,picard_1,64,128,True,False,0.0005765951134640568,3.861682952599858e-07,0.9999542124542123,1.0,0.0008384459841398005,0.0008382045541169054,1.0002880323445027,5.746787655084283e-07,5.745314099039441e-07,1.0002564796318252,0.0016824409255331181,,,,,,,,,
smooth_narrow_aperture,smooth_plume,1729,3.0,0.0009,picard_2,64,128,True,False,0.0004921886244222718,3.4305484840000543e-07,0.9999542124542123,1.0,0.0008384469458102393,0.0008382045541169054,1.0002891796425388,5.746783659170046e-07,5.745314099039441e-07,1.0002557841234216,0.001682439755681359,,,,,,,,,
smooth_narrow_aperture,smooth_plume,1729,10.0,0.0029999999999999996,continuous_affine_n1,64,128,True,False,0.048550132014326085,0.0031650828291633517,0.9961080586080584,1.0,0.0008287135519931372,0.0008238979732327745,1.0058448726866842,1.9876288662144778e-06,1.9231352506549983e-06,1.03353566294285,0.0017431437858268643,,,,,,,,,
smooth_narrow_aperture,smooth_plume,1729,10.0,0.0029999999999999996,operator_consistent_homotopy,64,128,True,True,0.013371097842020507,5.9752750810528475e-05,0.9992216117216116,1.0,0.0008268444776499198,0.0008238979732327745,1.0035762976883944,1.9266335514044986e-06,1.9231352506549983e-06,1.001819061216994,0.001689651101260421,1.1517276001296971e-16,True,True,True,True,True,True,True,True
smooth_narrow_aperture,smooth_plume,1729,10.0,0.0029999999999999996,picard_1,64,128,True,False,0.0011853805290222615,8.829155286505822e-07,0.9999999999999998,1.0,0.0008246934665172005,0.0008238979732327745,1.0009655240215054,1.9249506418750445e-06,1.9231352506549983e-06,1.0009439748033466,0.0016881751953011944,,,,,,,,,
smooth_narrow_aperture,smooth_plume,1729,10.0,0.0029999999999999996,picard_2,64,128,True,False,0.0004982646139615191,3.487121644558344e-07,0.9999542124542123,1.0,0.0008247012903046227,0.0008238979732327745,1.0009750200849459,1.924870429195068e-06,1.9231352506549983e-06,1.0009022654748172,0.0016881048490524444,,,,,,,,,
wrinkled_wide_aperture,wrinkled_density_interface,2718,1.0,0.0003,continuous_affine_n1,64,128,True,False,0.06747643929990396,0.02197473584141323,0.9262362637362636,1.0,0.00028118033409914767,0.0002719378878589394,1.03398734289281,7.25258568289099e-08,6.989776491043214e-08,1.0375990837739293,0.0007529694389511621,,,,,,,,,
