case_id,dimensionless_stress_multiplier,all_gates_pass,cell_id,field_unit_id,ray_prefix_id,family_id,orientation_id,aperture_id,high256_to_high512_output_relative_l2,matched_residual_256_to_512_relative_l2,output_convergence_gate_met,matched_residual_convergence_gate_met
smooth-s1729-orientation_22-narrow,1.0,True,smooth-s1729-orientation_22-narrow__stress_1,smooth-s1729,smooth-s1729,smooth,orientation_22,narrow,2.5290759821852328e-05,0.00227769690868028,True,True
smooth-s1729-orientation_22-narrow,3.0,True,smooth-s1729-orientation_22-narrow__stress_3,smooth-s1729,smooth-s1729,smooth,orientation_22,narrow,2.569654560374281e-05,0.0022387534701752017,True,True
smooth-s1729-orientation_22-narrow,10.0,True,smooth-s1729-orientation_22-narrow__stress_10,smooth-s1729,smooth-s1729,smooth,orientation_22,narrow,2.704632546571454e-05,0.0020766631783681257,True,True
smooth-s1729-orientation_22-wide,1.0,True,smooth-s1729-orientation_22-wide__stress_1,smooth-s1729,smooth-s1729,smooth,orientation_22,wide,3.4329446427908654e-05,0.0022220775320915018,True,True
smooth-s1729-orientation_22-wide,3.0,True,smooth-s1729-orientation_22-wide__stress_3,smooth-s1729,smooth-s1729,smooth,orientation_22,wide,3.451842626517971e-05,0.0022258854388317734,True,True
smooth-s1729-orientation_22-wide,10.0,True,smooth-s1729-orientation_22-wide__stress_10,smooth-s1729,smooth-s1729,smooth,orientation_22,wide,3.5035663994209895e-05,0.0020356115713548602,True,True
smooth-s1729-orientation_58-narrow,1.0,True,smooth-s1729-orientation_58-narrow__stress_1,smooth-s1729,smooth-s1729,smooth,orientation_58,narrow,6.552444442554809e-06,0.005193464300592631,True,True
smooth-s1729-orientation_58-narrow,3.0,True,smooth-s1729-orientation_58-narrow__stress_3,smooth-s1729,smooth-s1729,smooth,orientation_58,narrow,6.44983540925393e-06,0.004864987208480614,True,True
smooth-s1729-orientation_58-narrow,10.0,True,smooth-s1729-orientation_58-narrow__stress_10,smooth-s1729,smooth-s1729,smooth,orientation_58,narrow,6.813656786902226e-06,0.004020521116721425,True,True
smooth-s1729-orientation_58-wide,1.0,False,smooth-s1729-orientation_58-wide__stress_1,smooth-s1729,smooth-s1729,smooth,orientation_58,wide,1.8583094777237075e-05,0.020643437208124515,True,False
smooth-s1729-orientation_58-wide,3.0,False,smooth-s1729-orientation_58-wide__stress_3,smooth-s1729,smooth-s1729,smooth,orientation_58,wide,1.9371875448149962e-05,0.021143873682831302,True,False
smooth-s1729-orientation_58-wide,10.0,False,smooth-s1729-orientation_58-wide__stress_10,smooth-s1729,smooth-s1729,smooth,orientation_58,wide,2.232908813895097e-05,0.019806842367726278,True,False
smooth-s1871-orientation_22-narrow,1.0,True,smooth-s1871-orientation_22-narrow__stress_1,smooth-s1871,smooth-s1871,smooth,orientation_22,narrow,1.784975696561852e-05,0.0027856168035427435,True,True
smooth-s1871-orientation_22-narrow,3.0,True,smooth-s1871-orientation_22-narrow__stress_3,smooth-s1871,smooth-s1871,smooth,orientation_22,narrow,1.8324168229303083e-05,0.0026513828905761062,True,True
smooth-s1871-orientation_22-narrow,10.0,True,smooth-s1871-orientation_22-narrow__stress_10,smooth-s1871,smooth-s1871,smooth,orientation_22,narrow,1.981302583865471e-05,0.002099462033531584,True,True
