case_id,dimensionless_stress_multiplier,all_gates_pass,cell_id,field_unit_id,ray_prefix_id,family_id,orientation_id,aperture_id,output_relative_l2,position_tangent_relative_l2,direction_tangent_relative_l2,teacher_valid_ray_fraction,output_gate_met,position_gate_met,direction_gate_met,teacher_valid_gate_met
smooth-s1729-orientation_22-narrow,1.0,True,smooth-s1729-orientation_22-narrow__stress_1,smooth-s1729,smooth-s1729,smooth,orientation_22,narrow,1.796754680929326e-14,4.907228133708676e-15,5.274419186373081e-15,1.0,True,True,True,True
smooth-s1729-orientation_22-narrow,3.0,True,smooth-s1729-orientation_22-narrow__stress_3,smooth-s1729,smooth-s1729,smooth,orientation_22,narrow,1.7697764537914272e-14,4.870078280356706e-15,5.281879799483099e-15,1.0,True,True,True,True
smooth-s1729-orientation_22-narrow,10.0,True,smooth-s1729-orientation_22-narrow__stress_10,smooth-s1729,smooth-s1729,smooth,orientation_22,narrow,1.7851973916447815e-14,4.866261265032324e-15,5.294649917787707e-15,1.0,True,True,True,True
smooth-s1729-orientation_22-wide,1.0,True,smooth-s1729-orientation_22-wide__stress_1,smooth-s1729,smooth-s1729,smooth,orientation_22,wide,1.5245815610992673e-14,5.162272157579535e-15,5.802622750629688e-15,1.0,True,True,True,True
smooth-s1729-orientation_22-wide,3.0,True,smooth-s1729-orientation_22-wide__stress_3,smooth-s1729,smooth-s1729,smooth,orientation_22,wide,1.5377850919283274e-14,5.172520042092178e-15,5.8019814434753064e-15,1.0,True,True,True,True
smooth-s1729-orientation_22-wide,10.0,True,smooth-s1729-orientation_22-wide__stress_10,smooth-s1729,smooth-s1729,smooth,orientation_22,wide,1.549388450359834e-14,5.182966117366578e-15,5.802192318965488e-15,1.0,True,True,True,True
smooth-s1729-orientation_58-narrow,1.0,True,smooth-s1729-orientation_58-narrow__stress_1,smooth-s1729,smooth-s1729,smooth,orientation_58,narrow,4.132914075493371e-14,4.804935441487422e-15,5.050098170874299e-15,1.0,True,True,True,True
smooth-s1729-orientation_58-narrow,3.0,True,smooth-s1729-orientation_58-narrow__stress_3,smooth-s1729,smooth-s1729,smooth,orientation_58,narrow,4.1845481315459006e-14,4.814382347073724e-15,5.0411914136816185e-15,1.0,True,True,True,True
smooth-s1729-orientation_58-narrow,10.0,True,smooth-s1729-orientation_58-narrow__stress_10,smooth-s1729,smooth-s1729,smooth,orientation_58,narrow,4.0574966666104215e-14,4.802098821668518e-15,5.007183104910792e-15,1.0,True,True,True,True
smooth-s1729-orientation_58-wide,1.0,True,smooth-s1729-orientation_58-wide__stress_1,smooth-s1729,smooth-s1729,smooth,orientation_58,wide,4.134808222371829e-14,5.829886228888814e-15,6.2943242621731005e-15,1.0,True,True,True,True
smooth-s1729-orientation_58-wide,3.0,True,smooth-s1729-orientation_58-wide__stress_3,smooth-s1729,smooth-s1729,smooth,orientation_58,wide,4.247816409460523e-14,5.8024385712887786e-15,6.275898764421846e-15,1.0,True,True,True,True
smooth-s1729-orientation_58-wide,10.0,True,smooth-s1729-orientation_58-wide__stress_10,smooth-s1729,smooth-s1729,smooth,orientation_58,wide,4.198284809965536e-14,5.818463333125051e-15,6.30002072111039e-15,1.0,True,True,True,True
smooth-s1871-orientation_22-narrow,1.0,True,smooth-s1871-orientation_22-narrow__stress_1,smooth-s1871,smooth-s1871,smooth,orientation_22,narrow,1.82444129142191e-14,3.319263311917553e-15,3.575435861240703e-15,1.0,True,True,True,True
