cell_id,pair_id,role,family_id,phantom_seed,orientation_id,aperture_id,dimensionless_stress_multiplier,n3_failed_gate,d256_512_output_relative_l2,d512_1024_output_relative_l2,d256_512_matched_residual_relative_l2,d512_1024_matched_residual_relative_l2,h1024_output_contraction_ratio,h1024_matched_residual_contraction_ratio,h1024_all_gates_pass,requires_h2048_escalation,d1024_2048_output_relative_l2,d1024_2048_matched_residual_relative_l2,h2048_all_gates_pass,final_reference_step_count,final_cellwise_reference_authorized,h1024_gates,h2048_gates
smooth-s1729-orientation_58-wide__stress_1,p01,n3_failure,smooth,1729,orientation_58,wide,1.0,matched_residual_convergence_gate_met,1.8583094777419834e-05,1.9262903393306324e-06,0.020643437207611682,0.0017403892238741715,0.10365820991621115,0.08430714354257111,True,False,,,,1024,True,"{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": true, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""parent_matched_residual_reproduction_gate_met"": true, ""parent_output_reproduction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}",
smooth-s1729-orientation_58-narrow__stress_1,p01,matched_control,smooth,1729,orientation_58,narrow,1.0,none,6.552444442480801e-06,2.00671876911949e-06,0.005193464299401366,0.0026855917092885847,0.306254984187204,0.5171098816637951,False,True,4.908497419904099e-07,0.0009990969891367854,True,2048,True,"{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": false, ""matched_residual_contraction_gate_met"": false, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""parent_matched_residual_reproduction_gate_met"": false, ""parent_output_reproduction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}","{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": true, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}"
smooth-s1729-orientation_58-wide__stress_3,p02,n3_failure,smooth,1729,orientation_58,wide,3.0,matched_residual_convergence_gate_met,1.9371875448105303e-05,1.9278674419735375e-06,0.021143873682541132,0.001658028612979606,0.0995188848461286,0.07841650200306813,True,False,,,,1024,True,"{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": true, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""parent_matched_residual_reproduction_gate_met"": true, ""parent_output_reproduction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}",
smooth-s1729-orientation_58-narrow__stress_3,p02,matched_control,smooth,1729,orientation_58,narrow,3.0,none,6.449835409368093e-06,1.982733377390033e-06,0.004864987208355249,0.0023557617273649314,0.30740836805078825,0.4842277330799736,True,False,,,,1024,True,"{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": true, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""parent_matched_residual_reproduction_gate_met"": true, ""parent_output_reproduction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}",
smooth-s1729-orientation_58-wide__stress_10,p03,n3_failure,smooth,1729,orientation_58,wide,10.0,matched_residual_convergence_gate_met,2.2329088138812284e-05,1.9416642241193395e-06,0.019806842367528377,0.0010119934161751899,0.0869567181628143,0.0510931221341099,True,False,,,,1024,True,"{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": true, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""parent_matched_residual_reproduction_gate_met"": true, ""parent_output_reproduction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}",
smooth-s1729-orientation_58-narrow__stress_10,p03,matched_control,smooth,1729,orientation_58,narrow,10.0,none,6.813656786882996e-06,1.9735634419799713e-06,0.004020521116634114,0.0015084242605403007,0.28964820267720087,0.3751812804314079,True,False,,,,1024,True,"{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": true, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""parent_matched_residual_reproduction_gate_met"": true, ""parent_output_reproduction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}",
smooth-s1871-orientation_58-wide__stress_1,p04,n3_failure,smooth,1871,orientation_58,wide,1.0,matched_residual_convergence_gate_met,2.4244305875340566e-05,2.4470450141633703e-06,0.026684363469682407,0.0020248492985521904,0.10093277269910686,0.07588149145295275,False,True,6.12354128589446e-07,0.0009279546177134919,True,2048,True,"{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": true, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""parent_matched_residual_reproduction_gate_met"": false, ""parent_output_reproduction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}","{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": true, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}"
smooth-s1871-orientation_58-narrow__stress_1,p04,matched_control,smooth,1871,orientation_58,narrow,1.0,none,8.146670543004144e-06,2.9423374240431555e-06,0.007425541141681149,0.004755653427330603,0.3611705430471657,0.6404453677639874,False,True,6.685598170643685e-07,0.001647067777985859,False,2048,False,"{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": false, ""matched_residual_contraction_gate_met"": false, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""parent_matched_residual_reproduction_gate_met"": false, ""parent_output_reproduction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}","{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": false, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}"
smooth-s1871-orientation_58-wide__stress_3,p05,n3_failure,smooth,1871,orientation_58,wide,3.0,matched_residual_convergence_gate_met,2.5316739445150736e-05,2.3912524368311686e-06,0.02635640125528547,0.0018982781310649722,0.09445341261310007,0.07202341900468276,False,True,6.081996914469447e-07,0.0006865583839853162,True,2048,True,"{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": true, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""parent_matched_residual_reproduction_gate_met"": false, ""parent_output_reproduction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}","{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": true, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}"
smooth-s1871-orientation_58-narrow__stress_3,p05,matched_control,smooth,1871,orientation_58,narrow,3.0,none,8.019359424519841e-06,2.83021399713056e-06,0.007207312815956188,0.004264024484564986,0.35292270208976434,0.591624728029691,False,True,6.686317845572662e-07,0.0013924333305538692,False,2048,False,"{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": false, ""matched_residual_contraction_gate_met"": false, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""parent_matched_residual_reproduction_gate_met"": true, ""parent_output_reproduction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}","{""direction_norm_gate_met"": true, ""domain_margin_gate_met"": true, ""finite_ray_gate_met"": true, ""frustum_topology_gate_met"": true, ""frustum_violation_gate_met"": true, ""matched_residual_absolute_gate_met"": false, ""matched_residual_contraction_gate_met"": true, ""output_absolute_gate_met"": true, ""output_contraction_gate_met"": true, ""stencil_margin_gate_met"": true, ""support_topology_gate_met"": true}"
