pair_id,contrast_factor,failure_cell_id,control_cell_id,failure_n3_gate,failure_h1024_pass,control_h1024_pass,failure_escalated,control_escalated,failure_final_authorized,control_final_authorized,failure_output_contraction_ratio,control_output_contraction_ratio,failure_matched_contraction_ratio,control_matched_contraction_ratio
p01,aperture,smooth-s1729-orientation_58-wide__stress_1,smooth-s1729-orientation_58-narrow__stress_1,matched_residual_convergence_gate_met,True,False,False,True,True,True,0.10365820991621115,0.306254984187204,0.08430714354257111,0.5171098816637951
p02,aperture,smooth-s1729-orientation_58-wide__stress_3,smooth-s1729-orientation_58-narrow__stress_3,matched_residual_convergence_gate_met,True,True,False,False,True,True,0.0995188848461286,0.30740836805078825,0.07841650200306813,0.4842277330799736
p03,aperture,smooth-s1729-orientation_58-wide__stress_10,smooth-s1729-orientation_58-narrow__stress_10,matched_residual_convergence_gate_met,True,True,False,False,True,True,0.0869567181628143,0.28964820267720087,0.0510931221341099,0.3751812804314079
p04,aperture,smooth-s1871-orientation_58-wide__stress_1,smooth-s1871-orientation_58-narrow__stress_1,matched_residual_convergence_gate_met,False,False,True,True,True,False,0.10093277269910686,0.3611705430471657,0.07588149145295275,0.6404453677639874
p05,aperture,smooth-s1871-orientation_58-wide__stress_3,smooth-s1871-orientation_58-narrow__stress_3,matched_residual_convergence_gate_met,False,False,True,True,True,False,0.09445341261310007,0.35292270208976434,0.07202341900468276,0.591624728029691
p06,aperture,smooth-s1871-orientation_58-wide__stress_10,smooth-s1871-orientation_58-narrow__stress_10,matched_residual_convergence_gate_met,True,False,False,True,True,True,0.08600600637881016,0.2897923976090322,0.05110041173874292,0.4311188053947116
p07,aperture,smooth-s1987-orientation_22-narrow__stress_1,smooth-s1987-orientation_22-wide__stress_1,matched_residual_convergence_gate_met,False,False,True,True,True,True,0.09737278483713889,0.11562244489419532,0.40785564119521717,0.3305830505207727
p08,aperture,smooth-s2131-orientation_58-wide__stress_1,smooth-s2131-orientation_58-narrow__stress_1,matched_residual_convergence_gate_met,True,True,False,False,True,True,0.12294093998967592,0.3046385532427836,0.08130624496915541,0.40799247170537234
p09,aperture,smooth-s2131-orientation_58-wide__stress_3,smooth-s2131-orientation_58-narrow__stress_3,matched_residual_convergence_gate_met,True,True,False,False,True,True,0.11872217360810527,0.29676357708695783,0.07461588166854329,0.36419481760279954
p10,aperture,smooth-s2131-orientation_58-wide__stress_10,smooth-s2131-orientation_58-narrow__stress_10,matched_residual_convergence_gate_met,True,True,False,False,True,True,0.11044253306635995,0.25907476858680795,0.053954020742018445,0.229749158076246
p11,orientation,wrinkled-s3163-orientation_22-narrow__stress_1,wrinkled-s3163-orientation_58-narrow__stress_1,output_convergence_gate_met,False,True,True,False,True,True,0.09426112890692313,0.25232456058447567,0.2980591454650367,0.22957210749286736
p12,orientation,wrinkled-s3163-orientation_22-narrow__stress_3,wrinkled-s3163-orientation_58-narrow__stress_3,output_convergence_gate_met,True,True,False,False,True,True,0.09334069687429784,0.23675523756512512,0.2984654872718753,0.2026715526407564
p13,orientation,wrinkled-s3163-orientation_22-narrow__stress_10,wrinkled-s3163-orientation_58-narrow__stress_10,output_convergence_gate_met,True,True,False,False,True,True,0.09025337420720338,0.16752423700543564,0.29598591753149384,0.1215730952017463
p14,orientation,wrinkled-s3163-orientation_22-wide__stress_1,wrinkled-s3163-orientation_58-wide__stress_1,output_convergence_gate_met,True,True,False,False,True,True,0.11739119186295592,0.10303851534657676,0.311529475407316,0.10073402067811846
p15,orientation,wrinkled-s3163-orientation_22-wide__stress_3,wrinkled-s3163-orientation_58-wide__stress_3,output_convergence_gate_met,True,True,False,False,True,True,0.11777057169077823,0.09872009865037687,0.3112119236129175,0.09084435012994951
p16,orientation,wrinkled-s3163-orientation_22-wide__stress_10,wrinkled-s3163-orientation_58-wide__stress_10,output_convergence_gate_met,True,True,False,False,True,True,0.11915074809247823,0.0913888847481395,0.3093637901220201,0.051459932366094974
