pack_index,cell_id,case_id,pair_id,role,field_unit_id,family_id,phantom_family,phantom_seed,orientation_id,aperture_id,contrast_factor,dimensionless_stress_multiplier,n3_failed_gate,step_count,reference_method,source_kind,identity_sha256,pack_array_sha256_float64_le_c_order,l2_norm,finite_fraction,source_logical_point_queries,source_path,source_file_sha256,source_record_sha256,source_array_sha256_legacy
0,smooth-s1729-orientation_58-wide__stress_1,smooth-s1729-orientation_58-wide,p01,n3_failure,smooth-s1729,smooth,smooth_plume,1729,orientation_58,wide,aperture,1.0,matched_residual_convergence_gate_met,1024,raw_separate_subtraction,n4_checkpoint,0a913a3ac4b359e97abdfa14127a1beb573c86ce845d8b6d03679ea6d26627bd,8979441dddcd3da0aa172bfb294fc156a76908b059b6d1724502c8b42591a31c,3.2114750822839126e-07,1.0,11010048,demo_t16_operator/results/n2_pvgr_n4_1_evaluator_convergence_v1_work/levels/smooth-s1729-orientation_58-wide__stress_1/H1024.json,740dc5b1090c7130c920c44533dd6a7990a6f2d0de2da45d6cd8b198464cb4af,57a4fdf996b3894d4024823cd9deb8c7c61b92bd346009b27e84b9016816e5d7,ee24f6160a4100026d36c7a728b7cc9403ebdca49a5aaac7f61ae8d38352e913
1,smooth-s1729-orientation_58-narrow__stress_1,smooth-s1729-orientation_58-narrow,p01,matched_control,smooth-s1729,smooth,smooth_plume,1729,orientation_58,narrow,aperture,1.0,none,2048,raw_separate_subtraction,n4_checkpoint,b3c96f9b85565a805a245635fa10ffd6c4dfada3144d9ac5078438c02c7cbab3,cbc3c8ee34e1abd698502e78d3e46e3947b8a9ed9377311770e09446913b444a,2.769942515311832e-07,1.0,22020096,demo_t16_operator/results/n2_pvgr_n4_1_evaluator_convergence_v1_work/levels/smooth-s1729-orientation_58-narrow__stress_1/H2048.json,221615286c3184da4f4e8a276cd0efa8b339cda6a3cbb9efc0c856ce420bd53f,ffd3fddfdb0dfd85a7cad4de0b3b62e556a59cdae7ba450efb8517cb6c3cb0c9,e5b15361c37ee1d64c3e2dfdd8540f3451e59fda0516c8934acb222d66f9165c
2,smooth-s1729-orientation_58-wide__stress_3,smooth-s1729-orientation_58-wide,p02,n3_failure,smooth-s1729,smooth,smooth_plume,1729,orientation_58,wide,aperture,3.0,matched_residual_convergence_gate_met,1024,raw_separate_subtraction,n4_checkpoint,037dbf4307204f87199bff6610f2ea3d54b57c078d72105b15c16149b61a5ebc,65236b9ef86deedd4ecc91590b9f2fe549080991d451023e803451c2e3204c5e,2.8924105356145654e-06,1.0,11010048,demo_t16_operator/results/n2_pvgr_n4_1_evaluator_convergence_v1_work/levels/smooth-s1729-orientation_58-wide__stress_3/H1024.json,d7379a3580c98db531b44569f3f1fddfeba64e8395979e351d2ac8c03ebb3dbe,f31efb7f856574d0048756d94c72ecd7e060b50a6c4f1c30615c8e9035eac332,32d2125fffc8f53d0e8dc394e74ed8443e2dc3e54b0d504e400af3e57d2ce4c8
3,smooth-s1729-orientation_58-narrow__stress_3,smooth-s1729-orientation_58-narrow,p02,matched_control,smooth-s1729,smooth,smooth_plume,1729,orientation_58,narrow,aperture,3.0,none,1024,raw_separate_subtraction,n4_checkpoint,6d81a88983df0a9f3feed0875cfdb9b92da756db843ad5e56722f0c814715aa0,eb1ca5415d9b4a2c8a834480b1d162f62f397e02d9fcfac994515b42918c5be9,2.4957667283470462e-06,1.0,11010048,demo_t16_operator/results/n2_pvgr_n4_1_evaluator_convergence_v1_work/levels/smooth-s1729-orientation_58-narrow__stress_3/H1024.json,3db8f1d488c8dcfada269df08fd612b95f3ab1aede29e201dcb3d0aec31f1541,6f1205a08442bc3d2426b3197306a1eaed10552c6e44479182feae6d88be310f,056cf25d7fcf5afe99b769bdb3d29f65ed79a2870b6a331b370544995322e191
4,smooth-s1729-orientation_58-wide__stress_10,smooth-s1729-orientation_58-wide,p03,n3_failure,smooth-s1729,smooth,smooth_plume,1729,orientation_58,wide,aperture,10.0,matched_residual_convergence_gate_met,1024,raw_separate_subtraction,n4_checkpoint,d4dce463424b3ad9937103c85a925e29c301c30469d5ebf666fdb0eb3950bbc2,95dbe8a762862ee80fa0f7ef9e91fc33188e8d54b7c89643594940d8a6841fed,3.221910681208938e-05,1.0,11010048,demo_t16_operator/results/n2_pvgr_n4_1_evaluator_convergence_v1_work/levels/smooth-s1729-orientation_58-wide__stress_10/H1024.json,008d6f1c6e8f7d668f27eb78a50238959a9c1b9412907ab156ee8c936d180ac4,bc8d8e0f7c79df0924ee6d5639248c2cf71a3930bb7740e629d2edc4168ace56,68ccbbe49f7116e0fc6f481d14b5ae2ba54aad87f543aba7c7f248f061fe85e8
5,smooth-s1729-orientation_58-narrow__stress_10,smooth-s1729-orientation_58-narrow,p03,matched_control,smooth-s1729,smooth,smooth_plume,1729,orientation_58,narrow,aperture,10.0,none,1024,raw_separate_subtraction,n4_checkpoint,62d7da9b2182b1ccc9e3262696a919f64678524cc7ff05358054ee320ec1109b,f309076f95c6b3c0ba20776808e65dca23abdc37076c533091fda1bcd4245337,2.7839609840770858e-05,1.0,11010048,demo_t16_operator/results/n2_pvgr_n4_1_evaluator_convergence_v1_work/levels/smooth-s1729-orientation_58-narrow__stress_10/H1024.json,5dfed996da2c39d9a04904736de7f9cb3cee441cb9d00873ca72f7fb98d3077e,2e5e36bb676f570e1422f6976f07d1f75d1dbd9c92f8e83c6381b2b00db9af28,aafe0bc6a91c991889ade71e8c5799d45c9914d235ed6e8a49fb803ab3f00d12
6,smooth-s1871-orientation_58-wide__stress_1,smooth-s1871-orientation_58-wide,p04,n3_failure,smooth-s1871,smooth,smooth_plume,1871,orientation_58,wide,aperture,1.0,matched_residual_convergence_gate_met,2048,raw_separate_subtraction,n4_checkpoint,a7753b6880934fe54c9882c6acbd7571f94c12d2776760cde4ed52ceb2269606,161e48ea0899ee90dec2771be49cb5a8b03df44b20eceee4e72863024e4acd1f,2.9620645977345204e-07,1.0,22020096,demo_t16_operator/results/n2_pvgr_n4_1_evaluator_convergence_v1_work/levels/smooth-s1871-orientation_58-wide__stress_1/H2048.json,d912ce0c980597b41e68ab8f42b848d407102e8001a9b28fe4252751c5920b94,5d2e7305cd2d1bd17847921ca6e29e548896450b520a124fe4c91dd4c658ee68,6d0ea750e9527d5f02710595066b2a1d13e95ace159f49fef096f39437d853a9
7,smooth-s1871-orientation_58-narrow__stress_1,smooth-s1871-orientation_58-narrow,p04,matched_control,smooth-s1871,smooth,smooth_plume,1871,orientation_58,narrow,aperture,1.0,none,8192,paired_neumaier,n5_d2_level,7f357ac78457d3f48925d7c91144bfa2c0500678dd22598923281a6da9c9624e,023353a9afa5c643863dc562bfc05bebb5f2723c1b72e4bb8904d50e5633d67b,1.8280572373443075e-07,1.0,88080384,demo_t16_operator/results/n2_pvgr_n5_d2_extreme_refinement_v1/levels.json,56f903dc0d94b397bb7b6e93c9a9e48817238a6c7beaebdf685d8873e54d7d23,5278bb95f66f2954c4a59733b2f2af465c597b67d001ee8a244d83b4148c8ef2,635fd821857fca1b684ed33ae98e6bf0a979dbee8ce32411e10f115f1b055c41
8,smooth-s1871-orientation_58-wide__stress_3,smooth-s1871-orientation_58-wide,p05,n3_failure,smooth-s1871,smooth,smooth_plume,1871,orientation_58,wide,aperture,3.0,matched_residual_convergence_gate_met,2048,raw_separate_subtraction,n4_checkpoint,12f0c70a347abda3c532a7cb7cd7da3a66c07a85456cd97b2d7d639a0c7cd4fa,2453dd8745f6a9c3f7ecb92a3b6d663f09322107febb37000626ad8f05acd03f,2.6682436779363814e-06,1.0,22020096,demo_t16_operator/results/n2_pvgr_n4_1_evaluator_convergence_v1_work/levels/smooth-s1871-orientation_58-wide__stress_3/H2048.json,0c63f836424877671534b16665b501c83091b0b6426a470bf81d0d4e0e1e2f5b,116c69ebde9eead46f1dbd67feb92ddbe486939941e9d3d8263cd91e692865dd,509e96f75ed55efd44572d3ffbe3ebd34e939222371b9822905c9a61182c8fb5
9,smooth-s1871-orientation_58-narrow__stress_3,smooth-s1871-orientation_58-narrow,p05,matched_control,smooth-s1871,smooth,smooth_plume,1871,orientation_58,narrow,aperture,3.0,none,8192,paired_neumaier,n5_d2_level,918b42f60a8911dfc2b86f788552c382c9758e91394a92178a045b602be60c2e,3e5c79cc3d5eea8c6aa40481570baa0a15e91f216ef26b815d58a27270ff23e4,1.6488974234141132e-06,1.0,88080384,demo_t16_operator/results/n2_pvgr_n5_d2_extreme_refinement_v1/levels.json,56f903dc0d94b397bb7b6e93c9a9e48817238a6c7beaebdf685d8873e54d7d23,1a75dbdcc53c887ddc94f2d8806541be50c5dfa9f25a597bc56955d7b2f8a54f,564472ab79fc54a020c6dd2ed8cb1b85cb2c2900f881ce6cb59ff0b6ac209121
