case_id,scenario,expected_role,trial,parameter_name,parameter_value,parameter_value_float_hex,forward_path_id,probe_index,input_dimension,output_dimension,lhs,rhs,absolute_defect,signal_relative_defect,left_action_scale,right_action_scale,maximum_action_scale,normwise_defect,dot_condition_proxy,output_gamma,input_gamma,side_weighted_gamma_scale,side_weighted_gamma_score,contraction_roundoff_envelope,contraction_envelope_ratio,finite,tangent_sha256,candidate_jvp_sha256,candidate_vjp_sha256,candidate_jvp_0,candidate_jvp_1,candidate_jvp_2,candidate_jvp_3,candidate_jvp_4,candidate_jvp_5,candidate_jvp_6,candidate_jvp_7
trial-00__clean_general__none__0x0.0p+0,clean_general,clean_derivative_strong_signal_should_pass,0,none,0.0,0x0.0p+0,base,0,4913,8,-0.011955504713876663,-0.011955504713876672,8.673617379884035e-18,7.254915277492741e-16,0.042267815656684304,1.0027792793997319,1.0027792793997319,8.649577786525567e-18,83.87594697159149,8.88178419700126e-16,5.454525719986369e-13,5.470060784572376e-13,1.585652833026443e-05,3.4736032757636896e-13,2.497008636651834e-05,True,cbdeb241daeeb2c0f52ba1f74930c8e87cabce344886bae0cdbb0179e14c7139,c34e637886a62a49f184054edc1deb1a0eb0140bcdeea3b17129d38da3c8a295,47e4082c06cf5e7f1544e1cb6368d6f3c40ad339fcd363e83881aa7c9f877d8d,-0.007563766218146299,-0.007897964080791527,0.02447594865787628,0.023372723161036148,0.008098231095530126,-0.010077333666878843,0.01585206824275931,0.01015881515800206
trial-00__clean_general__none__0x0.0p+0,clean_general,clean_derivative_strong_signal_should_pass,0,none,0.0,0x0.0p+0,base,1,4913,8,0.029611846641919307,0.029611846641919303,3.469446951953614e-18,1.1716415372225298e-16,0.03869636978554697,1.0027792793997319,1.0027792793997319,3.4598311146102265e-18,33.86412510931254,8.88178419700126e-16,5.454525719986369e-13,5.470029063760876e-13,6.342648113039865e-06,3.4701205255129984e-13,9.998058933243293e-06,True,4f8b1628fcc231c8f68211e489e6289869837fdbb1be4800b14f6fdee9aa6212,389e0a8649fb74febc04575172f74b6609479ebe345bf439d1d0e328ce0d2b5b,47e4082c06cf5e7f1544e1cb6368d6f3c40ad339fcd363e83881aa7c9f877d8d,0.02122198599241592,0.010723338159823454,0.016985535385874054,-0.00045344028207437416,0.002303659142438747,0.006055332865842014,-0.008269449920350605,-0.02308624351962673
trial-00__clean_general__none__0x0.0p+0,clean_general,clean_derivative_strong_signal_should_pass,0,none,0.0,0x0.0p+0,base,2,4913,8,-0.014590023996963807,-0.014590023996963776,3.122502256758253e-17,2.140162522973264e-15,0.023044272176933934,1.0027792793997314,1.0027792793997314,3.113848003149205e-17,68.7304749881433,8.88178419700126e-16,5.454525719986369e-13,5.469890045207684e-13,5.708528381651766e-05,3.5029076471619523e-13,8.914029632748374e-05,True,e0e38dcfb01cc02a74001b3e8d371550a2acf1d2342d64c0f8cf3e62b3c16996,e4aa76832b02dfbabeaee265cc89552baf1aabf1d88e8a93be41e5309a3bc865,47e4082c06cf5e7f1544e1cb6368d6f3c40ad339fcd363e83881aa7c9f877d8d,-0.004560166484152312,-0.01376931270611535,-0.0013511509204508305,-0.002824926329095178,-0.00886111430666032,-0.005654201909492094,-0.0033884707302352275,0.013743088879481214
trial-00__clean_general__none__0x0.0p+0,clean_general,clean_derivative_strong_signal_should_pass,0,none,0.0,0x0.0p+0,base,3,4913,8,0.015517573832428577,0.015517573832428576,1.734723475976807e-18,1.1179089558134323e-16,0.03376657954358521,1.0027792793997314,1.0027792793997314,1.729915557305114e-18,64.62216904707915,8.88178419700126e-16,5.454525719986369e-13,5.469985278427809e-13,3.1713494418679747e-06,3.4167597364216915e-13,5.077101142012258e-06,True,0370e571f2dd90b49289a816b0e475173f9af3b7261dc4bb6d20d78eb56daa25,847304849ce322c2186a13a57a6e5fd9ff6e19afe2b2a9d850827cabaf8ae55d,47e4082c06cf5e7f1544e1cb6368d6f3c40ad339fcd363e83881aa7c9f877d8d,0.017758295345175028,0.006717210280820517,0.02106770957516767,0.008087195051408456,0.012082625727430785,0.007263069777254213,0.0072786341003246305,0.0043280797800017284
trial-00__clean_general__none__0x0.0p+0,clean_general,clean_derivative_strong_signal_should_pass,0,none,0.0,0x0.0p+0,base,4,4913,8,0.032790324501291886,0.0327903245012919,1.3877787807814457e-17,4.232281326544264e-16,0.04581465843971261,1.0027792793997317,1.0027792793997317,1.3839324458440909e-17,30.581560098931725,8.88178419700126e-16,5.454525719986369e-13,5.470092286864554e-13,2.5370299219886064e-05,3.3972696104033325e-13,4.0849827653704674e-05,True,1329423c48fee1e1cf45eb9f8c94d41c86a0b67513317057ee03218b3d594b34,a14bf0fd52390c54f6df28ab7642affb1b8dd19ce731da5ecb6ebb5b87390bee,47e4082c06cf5e7f1544e1cb6368d6f3c40ad339fcd363e83881aa7c9f877d8d,0.02405803764175492,0.025496343311904215,0.000947172879331165,0.003416546181872837,-0.018322194118341545,0.022241705293759326,-0.004972634591841138,0.001561076472224799
trial-00__clean_general__none__0x0.0p+0,clean_general,clean_derivative_strong_signal_should_pass,0,none,0.0,0x0.0p+0,base,5,4913,8,-0.01294582154682664,-0.012945821546826627,1.214306433183765e-17,9.37991018021891e-16,0.030571625487725566,1.0027792793997319,1.0027792793997319,1.2109408901135793e-17,77.45968656933475,8.88178419700126e-16,5.454525719986369e-13,5.469956901535368e-13,2.2199561258753614e-05,3.4482596726987394e-13,3.521505189408785e-05,True,aac47743dc6a175dbd4f7b30ea3081bde7728611559cffd7bcc5217d5adb255b,199dc62b92ccdcfba1290221511bb11f2d59e47bd8f712e83c7ff5d67931508a,47e4082c06cf5e7f1544e1cb6368d6f3c40ad339fcd363e83881aa7c9f877d8d,0.012734229678148244,-0.015500399671647331,-0.011363920823133072,0.00039622788704854863,0.00983064707803014,-0.005420372414517309,-0.005133916966186653,0.015828026850231876
trial-00__clean_general__none__0x0.0p+0,clean_general,clean_derivative_strong_signal_should_pass,0,none,0.0,0x0.0p+0,base,6,4913,8,0.01711594924911806,0.017115949249118037,2.42861286636753e-17,1.4189180109263702e-15,0.03182056366481305,1.0027792793997317,1.0027792793997317,2.4218817802271592e-17,58.58741836660927,8.88178419700126e-16,5.454525719986369e-13,5.469967994334731e-13,4.439903247848716e-05,3.4504144898437336e-13,7.038611950871792e-05,True,d0e85bd610f96aef63bd26f4d5cd55934936139c7d82ba00fc1ee2d38cac2bcb,dbf8c2e9dc4aa05e1e040a8bc5ec7508c6269cdc5ba38e28617ab2e64634fc59,47e4082c06cf5e7f1544e1cb6368d6f3c40ad339fcd363e83881aa7c9f877d8d,-0.004037735280510034,0.020646610846819596,0.014404724844883419,-0.0023083112422782486,0.002758512080146304,0.008464069788683169,0.012287419130596802,-0.011265322563865539
trial-00__clean_general__none__0x0.0p+0,clean_general,clean_derivative_strong_signal_should_pass,0,none,0.0,0x0.0p+0,base,7,4913,8,0.003046124794335179,0.0030461247943351934,1.431146867680866e-17,4.698254222356011e-15,0.03789498102446329,1.0027792793997317,1.0027792793997317,1.4271803347767187e-17,329.19835761968017,8.88178419700126e-16,5.454525719986369e-13,5.470021945998842e-13,2.6163457510946683e-05,3.469529748764682e-13,4.124901561055709e-05,True,e02935c7156b9562db57f438b81903a5ce8d1ba7084db9bff544e1f5ac12caba,7b86a9777ae78afe7ffb96d93c3589f75343aff79627ee62a195dd791d432d84,47e4082c06cf5e7f1544e1cb6368d6f3c40ad339fcd363e83881aa7c9f877d8d,0.02094454925120725,-0.012283197218832618,0.004541890422595579,0.020134296682391688,0.006860000973515729,-0.005452595992911741,-0.018451120453560153,-0.0017959887738164047
trial-00__clean_general__none__0x0.0p+0,clean_general,clean_derivative_strong_signal_should_pass,0,none,0.0,0x0.0p+0,base,8,4913,8,0.010944548257465818,0.010944548257465813,5.204170427930421e-18,4.755034475160177e-16,0.02047526438753049,1.0027792793997317,1.0027792793997317,5.189746671915341e-18,91.6236335945329,8.88178419700126e-16,5.454525719986369e-13,5.4698672278349e-13,9.514253657652953e-06,3.395901985408669e-13,1.5324854634472442e-05,True,1db41ce78b9194189cee2c251edd7e9b51919dd714550145a1e40d2d906d30f9,eb0597ffb3f4aa6d6ea4572a1b3bacf3367dcdb04729d675916e181010d06252,47e4082c06cf5e7f1544e1cb6368d6f3c40ad339fcd363e83881aa7c9f877d8d,0.01438572226033135,-0.002337041094779509,-0.005677860113654118,0.008731188404220812,-0.0026583640323451538,0.00450782611839289,-0.004122027601508498,-0.007346797404259863
trial-00__clean_general__none__0x0.0p+0,clean_general,clean_derivative_strong_signal_should_pass,0,none,0.0,0x0.0p+0,base,9,4913,8,0.006339206993778365,0.006339206993778372,6.938893903907228e-18,1.0945996732268595e-15,0.032290150863911744,1.0027792793997317,1.0027792793997317,6.9196622292204545e-18,158.18686475830674,8.88178419700126e-16,5.454525719986369e-13,5.469972165106895e-13,1.2685428178539236e-05,3.4756326024792515e-13,1.99644056134056e-05,True,acc63b55951d060a90feb954f8c76480f02bebf8423ba85d69db59a032dc3545,310e2e9ddbf6709f0c407925c835215cdcfd6d9d404b95e9c3ad3483328b6783,47e4082c06cf5e7f1544e1cb6368d6f3c40ad339fcd363e83881aa7c9f877d8d,-0.00779449036662255,-3.761351687666775e-05,3.464321968941315e-05,-0.02298811311973134,0.0057608204116540215,0.0048067861967698595,0.013751713772038205,-0.014423658550418826
