path_role,probe_index,h,h_float_hex,plus_input_sha256,minus_input_sha256,plus_output_sha256,minus_output_sha256,fd_estimate_sha256,jvp_sha256,fd_relative_error,branch_changed,diagnostic_changed,plus_branch_state_sha256,minus_branch_state_sha256
curved,0,1e-05,0x1.4f8b588e368f1p-17,d4a73eef4880d37eca57e1741013cde48a963950125f3f9d96aa09efa736d43f,2b3b8dd1ceec7893369de8b82cbb0cba0a25f587df7771c8695079e55a1ef5a2,11b6eec706de06377b64f9351c969edf26907bf6c515ce2a06ca5ed946583fa8,5e78db46cf3aa7678ba118f681ab8315b9aa4f99924babf111bbda6d32be717d,d46d46db6b0820ee96027b43c3df7d1871af1833f42d075e371f4c12f14daadc,4049551d5e2110e60fce2c0c1378e5f50d94b03448873e700851b0c51b3e48c6,1.2108267058359913e-11,False,False,54ec8f039ede307a3c09783c2a2d3e3a7e98c9f584e476868048559ffb698eb7,54ec8f039ede307a3c09783c2a2d3e3a7e98c9f584e476868048559ffb698eb7
curved,0,0.0001,0x1.a36e2eb1c432dp-14,5554741437d64a1b78d32a2f1274163bc210902e16e3cc659d177b302f3851de,61990f9f6a690b327e79fc9c1d751c4b8c8cb58fa24fe0a538b5b63b1860bb16,5174763813db1cb4118faf67f28f2cf72270a1526b1576801017dc5ff518e737,9db66f727d2df071cac9bfbc28de71f4cc8c6ce11713c588001915cf1ab26389,fe8cfb81a68473bfbbc2f5f5be3870bbae0520db64a656b3deb88918e31b172d,4049551d5e2110e60fce2c0c1378e5f50d94b03448873e700851b0c51b3e48c6,1.1307621391078364e-11,False,False,54ec8f039ede307a3c09783c2a2d3e3a7e98c9f584e476868048559ffb698eb7,54ec8f039ede307a3c09783c2a2d3e3a7e98c9f584e476868048559ffb698eb7
curved,0,0.001,0x1.0624dd2f1a9fcp-10,ce81ed71cba255b54c1ae0f1e8fca4d73334f1c9d2f98c18245436551ce649d5,aa3245aa592011858badb19033ed06db32bd655cf9229f80e4851370b80ccbe2,0a5801a3910b916c7a9d2e8171074a905f1328ec8f9bb16dc98648a843b2deb2,1ce226f8b4654884f6b4b33b21ef051e3cb6981bda7762f868dedd168f0f47d5,1bbca63a04dac62b54cd26ca3837dae637d2b20bbb5cc2528756bb295b62ebf3,4049551d5e2110e60fce2c0c1378e5f50d94b03448873e700851b0c51b3e48c6,1.0879242656712405e-09,False,False,54ec8f039ede307a3c09783c2a2d3e3a7e98c9f584e476868048559ffb698eb7,54ec8f039ede307a3c09783c2a2d3e3a7e98c9f584e476868048559ffb698eb7
curved,1,1e-05,0x1.4f8b588e368f1p-17,abcf0fc97e2b0048ae6d335ada3eee33113a745e5c39965ea10a58aefb6493e7,2c24b66e8b39fd562bd2a6b13dbbe69977467873026ced742f5f8bd288fc0050,e29bba814132abe809578a473e550dc7e8276165312b4279413d7c8e7d376384,e38431fbbe35666ac3a2451d6a9173aaa00d8dde5034151e9e5cea2e978dcd14,4ef45cafd04c7d44f64a893a31f4164bd67f58b0530012a3555364824d89d06a,9823cc44720b1e9a3949e1ada51e1b522c33a991b8d3b0fa10cc8ee79e713c43,2.0561995999465454e-11,False,False,54ec8f039ede307a3c09783c2a2d3e3a7e98c9f584e476868048559ffb698eb7,54ec8f039ede307a3c09783c2a2d3e3a7e98c9f584e476868048559ffb698eb7
curved,1,0.0001,0x1.a36e2eb1c432dp-14,f5a5178a528263a64028316a7ee21de9ec4862920b0dd0a0c98ba19f34278880,46167f1c165a0c6135cab984fda74f596c1b8237d06e059c00aa6ce34e4c3165,8547cbdefb789346220ca1c406dfafe9ea54e95f7903b3a3c53e2d0352e7430b,b9c42ca46c74cd26b11412a043b1146e08eca2144c8c03baf5756ca603de1bca,e1d8ddcb0ed05d20a9844720f33ca761c3f47bc296a501a0539374d5daf17c71,9823cc44720b1e9a3949e1ada51e1b522c33a991b8d3b0fa10cc8ee79e713c43,8.473178132031623e-12,False,False,54ec8f039ede307a3c09783c2a2d3e3a7e98c9f584e476868048559ffb698eb7,54ec8f039ede307a3c09783c2a2d3e3a7e98c9f584e476868048559ffb698eb7
curved,1,0.001,0x1.0624dd2f1a9fcp-10,25e9e51764d6f5abfd88c5424d2ae1d289423505e8c83a9224d2d5ac8fa71fcd,3504b3ce563cefeffb526cb5bbbd04641e63644d4a37bf73bfff5a9a94271fea,78c6edacce6fd07ffe28e88649c4c980c39d7f6c068bc825a76b770e6c840959,3bb81b33e11371be953cbaa08bb542f92bbbd2bf7313e4584db75e10a65e9f5d,07730228a113b7862cebd070e110b63e59e208157462dee91d9436d10c450039,9823cc44720b1e9a3949e1ada51e1b522c33a991b8d3b0fa10cc8ee79e713c43,7.484872213514286e-10,False,False,54ec8f039ede307a3c09783c2a2d3e3a7e98c9f584e476868048559ffb698eb7,54ec8f039ede307a3c09783c2a2d3e3a7e98c9f584e476868048559ffb698eb7
straight,0,1e-05,0x1.4f8b588e368f1p-17,d4a73eef4880d37eca57e1741013cde48a963950125f3f9d96aa09efa736d43f,2b3b8dd1ceec7893369de8b82cbb0cba0a25f587df7771c8695079e55a1ef5a2,9c9ded1a127d3b79d96c12143219d626be9911de70687515d8e490e5b1872795,8d89f2a8a992e599c5ed3458dd05f69692f4d9a5f592f92fddec0334d4bf1c2c,9060a1bacffa13738f2d6c16367c3b122ab6cdf1ae3b36578272a44e36002dc3,9f84c9a6a86091e6452f6f3d81143cc8dccfb134c39efc1c112a198bc1cb80c7,1.0265062158950009e-11,False,False,f46bf304e30cf37935383e20b97595a7e946001a89580b992b4bcc4ff93c9849,f46bf304e30cf37935383e20b97595a7e946001a89580b992b4bcc4ff93c9849
straight,0,0.0001,0x1.a36e2eb1c432dp-14,5554741437d64a1b78d32a2f1274163bc210902e16e3cc659d177b302f3851de,61990f9f6a690b327e79fc9c1d751c4b8c8cb58fa24fe0a538b5b63b1860bb16,53694a5443f368c40f01eba016d301bbfcc6260784ceee55024afd94782460f9,4b2b18e7126d10da876af404c8a6d14797ac60d1dfce20640f3f801cd0f07bc3,f69ecd9b8f12f376d59c65c5c503ee28ea613b953977b047f80957666a96d576,9f84c9a6a86091e6452f6f3d81143cc8dccfb134c39efc1c112a198bc1cb80c7,9.02714316837749e-13,False,False,f46bf304e30cf37935383e20b97595a7e946001a89580b992b4bcc4ff93c9849,f46bf304e30cf37935383e20b97595a7e946001a89580b992b4bcc4ff93c9849
straight,0,0.001,0x1.0624dd2f1a9fcp-10,ce81ed71cba255b54c1ae0f1e8fca4d73334f1c9d2f98c18245436551ce649d5,aa3245aa592011858badb19033ed06db32bd655cf9229f80e4851370b80ccbe2,e777ebd2aad03b225f8bc9e3914943f3cd9cbdacfa277914a7b2c9d45d95b035,5024a507c12c3c30b44ff075008f4ede1b0450d54581fd26f9b6e3f87421cbb9,d80ae2b255e5042a0e7d44b8f66facbe36352ded20daa3701396fb23917e58b7,9f84c9a6a86091e6452f6f3d81143cc8dccfb134c39efc1c112a198bc1cb80c7,1.2298227017570485e-13,False,False,f46bf304e30cf37935383e20b97595a7e946001a89580b992b4bcc4ff93c9849,f46bf304e30cf37935383e20b97595a7e946001a89580b992b4bcc4ff93c9849
straight,1,1e-05,0x1.4f8b588e368f1p-17,abcf0fc97e2b0048ae6d335ada3eee33113a745e5c39965ea10a58aefb6493e7,2c24b66e8b39fd562bd2a6b13dbbe69977467873026ced742f5f8bd288fc0050,cc3712ded38c1ceab3367d279a15e0fd1c40865b2236b1cf36d40766dd5722b6,f276b0382948ab472d9f149039ddf973582cc26cd5c2a44e21ac5b576513025f,84ec1a884a62043eaa32f815b5ef024b4d9901ff7918d6bbff84e4a438f78b82,ec36e6423ffd27d55a77ddddcde566bfd5297638e4c873d653bfcffea9dc470f,1.7015126851056684e-11,False,False,f46bf304e30cf37935383e20b97595a7e946001a89580b992b4bcc4ff93c9849,f46bf304e30cf37935383e20b97595a7e946001a89580b992b4bcc4ff93c9849
