rig_id,split_role,candidate_partition,risk_score,acceptance_threshold,support_gate_passed,observed_field_harm_vs_fallback,observed_residual_harm_vs_fallback,harm_failure,fallback_used,selection_frozen_before_offline_evaluation
fresh-00,fresh_geometry_ood,paired_cross,0.14285714285714285,0.4,False,0.0,0.0,False,True,True
fresh-01,fresh_geometry_ood,paired_local,0.4,0.4,False,0.0,0.0,False,True,True
fresh-02,fresh_geometry_ood,paired_cross,0.14285714285714285,0.4,False,0.0,0.0,False,True,True
fresh-03,fresh_geometry_ood,paired_cross,0.14285714285714285,0.4,False,0.0,0.0,False,True,True
fresh-04,fresh_geometry_ood,paired_local,0.4,0.4,False,0.0,0.0,False,True,True
fresh-05,fresh_geometry_ood,paired_cross,0.14285714285714285,0.4,False,0.0,0.0,False,True,True
fresh-06,fresh_geometry_ood,paired_cross,0.14285714285714285,0.4,False,0.0,0.0,False,True,True
fresh-07,fresh_geometry_ood,paired_cross,0.14285714285714285,0.4,False,0.0,0.0,False,True,True
risk-00,risk_calibration,paired_local,0.4,0.4,False,0.0793932857788498,-0.10678570788213734,True,True,True
risk-01,risk_calibration,paired_local,0.4,0.4,False,-0.38381393834381783,-0.6110351025838943,False,True,True
risk-02,risk_calibration,paired_cross,0.14285714285714285,0.4,False,0.0,0.0,False,True,True
risk-03,risk_calibration,paired_local,0.4,0.4,False,0.3703311266517877,0.4711107089120156,True,True,True
risk-04,risk_calibration,paired_cross,0.14285714285714285,0.4,False,0.0,0.0,False,True,True
risk-05,risk_calibration,paired_local,0.4,0.4,False,-0.08413845251065777,-0.03352309709808077,False,True,True
risk-06,risk_calibration,paired_local,0.4,0.4,False,-0.05501914466189817,-0.159510970689414,False,True,True
risk-07,risk_calibration,paired_cross,0.14285714285714285,0.4,True,0.0,0.0,False,True,True
risk-08,risk_calibration,paired_local,0.4,0.4,True,-0.12623870678886234,-0.20563909456039603,False,True,True
risk-09,risk_calibration,paired_local,0.4,0.4,False,-0.13615457886659849,-0.3963571405753004,False,True,True
risk-10,risk_calibration,paired_cross,0.14285714285714285,0.4,True,0.0,0.0,False,True,True
risk-11,risk_calibration,paired_local,0.4,0.4,False,-0.05431469791992882,-0.1631530455085854,False,True,True
