replicate,sample_index,reaction_family,candidate_id,covariance_mode,spatial_exponent,sobolev_strength,sobolev_epsilon,stages,field_relative_l2,gradient_relative_l2,front_top10_f1,solver_elapsed_seconds,solver_elapsed_is_shared_trajectory_total,shared_execution_id,shared_checkpoint_count,forward_calls,adjoint_calls,field_gain_percent,gradient_gain_percent,front_f1_gain
0,0,plume,baseline_component_s5_k4,component_iid,0.0,5.0,0.05,4,0.701060950756073,0.9111154079437256,0.704878032207489,0.0785123750101775,False,rep00_baseline,1,4,4,0.0,0.0,0.0
0,1,wavy_front,baseline_component_s5_k4,component_iid,0.0,5.0,0.05,4,0.7159077525138855,1.0254955291748047,0.3048780560493469,0.0785123750101775,False,rep00_baseline,1,4,4,0.0,0.0,0.0
0,2,thin_front,baseline_component_s5_k4,component_iid,0.0,5.0,0.05,4,0.7415671348571777,0.9825037717819214,0.3658536672592163,0.0785123750101775,False,rep00_baseline,1,4,4,0.0,0.0,0.0
0,3,double_front,baseline_component_s5_k4,component_iid,0.0,5.0,0.05,4,0.9534010291099548,1.078538417816162,0.24634146690368652,0.0785123750101775,False,rep00_baseline,1,4,4,0.0,0.0,0.0
0,4,annular_kernel,baseline_component_s5_k4,component_iid,0.0,5.0,0.05,4,1.070513129234314,1.0739128589630127,0.024390241131186485,0.0785123750101775,False,rep00_baseline,1,4,4,0.0,0.0,0.0
0,5,oblique_shock,baseline_component_s5_k4,component_iid,0.0,5.0,0.05,4,0.763260543346405,0.9645960927009583,0.13658536970615387,0.0785123750101775,False,rep00_baseline,1,4,4,0.0,0.0,0.0
0,6,vortex_pair,baseline_component_s5_k4,component_iid,0.0,5.0,0.05,4,0.900031566619873,1.0299041271209717,0.37317076325416565,0.0785123750101775,False,rep00_baseline,1,4,4,0.0,0.0,0.0
0,7,multi_plume,baseline_component_s5_k4,component_iid,0.0,5.0,0.05,4,0.880328893661499,1.0005085468292236,0.35121950507164,0.0785123750101775,False,rep00_baseline,1,4,4,0.0,0.0,0.0
0,0,plume,full_graph_s3_k2,full_graph,1.0,3.0,0.05,2,0.6423282027244568,0.8107079863548279,0.8048780560493469,0.046910125005524606,True,rep00_full_graph_a1_s3,4,2,2,8.377694973350708,11.020274787746681,0.10000002384185791
0,1,wavy_front,full_graph_s3_k2,full_graph,1.0,3.0,0.05,2,0.6247228980064392,0.7537890076637268,0.4219512343406677,0.046910125005524606,True,rep00_full_graph_a1_s3,4,2,2,12.736955869978193,26.49514442346858,0.1170731782913208
0,2,thin_front,full_graph_s3_k2,full_graph,1.0,3.0,0.05,2,0.6596412658691406,0.8393505215644836,0.5463414788246155,0.046910125005524606,True,rep00_full_graph_a1_s3,4,2,2,11.047667181719918,14.570249430982576,0.18048781156539917
0,3,double_front,full_graph_s3_k2,full_graph,1.0,3.0,0.05,2,0.6641584634780884,0.8146098852157593,0.5585365891456604,0.046910125005524606,True,rep00_full_graph_a1_s3,4,2,2,30.337974975954047,24.470944033204546,0.3121951222419739
0,4,annular_kernel,full_graph_s3_k2,full_graph,1.0,3.0,0.05,2,0.9356001615524292,0.9825178384780884,0.2219512164592743,0.046910125005524606,True,rep00_full_graph_a1_s3,4,2,2,12.602644843635076,8.510468956780795,0.1975609753280878
0,5,oblique_shock,full_graph_s3_k2,full_graph,1.0,3.0,0.05,2,0.8633116483688354,0.9562991857528687,0.2658536732196808,0.046910125005524606,True,rep00_full_graph_a1_s3,4,2,2,-13.108381652190598,0.8601431221701814,0.12926830351352692
0,6,vortex_pair,full_graph_s3_k2,full_graph,1.0,3.0,0.05,2,0.7547544836997986,0.8448267579078674,0.5219511985778809,0.046910125005524606,True,rep00_full_graph_a1_s3,4,2,2,16.141331960796883,17.970349311102936,0.1487804353237152
0,7,multi_plume,full_graph_s3_k2,full_graph,1.0,3.0,0.05,2,0.7574015259742737,0.8757683038711548,0.5390244126319885,0.046910125005524606,True,rep00_full_graph_a1_s3,4,2,2,13.963800185626186,12.467683894694476,0.1878049075603485
0,0,plume,full_graph_s3_k3,full_graph,1.0,3.0,0.05,3,0.5759673714637756,0.7374364733695984,0.8268292546272278,0.046910125005524606,True,rep00_full_graph_a1_s3,4,3,3,17.843466984915896,19.06223218923484,0.12195122241973877
0,1,wavy_front,full_graph_s3_k3,full_graph,1.0,3.0,0.05,3,0.5096291303634644,0.6939529776573181,0.5146341323852539,0.046910125005524606,True,rep00_full_graph_a1_s3,4,3,3,28.813575691292744,32.329985074071665,0.20975607633590698
0,2,thin_front,full_graph_s3_k3,full_graph,1.0,3.0,0.05,3,0.6092686057090759,0.8068187236785889,0.6585366129875183,0.046910125005524606,True,rep00_full_graph_a1_s3,4,3,3,17.84039811494368,17.881361186502186,0.292682945728302
0,3,double_front,full_graph_s3_k3,full_graph,1.0,3.0,0.05,3,0.669684648513794,0.8094500303268433,0.5878048539161682,0.046910125005524606,True,rep00_full_graph_a1_s3,4,3,3,29.75834637613341,24.949355817493487,0.3414633870124817
0,4,annular_kernel,full_graph_s3_k3,full_graph,1.0,3.0,0.05,3,0.954166829586029,0.9932864904403687,0.1609756052494049,0.046910125005524606,True,rep00_full_graph_a1_s3,4,3,3,10.868273958629706,7.507719816345075,0.13658536411821842
0,5,oblique_shock,full_graph_s3_k3,full_graph,1.0,3.0,0.05,3,0.8044202327728271,0.9403015375137329,0.31951218843460083,0.046910125005524606,True,rep00_full_graph_a1_s3,4,3,3,-5.392613280645091,2.5186246731726167,0.18292681872844696
0,6,vortex_pair,full_graph_s3_k3,full_graph,1.0,3.0,0.05,3,0.6819411516189575,0.796842634677887,0.6000000238418579,0.046910125005524606,True,rep00_full_graph_a1_s3,4,3,3,24.23141844012963,22.629435721807678,0.22682926058769226
0,7,multi_plume,full_graph_s3_k3,full_graph,1.0,3.0,0.05,3,0.7124560475349426,0.8435797095298767,0.5609756112098694,0.046910125005524606,True,rep00_full_graph_a1_s3,4,3,3,19.069332761342523,15.684907220101243,0.20975610613822937
0,0,plume,full_graph_s3_k4,full_graph,1.0,3.0,0.05,4,0.5280284285545349,0.6848860383033752,0.8097560405731201,0.046910125005524606,True,rep00_full_graph_a1_s3,4,4,4,24.68152334186175,24.82993566653888,0.1048780083656311
0,1,wavy_front,full_graph_s3_k4,full_graph,1.0,3.0,0.05,4,0.4651361107826233,0.6373713612556458,0.5634146332740784,0.046910125005524606,True,rep00_full_graph_a1_s3,4,4,4,35.02848528329051,37.84747537919298,0.25853657722473145
0,2,thin_front,full_graph_s3_k4,full_graph,1.0,3.0,0.05,4,0.5641829371452332,0.7816382050514221,0.6073170900344849,0.046910125005524606,True,rep00_full_graph_a1_s3,4,4,4,23.9201805708539,20.444254006903073,0.24146342277526855
0,3,double_front,full_graph_s3_k4,full_graph,1.0,3.0,0.05,4,0.6568557620048523,0.7636653780937195,0.6390243768692017,0.046910125005524606,True,rep00_full_graph_a1_s3,4,4,4,31.103938222296826,29.19442038606297,0.39268290996551514
0,4,annular_kernel,full_graph_s3_k4,full_graph,1.0,3.0,0.05,4,0.9702353477478027,0.9959119558334351,0.2487804889678955,0.046910125005524606,True,rep00_full_graph_a1_s3,4,4,4,9.367263114113795,7.263243239763098,0.22439024783670902
0,5,oblique_shock,full_graph_s3_k4,full_graph,1.0,3.0,0.05,4,0.7460904717445374,0.9178203344345093,0.35853657126426697,0.046910125005524606,True,rep00_full_graph_a1_s3,4,4,4,2.2495688728501526,4.849258525967333,0.2219512015581131
0,6,vortex_pair,full_graph_s3_k4,full_graph,1.0,3.0,0.05,4,0.6389671564102173,0.7495203614234924,0.6609756350517273,0.046910125005524606,True,rep00_full_graph_a1_s3,4,4,4,29.00613932799047,27.22425887167511,0.28780487179756165
0,7,multi_plume,full_graph_s3_k4,full_graph,1.0,3.0,0.05,4,0.6826562881469727,0.8120744824409485,0.6365853548049927,0.046910125005524606,True,rep00_full_graph_a1_s3,4,4,4,22.45440390947054,18.833828555033712,0.28536584973335266
0,0,plume,full_graph_s3_k5,full_graph,1.0,3.0,0.05,5,0.45906397700309753,0.6056682467460632,0.8341463208198547,0.046910125005524606,True,rep00_full_graph_a1_s3,4,5,5,34.51867822505148,33.52453032124862,0.12926828861236572
0,1,wavy_front,full_graph_s3_k5,full_graph,1.0,3.0,0.05,5,0.3836536407470703,0.5492774248123169,0.6487804651260376,0.046910125005524606,True,rep00_full_graph_a1_s3,4,5,5,46.41018491560069,46.43785280523756,0.3439024090766907
0,2,thin_front,full_graph_s3_k5,full_graph,1.0,3.0,0.05,5,0.5556175112724304,0.7663112282752991,0.6219512224197388,0.046910125005524606,True,rep00_full_graph_a1_s3,4,5,5,25.07522445969242,22.004245654398247,0.25609755516052246
0,3,double_front,full_graph_s3_k5,full_graph,1.0,3.0,0.05,5,0.6900249123573303,0.7316740155220032,0.699999988079071,0.046910125005524606,True,rep00_full_graph_a1_s3,4,5,5,27.624903761484152,32.16059776493584,0.4536585211753845
0,4,annular_kernel,full_graph_s3_k5,full_graph,1.0,3.0,0.05,5,1.0018316507339478,1.0036612749099731,0.27073171734809875,0.046910125005524606,True,rep00_full_graph_a1_s3,4,5,5,6.4157530276616725,6.541646602581479,0.24634147621691227
0,5,oblique_shock,full_graph_s3_k5,full_graph,1.0,3.0,0.05,5,0.704607367515564,0.8938730359077454,0.4268292784690857,0.046910125005524606,True,rep00_full_graph_a1_s3,4,5,5,7.68455494550848,7.331882984844132,0.2902439087629318
0,6,vortex_pair,full_graph_s3_k5,full_graph,1.0,3.0,0.05,5,0.5745664834976196,0.6812854409217834,0.7195121645927429,0.046910125005524606,True,rep00_full_graph_a1_s3,4,5,5,36.16151868367891,33.849625127120184,0.34634140133857727
0,7,multi_plume,full_graph_s3_k5,full_graph,1.0,3.0,0.05,5,0.6401110291481018,0.7714318037033081,0.7439024448394775,0.046910125005524606,True,rep00_full_graph_a1_s3,4,5,5,27.287286177132447,22.89603060882363,0.3926829397678375
0,0,plume,full_graph_s4_k2,full_graph,1.0,4.0,0.05,2,0.6947272419929504,0.8762855529785156,0.7219512462615967,0.044740791025105864,True,rep00_full_graph_a1_s4,4,2,2,0.9034462347805631,3.822770931271662,0.017073214054107666
0,1,wavy_front,full_graph_s4_k2,full_graph,1.0,4.0,0.05,2,0.6713363528251648,0.8505408763885498,0.3804877996444702,0.044740791025105864,True,rep00_full_graph_a1_s4,4,2,2,6.225857944994975,17.0604988328947,0.07560974359512329
0,2,thin_front,full_graph_s4_k2,full_graph,1.0,4.0,0.05,2,0.7260027527809143,0.9031299352645874,0.414634108543396,0.044740791025105864,True,rep00_full_graph_a1_s4,4,2,2,2.098850035912265,8.078730972541443,0.04878044128417969
0,3,double_front,full_graph_s4_k2,full_graph,1.0,4.0,0.05,2,0.733896017074585,0.887149453163147,0.43414634466171265,0.044740791025105864,True,rep00_full_graph_a1_s4,4,2,2,23.023366383429252,17.74521532951435,0.18780487775802612
0,4,annular_kernel,full_graph_s4_k2,full_graph,1.0,4.0,0.05,2,0.9459428787231445,0.9987021684646606,0.10487804561853409,0.044740791025105864,True,rep00_full_graph_a1_s4,4,2,2,11.636499087149774,7.003425824603375,0.0804878044873476
0,5,oblique_shock,full_graph_s4_k2,full_graph,1.0,4.0,0.05,2,0.8590308427810669,0.9622793793678284,0.14878049492835999,0.044740791025105864,True,rep00_full_graph_a1_s4,4,2,2,-12.547523944414955,0.2401744471764209,0.012195125222206116
