sample_index,reaction_family,noise_family,relative_noise,method,field_relative_l2,gradient_relative_l2,front_top10_f1,solver_elapsed_seconds,forward_calls,adjoint_calls
0,plume,component_iid,0.03999999910593033,scalar_iid,0.7299370765686035,0.989600419998169,0.5975610017776489,0.4078966249944642,4,4
1,wavy_front,component_iid,0.07999999821186066,scalar_iid,0.7714211940765381,1.0470244884490967,0.29024389386177063,0.4078966249944642,4,4
2,thin_front,component_iid,0.03999999910593033,scalar_iid,0.9486628174781799,1.183490514755249,0.21219512820243835,0.4078966249944642,4,4
3,double_front,component_iid,0.07999999821186066,scalar_iid,0.8120871186256409,1.0849300622940063,0.2804878056049347,0.4078966249944642,4,4
4,annular_kernel,component_iid,0.03999999910593033,scalar_iid,1.0266069173812866,1.0975100994110107,0.026829268783330917,0.4078966249944642,4,4
5,oblique_shock,component_iid,0.07999999821186066,scalar_iid,0.7254818081855774,0.9902479648590088,0.2512195110321045,0.4078966249944642,4,4
6,vortex_pair,component_iid,0.03999999910593033,scalar_iid,1.0183817148208618,1.1025002002716064,0.22682927548885345,0.4078966249944642,4,4
7,multi_plume,component_iid,0.07999999821186066,scalar_iid,0.9577399492263794,1.0874093770980835,0.33170732855796814,0.4078966249944642,4,4
0,plume,component_iid,0.03999999910593033,component_iid,0.6828614473342896,0.9393564462661743,0.6512194871902466,0.03587533300742507,4,4
1,wavy_front,component_iid,0.07999999821186066,component_iid,0.7719783186912537,1.0664421319961548,0.2780487835407257,0.03587533300742507,4,4
2,thin_front,component_iid,0.03999999910593033,component_iid,0.9175395965576172,1.1485190391540527,0.2341463416814804,0.03587533300742507,4,4
3,double_front,component_iid,0.07999999821186066,component_iid,0.7937923669815063,1.0677151679992676,0.29756098985671997,0.03587533300742507,4,4
4,annular_kernel,component_iid,0.03999999910593033,component_iid,1.0303444862365723,1.0949490070343018,0.02926829271018505,0.03587533300742507,4,4
5,oblique_shock,component_iid,0.07999999821186066,component_iid,0.7282732725143433,0.9923375844955444,0.2512195110321045,0.03587533300742507,4,4
6,vortex_pair,component_iid,0.03999999910593033,component_iid,1.0518782138824463,1.1404708623886108,0.17073170840740204,0.03587533300742507,4,4
7,multi_plume,component_iid,0.07999999821186066,component_iid,0.9504959583282471,1.085517406463623,0.2951219379901886,0.03587533300742507,4,4
0,plume,component_iid,0.03999999910593033,diagonal_shrinkage,0.6971873641014099,0.961233377456665,0.6195122003555298,0.03543824999360368,4,4
