candidate_id,method,covariance_mode,penalty,stages,perturbation_inner_steps,perturbation_initial_step,perturbation_decay,forward_calls,adjoint_calls,total_operator_calls,graph_same_stage_id,graph_budget_floor_id,graph_budget_ceiling_id,replicate_count,field_count,mean_field_gain_vs_component_percent,mean_field_gain_vs_graph_same_stage_percent,field_gain_vs_graph_same_stage_p10_percent,mean_field_gain_vs_graph_budget_floor_percent,field_gain_vs_graph_budget_floor_p10_percent,field_harm_vs_graph_budget_floor_over_one_percent_rate,worst_field_gain_vs_graph_budget_floor_percent,mean_field_gain_vs_graph_budget_ceiling_percent,mean_gradient_gain_vs_graph_budget_floor_percent,mean_front_gain_vs_graph_budget_floor,mean_solver_elapsed_seconds,mean_perturbation_norm
component_s3_k4,pcgls,component_iid,none,4,0,0.0,0.0,4,4,8,graph_s3_k4,graph_s3_k4,graph_s3_k4,2,16,0.0,-1.4529310436130727,-2.7926618326805013,-1.4529310436130727,-2.7926618326805013,0.6875,-3.2180596888698694,-1.4529310436130727,-1.5290008485397295,-0.007621943950653076,0.0577811874973122,0.0
graph_s3_k3,pcgls,full_graph,none,3,0,0.0,0.0,3,3,6,graph_s3_k3,graph_s3_k3,graph_s3_k3,2,16,-4.619104525839948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05331685452256352,0.0
graph_s3_k4,pcgls,full_graph,none,4,0,0.0,0.0,4,4,8,graph_s3_k4,graph_s3_k4,graph_s3_k4,2,16,1.4204979299093061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05331685452256352,0.0
graph_s3_k5,pcgls,full_graph,none,5,0,0.0,0.0,5,5,10,graph_s3_k5,graph_s3_k5,graph_s3_k5,2,16,6.850082332006302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05331685452256352,0.0
graph_s3_k6,pcgls,full_graph,none,6,0,0.0,0.0,6,6,12,graph_s3_k6,graph_s3_k6,graph_s3_k6,2,16,11.223789434983209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05331685452256352,0.0
sup_huber_k3_n1_g0p005_a0p7,superiorized_pcgls,full_graph,huber,3,1,0.005,0.7,5,3,8,graph_s3_k3,graph_s3_k4,graph_s3_k4,2,16,-4.616197336132365,0.0028077437662042144,-0.000773392879108237,-6.140772032374174,-10.458664932068611,0.9375,-15.601097658122999,-6.140772032374174,-4.720625763548572,-0.026829256676137447,0.03948435402708128,0.004249998135492206
sup_huber_k3_n1_g0p02_a0p7,superiorized_pcgls,full_graph,huber,3,1,0.02,0.7,5,3,8,graph_s3_k3,graph_s3_k4,graph_s3_k4,2,16,-4.607658483662448,0.01106156930147032,-0.003165459318492464,-6.132111663283789,-10.449056299478308,0.9375,-15.597571697465682,-6.132111663283789,-4.710923699580934,-0.026689072139561176,0.03989889597869478,0.01700000185519457
sup_huber_k3_n1_g0p08_a0p7,superiorized_pcgls,full_graph,huber,3,1,0.08,0.7,5,3,8,graph_s3_k3,graph_s3_k4,graph_s3_k4,2,16,-4.576221223716383,0.04155595275658547,-0.013780703140136743,-6.100222752679407,-10.410968746876398,0.9375,-15.584545032226634,-6.100222752679407,-4.673680091784993,-0.026676817797124386,0.040310250013135374,0.06800000369548798
sup_huber_k3_n1_g0p32_a0p7,superiorized_pcgls,full_graph,huber,3,1,0.32,0.7,5,3,8,graph_s3_k3,graph_s3_k4,graph_s3_k4,2,16,-4.4930868276378,0.12398565716049925,-0.08486265659590361,-6.015837585467227,-10.299158976762012,0.875,-15.55072166217376,-6.015837585467227,-4.548393928673908,-0.025152423419058323,0.03983527101809159,0.2719999849796295
sup_huber_k3_n2_g0p005_a0p7,superiorized_pcgls,full_graph,huber,3,2,0.005,0.7,5,3,8,graph_s3_k3,graph_s3_k4,graph_s3_k4,2,16,-4.61530173834636,0.0036793221120529447,-0.0013298332714533445,-6.139867054627242,-10.458089543388304,0.9375,-15.602275372069638,-6.139867054627242,-4.719695029731678,-0.026829256676137447,0.045414249500026926,0.006332493619993329
