candidate_id,method,covariance_mode,penalty,stages,perturbation_inner_steps,perturbation_initial_step,perturbation_decay,forward_calls,adjoint_calls,total_operator_calls,graph_same_stage_id,graph_budget_floor_id,graph_budget_ceiling_id,replicate_count,field_count,mean_field_gain_vs_component_percent,mean_field_gain_vs_graph_same_stage_percent,field_gain_vs_graph_same_stage_p10_percent,mean_field_gain_vs_graph_budget_floor_percent,field_gain_vs_graph_budget_floor_p10_percent,field_harm_vs_graph_budget_floor_over_one_percent_rate,worst_field_gain_vs_graph_budget_floor_percent,mean_field_gain_vs_graph_budget_ceiling_percent,mean_gradient_gain_vs_graph_budget_floor_percent,mean_front_gain_vs_graph_budget_floor,mean_solver_elapsed_seconds,mean_perturbation_norm
component_s3_k4,pcgls,component_iid,none,4,0,0.0,0.0,4,4,8,graph_s3_k4,graph_s3_k4,graph_s3_k4,2,16,0.0,-1.4529300418352757,-2.7926618326805013,-1.4529300418352757,-2.7926618326805013,0.6875,-3.2180690551206323,-1.4529300418352757,-1.5290009132422342,-0.007621943950653076,0.057286333496449515,0.0
graph_s3_k4,pcgls,full_graph,none,4,0,0.0,0.0,4,4,8,graph_s3_k4,graph_s3_k4,graph_s3_k4,2,16,1.4204969068097324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08012968752882443,0.0
graph_s3_k5,pcgls,full_graph,none,5,0,0.0,0.0,5,5,10,graph_s3_k5,graph_s3_k5,graph_s3_k5,2,16,6.85008474218948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08012968752882443,0.0
graph_s3_k6,pcgls,full_graph,none,6,0,0.0,0.0,6,6,12,graph_s3_k6,graph_s3_k6,graph_s3_k6,2,16,11.223761061029617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08012968752882443,0.0
graph_s3_k7,pcgls,full_graph,none,7,0,0.0,0.0,7,7,14,graph_s3_k7,graph_s3_k7,graph_s3_k7,2,16,14.20269063963495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08012968752882443,0.0
graph_s3_k8,pcgls,full_graph,none,8,0,0.0,0.0,8,8,16,graph_s3_k8,graph_s3_k8,graph_s3_k8,2,16,15.157092214355018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08012968752882443,0.0
graph_s3_k9,pcgls,full_graph,none,9,0,0.0,0.0,9,9,18,graph_s3_k9,graph_s3_k9,graph_s3_k9,2,16,17.041280754127666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08012968752882443,0.0
sup_huber_k5_n1_g0p32_a0p7,superiorized_pcgls,full_graph,huber,5,1,0.32,0.7,9,5,14,graph_s3_k5,graph_s3_k7,graph_s3_k7,2,16,4.9762933782342476,-2.1855344844227136,-7.260201391226984,-12.244273807975395,-29.22816935900659,0.75,-36.087618650963456,-12.244273807975395,-8.864644309089297,-0.04253048822283745,0.06736212549731135,0.20263998955488205
sup_huber_k5_n1_g0p64_a0p7,superiorized_pcgls,full_graph,huber,5,1,0.64,0.7,9,5,14,graph_s3_k5,graph_s3_k7,graph_s3_k7,2,16,4.21275214375556,-3.076216064184247,-8.795087238425698,-13.30180343587697,-32.800638491274434,0.8125,-39.351855159205,-13.30180343587697,-9.634419376320512,-0.04679878428578377,0.06692462501814589,0.4052799344062805
sup_huber_k5_n1_g1p28_a0p7,superiorized_pcgls,full_graph,huber,5,1,1.28,0.7,9,5,14,graph_s3_k5,graph_s3_k7,graph_s3_k7,2,16,4.246058366148744,-3.064480937854854,-8.908190527641782,-13.319031721307505,-33.46836110241691,0.75,-39.360302800616374,-13.319031721307505,-9.452368114798768,-0.04466463811695576,0.06685183351510204,0.8105599284172058
sup_huber_k5_n1_g2p56_a0p7,superiorized_pcgls,full_graph,huber,5,1,2.56,0.7,9,5,14,graph_s3_k5,graph_s3_k7,graph_s3_k7,2,16,5.1450573603080745,-2.0920192344493533,-7.378298030497877,-12.247472663715303,-32.05612901687723,0.75,-36.097941561609915,-12.247472663715303,-8.277375795823627,-0.03917683660984039,0.06720537450746633,1.6211197972297668
sup_huber_k5_n2_g0p32_a0p7,superiorized_pcgls,full_graph,huber,5,2,0.32,0.7,9,5,14,graph_s3_k5,graph_s3_k7,graph_s3_k7,2,16,4.182173685173199,-3.0963622203454966,-8.722721066330763,-13.30545003595095,-32.4482177494176,0.75,-38.82519025945868,-13.30545003595095,-9.758625594442512,-0.04740854166448116,0.07656962500186637,0.25115641951560974
sup_huber_k5_n2_g0p64_a0p7,superiorized_pcgls,full_graph,huber,5,2,0.64,0.7,9,5,14,graph_s3_k5,graph_s3_k7,graph_s3_k7,2,16,3.758745815636877,-3.5929544954197796,-9.672366908292041,-13.90225327531352,-34.20362951861626,0.8125,-40.651443528678044,-13.90225327531352,-10.134277489410387,-0.048475608229637146,0.07636447952245362,0.5009965598583221
sup_huber_k5_n2_g1p28_a0p7,superiorized_pcgls,full_graph,huber,5,2,1.28,0.7,9,5,14,graph_s3_k5,graph_s3_k7,graph_s3_k7,2,16,4.0414774592462495,-3.2945080307052015,-9.127963550203432,-13.584647468284123,-33.893491719867406,0.75,-39.382627434367365,-13.584647468284123,-9.679915757551287,-0.045579271391034126,0.07663850000244565,0.9909810423851013
sup_huber_k5_n2_g2p56_a0p7,superiorized_pcgls,full_graph,huber,5,2,2.56,0.7,9,5,14,graph_s3_k5,graph_s3_k7,graph_s3_k7,2,16,4.989716926505135,-2.266142951570269,-7.729693965196717,-12.44713374514232,-32.12554580573315,0.75,-35.35053068333382,-12.44713374514232,-8.470759921705117,-0.03963415510952473,0.07675212499452755,1.9181458950042725
sup_huber_k5_n4_g0p32_a0p7,superiorized_pcgls,full_graph,huber,5,4,0.32,0.7,9,5,14,graph_s3_k5,graph_s3_k7,graph_s3_k7,2,16,3.7077223336621903,-3.6357491579034056,-9.506033368361958,-13.930272171580238,-33.96449700792196,0.8125,-40.26160184426478,-13.930272171580238,-10.304627552325133,-0.05030488781630993,0.0962127499806229,0.26549631357192993
