method,iterations,opened_row_count,comparison_binding,comparison_role,support_contract,prior_contract,mean_normalized_data_residual_l2,mean_field_relative_l2,mean_gradient_relative_l2,mean_front_top10_f1
scalar_a_only_pdhg,4,16,True,same-signed-A reduced-support diagnostic,2322-coordinate data-coupled reduced support,data-only zero-gauge recurrence,0.999527882784605,0.9998923651874065,0.9998823367059231,0.3626162325963378
scalar_a_only_pdhg,8,16,True,same-signed-A reduced-support diagnostic,2322-coordinate data-coupled reduced support,data-only zero-gauge recurrence,0.9983847364783287,0.9996338486671448,0.9996009320020676,0.3626162325963378
scalar_a_only_pdhg,16,16,True,same-signed-A reduced-support diagnostic,2322-coordinate data-coupled reduced support,data-only zero-gauge recurrence,0.9944630861282349,0.9987578205764294,0.9986536167562008,0.36265243869274855
scalar_a_only_pdhg,32,16,True,same-signed-A reduced-support diagnostic,2322-coordinate data-coupled reduced support,data-only zero-gauge recurrence,0.9820176884531975,0.9960311129689217,0.9957449547946453,0.3630729904398322
scalar_a_only_pdhg,64,16,True,same-signed-A reduced-support diagnostic,2322-coordinate data-coupled reduced support,data-only zero-gauge recurrence,0.9480561353266239,0.9887347929179668,0.9881620369851589,0.36493901815265417
scalar_a_only_pdhg,128,16,True,same-signed-A reduced-support diagnostic,2322-coordinate data-coupled reduced support,data-only zero-gauge recurrence,0.8757357560098171,0.972908578813076,0.9724441654980183,0.3713414687663317
formal_factor_view_a_only_pdhg,4,16,True,same-signed-A reduced-support diagnostic,2322-coordinate data-coupled reduced support,data-only zero-gauge recurrence,0.9976459518074989,0.9993936419487,0.9992519393563271,0.14039634191431105
formal_factor_view_a_only_pdhg,8,16,True,same-signed-A reduced-support diagnostic,2322-coordinate data-coupled reduced support,data-only zero-gauge recurrence,0.9921029023826122,0.9979980774223804,0.9975534975528717,0.13948170957155526
formal_factor_view_a_only_pdhg,16,16,True,same-signed-A reduced-support diagnostic,2322-coordinate data-coupled reduced support,data-only zero-gauge recurrence,0.9739206321537495,0.9936642944812775,0.9925083518028259,0.13841463276185095
formal_factor_view_a_only_pdhg,32,16,True,same-signed-A reduced-support diagnostic,2322-coordinate data-coupled reduced support,data-only zero-gauge recurrence,0.9209818132221699,0.9828757792711258,0.9820606224238873,0.1365640121512115
formal_factor_view_a_only_pdhg,64,16,True,same-signed-A reduced-support diagnostic,2322-coordinate data-coupled reduced support,data-only zero-gauge recurrence,0.7994205355644226,0.9671413749456406,0.9804575927555561,0.1405332024442032
formal_factor_view_a_only_pdhg,128,16,True,same-signed-A reduced-support diagnostic,2322-coordinate data-coupled reduced support,data-only zero-gauge recurrence,0.6171306651085615,0.959944061934948,1.0246227569878101,0.15152438881341368
