replicate,sample_index,reaction_family,method,iterations,forward_calls,adjoint_calls,field_relative_l2,gradient_relative_l2,front_top10_f1,whitened_data_objective,objective_unit,objective_scale_to_physical,physical_equivalent_whitened_objective,trajectory_elapsed_seconds,source
0,0,plume,graph_pcgls,4,4,4,0.5280284285545349,0.6848860383033752,0.8097560405731201,33150.97265625,graph_whitened_physical_field,1.0,33150.97265625,,single_sample_graph_replay
0,0,plume,graph_pcgls,8,8,8,0.3666251301765442,0.5094468593597412,0.8487805128097534,6862.27978515625,graph_whitened_physical_field,1.0,6862.27978515625,,single_sample_graph_replay
0,0,plume,graph_pcgls,16,16,16,0.29261788725852966,0.4287368953227997,0.8512195348739624,2904.057373046875,graph_whitened_physical_field,1.0,2904.057373046875,,single_sample_graph_replay
0,0,plume,graph_pcgls,32,32,32,0.22374719381332397,0.3422883152961731,0.8829268217086792,2174.838134765625,graph_whitened_physical_field,1.0,2174.838134765625,,single_sample_graph_replay
0,1,wavy_front,graph_pcgls,4,4,4,0.4651361107826233,0.6373713612556458,0.5634146332740784,8095.46240234375,graph_whitened_physical_field,1.0,8095.46240234375,,single_sample_graph_replay
0,1,wavy_front,graph_pcgls,8,8,8,0.3090742230415344,0.4913504123687744,0.6780487895011902,3110.05908203125,graph_whitened_physical_field,1.0,3110.05908203125,,single_sample_graph_replay
0,1,wavy_front,graph_pcgls,16,16,16,0.2709532082080841,0.43193191289901733,0.7390244007110596,2364.476806640625,graph_whitened_physical_field,1.0,2364.476806640625,,single_sample_graph_replay
0,1,wavy_front,graph_pcgls,32,32,32,0.24740245938301086,0.4077019989490509,0.7829268574714661,2117.742919921875,graph_whitened_physical_field,1.0,2117.742919921875,,single_sample_graph_replay
0,2,thin_front,graph_pcgls,4,4,4,0.5641828775405884,0.7816382050514221,0.6073170900344849,41591.46484375,graph_whitened_physical_field,1.0,41591.46484375,,single_sample_graph_replay
0,2,thin_front,graph_pcgls,8,8,8,0.5656107664108276,0.7517311573028564,0.6048780679702759,16252.6044921875,graph_whitened_physical_field,1.0,16252.6044921875,,single_sample_graph_replay
