replicate,sample_index,reaction_family,support_active_voxel_count,data_coupled_voxel_count,data_null_support_voxel_count,active_data_row_count,active_primal_indices_sha256,minimum_positive_data_column_sum,maximum_data_column_sum,absolute_data_forward_setup_calls,absolute_data_transpose_setup_calls,signed_data_solver_calls,tv_setup_or_solver_calls
0,0,plume,2744,2322,422,4608,57cc5748864d0bb3bffe0f971b5625e3f40a1dd87fed2f10a6166514e406d0f5,0.0001155587742687203,115.09530639648438,1,1,0,0
0,1,wavy_front,2744,2322,422,4608,57cc5748864d0bb3bffe0f971b5625e3f40a1dd87fed2f10a6166514e406d0f5,4.674302545026876e-05,55.715240478515625,1,1,0,0
0,2,thin_front,2744,2322,422,4608,57cc5748864d0bb3bffe0f971b5625e3f40a1dd87fed2f10a6166514e406d0f5,9.013990347739309e-05,113.73652648925781,1,1,0,0
0,3,double_front,2744,2322,422,4608,57cc5748864d0bb3bffe0f971b5625e3f40a1dd87fed2f10a6166514e406d0f5,5.378427158575505e-05,59.21349334716797,1,1,0,0
0,4,annular_kernel,2744,2322,422,4608,57cc5748864d0bb3bffe0f971b5625e3f40a1dd87fed2f10a6166514e406d0f5,0.00017990474589169025,167.78761291503906,1,1,0,0
0,5,oblique_shock,2744,2322,422,4608,57cc5748864d0bb3bffe0f971b5625e3f40a1dd87fed2f10a6166514e406d0f5,6.915261474205181e-05,125.24482727050781,1,1,0,0
0,6,vortex_pair,2744,2322,422,4608,57cc5748864d0bb3bffe0f971b5625e3f40a1dd87fed2f10a6166514e406d0f5,6.921695603523403e-05,103.11199188232422,1,1,0,0
0,7,multi_plume,2744,2322,422,4608,57cc5748864d0bb3bffe0f971b5625e3f40a1dd87fed2f10a6166514e406d0f5,5.418504952103831e-05,59.245506286621094,1,1,0,0
8,0,plume,2744,2322,422,4608,57cc5748864d0bb3bffe0f971b5625e3f40a1dd87fed2f10a6166514e406d0f5,9.059485455509275e-05,104.46731567382812,1,1,0,0
8,1,wavy_front,2744,2322,422,4608,57cc5748864d0bb3bffe0f971b5625e3f40a1dd87fed2f10a6166514e406d0f5,4.302576053305529e-05,50.595985412597656,1,1,0,0
8,2,thin_front,2744,2322,422,4608,57cc5748864d0bb3bffe0f971b5625e3f40a1dd87fed2f10a6166514e406d0f5,0.00012682384112849832,142.4213409423828,1,1,0,0
8,3,double_front,2744,2322,422,4608,57cc5748864d0bb3bffe0f971b5625e3f40a1dd87fed2f10a6166514e406d0f5,4.832764534512535e-05,58.82067108154297,1,1,0,0
8,4,annular_kernel,2744,2322,422,4608,57cc5748864d0bb3bffe0f971b5625e3f40a1dd87fed2f10a6166514e406d0f5,0.00015419864212162793,149.5867156982422,1,1,0,0
8,5,oblique_shock,2744,2322,422,4608,57cc5748864d0bb3bffe0f971b5625e3f40a1dd87fed2f10a6166514e406d0f5,9.053064422914758e-05,109.17591857910156,1,1,0,0
8,6,vortex_pair,2744,2322,422,4608,57cc5748864d0bb3bffe0f971b5625e3f40a1dd87fed2f10a6166514e406d0f5,7.306796032935381e-05,100.1400146484375,1,1,0,0
8,7,multi_plume,2744,2322,422,4608,57cc5748864d0bb3bffe0f971b5625e3f40a1dd87fed2f10a6166514e406d0f5,3.741877299034968e-05,43.86200714111328,1,1,0,0
