experiment,label,seed,split,input_variant,parameters,epochs_ran,best_epoch,best_val_rel_l2,train_seconds,gate_alpha_mean,gate_alpha_std,rel_l2_mean,gradient_rel_l2_mean,observed_reprojection_rel_l2_mean,heldout_reprojection_rel_l2_mean,mass_relative_error_mean,centroid_error_mean
residual_reference,Residual FNO,20260710,test_iid,base,43363,30,30,0.2572338692843914,5.89865670807194,1.0,0.0,0.21613482870161532,0.36825127601623536,0.1819212269037962,0.2479644276201725,0.12079959842376412,0.03231766118858488
residual_reference,Residual FNO,20260710,test_view_ood,base,43363,30,30,0.2572338692843914,5.89865670807194,1.0,0.0,0.4977979250252247,0.7334398813545704,0.5662938393652439,0.5181025825440884,0.204719802364707,0.03173129692722372
residual_reference,Residual FNO,20260710,test_noise_ood,base,43363,30,30,0.2572338692843914,5.89865670807194,1.0,0.0,0.2536590714007616,0.43091126065701246,0.20227351784706116,0.2894112030044198,0.0717971179401502,0.02821531160655117
residual_reference,Residual FNO,20260710,test_joint_ood,base,43363,30,30,0.2572338692843914,5.89865670807194,1.0,0.0,0.5050999149680138,0.7247741594910622,0.5460608303546906,0.5192963592708111,0.20569301978684962,0.057036211492210165
residual_reference,Residual FNO,20260710,test_family_ood,base,43363,30,30,0.2572338692843914,5.89865670807194,1.0,0.0,0.6668287575244903,0.8769869953393936,0.5092530488967896,0.6764617502689362,0.2123106699436903,0.0306733737344424
residual_reference,Residual FNO,20260711,test_iid,base,43363,30,30,0.2494233287870884,5.911063875071704,1.0,0.0,0.20873554684221746,0.3646369993686676,0.1755037631839514,0.24414208270609378,0.08859412828460336,0.02885749302034451
residual_reference,Residual FNO,20260711,test_view_ood,base,43363,30,30,0.2494233287870884,5.911063875071704,1.0,0.0,0.487685764208436,0.7174163348972797,0.5120234172791243,0.5305496584624052,0.2758056940510869,0.04978591726228081
residual_reference,Residual FNO,20260711,test_noise_ood,base,43363,30,30,0.2494233287870884,5.911063875071704,1.0,0.0,0.24078092956915498,0.4249849831685424,0.19693779665976763,0.2823926145210862,0.10124135160003789,0.03361976298209668
residual_reference,Residual FNO,20260711,test_joint_ood,base,43363,30,30,0.2494233287870884,5.911063875071704,1.0,0.0,0.5014892518520355,0.7200179379433393,0.5094266068190336,0.5323328226804733,0.38152181170880795,0.06623145592299999
residual_reference,Residual FNO,20260711,test_family_ood,base,43363,30,30,0.2494233287870884,5.911063875071704,1.0,0.0,0.6552978783845902,0.8695466637611389,0.5001436203718186,0.6497097402811051,0.14059142526239157,0.025532487243406822
residual_reference,Residual FNO,20260712,test_iid,base,43363,30,30,0.2665721997618675,5.920622624922544,1.0,0.0,0.23117024227976798,0.3866073749959469,0.19420466087758542,0.2600444473326206,0.1257009589113295,0.03548585826213408
residual_reference,Residual FNO,20260712,test_view_ood,base,43363,30,30,0.2665721997618675,5.920622624922544,1.0,0.0,0.4771889615803957,0.6843753308057785,0.49175059236586094,0.5125525910407305,0.16149835498072207,0.036396092571492955
residual_reference,Residual FNO,20260712,test_noise_ood,base,43363,30,30,0.2665721997618675,5.920622624922544,1.0,0.0,0.2624652599915862,0.4437935734167695,0.21799883618950844,0.3028810699470341,0.09785282681696117,0.055651396293274855
residual_reference,Residual FNO,20260712,test_joint_ood,base,43363,30,30,0.2665721997618675,5.920622624922544,1.0,0.0,0.4699258767068386,0.6804743427783251,0.4620384443551302,0.5099468883126974,0.1886548920883797,0.06712758000246098
residual_reference,Residual FNO,20260712,test_family_ood,base,43363,30,30,0.2665721997618675,5.920622624922544,1.0,0.0,0.6775722712278366,0.8888609915971756,0.5208490163087844,0.6918019711971283,0.21327197439968587,0.026367527958988564
absolute_reference,Absolute-output FNO,20260710,test_iid,base,43363,30,27,0.2719607390463352,5.806483332999051,nan,nan,0.23522657714784145,0.3930386774241924,0.19423972815275192,0.2663708496838808,0.13752208672231064,0.028373035653418997
absolute_reference,Absolute-output FNO,20260710,test_view_ood,base,43363,30,27,0.2719607390463352,5.806483332999051,nan,nan,0.4759392514824867,0.6724891550838947,0.49549349397420883,0.5097902789711952,0.33042121096514165,0.03635061499205876
absolute_reference,Absolute-output FNO,20260710,test_noise_ood,base,43363,30,27,0.2719607390463352,5.806483332999051,nan,nan,0.27820808719843626,0.44525906816124916,0.22111207991838455,0.3272291263565421,0.11022156706894748,0.025747010192694236
absolute_reference,Absolute-output FNO,20260710,test_joint_ood,base,43363,30,27,0.2719607390463352,5.806483332999051,nan,nan,0.46086727641522884,0.650393009185791,0.4260806683450937,0.5088788941502571,0.2699388684122823,0.06602159095724353
absolute_reference,Absolute-output FNO,20260710,test_family_ood,base,43363,30,27,0.2719607390463352,5.806483332999051,nan,nan,0.673641312122345,0.8829365015029907,0.5166185662150383,0.6928680777549744,0.16362813180312513,0.02425911448604213
absolute_reference,Absolute-output FNO,20260711,test_iid,base,43363,30,27,0.2726309895515442,5.901643082965165,nan,nan,0.23443671464920043,0.3937704794108868,0.1968374639749527,0.2676598820835352,0.13881101151928305,0.03754516752109517
absolute_reference,Absolute-output FNO,20260711,test_view_ood,base,43363,30,27,0.2726309895515442,5.901643082965165,nan,nan,0.4610361699014902,0.6727766953408718,0.49102747440338135,0.5141116585582495,0.16062919996329583,0.03345520996399105
absolute_reference,Absolute-output FNO,20260711,test_noise_ood,base,43363,30,27,0.2726309895515442,5.901643082965165,nan,nan,0.2704275925643742,0.4541438287124038,0.22832669783383608,0.31004089768975973,0.08172306910273619,0.03635648643338357
absolute_reference,Absolute-output FNO,20260711,test_joint_ood,base,43363,30,27,0.2726309895515442,5.901643082965165,nan,nan,0.4672100134193897,0.6733048297464848,0.5041813049465418,0.5036809146404266,0.17218207975383848,0.05322305947993018
absolute_reference,Absolute-output FNO,20260711,test_family_ood,base,43363,30,27,0.2726309895515442,5.901643082965165,nan,nan,0.6681295037269592,0.8786207348108291,0.5120312750339509,0.6711866974830627,0.12235934121999889,0.02782337449931277
absolute_reference,Absolute-output FNO,20260712,test_iid,base,43363,30,29,0.2732575349509716,5.864184667007066,nan,nan,0.24038139171898365,0.4035180673003197,0.21393930315971374,0.26893531903624535,0.14574460918083787,0.04210966765196264
absolute_reference,Absolute-output FNO,20260712,test_view_ood,base,43363,30,29,0.2732575349509716,5.864184667007066,nan,nan,0.4351471494883299,0.6538191456347704,0.4556468967348337,0.49604832753539085,0.18798343744128942,0.04132072727373723
absolute_reference,Absolute-output FNO,20260712,test_noise_ood,base,43363,30,29,0.2732575349509716,5.864184667007066,nan,nan,0.28176124719902873,0.45446443650871515,0.24537790101021528,0.32447952777147293,0.10677937674336135,0.0375941901836236
absolute_reference,Absolute-output FNO,20260712,test_joint_ood,base,43363,30,29,0.2732575349509716,5.864184667007066,nan,nan,0.4353698082268238,0.6373074278235435,0.41466869227588177,0.4924475196748972,0.1300094518228434,0.07614213569644626
absolute_reference,Absolute-output FNO,20260712,test_family_ood,base,43363,30,29,0.2732575349509716,5.864184667007066,nan,nan,0.6672792971134186,0.8780004382133484,0.516793729364872,0.6572579950094223,0.15900127469794825,0.033770424150327015
fixed_view_gate,Fixed view gate,20260710,test_iid,base,43363,30,30,0.2572338730096817,5.930156375048682,0.9999998807907104,1.5591035662509967e-07,0.21613483428955077,0.36825127229094506,0.1819212283939123,0.24796443581581115,0.12079960661940277,0.032317650779033556
fixed_view_gate,Fixed view gate,20260710,test_view_ood,base,43363,30,30,0.2572338730096817,5.930156375048682,0.5999999642372131,0.0,0.5068909656256437,0.6908326707780361,0.47048926912248135,0.5904610082507133,0.1749496292322874,0.05557307692430374
fixed_view_gate,Fixed view gate,20260710,test_noise_ood,base,43363,30,30,0.2572338730096817,5.930156375048682,0.9999998807907104,1.569463279338379e-07,0.25365905463695526,0.43091123923659325,0.20227351784706116,0.28941121231764555,0.07179712562356144,0.02821531994551929
fixed_view_gate,Fixed view gate,20260710,test_joint_ood,base,43363,30,30,0.2572338730096817,5.930156375048682,0.5999999642372131,0.0,0.5292217340320349,0.6953238267451525,0.47099126502871513,0.5869683735072613,0.20908093638718128,0.08453517796616908
fixed_view_gate,Fixed view gate,20260710,test_family_ood,base,43363,30,30,0.2572338730096817,5.930156375048682,0.9999998807907104,1.5591035662509967e-07,0.6668287575244903,0.8769869893789292,0.5092530399560928,0.6764617592096329,0.2123106222599745,0.030673383969091222
fixed_view_gate,Fixed view gate,20260711,test_iid,base,43363,30,30,0.2494233287870884,5.906167958048172,0.9999998807907104,1.5591035662509967e-07,0.20873553976416587,0.3646369777619839,0.17550376392900943,0.24414207898080348,0.08859413359314203,0.028857492919761335
fixed_view_gate,Fixed view gate,20260711,test_view_ood,base,43363,30,30,0.2494233287870884,5.906167958048172,0.5999999642372131,0.0,0.523258525878191,0.7006771452724934,0.507377952337265,0.6156279519200325,0.09611142426729202,0.061616419806866614
fixed_view_gate,Fixed view gate,20260711,test_noise_ood,base,43363,30,30,0.2494233287870884,5.906167958048172,0.9999998807907104,1.569463279338379e-07,0.24078091839328408,0.42498497664928436,0.19693779200315475,0.28239260520786047,0.10124139339313842,0.03361975035106057
fixed_view_gate,Fixed view gate,20260711,test_joint_ood,base,43363,30,30,0.2494233287870884,5.906167958048172,0.5999999642372131,0.0,0.5312281865626574,0.70639793202281,0.510717099532485,0.6078424751758575,0.08809476884925971,0.08586657639547783
fixed_view_gate,Fixed view gate,20260711,test_family_ood,base,43363,30,30,0.2494233287870884,5.906167958048172,0.9999998807907104,1.5591035662509967e-07,0.6552978605031967,0.8695466607809067,0.500143601000309,0.649709728360176,0.14059143085032702,0.02553250174936101
fixed_view_gate,Fixed view gate,20260712,test_iid,base,43363,30,30,0.2665722146630287,5.904640165972523,0.9999998807907104,1.5591035662509967e-07,0.23117026463150978,0.3866073928773403,0.19420466981828213,0.2600444693118334,0.1257009611465037,0.035485861547163315
fixed_view_gate,Fixed view gate,20260712,test_view_ood,base,43363,30,30,0.2665722146630287,5.904640165972523,0.5999999642372131,0.0,0.5253082178533077,0.6703690215945244,0.4967953357845545,0.6076563410460949,0.19429808133281767,0.06601993901657122
