method,split,sample_index,family_id,view_count,noise_level,rel_l2,gradient_rel_l2,observed_reprojection_rel_l2,heldout_reprojection_rel_l2,mass_relative_error,centroid_error,squared_rel_l2
physics_lift,test_iid,80,0,5,0.02,0.3682447373867035,0.4772964119911194,0.3091268539428711,0.3339575231075287,0.07299129664897919,0.05858835986264893,0.13560418661300222
physics_lift,test_iid,81,0,5,0.05,0.4512672424316406,0.581182062625885,0.4222596287727356,0.4961404800415039,0.484250545501709,0.21697834794784993,0.2036421240918571
physics_lift,test_iid,82,0,7,0.02,0.3684014081954956,0.48993298411369324,0.32288286089897156,0.4997258484363556,0.13779814541339874,0.10343947533205879,0.13571959756042418
physics_lift,test_iid,83,0,7,0.05,0.3590448796749115,0.47606462240219116,0.3091822564601898,0.3690407872200012,0.08053437620401382,0.10361176866471371,0.12891322562077168
physics_lift,test_iid,84,1,5,0.02,0.6001941561698914,0.8569375872612,0.5090392231941223,0.6655176281929016,0.49399784207344055,0.05225743668994069,0.36023302510048794
physics_lift,test_iid,85,1,5,0.05,0.5425880551338196,0.8063907623291016,0.47702810168266296,0.6741663813591003,0.11037107557058334,0.10219789313988835,0.29440179757390084
physics_lift,test_iid,86,1,7,0.02,0.4845333397388458,0.6870585083961487,0.42932578921318054,0.681467592716217,0.2518858313560486,0.06876816008713102,0.2347725573184798
physics_lift,test_iid,87,1,7,0.05,0.487427681684494,0.716233491897583,0.46402764320373535,0.5942914485931396,0.21272379159927368,0.06904782556035087,0.23758574487232043
physics_lift,test_iid,88,0,5,0.02,0.3766699731349945,0.5032542943954468,0.30532172322273254,0.34228482842445374,0.026148537173867226,0.09286350891316938,0.14188026866151748
physics_lift,test_iid,89,0,5,0.05,0.3608676493167877,0.5103402137756348,0.3225781321525574,0.387353777885437,0.06361456215381622,0.11534440437146994,0.13022546032342408
physics_lift,test_iid,90,0,7,0.02,0.39029616117477417,0.505051851272583,0.3354237973690033,0.5189376473426819,0.2906351387500763,0.14298855697149662,0.1523310934277653
physics_lift,test_iid,91,0,7,0.05,0.36798959970474243,0.48007336258888245,0.29569900035858154,0.3956080973148346,0.020407455042004585,0.09687620666514345,0.13541634549085657
physics_lift,test_iid,92,1,5,0.02,0.6985664367675781,0.9395501613616943,0.6274552345275879,0.7437506914138794,0.6802462339401245,0.08927101540558711,0.4879950665781507
physics_lift,test_iid,93,1,5,0.05,0.6943047642707825,0.903333306312561,0.5576015710830688,0.7809504270553589,0.653609037399292,0.09394290810418772,0.4820591056891068
physics_lift,test_iid,94,1,7,0.02,0.5321856737136841,0.7810807824134827,0.46118682622909546,0.6041544675827026,0.3677873909473419,0.03910387422785228,0.2832215913060878
physics_lift,test_iid,95,1,7,0.05,0.5705515146255493,0.8112109899520874,0.5001090168952942,0.6078269481658936,0.30976033210754395,0.05323140581142082,0.3255290308415084
physics_lift,test_iid,96,0,5,0.02,0.37975308299064636,0.48685842752456665,0.3560177981853485,0.3971596956253052,0.23072068393230438,0.1957146873853543,0.14421240404090074
physics_lift,test_iid,97,0,5,0.05,0.3641931414604187,0.48954159021377563,0.2933788001537323,0.3207928240299225,0.041030947118997574,0.1246459799673398,0.13263664428680855
physics_lift,test_iid,98,0,7,0.02,0.37019678950309753,0.46760037541389465,0.3386772871017456,0.4827318489551544,0.24491778016090393,0.14254991866640712,0.1370456629584007
physics_lift,test_iid,99,0,7,0.05,0.3781036138534546,0.48993733525276184,0.32357704639434814,0.5100895166397095,0.24152150750160217,0.11132692273858436,0.1429623428090423
physics_lift,test_view_ood,100,0,3,0.02,0.7509652972221375,0.9289027452468872,0.9056869149208069,0.5519195795059204,0.22026491165161133,0.057392802096079124,0.5639488776319332
physics_lift,test_view_ood,101,0,3,0.05,0.7690113186836243,0.9742342829704285,0.8256033062934875,0.7100566029548645,0.5057994723320007,0.08298232727243211,0.5913784082635267
physics_lift,test_view_ood,102,1,3,0.02,0.7943097949028015,1.060197353363037,0.9625950455665588,0.6999363303184509,0.2953357994556427,0.06274724931149943,0.6309280502785306
physics_lift,test_view_ood,103,1,3,0.05,0.798408031463623,0.9857397079467773,0.8205204606056213,0.8080228567123413,0.359181672334671,0.026119513609169632,0.6374553847056177
physics_lift,test_view_ood,104,0,3,0.02,0.7554686069488525,0.9045267105102539,0.8134841322898865,0.6484833359718323,0.42793887853622437,0.10460171405633831,0.5707328160852398
physics_lift,test_view_ood,105,0,3,0.05,0.6975115537643433,0.8876805901527405,0.7414835691452026,0.5557898283004761,0.13775524497032166,0.041126434028531215,0.4865223676347483
physics_lift,test_view_ood,106,1,3,0.02,0.8087559342384338,1.0508650541305542,0.9464098215103149,0.6639961004257202,0.5097246170043945,0.08278158007504115,0.6540861611658819
physics_lift,test_view_ood,107,1,3,0.05,0.8081964254379272,1.0137298107147217,0.8746374249458313,0.7548643350601196,0.36145079135894775,0.07724714392826922,0.6531814620906431
physics_lift,test_view_ood,108,0,3,0.02,0.6833330988883972,0.8730222582817078,0.7379484176635742,0.573245644569397,0.18505249917507172,0.024244391223808403,0.46694412403642005
physics_lift,test_view_ood,109,0,3,0.05,0.6775752305984497,0.8604063391685486,0.6801366806030273,0.6233559250831604,0.23596708476543427,0.034675228207457144,0.4591081931205423
physics_lift,test_view_ood,110,1,3,0.02,0.8351860046386719,1.05161714553833,0.9470033645629883,0.7519285082817078,0.6159963607788086,0.031725279468872825,0.6975356623443076
physics_lift,test_view_ood,111,1,3,0.05,0.8053290247917175,0.9784379601478577,0.7794146537780762,0.822966456413269,0.48387858271598816,0.08051973093947808,0.6485548381719788
physics_lift,test_view_ood,112,0,3,0.02,0.8372234106063843,0.9993273615837097,0.9854722619056702,0.7236648797988892,0.7499250769615173,0.10583063454754298,0.7009430392673863
physics_lift,test_view_ood,113,0,3,0.05,0.7131580114364624,0.9410116672515869,0.8946963548660278,0.5835992097854614,0.22525948286056519,0.05850375272266525,0.5085943492760094
physics_lift,test_view_ood,114,1,3,0.02,0.7804421782493591,1.0572350025177002,0.9277281761169434,0.623866617679596,0.36631152033805847,0.06215632884859158,0.6090899935906045
physics_lift,test_view_ood,115,1,3,0.05,0.8128019571304321,0.9665916562080383,0.7210922241210938,0.819998562335968,0.6137783527374268,0.014162475996676933,0.6606470215150608
physics_lift,test_noise_ood,116,0,5,0.1,0.365854412317276,0.5385279059410095,0.3118104338645935,0.3266706168651581,0.026002397760748863,0.09897256484584681,0.1338494510120194
physics_lift,test_noise_ood,117,0,7,0.1,0.3794618248939514,0.5164579749107361,0.3238065242767334,0.4478050768375397,0.059636760503053665,0.1133059063869418,0.14399127655184785
physics_lift,test_noise_ood,118,1,5,0.1,0.5703597068786621,0.8500897288322449,0.49067747592926025,0.6104574203491211,0.38196107745170593,0.08040880695820607,0.32531019523071336
physics_lift,test_noise_ood,119,1,7,0.1,0.4503287374973297,0.6584384441375732,0.44108644127845764,0.5243399739265442,0.2358463704586029,0.09398462999196236,0.2027959718159389
physics_lift,test_noise_ood,120,0,5,0.1,0.35392212867736816,0.5400004386901855,0.3371734023094177,0.352912962436676,0.047320228070020676,0.0727689427106395,0.12526087316751955
physics_lift,test_noise_ood,121,0,7,0.1,0.39226895570755005,0.515714704990387,0.34911802411079407,0.4680953323841095,0.1984088122844696,0.18531796764102795,0.15387493361189186
physics_lift,test_noise_ood,122,1,5,0.1,0.6517032980918884,0.9098140001296997,0.5829159617424011,0.7549529075622559,0.5543936491012573,0.12094644873155823,0.4247171887438448
